date,entry_close,pred_close,actual_close,correct
2024-06-10,1.36,1.4079,1.68,1
2024-06-11,1.43,1.2055,1.63,0
2024-06-12,1.5,0.9341,1.66,0
2024-06-13,1.48,1.4844,1.77,1
2024-06-14,1.45,1.2036,1.87,0
2024-06-17,1.49,1.4311,1.94,0
2024-06-18,1.54,1.2523,2.1,0
2024-06-20,1.51,1.4684,2.16,0
2024-06-21,1.54,1.1457,2.16,0
2024-06-24,1.6,1.1898,2.11,0
2024-06-25,1.61,1.3953,2.16,0
2024-06-26,1.62,1.3487,2.06,0
2024-06-27,1.68,1.3335,2.31,0
2024-06-28,1.62,1.3648,2.37,0
2024-07-01,1.52,1.3424,2.32,0
2024-07-02,1.58,1.4046,2.37,0
2024-07-03,1.65,0.9381,2.56,0
2024-07-05,1.6,1.2257,2.48,0
2024-07-08,1.68,1.3442,2.27,0
2024-07-09,1.69,1.0793,2.43,0
2024-07-10,1.75,1.3555,2.47,0
2024-07-11,1.94,1.3033,2.44,0
2024-07-12,2.02,1.2971,2.45,0
2024-07-15,2.37,1.4046,2.39,0
2024-07-16,2.41,1.0909,2.43,0
2024-07-17,2.49,1.2358,2.32,1
2024-07-18,2.22,1.078,2.43,0
2024-07-19,2.22,1.0839,2.39,0
2024-07-22,2.25,1.3396,2.49,0
2024-07-23,2.36,1.3409,2.56,0
2024-07-24,2.19,1.144,2.45,0
2024-07-25,2.27,1.1693,2.54,0
2024-07-26,2.38,0.9982,2.51,0
2024-07-29,2.26,1.0215,2.64,0
2024-07-30,2.2,1.0211,2.41,0
2024-07-31,2.22,0.8482,2.45,0
2024-08-01,2.0,0.9078,2.4,0
2024-08-02,1.79,1.4356,2.56,0
2024-08-05,1.7,0.7915,2.53,0
2024-08-06,1.71,1.0982,2.42,0
2024-08-07,1.62,1.2723,2.39,0
2024-08-08,1.97,0.9123,2.39,0
2024-08-09,2.06,0.6082,2.29,0
2024-08-12,1.99,1.2185,2.39,0
2024-08-13,2.0,1.3974,2.58,0
2024-08-14,1.84,0.8499,2.58,0
2024-08-15,2.0,1.4856,2.82,0
2024-08-16,2.0,1.2535,2.82,0
2024-08-19,2.05,1.123,2.88,0
2024-08-20,1.99,1.2899,2.7,0
2024-08-21,2.02,1.6601,2.61,0
2024-08-22,1.95,1.3728,2.54,0
2024-08-23,2.03,1.2168,2.8,0
2024-08-26,2.01,1.1836,3.11,0
2024-08-27,1.94,1.0701,2.91,0
2024-08-28,1.88,1.3569,3.71,0
2024-08-29,1.93,1.5642,3.84,0
2024-08-30,1.87,1.4749,3.82,0
2024-09-03,1.74,1.5541,3.7,0
2024-09-04,1.73,1.6816,3.71,0
2024-09-05,1.68,1.508,3.69,0
2024-09-06,1.63,1.3512,3.35,0
2024-09-09,1.66,1.2586,3.28,0
2024-09-10,1.77,1.3657,3.29,0
2024-09-11,1.87,1.7038,3.25,0
2024-09-12,1.94,1.6354,3.23,0
2024-09-13,2.1,1.5074,3.28,0
2024-09-16,2.16,1.4724,3.24,0
2024-09-17,2.16,1.363,3.02,0
2024-09-18,2.11,1.258,3.01,0
2024-09-19,2.16,1.2548,3.0,0
2024-09-20,2.06,1.3071,2.93,0
2024-09-23,2.31,1.3733,2.76,0
2024-09-24,2.37,1.4578,2.65,0
2024-09-25,2.32,1.434,2.53,0
2024-09-26,2.37,1.531,2.73,0
2024-09-27,2.56,1.2449,2.63,0
2024-09-30,2.48,1.2168,2.76,0
2024-10-01,2.27,1.5001,2.73,0
2024-10-02,2.43,1.453,2.72,0
2024-10-03,2.47,1.4698,2.69,0
2024-10-04,2.44,1.432,2.61,0
2024-10-07,2.45,1.8212,2.56,0
2024-10-08,2.39,1.6797,2.67,0
2024-10-09,2.43,1.4305,2.6,0
2024-10-10,2.32,1.7508,2.59,0
2024-10-11,2.43,1.4399,2.39,1
2024-10-14,2.39,1.496,2.23,1
2024-10-15,2.49,1.5637,2.17,1
2024-10-16,2.56,1.6182,2.34,1
2024-10-17,2.45,1.1469,2.39,1
2024-10-18,2.54,1.4014,2.33,1
2024-10-21,2.51,1.868,2.37,1
2024-10-22,2.64,1.6614,2.43,1
2024-10-23,2.41,1.6391,2.42,0
2024-10-24,2.45,1.6771,2.45,1
2024-10-25,2.4,1.6246,2.49,0
2024-10-28,2.56,1.6093,2.33,1
2024-10-29,2.53,1.3665,2.37,1
2024-10-30,2.42,1.6463,2.3,1
2024-10-31,2.39,1.3587,2.42,0
2024-11-01,2.39,1.7539,2.35,1
2024-11-04,2.29,1.4301,2.22,1
2024-11-05,2.39,1.9938,2.27,1
2024-11-06,2.58,2.0772,2.27,1
2024-11-07,2.58,1.762,2.11,1
2024-11-08,2.82,1.6982,2.01,1
2024-11-11,2.82,1.5346,2.06,1
2024-11-12,2.88,1.8863,2.02,1
2024-11-13,2.7,2.0071,1.99,1
2024-11-14,2.61,1.8234,2.14,1
2024-11-15,2.54,2.1256,2.12,1
2024-11-18,2.8,2.0303,2.09,1
2024-11-19,3.11,2.2469,2.09,1
2024-11-20,2.91,2.2952,2.01,1
2024-11-21,3.71,1.9862,1.9,1
2024-11-22,3.84,2.2262,1.86,1
2024-11-25,3.82,2.2191,1.84,1
2024-11-26,3.7,2.0507,1.86,1
2024-11-27,3.71,2.2505,1.61,1
2024-11-29,3.69,2.5184,1.69,1
2024-12-02,3.35,2.0592,1.5,1
2024-12-03,3.28,1.614,1.5,1
2024-12-04,3.29,1.8846,1.52,1
2024-12-05,3.25,2.0478,1.44,1
2024-12-06,3.23,2.5482,1.48,1
2024-12-09,3.28,2.3542,1.42,1
2024-12-10,3.24,2.1074,1.58,1
2024-12-11,3.02,2.2311,1.6,1
2024-12-12,3.01,2.004,1.55,1
2024-12-13,3.0,2.1324,1.59,1
2024-12-16,2.93,2.1441,1.68,1
2024-12-17,2.76,2.1999,1.6,1
2024-12-18,2.65,2.6876,1.66,0
2024-12-19,2.53,2.0018,1.64,1
2024-12-20,2.73,2.1452,1.6,1
2024-12-23,2.63,2.2263,1.65,1
2024-12-24,2.76,2.4167,1.61,1
2024-12-26,2.73,2.2778,1.55,1
2024-12-27,2.72,1.9102,1.52,1
2024-12-30,2.69,2.3159,1.41,1
2024-12-31,2.61,2.0741,1.4,1
2025-01-02,2.56,2.0546,1.39,1
2025-01-03,2.67,2.6112,1.42,1
2025-01-06,2.6,2.2238,1.31,1
2025-01-07,2.59,1.9872,1.29,1
2025-01-08,2.39,1.9011,1.29,1
2025-01-10,2.23,2.3752,1.2,0
2025-01-13,2.17,2.4677,1.31,0
2025-01-14,2.34,1.3429,1.26,1
2025-01-15,2.39,2.37,1.29,1
2025-01-16,2.33,1.8532,1.3,1
2025-01-17,2.37,2.3134,1.45,1
2025-01-21,2.43,2.2846,1.34,1
2025-01-22,2.42,1.825,1.38,1
2025-01-23,2.45,2.242,1.4,1
2025-01-24,2.49,2.3729,1.52,1
