date,entry_close,pred_close,actual_close,correct
2024-06-10,162.435,140.4219,194.8323,0
2024-06-11,161.4245,162.8507,193.0532,1
2024-06-12,161.1194,155.667,195.7363,0
2024-06-13,161.2338,164.6551,197.4578,1
2024-06-14,161.3196,169.6018,201.8528,1
2024-06-17,161.5961,167.4954,203.5069,1
2024-06-18,162.5971,149.6131,206.5652,0
2024-06-20,165.81,157.239,208.8444,0
2024-06-21,164.4181,155.1665,205.9305,0
2024-06-24,166.8491,159.6658,206.7094,0
2024-06-25,164.5515,166.9398,205.6996,1
2024-06-26,163.8556,163.8128,209.3637,0
2024-06-27,162.8831,162.0342,212.0565,0
2024-06-28,164.8852,168.9228,212.5085,1
2024-07-01,166.9349,159.1277,212.7585,0
2024-07-02,169.0323,155.8649,214.8743,0
2024-07-03,167.5356,164.5151,212.3835,0
2024-07-05,167.812,150.2565,212.6143,0
2024-07-08,169.3565,161.8101,210.9505,0
2024-07-09,168.2506,164.1864,211.316,0
2024-07-10,169.5472,165.3062,214.1915,0
2024-07-11,169.9953,161.0279,217.3459,0
2024-07-12,174.3045,158.6033,218.423,0
2024-07-15,174.3522,162.1925,219.8656,0
2024-07-16,177.1455,171.0089,225.3281,0
2024-07-17,178.7091,149.1616,224.0971,0
2024-07-18,176.583,158.1724,224.3279,0
2024-07-19,174.7049,155.3802,226.2513,0
2024-07-22,175.5629,161.4372,224.0394,0
2024-07-23,175.5153,164.5839,224.7222,0
2024-07-24,175.439,161.1862,223.9625,0
2024-07-25,183.0278,170.5072,223.3085,0
2024-07-26,182.8085,156.5907,222.8757,0
2024-07-29,182.5702,160.7932,223.3566,0
2024-07-30,182.1316,160.8128,223.8374,0
2024-07-31,183.1804,160.51,210.0273,0
2024-08-01,180.816,154.7812,206.4498,0
2024-08-02,180.3012,155.2193,204.7572,0
2024-08-05,174.7621,161.4565,202.3721,0
2024-08-06,178.0894,157.0561,197.0538,0
2024-08-07,178.0894,165.9258,198.8042,0
2024-08-08,183.6284,154.7451,200.2756,0
2024-08-09,184.1189,165.5446,198.4195,0
2024-08-12,182.2243,167.9234,199.6216,0
2024-08-13,183.6765,165.967,205.4208,0
