date,entry_close,pred_close,actual_close,correct
2024-06-10,130.7717,123.5024,159.352,0
2024-06-11,131.4652,123.3975,157.2842,0
2024-06-12,132.8914,119.9393,158.47,0
2024-06-13,132.5581,127.988,158.7346,0
2024-06-14,132.9599,124.6393,156.7941,0
2024-06-17,133.4793,125.8773,157.9212,0
2024-06-18,133.6558,127.245,158.1368,0
2024-06-20,134.3711,124.0922,159.1196,0
2024-06-21,135.0866,121.6448,160.004,0
2024-06-24,135.949,124.4314,158.4414,0
2024-06-25,134.5868,125.0301,156.1319,0
2024-06-26,134.6456,125.8877,157.0852,0
2024-06-27,134.724,124.6694,157.1933,0
2024-06-28,134.1555,126.0771,156.014,0
2024-07-01,134.1947,122.0569,156.7019,0
2024-07-02,138.007,120.3013,155.3948,0
2024-07-03,138.3403,127.3262,155.8862,0
2024-07-05,137.9776,125.337,157.8714,0
2024-07-08,138.3501,121.1626,158.3628,0
2024-07-09,139.6143,122.8107,158.1466,0
2024-07-10,141.5253,124.5125,160.4463,0
2024-07-11,144.2106,119.6566,159.9549,0
2024-07-12,145.4356,110.8932,156.7904,0
2024-07-15,144.8672,120.1886,159.2964,0
2024-07-16,145.9453,125.367,158.9525,0
2024-07-17,146.4255,127.9934,157.8812,0
2024-07-18,144.8084,113.6365,159.7681,0
2024-07-19,144.73,112.4203,161.547,0
2024-07-22,146.2589,120.3478,162.3332,0
2024-07-23,145.6022,124.2615,162.284,0
2024-07-24,144.5634,120.4323,161.9696,0
2024-07-25,146.0531,121.6743,163.9547,0
2024-07-26,147.9837,122.295,163.4732,0
2024-07-29,148.1405,120.5502,163.0801,0
2024-07-30,148.2777,121.3733,162.1563,0
2024-07-31,148.5325,126.994,164.0235,0
2024-08-01,147.9837,123.3754,162.4609,0
2024-08-02,146.8567,121.6341,163.5715,0
2024-08-05,145.808,124.034,163.8466,0
2024-08-06,147.5035,115.5035,163.6599,0
2024-08-07,148.1013,121.7266,153.1836,0
2024-08-08,150.6886,113.0234,151.9748,0
2024-08-09,151.0022,117.9122,151.8274,0
2024-08-12,150.816,119.3945,155.1295,0
2024-08-13,151.5706,120.35,153.105,0
2024-08-14,153.0014,121.7914,153.4195,0
2024-08-15,152.3938,125.0342,153.7241,0
2024-08-16,153.413,121.7535,154.3728,0
2024-08-19,154.1285,119.787,153.3704,1
2024-08-20,154.5989,135.8421,153.1541,1
2024-08-21,154.9517,122.2922,153.7733,1
2024-08-22,155.4319,129.5298,152.8692,1
2024-08-23,156.8138,121.326,154.9722,1
2024-08-26,157.1077,134.9676,155.2081,1
2024-08-27,157.392,125.6085,153.0853,1
2024-08-28,157.5585,134.9817,155.6209,1
2024-08-29,157.0195,136.2488,156.5447,1
2024-08-30,158.323,124.0094,156.8788,1
2024-09-03,158.2152,133.5345,157.724,1
2024-09-04,159.1854,132.9043,158.4119,1
2024-09-05,159.352,130.1751,158.1859,1
2024-09-06,157.2842,129.9818,155.5619,1
2024-09-09,158.47,131.3046,153.5669,1
2024-09-10,158.7346,129.5297,153.4097,1
2024-09-11,156.7941,130.804,153.675,1
2024-09-12,157.9212,132.4742,153.2426,1
2024-09-13,158.1368,125.5313,153.3802,1
2024-09-16,159.1196,128.7353,155.6799,1
2024-09-17,160.004,123.9666,155.4538,1
2024-09-18,158.4414,135.9761,153.8519,1
2024-09-19,156.1319,139.8501,152.8986,1
2024-09-20,157.0852,132.1303,152.3565,1
2024-09-23,157.1933,135.4413,150.5923,1
2024-09-24,156.014,130.7628,147.4482,1
2024-09-25,156.7019,137.7689,146.157,1
2024-09-26,155.3948,129.6622,148.1479,1
2024-09-27,155.8862,134.349,148.0001,1
2024-09-30,157.8714,137.4449,148.2958,1
2024-10-01,158.3628,134.7192,148.8477,1
2024-10-02,158.1466,125.7817,148.1578,1
2024-10-03,160.4463,124.4338,147.2215,1
2024-10-04,159.9549,146.1019,146.8666,1
2024-10-07,156.7904,126.5353,147.1919,1
2024-10-08,159.2964,135.0095,147.6847,1
2024-10-09,158.9525,142.3479,144.4716,1
2024-10-10,157.8812,143.1042,144.3336,1
2024-10-11,159.7681,137.5212,144.4618,1
2024-10-14,161.547,134.0717,140.746,1
2024-10-15,162.3332,135.1182,141.8203,1
2024-10-16,162.284,140.7497,143.1607,1
2024-10-17,161.9696,139.2196,146.1077,1
2024-10-18,163.9547,136.1224,148.0691,1
2024-10-21,163.4732,138.8697,146.9652,1
2024-10-22,163.0801,146.3805,149.5377,1
2024-10-23,162.1563,142.7998,151.9524,1
2024-10-24,164.0235,138.2841,155.4119,1
2024-10-25,162.4609,133.161,155.205,1
2024-10-28,163.5715,135.6762,158.5166,1
2024-10-29,163.8466,136.1856,156.5552,1
2024-10-30,163.6599,146.2417,154.9585,1
2024-10-31,153.1836,140.282,157.1466,0
2024-11-01,151.9748,144.0347,157.531,0
2024-11-04,151.8274,142.4766,158.0829,0
2024-11-05,155.1295,149.9039,157.0283,0
2024-11-06,153.105,141.9697,158.3885,0
2024-11-07,153.4195,146.604,165.2681,0
2024-11-08,153.7241,144.3239,164.4303,0
2024-11-11,154.3728,146.3234,164.7161,0
2024-11-12,153.3704,146.1014,164.5387,0
2024-11-13,153.1541,152.1065,164.1642,0
2024-11-14,153.7733,140.8158,166.1453,0
2024-11-15,152.8692,153.4991,164.3121,1
2024-11-18,154.9722,146.2585,164.1051,0
2024-11-19,155.2081,144.7124,164.5584,0
2024-11-20,153.0853,153.2132,164.3909,1
2024-11-21,155.6209,150.9345,165.4554,0
2024-11-22,156.5447,145.1235,165.9974,0
2024-11-25,156.8788,145.1474,168.7473,0
2024-11-26,157.724,153.274,168.7079,0
2024-11-27,158.4119,152.2237,168.3826,0
2024-11-29,158.1859,141.993,170.7383,0
2024-12-02,155.5619,146.599,170.7087,0
2024-12-03,153.5669,150.6162,167.4069,0
2024-12-04,153.4097,155.6518,169.1416,1
2024-12-05,153.675,136.5256,167.2097,0
2024-12-06,153.2426,150.704,167.7913,0
2024-12-09,153.3802,154.1635,166.7169,1
2024-12-10,155.6799,144.2853,165.9383,0
2024-12-11,155.4538,144.5107,166.5888,0
2024-12-12,153.8519,145.9094,166.7071,0
2024-12-13,152.8986,151.7319,168.5995,0
2024-12-16,152.3565,152.3595,170.8135,1
2024-12-17,150.5923,156.9529,170.8332,1
2024-12-18,147.4482,152.7331,171.6734,1
2024-12-19,146.157,149.9241,173.5513,1
2024-12-20,148.1479,143.1946,172.3652,0
2024-12-23,148.0001,149.926,173.2152,1
2024-12-24,148.2958,143.5456,173.5909,0
2024-12-26,148.8477,151.1808,173.7193,1
2024-12-27,148.1578,146.7001,174.3124,0
2024-12-30,147.2215,149.446,172.6815,1
2024-12-31,146.8666,154.1928,170.4972,1
2025-01-02,147.1919,149.9212,169.4989,1
2025-01-03,147.6847,146.0416,168.4611,0
2025-01-06,144.4716,145.6077,165.6145,1
2025-01-07,144.3336,141.7539,154.9202,0
2025-01-08,144.4618,149.4804,152.8544,1
2025-01-10,140.746,149.2585,149.8596,1
2025-01-13,141.8203,144.1198,154.9893,1
2025-01-14,143.1607,144.7499,153.3882,1
2025-01-15,146.1077,146.5819,154.0998,1
2025-01-16,148.0691,148.6852,157.9348,1
2025-01-17,146.9652,146.9928,158.0929,1
2025-01-21,149.5377,148.6728,156.6004,0
2025-01-22,151.9524,138.0218,156.7981,0
2025-01-23,155.4119,140.7678,153.23,1
2025-01-24,155.205,148.639,158.8144,0
2025-01-27,158.5166,138.4563,159.1208,0
2025-01-28,156.5552,139.7766,161.0877,0
2025-01-29,154.9585,149.5702,161.3348,0
2025-01-30,157.1466,138.371,161.5819,0
2025-01-31,157.531,146.908,164.3988,0
2025-02-03,158.0829,142.435,166.0198,0
2025-02-04,157.0283,152.2135,168.8565,0
2025-02-05,158.3885,144.7721,171.4362,0
2025-02-06,165.2681,138.3828,171.96,0
2025-02-07,164.4303,146.8421,173.156,0
