date,entry_close,pred_close,actual_close,correct
2024-06-10,7.42,6.297,3.84,1
2024-06-11,7.35,6.487,3.51,1
2024-06-12,7.47,5.5864,3.22,1
2024-06-13,7.39,6.398,3.18,1
2024-06-14,7.05,6.5678,3.42,1
2024-06-17,6.83,6.3628,3.61,1
2024-06-18,6.495,6.4412,3.91,1
2024-06-20,6.175,5.9524,3.82,1
2024-06-21,6.38,5.6556,3.81,1
2024-06-24,6.08,6.2545,3.76,0
2024-06-25,6.09,6.6513,3.84,0
2024-06-26,6.34,6.0522,3.63,1
2024-06-27,6.19,6.0647,3.58,1
2024-06-28,6.17,6.0555,3.77,1
2024-07-01,6.21,6.139,3.71,1
2024-07-02,6.12,5.8513,4.06,1
2024-07-03,6.12,7.2131,4.17,0
2024-07-05,6.29,5.6911,3.99,1
2024-07-08,6.37,7.4503,3.75,0
2024-07-09,6.21,5.2871,3.96,1
2024-07-10,6.46,6.3682,3.84,1
2024-07-11,6.56,6.1367,3.84,1
2024-07-12,6.42,5.8582,3.83,1
2024-07-15,7.16,6.7317,3.74,1
2024-07-16,7.42,5.7744,3.71,1
2024-07-17,6.99,6.9086,3.67,1
2024-07-18,6.63,7.2692,3.77,0
2024-07-19,6.25,6.4214,3.62,0
2024-07-22,6.41,6.4803,3.53,0
2024-07-23,6.43,6.1819,3.55,1
2024-07-24,6.06,6.5631,3.56,0
2024-07-25,6.03,6.5005,3.67,0
2024-07-26,6.2,7.0204,3.47,0
2024-07-29,6.14,6.5825,3.54,0
2024-07-30,6.01,6.3046,3.44,0
2024-07-31,5.98,6.6316,3.42,0
2024-08-01,5.41,6.3584,3.48,0
2024-08-02,5.175,6.3684,3.5,0
2024-08-05,4.9,6.802,3.71,0
2024-08-06,4.9,5.794,3.61,0
2024-08-07,4.66,6.9365,3.31,0
2024-08-08,4.83,6.0885,3.49,0
2024-08-09,4.42,5.8045,3.37,0
2024-08-12,4.105,6.5811,3.33,0
2024-08-13,4.06,6.2739,3.49,0
2024-08-14,3.94,6.3327,3.43,0
2024-08-15,4.0,7.5498,5.48,1
2024-08-16,4.15,7.2257,5.08,1
2024-08-19,4.16,6.0847,4.75,1
2024-08-20,4.16,6.5818,4.73,1
2024-08-21,4.27,7.3454,4.46,1
2024-08-22,4.08,6.2356,4.46,1
2024-08-23,4.09,8.0518,4.09,0
2024-08-26,4.22,6.8546,4.69,1
2024-08-27,4.12,6.0543,4.55,1
2024-08-28,3.89,6.7358,4.65,1
2024-08-29,4.14,6.1065,4.98,1
2024-08-30,4.15,7.5489,5.4,1
2024-09-03,3.78,6.2732,5.0,1
2024-09-04,3.895,6.9104,5.03,1
2024-09-05,3.84,6.5026,5.23,1
2024-09-06,3.51,5.7806,5.28,1
2024-09-09,3.22,5.9025,4.03,1
2024-09-10,3.18,6.2934,3.825,1
2024-09-11,3.42,6.5314,3.97,1
2024-09-12,3.61,5.8103,4.29,1
2024-09-13,3.91,6.2138,4.21,1
2024-09-16,3.82,7.4196,4.33,1
2024-09-17,3.81,6.2917,4.51,1
2024-09-18,3.76,6.5083,4.45,1
2024-09-19,3.84,6.9315,4.43,1
2024-09-20,3.63,6.4775,4.36,1
2024-09-23,3.58,6.8511,4.39,1
2024-09-24,3.77,6.4047,4.12,1
2024-09-25,3.71,6.1291,4.14,1
2024-09-26,4.06,5.9952,4.1,1
2024-09-27,4.17,6.2732,4.1,0
2024-09-30,3.99,5.2675,4.24,1
2024-10-01,3.75,5.7071,4.42,1
2024-10-02,3.96,6.1985,4.34,1
2024-10-03,3.84,6.3588,4.1,1
2024-10-04,3.84,6.3819,4.05,1
2024-10-07,3.83,5.9489,4.21,1
2024-10-08,3.74,6.7313,4.59,1
2024-10-09,3.71,4.1707,4.66,1
2024-10-10,3.67,4.6531,4.55,1
2024-10-11,3.77,6.8636,4.28,1
2024-10-14,3.62,6.0001,4.16,1
2024-10-15,3.53,5.5554,3.99,1
2024-10-16,3.55,6.3668,3.9,1
2024-10-17,3.56,5.6695,4.4,1
2024-10-18,3.67,4.3883,4.31,1
2024-10-21,3.47,6.0319,4.28,1
2024-10-22,3.54,4.654,4.37,1
2024-10-23,3.44,6.0407,4.26,1
2024-10-24,3.42,6.2801,4.36,1
2024-10-25,3.48,5.3678,4.27,1
2024-10-28,3.5,5.6043,4.18,1
2024-10-29,3.71,6.3273,4.19,1
2024-10-30,3.61,6.4196,4.15,1
2024-10-31,3.31,7.0852,4.23,1
2024-11-01,3.49,5.8033,4.1,1
2024-11-04,3.37,5.5599,4.0,1
2024-11-05,3.33,5.8588,4.19,1
2024-11-06,3.49,4.5542,4.32,1
2024-11-07,3.43,4.3079,4.27,1
2024-11-08,5.48,5.2388,4.28,1
2024-11-11,5.08,4.4285,3.97,1
2024-11-12,4.75,5.8092,3.78,0
2024-11-13,4.73,5.9485,3.63,0
2024-11-14,4.46,4.8436,3.89,0
2024-11-15,4.46,3.8691,3.86,1
2024-11-18,4.09,6.1137,4.03,0
2024-11-19,4.69,7.5189,4.05,0
2024-11-20,4.55,4.4842,3.91,1
2024-11-21,4.65,7.5615,3.41,0
2024-11-22,4.98,4.3734,3.505,1
2024-11-25,5.4,5.146,3.29,1
2024-11-26,5.0,4.087,3.2,1
2024-11-27,5.03,5.8427,3.02,0
2024-11-29,5.23,4.1127,3.01,1
2024-12-02,5.28,5.4606,2.77,0
2024-12-03,4.03,5.0867,2.62,0
2024-12-04,3.825,5.319,3.07,0
2024-12-05,3.97,6.4978,2.94,0
2024-12-06,4.29,5.2796,2.93,0
2024-12-09,4.21,4.7898,2.74,0
2024-12-10,4.33,7.0219,2.58,0
2024-12-11,4.51,4.3405,2.57,1
2024-12-12,4.45,5.6246,2.39,0
2024-12-13,4.43,6.0049,2.34,0
2024-12-16,4.36,4.472,2.49,0
2024-12-17,4.39,3.865,2.27,1
2024-12-18,4.12,5.9057,2.33,0
2024-12-19,4.14,5.515,2.22,0
2024-12-20,4.1,6.2262,2.23,0
2024-12-23,4.1,4.9182,2.35,0
2024-12-24,4.24,5.1719,2.23,0
2024-12-26,4.42,4.3392,2.16,1
2024-12-27,4.34,5.6867,2.26,0
2024-12-30,4.1,4.1876,2.11,0
2024-12-31,4.05,5.2744,2.035,0
2025-01-02,4.21,4.5577,1.98,0
2025-01-03,4.59,4.5985,2.12,0
2025-01-06,4.66,5.8908,1.915,0
2025-01-07,4.55,5.2017,1.6,0
2025-01-08,4.28,3.9078,1.79,1
2025-01-10,4.16,4.6482,1.66,0
2025-01-13,3.99,3.9751,1.995,1
2025-01-14,3.9,4.4976,1.9,0
2025-01-15,4.4,5.5065,2.08,0
2025-01-16,4.31,5.4996,2.0,0
2025-01-17,4.28,3.9248,1.91,1
2025-01-21,4.37,4.7011,1.86,0
2025-01-22,4.26,5.0737,1.91,0
2025-01-23,4.36,4.9539,1.83,0
2025-01-24,4.27,4.3233,1.85,0
2025-01-27,4.18,4.8215,1.82,0
2025-01-28,4.19,5.5903,2.0,0
2025-01-29,4.15,5.0345,2.0,0
2025-01-30,4.23,3.8089,2.01,1
2025-01-31,4.1,4.0322,1.99,1
