date,entry_close,pred_close,actual_close,correct
2024-06-10,15.78,6.6664,15.01,1
2024-06-11,15.32,6.8412,14.07,1
2024-06-12,16.25,7.4888,14.27,1
2024-06-13,15.64,7.3594,14.52,1
2024-06-14,15.15,6.7922,15.25,0
2024-06-17,15.14,7.0654,15.48,0
2024-06-18,13.82,7.3619,15.7,0
2024-06-20,13.44,7.6512,14.98,0
2024-06-21,13.34,7.0487,14.77,0
2024-06-24,13.61,7.005,13.74,0
2024-06-25,14.16,6.939,14.31,0
2024-06-26,14.08,7.8952,13.95,1
2024-06-27,14.43,6.744,15.46,0
2024-06-28,14.83,7.2622,15.48,0
2024-07-01,15.45,7.8936,15.41,1
2024-07-02,15.15,7.5314,15.96,0
2024-07-03,14.98,7.5881,15.91,0
2024-07-05,14.97,7.4085,16.77,0
2024-07-08,16.85,7.1151,15.49,1
2024-07-09,17.46,7.1025,15.48,1
2024-07-10,16.68,7.6006,15.68,1
2024-07-11,16.56,7.0328,15.57,1
2024-07-12,16.92,7.0659,15.45,1
2024-07-15,20.17,6.7722,15.52,1
2024-07-16,21.34,6.638,15.56,1
2024-07-17,19.62,8.3376,15.48,1
2024-07-18,18.95,8.7412,16.56,1
2024-07-19,17.65,7.0079,17.09,1
2024-07-22,17.63,7.4237,16.92,1
2024-07-23,17.72,7.7968,17.62,1
2024-07-24,17.21,7.0916,18.33,0
2024-07-25,17.32,8.9989,18.8,0
2024-07-26,19.76,8.5863,19.64,1
2024-07-29,18.77,7.1731,19.4,0
2024-07-30,18.75,6.2098,18.97,0
2024-07-31,19.35,5.8244,19.16,1
2024-08-01,18.04,8.2492,20.3,0
2024-08-02,16.77,6.996,20.49,0
2024-08-05,15.84,6.9925,21.68,0
2024-08-06,16.64,7.6831,21.43,0
2024-08-07,15.46,7.1492,20.11,0
2024-08-08,16.38,6.443,21.13,0
2024-08-09,18.55,7.7182,20.64,0
2024-08-12,18.47,9.8271,22.02,0
2024-08-13,16.43,7.2664,24.08,0
2024-08-14,16.49,8.6993,24.34,0
2024-08-15,17.12,8.0226,42.78,0
2024-08-16,17.06,7.4158,45.9,0
2024-08-19,18.69,10.8507,45.99,0
2024-08-20,18.36,7.1783,39.33,0
2024-08-21,18.49,6.1579,39.16,0
2024-08-22,17.84,8.5712,36.75,0
2024-08-23,19.14,7.9897,41.44,0
2024-08-26,18.89,9.3243,44.68,0
2024-08-27,19.5,6.8947,44.45,0
2024-08-28,17.72,9.5564,46.23,0
2024-08-29,17.18,12.532,44.77,0
2024-08-30,17.28,10.2575,45.39,0
2024-09-03,15.91,14.5252,40.37,0
2024-09-04,15.46,8.8052,38.33,0
2024-09-05,15.01,8.5758,41.08,0
2024-09-06,14.07,8.7441,40.52,0
2024-09-09,14.27,13.6379,40.38,0
2024-09-10,14.52,9.0838,45.66,0
2024-09-11,15.25,8.6183,45.13,0
2024-09-12,15.48,8.4477,44.55,0
2024-09-13,15.7,9.19,43.63,0
2024-09-16,14.98,9.7997,38.28,0
2024-09-17,14.77,9.7447,37.73,0
2024-09-18,13.74,13.9095,35.03,1
2024-09-19,14.31,10.3793,34.5,0
2024-09-20,13.95,11.0114,37.76,0
2024-09-23,15.46,9.8776,37.57,0
2024-09-24,15.48,9.5025,34.19,0
2024-09-25,15.41,15.8151,39.76,1
2024-09-26,15.96,10.3668,43.01,0
2024-09-27,15.91,11.6068,43.26,0
2024-09-30,16.77,15.9829,43.09,0
2024-10-01,15.49,10.8382,46.23,0
2024-10-02,15.48,10.8052,45.36,0
2024-10-03,15.68,13.0229,42.09,0
2024-10-04,15.57,12.1304,39.52,0
2024-10-07,15.45,12.2102,39.5,0
2024-10-08,15.52,10.9053,44.32,0
2024-10-09,15.56,14.6307,43.76,0
2024-10-10,15.48,10.669,39.1,0
2024-10-11,16.56,11.2676,36.76,0
2024-10-14,17.09,11.8829,35.96,0
2024-10-15,16.92,10.8038,33.43,0
2024-10-16,17.62,12.0273,33.95,0
2024-10-17,18.33,11.4555,36.82,0
2024-10-18,18.8,12.4032,37.09,0
2024-10-21,19.64,9.1992,36.78,0
2024-10-22,19.4,12.3235,38.24,0
2024-10-23,18.97,13.8414,39.8,0
2024-10-24,19.16,12.5469,39.68,0
2024-10-25,20.3,11.4746,40.28,0
2024-10-28,20.49,9.4259,33.19,0
2024-10-29,21.68,12.5824,33.93,0
2024-10-30,21.43,14.5777,34.17,0
2024-10-31,20.11,12.1387,36.09,0
2024-11-01,21.13,11.5233,37.08,0
2024-11-04,20.64,10.9534,36.74,0
2024-11-05,22.02,13.6752,38.75,0
2024-11-06,24.08,13.4104,39.29,0
2024-11-07,24.34,15.5771,39.81,0
2024-11-08,42.78,12.1586,42.88,0
2024-11-11,45.9,12.1831,44.33,1
2024-11-12,45.99,14.3339,42.47,1
2024-11-13,39.33,12.2071,43.84,0
2024-11-14,39.16,12.5242,52.29,0
2024-11-15,36.75,12.3359,53.84,0
2024-11-18,41.44,9.005,58.09,0
2024-11-19,44.68,13.8224,59.52,0
2024-11-20,44.45,11.247,54.56,0
2024-11-21,46.23,9.7644,61.91,0
2024-11-22,44.77,11.7398,59.21,0
2024-11-25,45.39,12.0297,58.11,0
2024-11-26,40.37,11.6397,64.17,0
2024-11-27,38.33,12.8447,52.62,0
2024-11-29,41.08,12.8522,52.72,0
2024-12-02,40.52,10.4914,50.76,0
2024-12-03,40.38,15.7831,51.14,0
2024-12-04,45.66,10.8723,53.8,0
2024-12-05,45.13,9.9752,46.31,0
2024-12-06,44.55,10.5506,47.25,0
2024-12-09,43.63,10.9602,41.1,1
2024-12-10,38.28,11.9877,41.88,0
2024-12-11,37.73,11.8907,46.6,0
2024-12-12,35.03,11.7161,43.14,0
2024-12-13,34.5,12.9807,48.18,0
2024-12-16,37.76,10.7063,45.93,0
2024-12-17,37.57,11.5254,41.38,0
2024-12-18,34.19,14.7682,43.93,0
2024-12-19,39.76,12.896,42.99,0
2024-12-20,43.01,19.0888,41.82,1
2024-12-23,43.26,16.2918,46.12,0
2024-12-24,43.09,15.5329,44.35,0
2024-12-26,46.23,18.8262,41.23,1
2024-12-27,45.36,12.1898,39.83,1
2024-12-30,42.09,13.04,37.39,1
2024-12-31,39.52,12.0981,35.9,1
2025-01-02,39.5,15.6823,36.54,1
2025-01-03,44.32,14.3547,37.85,1
2025-01-06,43.76,12.9104,33.33,1
2025-01-07,39.1,12.1301,29.97,1
2025-01-08,36.76,11.7521,31.83,1
2025-01-10,35.96,12.9405,32.09,1
2025-01-13,33.43,13.8481,37.11,0
2025-01-14,33.95,17.3646,36.98,0
2025-01-15,36.82,16.3244,37.09,0
2025-01-16,37.09,17.9061,35.16,1
2025-01-17,36.78,16.9468,35.7,1
2025-01-21,38.24,14.8307,34.78,1
2025-01-22,39.8,18.4499,33.04,1
2025-01-23,39.68,15.7918,29.68,1
2025-01-24,40.28,17.1367,31.24,1
2025-01-27,33.19,17.5548,34.39,0
2025-01-28,33.93,14.4441,37.46,0
2025-01-29,34.17,16.2369,38.07,0
2025-01-30,36.09,15.1322,38.23,0
2025-01-31,37.08,17.717,37.56,0
2025-02-03,36.74,14.1174,37.82,0
2025-02-04,38.75,17.262,39.25,0
2025-02-05,39.29,18.1776,39.87,0
2025-02-06,39.81,18.1863,38.68,1
2025-02-07,42.88,16.2798,38.51,1
2025-02-10,44.33,16.708,36.76,1
2025-02-11,42.47,16.853,41.11,1
2025-02-12,43.84,10.5741,34.62,1
2025-02-13,52.29,15.6175,35.81,1
2025-02-14,53.84,18.4192,36.32,1
2025-02-18,58.09,21.1405,34.87,1
2025-02-19,59.52,14.5195,35.4,1
2025-02-20,54.56,16.9005,36.73,1
2025-02-21,61.91,20.7152,38.49,1
2025-02-24,59.21,24.7727,37.22,1
2025-02-25,58.11,16.7012,34.81,1
2025-02-26,64.17,21.7103,36.15,1
2025-02-27,52.62,13.5784,36.48,1
2025-02-28,52.72,10.0765,39.95,1
2025-03-03,50.76,16.6078,39.34,1
2025-03-04,51.14,9.9247,38.03,1
2025-03-05,53.8,9.97,39.47,1
2025-03-06,46.31,13.7437,43.86,1
2025-03-07,47.25,27.3881,44.28,1
2025-03-10,41.1,22.9294,44.97,0
2025-03-11,41.88,15.5043,45.64,0
2025-03-12,46.6,17.3635,51.23,0
2025-03-13,43.14,12.7884,48.67,0
2025-03-14,48.18,19.5717,43.27,1
2025-03-17,45.93,23.1892,42.57,1
2025-03-18,41.38,42.7288,42.42,1
2025-03-19,43.93,29.8714,39.19,1
2025-03-20,42.99,28.109,44.57,0
2025-03-21,41.82,10.2521,43.55,0
2025-03-24,46.12,18.3511,46.33,0
2025-03-25,44.35,25.9706,49.23,0
2025-03-26,41.23,31.0288,47.26,0
2025-03-27,39.83,34.7364,46.96,0
2025-03-28,37.39,20.3737,46.39,0
2025-03-31,35.9,24.2796,51.96,0
2025-04-01,36.54,31.85,48.8,0
2025-04-02,37.85,23.6106,51.22,0
2025-04-03,33.33,23.5179,47.39,0
2025-04-04,29.97,26.2638,47.94,0
2025-04-07,31.83,34.4199,50.13,1
2025-04-08,32.09,36.7009,50.99,1
2025-04-09,37.11,16.2994,50.97,0
2025-04-10,36.98,25.4752,52.04,0
2025-04-11,37.09,16.9588,52.7,0
2025-04-14,35.16,20.9767,49.72,0
2025-04-15,35.7,23.5089,50.34,0
2025-04-16,34.78,16.4587,49.1,0
2025-04-17,33.04,32.6948,49.85,0
2025-04-21,29.68,37.0796,50.1,1
2025-04-22,31.24,29.7669,49.28,0
2025-04-23,34.39,19.3748,47.74,0
2025-04-24,37.46,30.8484,46.43,0
2025-04-25,38.07,32.9067,47.42,0
2025-04-28,38.23,34.3434,46.31,0
2025-04-29,37.56,24.6056,49.2,0
2025-04-30,37.82,29.2616,49.45,0
2025-05-01,39.25,28.4199,47.24,0
2025-05-02,39.87,28.9943,48.49,0
2025-05-05,38.68,23.5163,54.9,0
2025-05-06,38.51,40.2164,44.96,1
2025-05-07,36.76,25.9509,44.84,0
2025-05-08,41.11,17.1622,44.48,0
2025-05-09,34.62,28.0344,43.58,0
2025-05-12,35.81,26.7585,42.83,0
2025-05-13,36.32,31.7467,43.53,0
2025-05-14,34.87,33.8934,40.07,0
2025-05-15,35.4,32.7266,42.95,0
2025-05-16,36.73,35.7944,43.18,0
2025-05-19,38.49,33.7817,40.62,0
2025-05-20,37.22,36.2116,40.19,0
2025-05-21,34.81,32.8191,39.58,0
2025-05-22,36.15,43.501,38.5,1
2025-05-23,36.48,27.6054,38.27,0
2025-05-27,39.95,44.3727,37.74,0
2025-05-28,39.34,24.1559,38.48,1
2025-05-29,38.03,37.6757,37.82,1
2025-05-30,39.47,23.3766,38.25,1
2025-06-02,43.86,33.7183,39.07,1
2025-06-03,44.28,29.2099,39.51,1
2025-06-04,44.97,39.4181,37.98,1
2025-06-05,45.64,37.2392,37.44,1
2025-06-06,51.23,33.5128,36.68,1
2025-06-09,48.67,31.5957,41.1,1
2025-06-10,43.27,29.3255,43.48,0
2025-06-11,42.57,34.5349,47.72,0
2025-06-12,42.42,29.7988,53.63,0
2025-06-13,39.19,35.5859,58.15,0
2025-06-16,44.57,31.3905,60.97,0
2025-06-17,43.55,36.5261,62.56,0
2025-06-18,46.33,46.73,65.67,1
2025-06-20,49.23,42.6622,65.89,0
2025-06-23,47.26,38.2325,66.95,0
2025-06-24,46.96,35.1023,69.91,0
2025-06-25,46.39,38.6961,70.57,0
2025-06-26,51.96,30.8537,72.2,0
2025-06-27,48.8,37.2421,73.86,0
2025-06-30,51.22,30.6104,69.43,0
2025-07-01,47.39,38.7433,68.62,0
2025-07-02,47.94,32.9331,70.52,0
2025-07-03,50.13,28.8427,75.94,0
2025-07-07,50.99,23.7645,77.07,0
2025-07-08,50.97,35.9008,82.36,0
2025-07-09,52.04,39.0848,87.41,0
2025-07-10,52.7,32.8849,84.14,0
2025-07-11,49.72,38.2506,87.27,0
2025-07-14,50.34,39.0628,87.46,0
2025-07-15,49.1,37.5262,93.19,0
2025-07-16,49.85,37.9471,91.73,0
2025-07-17,50.1,50.6241,83.28,1
2025-07-18,49.28,31.9597,81.68,0
2025-07-21,47.74,36.5163,75.83,0
2025-07-22,46.43,39.9819,82.98,0
2025-07-23,47.42,30.1799,81.49,0
2025-07-24,46.31,30.0278,79.44,0
2025-07-25,49.2,48.2224,75.89,0
2025-07-28,49.45,43.193,77.03,0
2025-07-29,47.24,38.9886,72.07,0
2025-07-30,48.49,31.0452,73.9,0
2025-07-31,54.9,32.6043,76.65,0
2025-08-01,44.96,35.7346,79.34,0
2025-08-04,44.84,37.2843,75.48,0
2025-08-05,44.48,31.0225,78.7,0
2025-08-06,43.58,37.7417,74.62,0
2025-08-07,42.83,33.6848,74.61,0
2025-08-08,43.53,44.66,72.46,1
2025-08-11,40.07,40.44,66.86,1
2025-08-12,42.95,41.5186,64.69,0
2025-08-13,43.18,39.2035,60.9,0
2025-08-14,40.62,42.456,65.1,1
2025-08-15,40.19,43.3485,68.54,1
2025-08-18,39.58,46.2956,62.47,1
2025-08-19,38.5,56.4977,61.95,1
2025-08-20,38.27,48.1008,56.8,1
2025-08-21,37.74,46.3,57.21,1
2025-08-22,38.48,44.8597,56.17,1
2025-08-25,37.82,44.5685,55.39,1
2025-08-26,38.25,40.9711,55.39,1
2025-08-27,39.07,41.8013,52.27,1
2025-08-28,39.51,42.6348,51.46,1
2025-08-29,37.98,48.9853,56.93,1
2025-09-02,37.44,42.6868,55.68,1
2025-09-03,36.68,42.6582,57.34,1
2025-09-04,41.1,44.3392,57.47,1
2025-09-05,43.48,47.1005,55.03,1
2025-09-08,47.72,44.4957,59.07,0
2025-09-09,53.63,42.8793,59.65,0
2025-09-10,58.15,42.8038,58.35,0
2025-09-11,60.97,42.8354,57.78,1
