date,entry_close,pred_close,actual_close,correct
2024-06-10,59.9,23.6609,72.91,0
2024-06-11,61.87,24.3124,71.04,0
2024-06-12,61.65,23.3229,71.82,0
2024-06-13,61.63,22.6105,71.57,0
2024-06-14,63.92,25.3895,72.76,0
2024-06-17,64.7,22.9819,73.91,0
2024-06-18,65.58,24.9851,74.66,0
2024-06-20,64.71,25.7745,73.23,0
2024-06-21,67.99,29.3125,73.26,0
2024-06-24,68.43,26.0329,72.87,0
2024-06-25,69.71,26.2805,74.97,0
2024-06-26,68.98,27.2156,74.21,0
2024-06-27,66.95,22.8562,71.82,0
2024-06-28,67.0,24.7754,72.63,0
2024-07-01,66.34,25.4943,72.74,0
2024-07-02,64.5,24.1611,72.87,0
2024-07-03,62.0,22.9882,72.48,0
2024-07-05,70.0,24.3448,73.0,0
2024-07-08,70.05,25.8211,72.88,0
2024-07-09,70.27,24.4665,73.02,0
2024-07-10,73.1,24.1365,71.4,1
2024-07-11,77.03,20.8478,72.27,1
2024-07-12,76.71,25.3607,70.5,1
2024-07-15,77.47,23.3096,71.37,1
2024-07-16,77.98,28.523,69.96,1
2024-07-17,75.54,23.4193,71.7,1
2024-07-18,75.06,16.5515,74.56,1
2024-07-19,75.97,24.026,75.08,1
2024-07-22,76.28,26.9545,74.66,1
2024-07-23,75.99,19.2667,76.65,0
2024-07-24,74.43,23.194,74.27,1
2024-07-25,74.5,37.782,74.54,0
2024-07-26,74.54,26.8402,72.28,1
2024-07-29,74.56,23.6862,73.68,1
2024-07-30,72.91,28.9742,71.94,1
2024-07-31,72.75,21.275,71.71,1
2024-08-01,75.33,26.794,70.96,1
2024-08-02,71.81,25.1622,71.96,0
2024-08-05,71.19,30.8426,70.95,1
2024-08-06,72.68,16.6555,70.3,1
2024-08-07,70.99,23.8019,67.28,1
2024-08-08,71.81,20.6,68.32,1
2024-08-09,73.98,27.3963,68.09,1
2024-08-12,74.09,26.6849,69.3,1
2024-08-13,76.38,20.8079,72.86,1
2024-08-14,74.87,31.6397,71.69,1
2024-08-15,74.14,29.4447,73.54,1
2024-08-16,76.2,17.8697,71.82,1
2024-08-19,77.59,19.3631,70.14,1
2024-08-20,76.19,22.8585,70.6,1
2024-08-21,77.01,33.2921,71.26,1
2024-08-22,79.01,33.5295,66.29,1
2024-08-23,78.84,32.268,66.61,1
2024-08-26,75.21,27.2539,73.72,1
2024-08-27,77.11,29.4529,72.67,1
2024-08-28,76.53,37.1218,73.81,1
2024-08-29,76.33,40.083,73.15,1
2024-08-30,76.47,21.9683,74.09,1
2024-09-03,73.31,36.9216,75.68,0
2024-09-04,75.25,36.3628,75.88,0
2024-09-05,72.91,32.6646,75.16,0
2024-09-06,71.04,28.3444,72.42,0
2024-09-09,71.82,37.653,72.43,0
2024-09-10,71.57,27.2061,75.36,0
2024-09-11,72.76,31.9044,75.33,0
2024-09-12,73.91,40.3986,75.4,0
2024-09-13,74.66,19.4299,72.77,1
2024-09-16,73.23,31.2012,72.62,1
2024-09-17,73.26,32.3397,74.2,0
2024-09-18,72.87,32.0239,72.05,1
2024-09-19,74.97,39.7204,71.63,1
2024-09-20,74.21,44.2621,73.39,1
2024-09-23,71.82,48.0099,73.85,0
2024-09-24,72.63,32.7866,70.0,1
2024-09-25,72.74,51.4118,69.41,1
2024-09-26,72.87,36.1535,70.44,1
2024-09-27,72.48,24.8626,70.59,1
2024-09-30,73.0,30.5689,70.53,1
2024-10-01,72.88,52.2913,70.67,1
2024-10-02,73.02,53.4478,69.61,1
2024-10-03,71.4,42.9659,68.87,1
2024-10-04,72.27,25.3814,69.04,1
2024-10-07,70.5,41.2404,69.95,1
2024-10-08,71.37,55.0484,69.86,1
2024-10-09,69.96,39.3723,66.62,1
2024-10-10,71.7,34.553,66.11,1
2024-10-11,74.56,51.4167,65.72,1
2024-10-14,75.08,40.4995,65.25,1
2024-10-15,74.66,45.0932,68.93,1
2024-10-16,76.65,47.0098,68.29,1
2024-10-17,74.27,56.4023,70.2,1
2024-10-18,74.54,52.2619,72.75,1
2024-10-21,72.28,43.3802,72.51,0
2024-10-22,73.68,59.0517,76.75,0
2024-10-23,71.94,55.5014,78.45,0
2024-10-24,71.71,48.3939,77.84,0
2024-10-25,70.96,53.3079,78.48,0
2024-10-28,71.96,64.1082,77.63,0
2024-10-29,70.95,63.0455,78.46,0
2024-10-30,70.3,49.8321,78.0,0
2024-10-31,67.28,55.3953,76.29,0
2024-11-01,68.32,58.9232,76.58,0
2024-11-04,68.09,57.6232,77.88,0
2024-11-05,69.3,58.6791,81.01,0
2024-11-06,72.86,63.0726,81.44,0
2024-11-07,71.69,58.6266,80.78,0
2024-11-08,73.54,64.8704,79.95,0
2024-11-11,71.82,60.1021,78.12,0
2024-11-12,70.14,52.7181,79.89,0
2024-11-13,70.6,62.6314,79.6,0
2024-11-14,71.26,46.9971,78.67,0
2024-11-15,66.29,28.7335,79.31,0
2024-11-18,66.61,59.0631,81.36,0
2024-11-19,73.72,65.4125,83.83,0
2024-11-20,72.67,50.5264,83.61,0
2024-11-21,73.81,64.0179,81.06,0
2024-11-22,73.15,60.7369,80.03,0
2024-11-25,74.09,57.9168,77.5,0
2024-11-26,75.68,67.1266,78.1,0
2024-11-27,75.88,54.6676,79.05,0
2024-11-29,75.16,60.1738,81.55,0
2024-12-02,72.42,68.7346,76.29,0
2024-12-03,72.43,63.0512,77.21,0
2024-12-04,75.36,68.1669,77.55,0
2024-12-05,75.33,69.4258,75.02,1
2024-12-06,75.4,68.9652,74.89,1
2024-12-09,72.77,67.5948,73.07,0
2024-12-10,72.62,51.0112,73.7,0
2024-12-11,74.2,59.1252,74.04,1
2024-12-12,72.05,65.3936,75.07,0
2024-12-13,71.63,71.3159,76.55,0
2024-12-16,73.39,63.1094,77.77,0
2024-12-17,73.85,69.5598,76.99,0
2024-12-18,70.0,64.2214,78.94,0
2024-12-19,69.41,65.0845,78.77,0
2024-12-20,70.44,73.0648,79.92,1
2024-12-23,70.59,66.0689,79.38,0
2024-12-24,70.53,63.07,78.54,0
2024-12-26,70.67,65.0959,76.57,0
2024-12-27,69.61,59.7635,77.69,0
2024-12-30,68.87,64.1679,77.99,0
2024-12-31,69.04,64.3143,76.29,0
2025-01-02,69.95,61.7879,72.0,0
2025-01-03,69.86,71.6057,73.44,1
2025-01-06,66.62,65.2221,73.33,0
2025-01-07,66.11,63.563,69.18,0
2025-01-08,65.72,57.8337,68.09,0
2025-01-10,65.25,75.6272,64.97,0
2025-01-13,68.93,68.8355,67.55,1
2025-01-14,68.29,73.6521,64.81,0
2025-01-15,70.2,63.7059,68.57,1
2025-01-16,72.75,66.7036,71.03,1
2025-01-17,72.51,80.3589,71.07,0
2025-01-21,76.75,58.3414,70.2,1
2025-01-22,78.45,67.1532,72.65,1
2025-01-23,77.84,59.643,69.51,1
2025-01-24,78.48,65.3631,71.24,1
2025-01-27,77.63,60.9865,70.8,1
2025-01-28,78.46,55.377,68.96,1
2025-01-29,78.0,73.5999,69.69,1
2025-01-30,76.29,60.2061,69.86,1
2025-01-31,76.58,60.4745,71.4,1
2025-02-03,77.88,70.1379,72.0,1
2025-02-04,81.01,48.0633,72.64,1
2025-02-05,81.44,67.0389,72.3,1
2025-02-06,80.78,52.408,72.58,1
2025-02-07,79.95,65.9461,67.87,1
2025-02-10,78.12,70.7288,68.28,1
2025-02-11,79.89,72.7525,65.63,1
2025-02-12,79.6,57.3188,65.08,1
2025-02-13,78.67,51.6043,67.75,1
2025-02-14,79.31,58.122,65.71,1
2025-02-18,81.36,57.9834,65.61,1
2025-02-19,83.83,53.682,67.22,1
2025-02-20,83.61,70.6012,68.12,1
2025-02-21,81.06,75.0429,67.88,1
2025-02-24,80.03,70.9347,68.51,1
2025-02-25,77.5,70.0985,66.02,1
2025-02-26,78.1,71.2167,66.16,1
2025-02-27,79.05,72.25,67.53,1
2025-02-28,81.55,65.5583,68.02,1
2025-03-03,76.29,76.9891,66.36,0
2025-03-04,77.21,63.9476,69.21,1
2025-03-05,77.55,75.9282,69.73,1
2025-03-06,75.02,72.3602,71.68,1
2025-03-07,74.89,60.9581,73.08,1
2025-03-10,73.07,77.6782,73.69,1
2025-03-11,73.7,76.8744,72.74,0
2025-03-12,74.04,70.6221,73.62,1
2025-03-13,75.07,71.7127,70.68,1
2025-03-14,76.55,73.0523,90.93,0
2025-03-17,77.77,70.0995,97.98,0
2025-03-18,76.99,73.0774,96.88,0
2025-03-19,78.94,68.877,98.73,0
2025-03-20,78.77,66.5176,101.59,0
2025-03-21,79.92,70.5993,100.28,0
2025-03-24,79.38,73.7018,99.46,0
2025-03-25,78.54,77.9707,102.68,0
2025-03-26,76.57,75.5934,105.42,0
2025-03-27,77.69,70.1765,105.9,0
2025-03-28,77.99,71.0846,104.85,0
2025-03-31,76.29,75.5336,101.74,0
2025-04-01,72.0,72.559,99.49,1
2025-04-02,73.44,68.1496,100.64,0
2025-04-03,73.33,75.0766,97.62,1
2025-04-04,69.18,72.0405,98.24,1
2025-04-07,68.09,70.4531,97.8,1
2025-04-08,64.97,74.8298,96.95,1
2025-04-09,67.55,71.9526,96.14,1
2025-04-10,64.81,77.6076,96.47,1
2025-04-11,68.57,68.1668,96.66,0
2025-04-14,71.03,73.163,98.18,1
2025-04-15,71.07,69.1274,101.89,0
2025-04-16,70.2,74.3741,102.87,1
2025-04-17,72.65,77.9296,104.59,1
2025-04-21,69.51,72.912,104.17,1
2025-04-22,71.24,76.3249,102.56,1
2025-04-23,70.8,69.3168,102.78,0
2025-04-24,68.96,69.1703,102.92,1
2025-04-25,69.69,73.991,103.44,1
2025-04-28,69.86,72.56,103.52,1
2025-04-29,71.4,73.3269,103.95,1
2025-04-30,72.0,69.7392,101.75,0
2025-05-01,72.64,75.8818,105.0,1
2025-05-02,72.3,70.888,105.18,0
2025-05-05,72.58,79.2102,107.28,1
2025-05-06,67.87,75.8002,108.69,1
2025-05-07,68.28,69.9496,111.24,1
2025-05-08,65.63,76.3006,111.61,1
2025-05-09,65.08,75.0672,111.26,1
2025-05-12,67.75,74.6355,109.3,1
2025-05-13,65.71,76.4473,109.55,1
2025-05-14,65.61,73.3842,112.89,1
2025-05-15,67.22,73.7425,122.0,1
2025-05-16,68.12,74.2768,122.87,1
2025-05-19,67.88,72.3927,127.75,1
2025-05-20,68.51,73.3445,127.8,1
2025-05-21,66.02,75.6677,127.27,1
2025-05-22,66.16,70.606,127.21,1
2025-05-23,67.53,74.8559,129.45,1
2025-05-27,68.02,73.6258,132.6,1
2025-05-28,66.36,70.9246,131.88,1
2025-05-29,69.21,76.4324,128.32,1
2025-05-30,69.73,71.7349,132.17,1
2025-06-02,71.68,80.3041,134.53,1
2025-06-03,73.08,75.2084,134.97,1
2025-06-04,73.69,75.6063,136.1,1
2025-06-05,72.74,73.1869,145.3,1
2025-06-06,73.62,71.2467,143.5,0
2025-06-09,70.68,70.4514,142.53,0
2025-06-10,90.93,74.118,145.1,0
2025-06-11,97.98,71.4796,146.68,0
2025-06-12,96.88,69.96,147.2,0
2025-06-13,98.73,72.0163,145.93,0
2025-06-16,101.59,79.7563,145.79,0
2025-06-17,100.28,74.5027,145.93,0
2025-06-18,99.46,69.6409,143.14,0
