date,entry_close,pred_close,actual_close,correct
2024-06-10,559.0349,605.295,613.3389,1
2024-06-11,558.5027,615.0919,607.0623,1
2024-06-12,583.6535,581.2994,618.7767,0
2024-06-13,586.0188,591.4218,625.3199,1
2024-06-14,587.0833,575.6389,635.485,0
2024-06-17,593.8046,605.673,637.903,1
2024-06-18,600.8609,600.3859,646.7258,0
2024-06-20,607.1685,597.335,637.7845,0
2024-06-21,623.006,610.925,636.3733,0
2024-06-24,614.8555,606.035,624.7773,0
2024-06-25,621.3502,601.6059,645.6699,0
2024-06-26,628.2588,596.5856,636.5411,0
2024-06-27,642.017,571.2539,633.5606,1
2024-06-28,647.7036,575.5784,629.84,1
2024-07-01,641.3567,633.6119,626.4252,1
2024-07-02,646.7278,594.5956,628.488,1
2024-07-03,650.3546,539.851,610.9211,1
2024-07-05,659.0765,601.0784,612.8652,1
2024-07-08,650.0392,573.5698,598.3381,1
2024-07-09,641.0117,602.61,599.3251,1
2024-07-10,624.5502,562.6275,595.9005,1
2024-07-11,621.165,583.4069,602.6706,1
2024-07-12,633.5408,599.0058,594.5385,1
2024-07-15,649.5582,588.1996,605.3353,1
2024-07-16,657.4238,587.8007,613.4673,1
2024-07-17,650.2786,574.2805,612.2119,1
2024-07-18,629.1196,603.8739,609.6218,1
2024-07-19,628.2215,603.7882,610.0963,1
2024-07-22,636.0772,615.4833,610.818,1
2024-07-23,628.7543,606.7744,602.4153,1
2024-07-24,612.1152,594.1608,602.257,1
2024-07-25,618.1156,594.9086,606.2706,1
2024-07-26,625.0633,620.8241,606.9033,1
2024-07-29,628.024,613.4522,602.613,1
2024-07-30,627.4714,628.8412,595.1197,0
2024-07-31,638.8701,633.2668,597.0672,1
2024-08-01,629.4649,595.9844,602.2966,1
2024-08-02,615.7469,606.636,605.0844,1
2024-08-05,595.0714,620.8244,616.5615,1
2024-08-06,604.2694,625.4993,614.001,1
2024-08-07,601.4666,612.8939,603.3148,1
2024-08-08,617.9182,577.1404,614.6239,1
2024-08-09,621.9448,600.0344,611.9251,1
2024-08-12,619.1912,631.7209,611.7472,0
2024-08-13,637.3701,619.0381,640.9688,0
2024-08-14,628.399,636.9076,666.4341,1
2024-08-15,643.5974,606.7268,676.3887,0
2024-08-16,644.9691,609.3008,689.3685,0
2024-08-19,654.6111,628.7772,691.4642,0
2024-08-20,658.5391,640.0214,698.1666,0
2024-08-21,661.707,636.2972,692.7395,0
2024-08-22,656.5751,602.0178,679.9969,0
2024-08-23,611.7304,607.2877,671.0408,0
2024-08-26,609.0361,638.6139,636.7972,1
2024-08-27,618.1156,632.364,643.1536,1
