date,entry_close,pred_close,actual_close,correct
2024-06-10,8.22,9.4066,7.04,0
2024-06-11,7.87,11.8974,6.8,0
2024-06-12,7.95,11.2391,6.62,0
2024-06-13,7.71,11.4268,6.9,0
2024-06-14,7.7,11.5139,7.23,0
2024-06-17,7.56,10.3905,7.38,0
2024-06-18,7.21,11.5982,7.76,1
2024-06-20,6.8,11.639,7.82,1
2024-06-21,6.76,9.3348,8.12,1
2024-06-24,6.76,13.356,7.83,1
2024-06-25,6.59,11.3151,7.72,1
2024-06-26,6.73,11.8202,8.22,1
2024-06-27,7.1,10.1041,8.01,1
2024-06-28,7.03,13.2633,8.12,1
2024-07-01,6.84,12.8635,7.59,1
2024-07-02,7.14,8.8224,8.06,1
2024-07-03,7.17,11.115,9.71,1
2024-07-05,7.41,11.2798,8.74,1
2024-07-08,7.67,11.2127,8.17,1
2024-07-09,7.93,13.2754,9.2,1
2024-07-10,8.45,8.2784,9.25,0
2024-07-11,8.02,10.416,9.31,1
2024-07-12,8.45,9.7413,9.07,1
2024-07-15,8.95,11.8411,9.55,1
2024-07-16,9.03,11.0148,9.54,1
2024-07-17,8.56,10.8135,9.81,1
2024-07-18,8.21,9.2957,10.66,1
2024-07-19,7.43,10.1502,10.84,1
2024-07-22,8.08,8.7282,10.49,1
2024-07-23,8.3,11.893,12.3,1
2024-07-24,7.62,12.1902,12.5,1
2024-07-25,7.93,12.2098,13.3,1
2024-07-26,8.21,9.866,14.76,1
2024-07-29,7.89,8.6109,15.01,1
2024-07-30,7.8,12.1998,14.74,1
2024-07-31,8.15,14.2552,15.71,1
2024-08-01,7.52,8.4971,16.96,1
2024-08-02,7.08,11.3676,17.81,1
2024-08-05,6.57,9.3124,16.74,1
2024-08-06,7.21,7.9877,16.87,1
2024-08-07,6.8,7.4221,15.03,1
2024-08-08,7.11,12.7226,14.85,1
2024-08-09,7.12,11.5255,14.37,1
2024-08-12,6.72,9.9095,15.35,1
2024-08-13,7.28,10.5586,16.45,1
2024-08-14,7.31,8.841,22.11,1
2024-08-15,7.42,9.4975,24.79,1
2024-08-16,7.28,9.5106,23.52,1
2024-08-19,7.29,9.7048,23.01,1
2024-08-20,7.21,7.738,26.76,1
2024-08-21,7.77,9.769,26.16,1
2024-08-22,7.31,9.8294,29.14,1
2024-08-23,7.38,9.7635,25.23,1
2024-08-26,7.51,9.815,27.89,1
2024-08-27,7.28,8.96,28.86,1
2024-08-28,7.01,9.7814,32.78,1
2024-08-29,7.32,12.8883,31.8,1
2024-08-30,7.42,9.4128,30.88,1
2024-09-03,6.96,13.2805,30.65,1
2024-09-04,7.01,8.4072,32.21,1
2024-09-05,7.04,8.9896,36.5,1
2024-09-06,6.8,8.4853,32.06,1
2024-09-09,6.62,8.7431,32.79,1
2024-09-10,6.9,8.5279,33.42,1
2024-09-11,7.23,9.382,35.95,1
2024-09-12,7.38,9.924,37.97,1
2024-09-13,7.76,11.381,34.24,1
2024-09-16,7.82,9.8819,32.97,1
2024-09-17,8.12,10.3217,29.83,1
2024-09-18,7.83,9.0382,29.99,1
2024-09-19,7.72,8.3985,33.83,1
2024-09-20,8.22,11.5624,41.81,1
2024-09-23,8.01,9.1044,43.84,1
2024-09-24,8.12,8.5677,37.5,1
2024-09-25,7.59,9.5522,37.76,1
2024-09-26,8.06,9.6935,44.42,1
2024-09-27,9.71,8.9774,41.32,0
2024-09-30,8.74,8.0499,44.58,0
2024-10-01,8.17,9.9491,48.24,1
2024-10-02,9.2,8.4604,45.48,0
2024-10-03,9.25,8.6316,44.29,0
2024-10-04,9.31,8.074,41.77,0
2024-10-07,9.07,7.4317,43.1,0
2024-10-08,9.55,7.306,47.77,0
2024-10-09,9.54,7.7593,51.07,0
2024-10-10,9.81,7.9167,49.59,0
2024-10-11,10.66,10.6055,30.25,0
2024-10-14,10.84,10.201,32.33,0
2024-10-15,10.49,7.8313,27.86,0
2024-10-16,12.3,8.2987,29.51,0
2024-10-17,12.5,7.135,39.39,0
2024-10-18,13.3,8.8254,41.55,0
2024-10-21,14.76,7.1631,38.89,0
2024-10-22,15.01,8.0145,45.31,0
2024-10-23,14.74,8.1653,42.04,0
2024-10-24,15.71,8.9372,41.35,0
2024-10-25,16.96,7.3099,40.76,0
2024-10-28,17.81,7.7392,38.54,0
2024-10-29,16.74,8.6537,38.86,0
2024-10-30,16.87,7.3947,39.54,0
2024-10-31,15.03,8.191,38.81,0
2024-11-01,14.85,7.5527,39.49,0
2024-11-04,14.37,9.6632,41.47,0
2024-11-05,15.35,6.7461,41.86,0
2024-11-06,16.45,7.6505,42.32,0
2024-11-07,22.11,7.6564,41.27,0
2024-11-08,24.79,7.406,40.57,0
2024-11-11,23.52,8.2004,41.07,0
2024-11-12,23.01,7.6207,37.7,0
2024-11-13,26.76,7.7382,38.0,0
2024-11-14,26.16,7.986,38.65,0
2024-11-15,29.14,7.7165,37.46,0
2024-11-18,25.23,7.9411,33.94,0
2024-11-19,27.89,7.7503,34.14,0
2024-11-20,28.86,8.3795,33.75,0
2024-11-21,32.78,9.0858,31.74,1
2024-11-22,31.8,8.8654,31.24,1
2024-11-25,30.88,8.8017,29.73,1
2024-11-26,30.65,9.2376,29.93,1
2024-11-27,32.21,8.753,24.91,1
2024-11-29,36.5,8.9303,24.57,1
2024-12-02,32.06,10.5889,23.11,1
2024-12-03,32.79,10.1927,22.35,1
2024-12-04,33.42,8.6004,22.63,1
2024-12-05,35.95,8.6643,20.48,1
2024-12-06,37.97,9.2797,20.55,1
2024-12-09,34.24,9.8198,18.27,1
2024-12-10,32.97,9.8025,18.7,1
2024-12-11,29.83,9.6746,21.82,1
