date,entry_close,pred_close,actual_close,correct
2024-06-10,418.38,374.7721,476.69,0
2024-06-11,418.78,325.5175,471.82,0
2024-06-12,428.1,368.6643,479.39,0
2024-06-13,422.9,345.3435,484.24,0
2024-06-14,425.78,342.6201,490.93,0
2024-06-17,430.0,358.6638,494.01,0
2024-06-18,435.0,329.104,489.86,0
2024-06-20,432.55,363.5529,491.39,0
2024-06-21,432.56,363.6261,483.32,0
2024-06-24,429.04,378.8309,482.09,0
2024-06-25,442.31,370.5268,490.01,0
2024-06-26,442.56,371.4296,486.2,0
2024-06-27,445.11,368.5362,489.07,0
2024-06-28,444.85,339.325,484.4,0
2024-07-01,436.24,347.6597,484.39,0
2024-07-02,438.81,379.6354,486.33,0
2024-07-03,434.81,385.6042,479.18,0
2024-07-05,443.76,361.7838,491.27,0
2024-07-08,444.53,337.8076,484.76,0
2024-07-09,442.3,324.253,486.62,0
2024-07-10,444.74,301.193,479.63,0
2024-07-11,443.5,355.7489,481.95,0
2024-07-12,444.16,344.4286,471.23,0
2024-07-15,437.25,365.6034,480.79,0
2024-07-16,438.01,356.3057,490.38,0
2024-07-17,426.23,336.5251,483.84,0
2024-07-18,416.14,387.9358,484.78,0
2024-07-19,455.01,359.2626,487.61,0
2024-07-22,461.12,373.3387,478.47,0
2024-07-23,455.06,371.873,476.59,0
2024-07-24,454.02,379.3419,473.73,0
2024-07-25,436.74,329.0721,521.15,0
2024-07-26,441.3,365.3914,518.86,0
2024-07-29,443.66,367.1339,517.5,0
2024-07-30,432.69,372.6737,512.58,0
2024-07-31,444.61,401.3277,511.63,0
2024-08-01,450.94,355.2864,511.27,0
2024-08-02,449.73,359.7704,510.88,0
2024-08-05,438.0,365.8133,516.31,0
2024-08-06,447.66,364.8434,513.77,0
2024-08-07,449.26,381.2737,503.84,0
2024-08-08,463.61,377.3513,506.34,0
2024-08-09,463.43,328.3841,507.42,0
2024-08-12,465.53,388.8967,515.17,0
2024-08-13,469.23,382.062,515.55,0
2024-08-14,471.21,354.8408,524.28,0
2024-08-15,480.17,379.5055,536.45,0
2024-08-16,478.98,386.9466,535.75,0
2024-08-19,482.16,399.3615,537.07,0
2024-08-20,483.21,388.7107,536.69,0
2024-08-21,487.42,327.2369,537.8,0
2024-08-22,490.43,409.9451,527.61,0
2024-08-23,486.55,377.3082,531.64,0
2024-08-26,479.19,344.2825,538.82,0
2024-08-27,482.35,411.6541,541.82,0
2024-08-28,482.21,366.2438,550.62,0
2024-08-29,487.17,383.7776,547.87,0
2024-08-30,492.63,382.4463,536.55,0
2024-09-03,483.44,364.1275,542.1,0
2024-09-04,481.73,409.7518,538.55,0
2024-09-05,476.69,391.9525,542.0,0
2024-09-06,471.82,430.0197,542.85,0
2024-09-09,479.39,404.8356,541.71,0
2024-09-10,484.24,405.7961,549.95,0
2024-09-11,490.93,388.6085,547.65,0
2024-09-12,494.01,411.0329,550.41,0
2024-09-13,489.86,378.1374,538.86,0
2024-09-16,491.39,380.5332,538.09,0
2024-09-17,483.32,401.2021,543.6,0
2024-09-18,482.09,401.6617,544.72,0
2024-09-19,490.01,416.382,539.58,0
2024-09-20,486.2,380.4955,541.99,0
2024-09-23,489.07,413.0859,545.16,0
2024-09-24,484.4,408.6505,526.47,0
2024-09-25,484.39,412.3942,523.91,0
2024-09-26,486.33,432.9118,524.43,0
2024-09-27,479.18,450.4824,527.22,0
2024-09-30,491.27,415.9599,537.02,0
2024-10-01,484.76,405.0631,538.83,0
2024-10-02,486.62,419.0536,534.88,0
2024-10-03,479.63,403.7703,526.96,0
2024-10-04,481.95,419.264,521.96,0
2024-10-07,471.23,428.9934,524.03,0
2024-10-08,480.79,433.4964,535.29,0
2024-10-09,490.38,362.1967,542.37,0
2024-10-10,483.84,421.0754,531.88,0
2024-10-11,484.78,403.1973,544.02,0
2024-10-14,487.61,388.9382,547.47,0
2024-10-15,478.47,435.6011,539.75,0
2024-10-16,476.59,404.1361,538.88,0
2024-10-17,473.73,394.8855,580.11,0
2024-10-18,521.15,391.7104,584.08,0
2024-10-21,518.86,432.3484,592.64,0
2024-10-22,517.5,423.0685,604.12,0
2024-10-23,512.58,436.5936,610.45,0
2024-10-24,511.63,404.1121,608.66,0
2024-10-25,511.27,391.8132,584.05,0
2024-10-28,510.88,430.575,573.48,0
2024-10-29,516.31,439.2578,574.14,0
2024-10-30,513.77,418.8619,572.71,0
2024-10-31,503.84,425.078,580.18,0
2024-11-01,506.34,428.7636,571.88,0
2024-11-04,507.42,425.2714,578.55,0
2024-11-05,515.17,458.6613,579.65,0
2024-11-06,515.55,435.7505,590.9,0
2024-11-07,524.28,454.0397,588.5,0
2024-11-08,536.45,472.6815,582.98,0
2024-11-11,535.75,428.44,595.7,0
2024-11-12,537.07,436.9285,591.65,0
2024-11-13,536.69,446.1653,589.61,0
2024-11-14,537.8,479.3503,591.39,0
2024-11-15,527.61,462.9447,595.55,0
2024-11-18,531.64,435.5884,600.89,0
2024-11-19,538.82,466.9532,608.48,0
2024-11-20,541.82,461.4211,606.57,0
2024-11-21,550.62,440.6021,591.79,0
2024-11-22,547.87,438.2115,591.01,0
2024-11-25,536.55,451.0073,573.74,0
2024-11-26,542.1,452.691,580.93,0
2024-11-27,538.55,455.6705,563.77,0
2024-11-29,542.0,475.8579,573.15,0
2024-12-02,542.85,436.7211,566.98,0
2024-12-03,541.71,477.7043,557.96,0
2024-12-04,549.95,450.1201,568.02,0
2024-12-05,547.65,441.7847,538.57,1
2024-12-06,550.41,424.5329,518.26,1
2024-12-09,538.86,446.4478,482.61,1
2024-12-10,538.09,464.8657,493.72,1
2024-12-11,543.6,470.6336,497.3,1
2024-12-12,544.72,477.4479,476.78,1
2024-12-13,539.58,472.0279,484.44,1
2024-12-16,541.99,443.7926,488.8,1
2024-12-17,545.16,445.7267,483.95,1
2024-12-18,526.47,428.953,492.06,1
2024-12-19,523.91,466.5768,491.81,1
2024-12-20,524.43,474.2177,492.49,1
2024-12-23,527.22,443.2964,508.58,1
2024-12-24,537.02,448.6642,519.81,1
2024-12-26,538.83,469.6777,509.03,1
2024-12-27,534.88,472.0941,507.9,1
2024-12-30,526.96,465.6308,491.84,1
2024-12-31,521.96,495.8598,495.27,1
2025-01-02,524.03,475.942,496.36,1
2025-01-03,535.29,470.6598,507.05,1
2025-01-06,542.37,446.4325,494.61,1
2025-01-07,531.88,447.3447,451.58,1
2025-01-08,544.02,444.4068,463.62,1
2025-01-10,547.47,449.5369,457.63,1
2025-01-13,539.75,458.0943,522.95,1
2025-01-14,538.88,494.0042,489.52,1
2025-01-15,580.11,395.6413,493.6,1
2025-01-16,584.08,403.0584,490.13,1
2025-01-17,592.64,462.9476,488.27,1
2025-01-21,604.12,416.9933,481.34,1
2025-01-22,610.45,455.5497,482.74,1
2025-01-23,608.66,516.7866,468.32,1
2025-01-24,584.05,471.9264,478.74,1
2025-01-27,573.48,432.338,487.93,1
2025-01-28,574.14,439.1285,508.13,1
2025-01-29,572.71,430.3747,514.59,1
2025-01-30,580.18,454.8414,514.01,1
2025-01-31,571.88,484.4898,514.89,1
2025-02-03,578.55,437.1964,515.8,1
2025-02-04,579.65,516.0677,517.18,1
2025-02-05,590.9,490.0214,529.42,1
2025-02-06,588.5,484.3025,531.82,1
2025-02-07,582.98,481.063,530.46,1
2025-02-10,595.7,433.8892,536.15,1
2025-02-11,591.65,470.4713,538.16,1
2025-02-12,589.61,495.9318,536.51,1
2025-02-13,591.39,415.9425,561.43,1
2025-02-14,595.55,491.2824,563.95,1
2025-02-18,600.89,498.2222,565.94,1
2025-02-19,608.48,474.1812,560.28,1
2025-02-20,606.57,482.6083,563.6,1
2025-02-21,591.79,471.8427,561.63,1
2025-02-24,591.01,481.4393,557.16,1
2025-02-25,573.74,472.6029,547.07,1
2025-02-26,580.93,476.0144,542.67,1
2025-02-27,563.77,443.2099,539.54,1
2025-02-28,573.15,508.2948,550.19,1
2025-03-03,566.98,460.7663,552.41,1
2025-03-04,557.96,466.0557,555.75,1
2025-03-05,568.02,522.3259,552.34,1
2025-03-06,538.57,499.2198,553.29,0
2025-03-07,518.26,518.1218,551.85,0
2025-03-10,482.61,518.968,557.95,1
2025-03-11,493.72,478.5049,558.06,0
2025-03-12,497.3,477.381,557.08,0
2025-03-13,476.78,497.5442,526.15,1
2025-03-14,484.44,497.1102,529.6,1
2025-03-17,488.8,520.958,522.41,1
2025-03-18,483.95,514.8259,513.0,1
2025-03-19,492.06,490.6634,512.18,0
2025-03-20,491.81,515.3986,519.04,1
2025-03-21,492.49,493.7291,512.11,1
2025-03-24,508.58,530.6755,509.49,1
2025-03-25,519.81,488.0123,509.36,1
2025-03-26,509.03,472.1717,515.09,0
2025-03-27,507.9,473.1094,523.08,0
2025-03-28,491.84,500.9274,521.63,1
2025-03-31,495.27,514.9775,534.19,1
2025-04-01,496.36,529.6007,533.71,1
2025-04-02,507.05,497.0597,543.41,0
2025-04-03,494.61,520.7792,537.99,1
2025-04-04,451.58,509.8757,540.6,1
2025-04-07,463.62,532.9656,544.47,1
2025-04-08,457.63,522.1448,534.71,1
2025-04-09,522.95,439.3631,527.3,0
2025-04-10,489.52,493.9637,528.13,1
2025-04-11,493.6,515.6669,526.05,1
2025-04-14,490.13,505.1887,512.06,1
2025-04-15,488.27,484.5361,516.44,0
2025-04-16,481.34,499.0877,512.23,1
2025-04-17,482.74,509.6658,512.64,1
2025-04-21,468.32,521.2495,516.16,1
2025-04-22,478.74,511.8524,518.62,1
2025-04-23,487.93,514.3954,516.12,1
2025-04-24,508.13,535.2928,511.0,1
2025-04-25,514.59,469.2516,501.95,1
2025-04-28,514.01,512.4188,488.61,1
2025-04-29,514.89,498.4909,495.86,1
2025-04-30,515.8,506.7176,493.95,1
2025-05-01,517.18,487.9875,496.87,1
2025-05-02,529.42,521.6433,500.51,1
2025-05-05,531.82,481.9845,481.09,1
2025-05-06,530.46,534.847,483.12,0
2025-05-07,536.15,502.6915,483.36,1
2025-05-08,538.16,557.1398,477.0,0
2025-05-09,536.51,493.8069,474.06,1
2025-05-12,561.43,495.959,469.81,1
2025-05-13,563.95,504.7382,470.08,1
2025-05-14,565.94,509.7117,471.85,1
2025-05-15,560.28,510.0314,478.19,1
2025-05-16,563.6,490.6225,482.35,1
2025-05-19,561.63,524.8074,477.08,1
2025-05-20,557.16,539.3184,480.26,1
2025-05-21,547.07,521.3118,481.28,1
2025-05-22,542.67,545.5212,479.2,0
2025-05-23,539.54,562.6449,480.45,0
2025-05-27,550.19,518.7791,469.88,1
2025-05-28,552.41,472.532,476.16,1
2025-05-29,555.75,527.7214,468.44,1
2025-05-30,552.34,543.5413,474.26,1
2025-06-02,553.29,500.0652,471.15,1
2025-06-03,551.85,548.2571,473.84,1
2025-06-04,557.95,501.8138,473.3,1
2025-06-05,558.06,497.9526,469.07,1
2025-06-06,557.08,522.915,441.18,1
2025-06-09,526.15,484.8128,454.52,1
2025-06-10,529.6,522.751,466.86,1
2025-06-11,522.41,540.0808,470.0,0
2025-06-12,513.0,535.9846,467.54,0
2025-06-13,512.18,506.6917,449.98,1
2025-06-16,519.04,482.8199,455.85,1
2025-06-17,512.11,540.2814,449.68,0
2025-06-18,509.49,525.9056,433.99,0
2025-06-20,509.36,503.8743,434.5,1
2025-06-23,515.09,506.2106,433.66,1
2025-06-24,523.08,502.6745,435.83,1
2025-06-25,521.63,549.0813,438.72,0
2025-06-26,534.19,522.3756,444.55,1
2025-06-27,533.71,582.4332,447.75,0
2025-06-30,543.41,519.6593,443.99,1
2025-07-01,537.99,540.5729,438.12,0
2025-07-02,540.6,553.283,441.12,0
2025-07-03,544.47,497.0289,439.22,1
2025-07-07,534.71,508.5491,447.23,1
2025-07-08,527.3,518.0044,438.04,1
2025-07-09,528.13,532.898,443.01,0
2025-07-10,526.05,524.4846,452.35,1
2025-07-11,512.06,522.7496,449.69,0
2025-07-14,516.44,536.6849,440.94,0
2025-07-15,512.23,511.1634,448.09,1
2025-07-16,512.64,530.45,443.76,0
2025-07-17,516.16,549.3369,429.59,0
2025-07-18,518.62,512.3027,435.73,1
2025-07-21,516.12,527.4786,436.39,0
2025-07-22,511.0,534.5036,435.61,0
2025-07-23,501.95,526.4894,434.62,0
2025-07-24,488.61,546.5151,446.13,0
2025-07-25,495.86,520.5017,458.47,0
2025-07-28,493.95,538.0467,462.74,0
2025-07-29,496.87,536.0584,527.03,1
2025-07-30,500.51,509.2378,551.3,1
2025-07-31,481.09,529.1629,546.51,1
2025-08-01,483.12,549.1904,551.25,1
2025-08-04,483.36,528.0693,545.39,1
2025-08-05,477.0,511.2973,537.59,1
2025-08-06,474.06,504.1568,530.02,1
2025-08-07,469.81,516.0114,534.28,1
2025-08-08,470.08,522.415,544.21,1
2025-08-11,471.85,505.2385,538.82,1
2025-08-12,478.19,524.6819,548.55,1
2025-08-13,482.35,528.0784,547.78,1
2025-08-14,477.08,524.3926,560.0,1
2025-08-15,480.26,527.0091,576.2,1
2025-08-18,481.28,512.9258,572.17,1
2025-08-19,479.2,536.9648,572.45,1
2025-08-20,480.45,551.295,565.51,1
2025-08-21,469.88,521.1092,549.51,1
2025-08-22,476.16,519.1599,546.71,1
2025-08-25,468.44,554.2949,546.77,1
2025-08-26,474.26,521.4268,564.64,1
2025-08-27,471.15,526.7333,552.23,1
2025-08-28,473.84,540.4658,561.61,1
2025-08-29,473.3,495.6551,568.48,1
2025-09-02,469.07,524.6268,578.87,1
2025-09-03,441.18,545.0326,574.23,1
2025-09-04,454.52,569.3667,573.48,1
2025-09-05,466.86,534.3759,567.37,1
2025-09-08,470.0,491.1271,567.72,1
2025-09-09,467.54,539.3792,569.71,1
2025-09-10,449.98,530.6917,568.63,1
2025-09-11,455.85,520.5593,575.34,1
2025-09-12,449.68,516.0628,566.89,1
2025-09-15,433.99,518.8145,558.13,1
2025-09-16,434.5,544.0477,555.92,1
2025-09-17,433.66,515.1303,547.36,1
2025-09-18,435.83,504.1814,542.32,1
2025-09-19,438.72,496.3844,559.52,1
2025-09-22,444.55,539.5464,554.58,1
2025-09-23,447.75,527.8508,556.86,1
2025-09-24,443.99,503.2914,561.89,1
2025-09-25,438.12,504.0577,572.47,1
