date,entry_close,pred_close,actual_close,correct
2024-06-10,5.59,5.5203,5.39,1
2024-06-11,5.47,5.5459,5.3,0
2024-06-12,5.73,5.8167,5.68,0
2024-06-13,5.52,5.7496,5.77,1
2024-06-14,5.45,5.9894,5.65,1
2024-06-17,5.56,5.8875,5.92,1
2024-06-18,5.66,5.5315,5.94,0
2024-06-20,5.68,6.2512,5.79,1
2024-06-21,5.74,4.6814,5.75,0
2024-06-24,5.9,5.4036,5.72,1
2024-06-25,5.68,5.7715,5.69,1
2024-06-26,5.74,5.4271,5.72,1
2024-06-27,5.9,5.7501,5.73,1
2024-06-28,6.09,6.0069,6.0,1
2024-07-01,5.8,5.3442,5.98,0
2024-07-02,5.84,5.515,6.43,0
2024-07-03,5.96,5.555,6.42,0
2024-07-05,5.84,5.8259,6.56,0
2024-07-08,5.87,5.5715,6.76,0
2024-07-09,5.7,4.6641,6.57,0
2024-07-10,5.72,5.5526,6.39,0
2024-07-11,5.9,5.2677,7.3,0
2024-07-12,6.1,5.3005,7.23,0
2024-07-15,6.23,5.6363,7.07,0
2024-07-16,6.54,5.5818,6.96,0
2024-07-17,6.3,5.2344,6.8,0
2024-07-18,6.02,5.964,6.72,0
2024-07-19,5.98,5.6262,6.84,0
2024-07-22,6.07,5.1404,6.93,0
2024-07-23,5.92,5.6654,7.12,0
2024-07-24,5.68,5.7797,7.41,1
2024-07-25,6.03,6.2093,8.05,1
2024-07-26,6.21,5.7958,7.56,0
2024-07-29,5.93,5.0861,7.37,0
2024-07-30,6.66,5.8865,7.18,0
2024-07-31,6.41,5.1139,6.99,0
2024-08-01,5.92,5.7521,7.18,0
2024-08-02,5.56,4.9089,7.32,0
2024-08-05,5.35,5.2946,6.07,0
2024-08-06,5.59,5.6602,5.63,1
2024-08-07,5.87,5.5775,5.7,1
2024-08-08,6.05,5.6323,5.77,1
2024-08-09,6.05,5.3165,5.71,1
2024-08-12,4.8,6.0958,5.9,1
2024-08-13,4.57,6.4258,6.16,1
2024-08-14,4.61,5.5649,6.05,1
2024-08-15,4.68,5.159,6.34,1
2024-08-16,4.74,5.9622,6.37,1
2024-08-19,4.8,5.12,6.32,1
