date,entry_close,pred_close,actual_close,correct
2024-06-10,139.8135,149.3617,157.9754,1
2024-06-11,139.4619,147.0557,157.3914,1
2024-06-12,138.1791,140.6992,159.5265,1
2024-06-13,138.2171,146.3893,160.2638,1
2024-06-14,138.3026,145.3418,157.8127,1
2024-06-17,138.6922,145.765,157.6403,1
2024-06-18,138.4071,144.8587,158.4829,1
2024-06-20,140.4312,143.6646,159.8904,1
2024-06-21,141.353,145.796,159.967,1
2024-06-24,141.7045,149.9787,159.0861,1
2024-06-25,139.8706,142.196,157.8127,1
2024-06-26,139.519,139.802,157.1807,1
2024-06-27,138.5497,146.472,156.2807,1
2024-06-28,138.8918,148.752,155.8594,1
2024-07-01,139.1579,137.8715,153.7721,0
2024-07-02,138.7682,144.01,154.5285,1
2024-07-03,138.4451,145.3746,154.5381,1
2024-07-05,139.1959,146.5715,155.17,1
2024-07-08,138.2456,143.373,155.103,1
2024-07-09,139.7375,140.4749,154.3178,1
2024-07-10,141.9991,140.1179,153.6763,0
2024-07-11,142.2557,138.9791,153.4752,0
2024-07-12,142.4268,142.6237,152.7475,1
2024-07-15,141.8186,139.8807,152.9008,0
2024-07-16,143.5006,144.4942,153.8199,1
2024-07-17,148.7936,146.6058,153.6859,0
2024-07-18,147.6913,141.7572,154.5955,0
2024-07-19,146.9976,143.238,154.7295,0
2024-07-22,146.57,138.4288,157.1233,0
2024-07-23,144.774,149.8455,157.2956,1
2024-07-24,148.5085,143.6838,157.4775,0
2024-07-25,151.7014,141.2796,158.0999,0
2024-07-26,152.6517,141.9708,155.9072,0
2024-07-29,150.6751,142.2379,156.5009,0
2024-07-30,153.3074,144.3936,158.8084,0
2024-07-31,150.0005,146.8437,156.7115,0
2024-08-01,152.7657,139.8199,154.0402,0
2024-08-02,155.9777,143.2715,154.7295,1
2024-08-05,153.2314,142.7137,153.2837,0
2024-08-06,151.0648,149.797,153.7816,0
2024-08-07,150.9982,143.5187,153.0635,0
2024-08-08,152.2526,140.7495,153.3221,0
2024-08-09,152.6327,142.8035,151.5124,1
2024-08-12,151.9295,140.958,151.6177,1
2024-08-13,150.5136,139.948,151.1677,0
2024-08-14,150.5991,142.7461,150.0666,1
2024-08-15,151.1788,141.0343,148.8602,1
2024-08-16,151.4639,148.5098,148.4484,1
2024-08-19,151.6919,145.5616,146.1505,1
2024-08-20,152.1956,143.6562,146.725,1
2024-08-21,153.4024,139.6115,145.4132,1
2024-08-22,154.2767,143.1945,147.4527,1
2024-08-23,155.9682,140.9792,148.1899,1
2024-08-26,156.4243,146.4924,146.4952,1
2024-08-27,156.0221,145.0728,146.6005,1
2024-08-28,156.9509,152.4923,148.8889,1
2024-08-29,157.2477,145.6294,148.5729,1
2024-08-30,158.8084,142.8176,149.157,1
2024-09-03,160.0532,139.6069,149.1377,1
2024-09-04,160.2447,148.4239,149.987,1
2024-09-05,157.9754,140.5044,149.6106,1
2024-09-06,157.3914,145.5321,149.4079,1
2024-09-09,159.5265,144.0443,147.0529,1
2024-09-10,160.2638,142.944,145.2287,1
2024-09-11,157.8127,147.8528,144.3119,1
2024-09-12,157.6403,144.167,144.1092,1
2024-09-13,158.4829,141.0094,144.3891,1
2024-09-16,159.8904,144.8168,144.0319,1
2024-09-17,159.967,142.7831,141.5322,1
2024-09-18,159.0861,150.1121,141.1461,1
2024-09-19,157.8127,144.5155,141.5129,1
2024-09-20,157.1807,144.2242,138.8393,1
2024-09-23,156.2807,150.0188,141.3102,1
2024-09-24,155.8594,148.5931,139.708,1
2024-09-25,153.7721,141.7818,138.5788,1
2024-09-26,154.5285,140.2288,139.4378,1
2024-09-27,154.5381,147.5388,140.2099,1
2024-09-30,155.17,150.2766,140.7697,1
2024-10-01,155.103,144.6055,140.5091,1
2024-10-02,154.3178,148.2773,139.9975,1
2024-10-03,153.6763,145.6355,138.3471,1
2024-10-04,153.4752,143.2668,139.5825,1
2024-10-07,152.7475,139.2229,139.0034,1
2024-10-08,152.9008,143.2379,139.1675,1
2024-10-09,153.8199,145.8056,138.656,1
2024-10-10,153.6859,142.8354,141.1364,1
2024-10-11,154.5955,138.3337,137.3144,1
2024-10-14,154.7295,141.4676,137.1117,1
2024-10-15,157.1233,145.0475,139.4378,1
2024-10-16,157.2956,149.9758,139.708,1
2024-10-17,157.4775,155.1954,139.9203,1
2024-10-18,158.0999,142.5808,142.6228,1
2024-10-21,155.9072,151.478,141.9086,1
2024-10-22,156.5009,149.0788,142.9896,1
2024-10-23,158.8084,141.4975,140.2099,1
2024-10-24,156.7115,147.2846,141.5322,1
2024-10-25,154.0402,145.2329,141.7059,1
2024-10-28,154.7295,148.3587,147.5645,1
2024-10-29,153.2837,147.903,145.1419,1
2024-10-30,153.7816,148.7366,145.8851,1
2024-10-31,153.0635,153.8347,147.5452,0
2024-11-01,153.3221,147.0669,146.8503,1
2024-11-04,151.5124,148.7487,146.58,1
2024-11-05,151.6177,147.598,148.1436,1
2024-11-06,151.1677,149.8974,149.3018,1
