date,entry_close,pred_close,actual_close,correct
2024-06-10,5.09,5.9442,4.83,0
2024-06-11,5.09,6.4126,4.77,0
2024-06-12,5.14,5.5181,4.99,0
2024-06-13,5.0,5.5739,5.15,1
2024-06-14,4.88,5.4425,5.32,1
2024-06-17,4.92,5.534,5.35,1
2024-06-18,5.0,5.7339,5.43,1
2024-06-20,4.8,6.6886,5.32,1
2024-06-21,5.19,5.2561,5.26,1
2024-06-24,5.11,5.6073,5.2,1
2024-06-25,4.84,6.4735,5.18,1
2024-06-26,5.0,5.0753,5.16,1
2024-06-27,5.1,5.8528,5.12,1
2024-06-28,5.1,5.9218,5.15,1
2024-07-01,4.87,6.0716,5.05,1
2024-07-02,4.96,5.0486,5.11,1
2024-07-03,5.15,5.2148,5.22,1
2024-07-05,5.16,5.9861,5.03,0
2024-07-08,5.21,5.0407,4.8,1
2024-07-09,5.11,5.661,6.14,1
2024-07-10,5.19,5.3286,5.61,1
2024-07-11,6.21,5.8365,5.95,1
2024-07-12,6.61,5.0271,5.98,1
2024-07-15,6.95,5.881,5.67,1
2024-07-16,7.46,5.0137,5.66,1
2024-07-17,7.06,5.3754,5.49,1
2024-07-18,6.97,5.8775,5.69,1
2024-07-19,6.53,4.8421,5.54,1
2024-07-22,6.47,5.0398,5.42,1
2024-07-23,6.68,5.0436,5.55,1
2024-07-24,6.18,4.8431,5.51,1
2024-07-25,6.18,4.3943,5.61,1
2024-07-26,6.3,5.1884,5.49,1
2024-07-29,6.21,4.6013,6.18,1
2024-07-30,6.09,4.8282,6.24,0
2024-07-31,5.98,5.0035,6.04,0
2024-08-01,5.43,4.6162,5.16,1
2024-08-02,5.05,5.0295,5.27,0
2024-08-05,5.08,5.3544,5.01,0
2024-08-06,5.14,4.5364,4.99,1
2024-08-07,4.91,5.1911,4.8,0
2024-08-08,5.2,5.1854,4.87,1
2024-08-09,5.02,5.7421,5.04,1
2024-08-12,5.01,4.7885,5.1,0
2024-08-13,5.07,4.9595,5.07,1
2024-08-14,4.96,5.4339,5.1,1
2024-08-15,5.21,5.2989,5.21,0
2024-08-16,5.15,5.4021,6.27,1
2024-08-19,5.18,5.329,6.32,1
2024-08-20,5.05,5.6968,5.9,1
2024-08-21,5.24,5.7082,5.91,1
2024-08-22,4.98,5.5557,5.73,1
2024-08-23,5.11,5.1013,5.61,0
2024-08-26,5.21,5.7385,6.33,1
2024-08-27,5.06,5.6426,6.2,1
2024-08-28,4.94,4.6847,6.8,0
2024-08-29,5.14,5.575,7.09,1
2024-08-30,5.0,5.3856,8.2,1
2024-09-03,4.92,5.1781,7.9,1
2024-09-04,4.88,5.9629,8.0,1
2024-09-05,4.83,5.0208,8.95,1
2024-09-06,4.77,5.2523,8.11,1
2024-09-09,4.99,5.1839,7.85,1
2024-09-10,5.15,5.9477,8.11,1
2024-09-11,5.32,5.0906,8.09,0
2024-09-12,5.35,5.6346,8.84,1
2024-09-13,5.43,5.0224,8.53,0
2024-09-16,5.32,5.3733,8.54,1
2024-09-17,5.26,5.4164,7.94,1
2024-09-18,5.2,5.731,7.63,1
2024-09-19,5.18,5.5184,7.78,1
2024-09-20,5.16,5.5403,7.98,1
2024-09-23,5.12,5.826,8.24,1
2024-09-24,5.15,5.1688,7.94,1
2024-09-25,5.05,5.4997,7.23,1
2024-09-26,5.11,5.4905,7.69,1
2024-09-27,5.22,5.4542,7.62,1
2024-09-30,5.03,5.7444,8.26,1
2024-10-01,4.8,5.3477,9.16,1
2024-10-02,6.14,5.1201,8.93,0
2024-10-03,5.61,5.2523,8.39,0
2024-10-04,5.95,5.116,8.13,0
2024-10-07,5.98,5.1627,8.09,0
2024-10-08,5.67,4.5597,9.77,0
2024-10-09,5.66,5.1243,9.83,0
2024-10-10,5.49,4.7349,10.27,0
2024-10-11,5.69,5.0347,9.49,0
2024-10-14,5.54,5.2935,8.74,0
2024-10-15,5.42,5.4985,7.96,1
2024-10-16,5.55,5.3792,7.86,0
2024-10-17,5.51,5.8324,8.1,1
2024-10-18,5.61,4.9678,8.37,0
2024-10-21,5.49,5.3935,8.17,0
2024-10-22,6.18,5.7744,9.06,0
2024-10-23,6.24,4.8639,8.77,0
2024-10-24,6.04,5.8168,8.67,0
2024-10-25,5.16,5.5545,8.76,1
2024-10-28,5.27,4.9432,8.23,0
2024-10-29,5.01,5.1035,8.37,1
2024-10-30,4.99,5.4965,8.33,1
2024-10-31,4.8,5.3895,8.23,1
2024-11-01,4.87,5.7706,8.26,1
2024-11-04,5.04,5.1815,8.06,1
2024-11-05,5.1,5.9047,8.02,1
2024-11-06,5.07,5.4923,8.05,1
2024-11-07,5.1,5.9504,7.86,1
2024-11-08,5.21,5.1353,7.78,0
2024-11-11,6.27,5.1711,7.83,0
2024-11-12,6.32,5.0031,7.36,0
2024-11-13,5.9,5.6505,7.33,0
2024-11-14,5.91,5.1843,7.58,0
2024-11-15,5.73,5.0383,7.83,0
2024-11-18,5.61,5.7798,7.94,1
2024-11-19,6.33,5.4988,7.59,0
2024-11-20,6.2,5.3904,7.47,0
2024-11-21,6.8,5.8924,6.98,0
2024-11-22,7.09,5.616,6.76,1
2024-11-25,8.2,5.5443,6.5,1
2024-11-26,7.9,5.4255,6.7,1
2024-11-27,8.0,5.5998,6.75,1
2024-11-29,8.95,5.1322,7.0,1
2024-12-02,8.11,5.3413,6.46,1
2024-12-03,7.85,5.3021,6.6,1
2024-12-04,8.11,5.1822,6.79,1
2024-12-05,8.09,5.5009,6.64,1
2024-12-06,8.84,4.9872,6.62,1
2024-12-09,8.53,4.7744,6.15,1
2024-12-10,8.54,6.0169,6.03,1
2024-12-11,7.94,5.6497,6.31,1
2024-12-12,7.63,5.1233,5.99,1
2024-12-13,7.78,4.8471,6.24,1
2024-12-16,7.98,4.866,6.43,1
2024-12-17,8.24,5.1797,6.17,1
2024-12-18,7.94,4.7549,6.49,1
2024-12-19,7.23,4.7364,6.33,1
2024-12-20,7.69,5.3111,6.64,1
2024-12-23,7.62,4.6935,6.77,1
2024-12-24,8.26,5.2472,6.66,1
2024-12-26,9.16,5.5958,6.57,1
2024-12-27,8.93,4.9654,6.43,1
2024-12-30,8.39,4.7666,6.11,1
2024-12-31,8.13,4.766,6.02,1
2025-01-02,8.09,5.3155,5.93,1
2025-01-03,9.77,4.851,6.04,1
2025-01-06,9.83,4.6541,5.66,1
2025-01-07,10.27,4.5176,5.36,1
2025-01-08,9.49,5.31,5.58,1
2025-01-10,8.74,4.8155,5.33,1
2025-01-13,7.96,4.0424,6.26,1
2025-01-14,7.86,5.6466,6.02,1
2025-01-15,8.1,4.981,5.93,1
2025-01-16,8.37,4.9587,6.02,1
2025-01-17,8.17,6.8369,5.87,1
2025-01-21,9.06,6.4328,5.79,1
2025-01-22,8.77,5.4371,5.89,1
2025-01-23,8.67,4.9438,5.81,1
2025-01-24,8.76,4.3074,5.89,1
2025-01-27,8.23,5.4891,6.16,1
2025-01-28,8.37,5.4334,6.48,1
2025-01-29,8.33,6.2413,6.5,1
2025-01-30,8.23,5.6897,6.45,1
2025-01-31,8.26,4.644,6.56,1
2025-02-03,8.06,4.6593,6.3,1
2025-02-04,8.02,5.5892,6.31,1
2025-02-05,8.05,5.9556,6.71,1
2025-02-06,7.86,5.3264,6.48,1
2025-02-07,7.78,5.67,6.36,1
2025-02-10,7.83,5.7378,6.42,1
2025-02-11,7.36,5.2006,6.65,1
2025-02-12,7.33,7.1626,6.78,1
2025-02-13,7.58,5.3711,7.01,1
2025-02-14,7.83,5.8891,7.19,1
2025-02-18,7.94,4.7766,7.17,1
2025-02-19,7.59,6.3907,7.16,1
2025-02-20,7.47,6.3831,7.39,1
2025-02-21,6.98,6.9042,7.03,0
2025-02-24,6.76,8.1595,6.97,1
2025-02-25,6.5,5.6065,6.63,0
2025-02-26,6.7,4.9361,6.64,1
2025-02-27,6.75,6.3767,6.63,1
2025-02-28,7.0,5.4874,6.88,1
2025-03-03,6.46,6.182,8.86,0
2025-03-04,6.6,5.7816,8.52,0
2025-03-05,6.79,5.3986,7.82,0
2025-03-06,6.64,6.273,7.5,0
2025-03-07,6.62,6.4077,8.03,0
2025-03-10,6.15,6.6737,7.87,1
2025-03-11,6.03,7.0872,7.56,1
2025-03-12,6.31,6.1662,8.12,0
2025-03-13,5.99,6.2824,9.23,1
2025-03-14,6.24,5.7676,9.44,0
2025-03-17,6.43,6.7871,9.63,1
2025-03-18,6.17,6.1342,8.87,0
2025-03-19,6.49,6.6548,8.6,1
2025-03-20,6.33,6.4988,9.0,1
2025-03-21,6.64,6.8502,8.65,1
2025-03-24,6.77,6.6186,8.84,0
2025-03-25,6.66,6.8868,8.54,1
2025-03-26,6.57,5.7594,8.51,0
2025-03-27,6.43,7.6457,8.83,1
2025-03-28,6.11,6.9065,8.52,1
2025-03-31,6.02,6.9299,9.48,1
2025-04-01,5.93,6.0851,9.44,1
2025-04-02,6.04,6.882,10.55,1
2025-04-03,5.66,6.7263,9.81,1
2025-04-04,5.36,7.7532,10.16,1
2025-04-07,5.58,7.2963,10.55,1
2025-04-08,5.33,6.1472,10.66,1
2025-04-09,6.26,7.4299,11.39,1
2025-04-10,6.02,8.3763,11.56,1
2025-04-11,5.93,5.3454,12.33,0
2025-04-14,6.02,5.1411,12.04,0
2025-04-15,5.87,7.8833,12.63,1
2025-04-16,5.79,6.7357,13.95,1
2025-04-17,5.89,5.3237,16.33,0
2025-04-21,5.81,6.6924,17.72,1
2025-04-22,5.89,6.1521,17.78,1
2025-04-23,6.16,7.2148,16.84,1
2025-04-24,6.48,6.3108,16.61,0
2025-04-25,6.5,6.038,17.59,0
2025-04-28,6.45,7.3905,17.51,1
2025-04-29,6.56,8.0233,18.1,1
2025-04-30,6.3,6.8872,17.16,1
2025-05-01,6.31,5.8844,16.89,0
2025-05-02,6.71,6.2465,16.82,0
2025-05-05,6.48,6.6066,16.66,1
2025-05-06,6.36,6.5222,17.16,1
2025-05-07,6.42,6.4285,20.39,1
2025-05-08,6.65,6.7688,19.49,1
2025-05-09,6.78,5.795,18.93,0
2025-05-12,7.01,6.5934,17.25,0
2025-05-13,7.19,6.3904,16.64,0
2025-05-14,7.17,5.7754,17.07,0
2025-05-15,7.16,5.9747,18.01,0
2025-05-16,7.39,7.1011,17.79,0
2025-05-19,7.03,6.7223,17.37,0
2025-05-20,6.97,6.7327,16.63,0
2025-05-21,6.63,7.408,16.06,1
2025-05-22,6.64,6.6131,14.85,0
2025-05-23,6.63,5.8332,14.72,0
2025-05-27,6.88,6.1555,14.45,0
2025-05-28,8.86,6.6292,14.95,0
2025-05-29,8.52,6.5554,14.3,0
2025-05-30,7.82,7.666,14.73,0
2025-06-02,7.5,6.2029,14.41,0
2025-06-03,8.03,6.9428,14.27,0
2025-06-04,7.87,5.9875,14.15,0
2025-06-05,7.56,5.9553,13.38,0
2025-06-06,8.12,6.5601,13.04,0
2025-06-09,9.23,5.6792,13.1,0
2025-06-10,9.44,6.2846,13.46,0
2025-06-11,9.63,6.7226,13.43,0
2025-06-12,8.87,6.8097,13.42,0
2025-06-13,8.6,6.7351,13.26,0
2025-06-16,9.0,6.4767,13.68,0
2025-06-17,8.65,6.7822,14.0,0
2025-06-18,8.84,6.8991,14.12,0
2025-06-20,8.54,6.8799,14.39,0
2025-06-23,8.51,6.351,14.16,0
2025-06-24,8.83,6.4071,14.63,0
2025-06-25,8.52,5.95,16.58,0
2025-06-26,9.48,7.0029,15.86,0
2025-06-27,9.44,6.1275,16.72,0
2025-06-30,10.55,5.0838,15.97,0
2025-07-01,9.81,5.9744,15.86,0
2025-07-02,10.16,7.6517,16.11,0
2025-07-03,10.55,7.2619,16.0,0
2025-07-07,10.66,5.6159,16.14,0
2025-07-08,11.39,5.9146,16.22,0
2025-07-09,11.56,6.9984,17.8,0
2025-07-10,12.33,5.6933,18.26,0
2025-07-11,12.04,7.8054,19.57,0
2025-07-14,12.63,7.1418,18.91,0
2025-07-15,13.95,7.0897,17.37,0
2025-07-16,16.33,7.7147,17.14,0
2025-07-17,17.72,5.8791,16.28,1
2025-07-18,17.78,6.4011,16.77,1
2025-07-21,16.84,7.6495,18.11,0
2025-07-22,16.61,5.0535,17.6,0
2025-07-23,17.59,5.7001,16.07,1
2025-07-24,17.51,6.7428,15.66,1
2025-07-25,18.1,6.7286,17.43,1
2025-07-28,17.16,6.2315,16.1,1
2025-07-29,16.89,6.334,15.47,1
2025-07-30,16.82,6.9052,15.67,1
2025-07-31,16.66,6.2374,16.13,1
2025-08-01,17.16,6.8133,16.3,1
2025-08-04,20.39,7.3436,15.61,1
2025-08-05,19.49,6.2108,17.03,1
2025-08-06,18.93,5.4233,16.55,1
2025-08-07,17.25,7.0119,17.34,0
2025-08-08,16.64,7.6005,16.32,1
2025-08-11,17.07,10.9017,14.76,1
2025-08-12,18.01,6.5793,15.0,1
