date,entry_close,pred_close,actual_close,correct
2024-06-10,7.4271,5.5819,8.5989,0
2024-06-11,7.3975,5.4785,8.2427,0
2024-06-12,7.3778,5.2621,8.4307,0
2024-06-13,7.2791,4.8721,8.9255,0
2024-06-14,7.3087,5.6688,9.0541,0
2024-06-17,7.289,5.864,9.6775,0
2024-06-18,7.4074,6.3529,9.7369,0
2024-06-20,7.5849,5.6121,9.3807,0
2024-06-21,7.5159,5.8245,9.2916,0
2024-06-24,7.5356,5.6954,9.1135,0
2024-06-25,7.5159,5.6389,9.2421,0
2024-06-26,7.7624,5.8165,9.4598,0
2024-06-27,8.2063,5.8378,9.5093,0
2024-06-28,8.2063,5.7516,9.6478,0
2024-07-01,8.1274,6.1653,9.6379,0
2024-07-02,7.9104,5.4492,9.6973,0
2024-07-03,8.1767,5.8588,9.3609,0
2024-07-05,8.3542,5.2234,9.2619,0
2024-07-08,8.4627,5.0924,9.4301,0
2024-07-09,8.4726,5.9579,9.6676,0
2024-07-10,8.8277,6.512,9.4301,0
2024-07-11,9.0545,5.8827,9.3213,0
2024-07-12,9.0841,6.6081,9.2322,0
2024-07-15,8.9954,5.5732,9.3312,0
2024-07-16,9.1926,6.4717,9.3213,0
2024-07-17,8.9263,5.8247,9.7468,0
2024-07-18,8.7882,5.7,9.7171,0
2024-07-19,8.6995,5.864,9.7567,0
2024-07-22,8.7882,5.8608,9.8259,0
2024-07-23,8.9066,6.6306,9.9249,0
2024-07-24,8.729,5.0861,10.0436,0
2024-07-25,8.4233,6.0421,10.4988,0
2024-07-26,8.4923,5.804,10.4296,0
2024-07-29,8.6403,6.0623,10.5879,0
2024-07-30,8.6205,6.1341,10.5978,0
2024-07-31,8.9362,6.6609,10.6374,0
2024-08-01,9.0249,6.3384,10.4197,0
2024-08-02,8.6304,6.0292,10.3306,0
2024-08-05,8.2852,5.5044,10.5879,0
2024-08-06,8.4726,6.1249,10.3702,0
2024-08-07,8.009,6.0339,9.9744,0
2024-08-08,8.3148,5.5923,9.8754,0
2024-08-09,8.3641,6.2217,9.8655,0
2024-08-12,8.7981,5.9515,9.9249,0
2024-08-13,8.8671,6.5438,9.7468,0
2024-08-14,8.877,5.8154,10.578,0
2024-08-15,8.7882,6.9969,10.3603,0
2024-08-16,9.0447,5.1883,9.351,0
2024-08-19,9.2321,6.4285,9.4004,0
2024-08-20,9.2715,6.87,9.1927,1
2024-08-21,9.1828,6.8051,9.2916,0
2024-08-22,8.9453,6.1279,9.1531,0
2024-08-23,9.0541,6.1766,9.6478,0
2024-08-26,8.9651,6.4273,9.8952,0
2024-08-27,8.8562,7.1937,9.8655,0
2024-08-28,8.6979,6.5715,9.9744,0
2024-08-29,8.9156,6.5493,10.1129,0
2024-08-30,8.9453,6.7085,9.7072,0
2024-09-03,8.5099,6.0563,9.8754,0
2024-09-04,8.4802,7.3793,9.7265,0
2024-09-05,8.5989,6.5017,9.6372,0
2024-09-06,8.2427,8.0157,9.4586,0
2024-09-09,8.4307,7.7498,9.8456,0
2024-09-10,8.9255,7.0301,9.8655,0
2024-09-11,9.0541,6.868,9.8258,0
2024-09-12,9.6775,7.0834,9.6769,1
2024-09-13,9.7369,7.1468,9.8456,0
2024-09-16,9.3807,7.0398,10.0044,0
2024-09-17,9.2916,8.0074,10.4808,0
2024-09-18,9.1135,7.2975,9.9747,0
2024-09-19,9.2421,7.5526,9.6968,0
2024-09-20,9.4598,6.682,9.6868,0
2024-09-23,9.5093,6.4398,9.4983,1
2024-09-24,9.6478,6.8217,8.9623,1
2024-09-25,9.6379,6.985,9.002,1
2024-09-26,9.6973,6.9652,9.1807,1
2024-09-27,9.3609,7.3289,9.2601,1
2024-09-30,9.2619,7.3758,9.3593,0
2024-10-01,9.4301,7.184,9.3097,1
2024-10-02,9.6676,8.4195,9.2402,1
2024-10-03,9.4301,7.1883,9.1013,1
2024-10-04,9.3213,7.5292,9.2005,1
2024-10-07,9.2322,7.1029,9.8059,0
2024-10-08,9.3312,6.7899,9.7067,0
2024-10-09,9.3213,7.3835,9.6174,0
2024-10-10,9.7468,6.7464,9.8258,0
2024-10-11,9.7171,7.3335,10.3022,0
2024-10-14,9.7567,7.2715,10.3617,0
2024-10-15,9.8259,7.6576,9.9846,0
2024-10-16,9.9249,6.5903,10.5205,0
2024-10-17,10.0436,5.8498,10.5801,0
2024-10-18,10.4988,7.7678,10.1533,1
2024-10-21,10.4296,7.8754,10.2327,1
2024-10-22,10.5879,6.9605,10.5602,1
2024-10-23,10.5978,6.8222,10.5602,1
2024-10-24,10.6374,6.6336,10.4312,1
2024-10-25,10.4197,7.751,10.6099,0
2024-10-28,10.3306,10.1748,10.5404,0
2024-10-29,10.5879,6.9014,10.7885,0
2024-10-30,10.3702,8.0917,11.0366,0
2024-10-31,9.9744,7.2338,11.4039,0
2024-11-01,9.8754,5.5599,11.1955,0
2024-11-04,9.8655,7.3633,11.3642,0
2024-11-05,9.9249,7.7423,11.384,0
2024-11-06,9.7468,7.2467,11.791,0
2024-11-07,10.578,9.2382,11.8207,0
2024-11-08,10.3603,8.513,11.781,0
2024-11-11,9.351,8.526,12.0292,0
2024-11-12,9.4004,8.4407,11.9696,0
2024-11-13,9.1927,6.4065,12.0589,0
2024-11-14,9.2916,8.3286,11.3245,0
2024-11-15,9.1531,7.9631,11.1855,0
2024-11-18,9.6478,7.6136,11.2054,0
2024-11-19,9.8952,8.9166,11.255,0
2024-11-20,9.8655,7.7575,11.4535,0
2024-11-21,9.9744,6.018,10.8878,0
2024-11-22,10.1129,9.182,10.9672,0
2024-11-25,9.7072,9.291,10.719,0
2024-11-26,9.8754,8.9705,10.997,0
2024-11-27,9.7265,8.5535,10.5404,0
2024-11-29,9.6372,9.3195,10.6396,0
2024-12-02,9.4586,8.3841,10.6595,0
2024-12-03,9.8456,8.7232,11.0466,0
2024-12-04,9.8655,8.1859,11.3849,0
2024-12-05,9.8258,8.521,11.0864,0
2024-12-06,9.6769,8.8526,11.0963,0
2024-12-09,9.8456,7.8023,10.5092,0
2024-12-10,10.0044,8.4814,11.1162,0
2024-12-11,10.4808,8.1578,11.0764,0
2024-12-12,9.9747,8.5985,11.3451,0
2024-12-13,9.6968,8.5681,11.574,0
2024-12-16,9.6868,8.3592,11.9621,0
2024-12-17,9.4983,8.0269,11.9621,0
2024-12-18,8.9623,8.8993,12.1413,0
2024-12-19,9.002,8.0372,12.2607,0
2024-12-20,9.1807,7.8749,12.1015,0
2024-12-23,9.2601,7.475,12.1413,0
2024-12-24,9.3593,8.3941,12.2408,0
2024-12-26,9.3097,8.4351,12.1413,0
2024-12-27,9.2402,8.894,12.4498,0
2024-12-30,9.1013,6.6715,12.4299,0
2024-12-31,9.2005,8.1418,12.5493,0
2025-01-02,9.8059,8.5432,12.5394,0
2025-01-03,9.7067,8.2678,12.7882,0
2025-01-06,9.6174,7.4407,12.6289,0
2025-01-07,9.8258,8.7485,11.7333,0
2025-01-08,10.3022,8.1188,11.9223,0
2025-01-10,10.3617,6.8459,11.9024,0
2025-01-13,9.9846,7.9573,12.9573,0
2025-01-14,10.5205,8.4285,13.6241,0
2025-01-15,10.5801,6.9594,14.3108,0
2025-01-16,10.1533,9.0356,14.4302,0
2025-01-17,10.2327,8.773,14.5795,0
2025-01-21,10.5602,8.4458,14.9577,0
2025-01-22,10.5602,8.5717,14.7288,0
2025-01-23,10.4312,7.3198,14.8581,0
