date,entry_close,pred_close,actual_close,correct
2024-06-10,19.46,33.4808,18.86,0
2024-06-11,19.08,37.2549,18.31,0
2024-06-12,18.97,36.1405,18.87,0
2024-06-13,19.44,31.4932,19.6,1
2024-06-14,18.8,24.959,19.58,1
2024-06-17,18.44,35.7954,18.88,1
2024-06-18,18.35,34.0278,19.12,1
2024-06-20,18.03,35.7112,19.05,1
2024-06-21,17.87,36.5744,21.39,1
2024-06-24,18.52,37.8942,20.76,1
2024-06-25,18.54,35.4633,21.27,1
2024-06-26,18.92,32.6017,21.54,1
2024-06-27,18.34,36.465,22.2,1
2024-06-28,17.88,39.2488,24.72,1
2024-07-01,19.08,33.8439,23.77,1
2024-07-02,19.45,32.9513,25.37,1
2024-07-03,20.72,25.2027,25.78,1
2024-07-05,20.46,24.6766,25.65,1
2024-07-08,20.19,29.7095,28.6,1
2024-07-09,20.12,41.1768,29.9,1
2024-07-10,20.73,33.2258,28.82,1
2024-07-11,21.44,34.1086,29.285,1
2024-07-12,21.28,28.3306,30.51,1
2024-07-15,20.6,25.7233,28.04,1
2024-07-16,20.9,29.1511,27.92,1
2024-07-17,20.31,34.6203,26.87,1
2024-07-18,20.1,29.1711,27.05,1
2024-07-19,19.64,34.7168,26.62,1
2024-07-22,20.46,33.1303,25.14,1
2024-07-23,19.75,29.2277,25.06,1
2024-07-24,18.84,37.1537,23.75,1
2024-07-25,19.2,28.4213,25.25,1
2024-07-26,19.14,32.0877,25.26,1
2024-07-29,19.29,39.1831,26.09,1
2024-07-30,18.78,32.7606,27.07,1
2024-07-31,19.74,26.1169,27.4,1
2024-08-01,19.37,28.5695,28.79,1
2024-08-02,19.2,27.5394,29.13,1
2024-08-05,18.86,37.4685,28.42,1
2024-08-06,18.94,32.0188,28.94,1
2024-08-07,19.23,28.9865,25.01,1
2024-08-08,19.73,27.0845,25.06,1
2024-08-09,19.89,22.9074,24.65,1
2024-08-12,19.51,30.7327,25.54,1
2024-08-13,19.39,25.6711,24.71,1
2024-08-14,18.8,31.0034,25.61,1
2024-08-15,19.2,32.0663,23.65,1
2024-08-16,20.53,27.921,24.33,1
2024-08-19,21.47,25.5048,22.61,1
2024-08-20,20.31,23.326,22.35,1
2024-08-21,21.13,24.0227,22.23,1
2024-08-22,21.35,30.3896,22.72,1
2024-08-23,21.22,23.1195,22.98,1
2024-08-26,20.73,29.3656,23.19,1
2024-08-27,21.22,28.5073,22.78,1
2024-08-28,17.8,31.3267,22.6,1
2024-08-29,19.69,24.5678,22.28,1
2024-08-30,19.46,27.6438,22.44,1
2024-09-03,19.0,22.2526,21.83,1
2024-09-04,18.77,32.3941,23.31,1
2024-09-05,18.86,23.2696,23.68,1
2024-09-06,18.31,26.661,22.8,1
2024-09-09,18.87,27.5172,22.7,1
2024-09-10,19.6,25.1931,22.42,1
2024-09-11,19.58,27.0947,22.53,1
2024-09-12,18.88,23.6045,22.32,1
2024-09-13,19.12,22.9174,24.1,1
2024-09-16,19.05,24.5961,22.88,1
2024-09-17,21.39,25.1974,22.81,1
2024-09-18,20.76,20.469,22.79,0
2024-09-19,21.27,18.4227,22.2,0
2024-09-20,21.54,20.6777,21.8,0
2024-09-23,22.2,20.1656,22.4,0
2024-09-24,24.72,22.4351,22.76,1
2024-09-25,23.77,21.915,23.35,1
2024-09-26,25.37,24.23,23.56,1
2024-09-27,25.78,21.0389,24.11,1
2024-09-30,25.65,19.1837,24.44,1
2024-10-01,28.6,25.8577,25.32,1
2024-10-02,29.9,20.6984,25.49,1
2024-10-03,28.82,20.6242,24.27,1
2024-10-04,29.285,25.0936,23.99,1
2024-10-07,30.51,21.6777,24.02,1
2024-10-08,28.04,23.1217,24.75,1
2024-10-09,27.92,18.353,23.9,1
2024-10-10,26.87,19.983,23.89,1
2024-10-11,27.05,22.3904,23.19,1
2024-10-14,26.62,19.5471,22.24,1
2024-10-15,25.14,23.9694,21.72,1
2024-10-16,25.06,20.2682,22.33,1
2024-10-17,23.75,22.6677,21.88,1
2024-10-18,25.25,21.9316,22.08,1
2024-10-21,25.26,17.9104,22.59,1
2024-10-22,26.09,21.6359,23.79,1
2024-10-23,27.07,19.8874,22.62,1
2024-10-24,27.4,23.7891,22.79,1
2024-10-25,28.79,25.5601,23.21,1
2024-10-28,29.13,24.4356,23.61,1
2024-10-29,28.42,23.1949,23.27,1
2024-10-30,28.94,27.5361,23.13,1
2024-10-31,25.01,27.0616,24.11,0
2024-11-01,25.06,22.2901,23.42,1
2024-11-04,24.65,20.3311,22.88,1
2024-11-05,25.54,24.3987,24.25,1
2024-11-06,24.71,21.5783,23.37,1
2024-11-07,25.61,23.6482,24.815,1
2024-11-08,23.65,30.6115,26.02,1
2024-11-11,24.33,20.1306,26.37,0
2024-11-12,22.61,20.8146,25.07,0
2024-11-13,22.35,26.9501,26.3,1
2024-11-14,22.23,23.2026,25.2,1
2024-11-15,22.72,20.9129,25.84,0
2024-11-18,22.98,27.6777,25.63,1
2024-11-19,23.19,27.7693,26.46,1
2024-11-20,22.78,25.6139,26.37,1
2024-11-21,22.6,24.0018,27.46,1
2024-11-22,22.28,19.7873,26.36,0
2024-11-25,22.44,24.5699,29.84,1
2024-11-26,21.83,24.4957,32.915,1
2024-11-27,23.31,23.3966,31.92,1
2024-11-29,23.68,25.0256,30.73,1
2024-12-02,22.8,21.6727,27.37,0
2024-12-03,22.7,25.6916,27.67,1
2024-12-04,22.42,22.1795,28.67,0
2024-12-05,22.53,27.4002,27.56,1
2024-12-06,22.32,16.2959,29.02,0
2024-12-09,24.1,28.1553,27.56,1
2024-12-10,22.88,25.4536,29.49,1
2024-12-11,22.81,24.2768,29.73,1
2024-12-12,22.79,25.4493,28.72,1
2024-12-13,22.2,26.6331,27.46,1
2024-12-16,21.8,27.6915,27.35,1
2024-12-17,22.4,22.2357,27.62,0
2024-12-18,22.76,27.4053,27.52,1
2024-12-19,23.35,21.6359,26.765,0
2024-12-20,23.56,22.4242,26.4,0
2024-12-23,24.11,24.1302,26.18,1
2024-12-24,24.44,25.4614,26.04,1
2024-12-26,25.32,17.9085,26.67,0
2024-12-27,25.49,18.6537,26.14,0
2024-12-30,24.27,18.9838,25.52,0
2024-12-31,23.99,24.5723,25.2,1
2025-01-02,24.02,19.8787,25.64,0
2025-01-03,24.75,22.4886,25.52,0
2025-01-06,23.9,19.4058,24.77,0
2025-01-07,23.89,19.5679,23.07,1
2025-01-08,23.19,24.0777,21.51,0
2025-01-10,22.24,25.9107,19.79,0
2025-01-13,21.72,23.6801,21.14,0
2025-01-14,22.33,22.4504,22.25,0
2025-01-15,21.88,24.3509,23.23,1
2025-01-16,22.08,26.7287,23.85,1
2025-01-17,22.59,20.2672,23.44,0
2025-01-21,23.79,25.9865,22.73,0
2025-01-22,22.62,24.0177,23.12,1
2025-01-23,22.79,24.0111,23.21,1
2025-01-24,23.21,22.9928,23.78,0
2025-01-27,23.61,20.3694,23.98,0
2025-01-28,23.27,19.9136,23.82,0
