date,entry_close,pred_close,actual_close,correct
2024-06-10,15.09,17.1995,12.62,0
2024-06-11,15.03,13.1103,12.04,1
2024-06-12,15.23,16.2416,12.25,0
2024-06-13,14.85,15.6556,12.28,0
2024-06-14,14.67,14.2997,12.62,1
2024-06-17,14.39,15.4909,12.61,0
2024-06-18,13.6,13.5636,12.62,1
2024-06-20,13.33,14.1347,12.85,0
2024-06-21,13.72,14.713,13.17,0
2024-06-24,13.74,13.6815,13.34,1
2024-06-25,13.75,14.8713,14.02,1
2024-06-26,13.49,13.2667,13.81,0
2024-06-27,13.75,15.5719,13.64,0
2024-06-28,13.69,13.0902,13.89,0
2024-07-01,13.94,14.2379,15.68,1
2024-07-02,13.73,13.9276,16.42,1
2024-07-03,13.67,14.848,16.76,1
2024-07-05,13.65,14.2291,16.49,1
2024-07-08,13.86,14.9432,16.44,1
2024-07-09,13.77,13.7998,16.32,1
2024-07-10,13.41,15.436,16.09,1
2024-07-11,13.68,14.2499,16.1,1
2024-07-12,13.88,14.4086,15.85,1
2024-07-15,13.96,15.5294,16.01,1
2024-07-16,14.27,13.8462,15.98,0
2024-07-17,13.95,14.763,15.94,1
2024-07-18,13.5,15.0953,15.91,1
2024-07-19,13.55,14.7577,15.84,1
2024-07-22,13.8,15.2231,15.86,1
2024-07-23,13.74,14.4709,15.96,1
2024-07-24,13.12,16.6691,15.72,1
2024-07-25,13.04,15.3091,15.79,1
2024-07-26,13.3,14.8577,15.77,1
2024-07-29,13.46,15.0771,15.44,1
2024-07-30,13.44,15.2401,15.15,1
2024-07-31,13.39,14.214,15.05,1
2024-08-01,13.17,14.3472,14.78,1
2024-08-02,11.92,14.0542,14.93,1
2024-08-05,11.84,13.8538,14.95,1
2024-08-06,12.08,15.3358,15.05,1
2024-08-07,11.98,15.3527,15.12,1
2024-08-08,12.61,13.8857,14.89,1
2024-08-09,12.43,14.15,15.11,1
2024-08-12,12.53,15.4131,15.53,1
2024-08-13,12.98,13.9229,15.76,1
2024-08-14,12.95,15.3452,16.95,1
2024-08-15,13.33,14.4647,17.07,1
2024-08-16,13.36,15.3843,17.75,1
2024-08-19,13.61,14.5887,18.4,1
2024-08-20,13.24,15.0996,18.35,1
2024-08-21,13.3,16.8074,17.59,1
2024-08-22,13.13,13.0657,17.27,0
2024-08-23,13.22,14.8779,17.53,1
2024-08-26,13.23,15.5233,17.66,1
2024-08-27,13.08,13.9353,17.59,1
2024-08-28,12.56,15.3599,17.67,1
2024-08-29,12.74,14.7506,17.74,1
2024-08-30,12.88,14.1204,17.86,1
2024-09-03,12.91,15.1276,18.25,1
2024-09-04,12.67,14.4444,18.77,1
2024-09-05,12.62,14.3201,18.8,1
2024-09-06,12.04,15.0252,17.12,1
2024-09-09,12.25,14.5856,17.36,1
2024-09-10,12.28,16.5862,17.25,1
2024-09-11,12.62,16.38,17.09,1
2024-09-12,12.61,14.4275,17.31,1
2024-09-13,12.62,14.5017,17.1,1
2024-09-16,12.85,14.8412,16.8,1
2024-09-17,13.17,15.4945,16.67,1
2024-09-18,13.34,13.7664,16.53,1
2024-09-19,14.02,15.9492,16.23,1
2024-09-20,13.81,14.1831,16.22,1
2024-09-23,13.64,14.9917,16.5,1
2024-09-24,13.89,14.3866,15.54,1
2024-09-25,15.68,12.9494,15.42,1
2024-09-26,16.42,13.3509,16.07,1
2024-09-27,16.76,13.5687,15.89,1
2024-09-30,16.49,12.3807,15.67,1
2024-10-01,16.44,12.9123,16.12,1
2024-10-02,16.32,12.6062,15.63,1
2024-10-03,16.09,13.0573,15.26,1
2024-10-04,16.1,13.4429,15.23,1
2024-10-07,15.85,14.5773,15.74,1
2024-10-08,16.01,15.8028,15.72,1
2024-10-09,15.98,12.863,16.19,0
2024-10-10,15.94,12.7781,15.55,1
2024-10-11,15.91,14.2293,15.38,1
2024-10-14,15.84,13.7444,14.79,1
2024-10-15,15.86,15.1085,14.46,1
2024-10-16,15.96,12.7271,14.71,1
2024-10-17,15.72,12.6836,14.84,1
2024-10-18,15.79,14.0406,14.94,1
2024-10-21,15.77,15.4183,14.61,1
2024-10-22,15.44,13.6447,14.78,1
