date,entry_close,pred_close,actual_close,correct
2024-06-10,15.08,17.4978,11.25,0
2024-06-11,14.61,17.2244,11.06,0
2024-06-12,15.54,13.6471,10.8,1
2024-06-13,14.48,14.8787,11.27,0
2024-06-14,14.17,15.0452,11.95,0
2024-06-17,14.08,16.3133,11.62,0
2024-06-18,13.78,16.1534,11.35,0
2024-06-20,13.75,15.4417,11.68,0
2024-06-21,13.45,15.5486,12.25,0
2024-06-24,13.58,14.9202,12.17,0
2024-06-25,13.47,15.8116,12.53,0
2024-06-26,13.33,14.7171,12.47,0
2024-06-27,13.39,15.7689,12.72,0
2024-06-28,14.1,14.7457,13.33,0
2024-07-01,13.97,15.0827,13.35,0
2024-07-02,13.4,15.482,13.28,0
2024-07-03,13.39,15.2509,12.84,0
2024-07-05,13.33,16.2482,12.75,0
2024-07-08,13.48,15.5131,12.49,0
2024-07-09,13.43,14.1316,12.54,0
2024-07-10,12.93,14.2016,12.36,0
2024-07-11,13.53,14.3846,12.57,0
2024-07-12,13.11,16.0453,12.51,0
2024-07-15,13.08,16.0891,12.44,0
2024-07-16,13.38,13.7367,12.51,0
2024-07-17,12.73,16.3368,12.41,0
2024-07-18,12.43,16.0054,13.6,1
2024-07-19,12.34,15.217,13.26,1
2024-07-22,12.48,16.9698,13.3,1
2024-07-23,12.59,13.3542,13.39,1
2024-07-24,12.38,13.1206,13.62,1
2024-07-25,12.21,14.59,13.99,1
2024-07-26,12.23,12.6179,14.04,1
2024-07-29,12.1,13.8494,13.76,1
2024-07-30,11.94,14.4293,13.66,1
2024-07-31,12.05,13.6967,13.78,1
2024-08-01,11.42,12.6841,13.41,1
2024-08-02,10.92,12.0593,13.89,1
2024-08-05,10.57,12.4885,13.91,1
2024-08-06,10.97,15.0898,13.67,1
2024-08-07,9.08,16.3698,12.97,1
2024-08-08,10.07,13.662,13.48,1
2024-08-09,9.76,12.3395,13.58,1
2024-08-12,9.71,16.0209,13.8,1
2024-08-13,10.06,12.5108,14.4,1
2024-08-14,10.08,14.979,17.69,1
2024-08-15,10.81,14.1105,17.78,1
2024-08-16,11.2,13.2702,18.59,1
2024-08-19,11.6,15.5377,18.34,1
2024-08-20,11.29,15.4898,17.78,1
2024-08-21,11.69,14.4874,17.92,1
2024-08-22,11.47,13.5968,18.12,1
2024-08-23,11.68,12.8432,17.3,1
2024-08-26,11.78,14.3348,16.57,1
2024-08-27,11.62,12.9569,16.77,1
2024-08-28,11.46,13.314,16.29,1
2024-08-29,11.55,12.9532,16.79,1
2024-08-30,11.67,13.6499,17.89,1
2024-09-03,11.35,13.8509,17.61,1
2024-09-04,11.34,14.871,17.18,1
2024-09-05,11.25,13.5698,17.36,1
2024-09-06,11.06,12.3134,17.17,1
2024-09-09,10.8,15.1051,16.92,1
2024-09-10,11.27,13.5555,17.24,1
2024-09-11,11.95,12.9274,15.5,1
2024-09-12,11.62,16.0692,15.94,1
2024-09-13,11.35,12.1883,16.3,1
2024-09-16,11.68,11.5398,16.19,0
2024-09-17,12.25,13.0471,15.42,1
2024-09-18,12.17,12.1348,14.85,0
2024-09-19,12.53,14.9425,14.14,1
2024-09-20,12.47,15.0217,14.29,1
2024-09-23,12.72,14.9024,14.01,1
2024-09-24,13.33,12.8349,13.61,0
2024-09-25,13.35,13.524,13.58,1
2024-09-26,13.28,12.082,13.57,0
2024-09-27,12.84,11.6381,13.71,0
2024-09-30,12.75,14.9539,13.91,1
2024-10-01,12.49,13.4178,13.77,1
2024-10-02,12.54,14.7108,13.31,1
2024-10-03,12.36,12.2743,13.05,0
2024-10-04,12.57,13.0836,12.9,1
2024-10-07,12.51,13.6138,13.65,1
2024-10-08,12.44,13.647,14.27,1
2024-10-09,12.51,14.7705,14.39,1
2024-10-10,12.41,12.4747,14.32,1
2024-10-11,13.6,12.4287,13.36,1
2024-10-14,13.26,14.1928,12.98,0
2024-10-15,13.3,13.2205,12.99,1
2024-10-16,13.39,15.2587,12.97,0
2024-10-17,13.62,13.1769,13.4,1
2024-10-18,13.99,13.1861,13.6,1
2024-10-21,14.04,11.8157,13.41,1
2024-10-22,13.76,13.8259,13.67,0
2024-10-23,13.66,13.2797,13.42,1
2024-10-24,13.78,13.399,13.6,1
2024-10-25,13.41,12.6529,13.8,0
2024-10-28,13.89,13.0863,13.86,1
2024-10-29,13.91,13.1319,13.96,0
2024-10-30,13.67,12.0448,13.43,1
2024-10-31,12.97,13.6979,13.56,1
2024-11-01,13.48,11.915,13.54,0
2024-11-04,13.58,13.9018,13.81,1
2024-11-05,13.8,12.8192,14.07,0
2024-11-06,14.4,12.8293,13.42,1
2024-11-07,17.69,14.3444,14.07,1
2024-11-08,17.78,12.242,14.17,1
2024-11-11,18.59,14.4635,15.12,1
2024-11-12,18.34,15.1779,14.39,1
2024-11-13,17.78,13.1241,13.25,1
2024-11-14,17.92,13.9084,13.47,1
2024-11-15,18.12,12.269,13.43,1
2024-11-18,17.3,14.6829,14.01,1
2024-11-19,16.57,12.7536,13.39,1
2024-11-20,16.77,12.492,13.46,1
2024-11-21,16.29,12.7293,13.05,1
2024-11-22,16.79,13.8716,12.72,1
2024-11-25,17.89,14.1071,12.74,1
2024-11-26,17.61,12.7598,12.82,1
2024-11-27,17.18,12.1015,13.02,1
2024-11-29,17.36,18.9803,13.34,0
2024-12-02,17.17,14.5175,12.66,1
2024-12-03,16.92,12.074,12.41,1
2024-12-04,17.24,12.2567,12.36,1
2024-12-05,15.5,18.8851,12.08,0
2024-12-06,15.94,12.2732,12.41,1
2024-12-09,16.3,15.6343,11.48,1
2024-12-10,16.19,13.4505,11.43,1
2024-12-11,15.42,18.1382,11.61,0
2024-12-12,14.85,14.0702,11.27,1
2024-12-13,14.14,11.6532,11.92,1
2024-12-16,14.29,12.4619,12.03,1
2024-12-17,14.01,15.5863,11.53,0
2024-12-18,13.61,16.5867,11.72,0
2024-12-19,13.58,12.3647,11.75,1
2024-12-20,13.57,13.3453,11.98,1
2024-12-23,13.71,12.7555,12.22,1
2024-12-24,13.91,16.5934,12.49,0
2024-12-26,13.77,12.2985,12.27,1
2024-12-27,13.31,15.0904,12.14,0
