date,entry_close,pred_close,actual_close,correct
2024-06-10,19.46,20.0557,13.84,0
2024-06-11,19.83,16.9987,13.37,1
2024-06-12,20.31,18.7444,14.62,1
2024-06-13,20.0,20.5306,15.94,0
2024-06-14,19.47,17.898,15.79,1
2024-06-17,20.02,18.9759,15.8,1
2024-06-18,20.28,20.1153,16.12,1
2024-06-20,20.66,15.4609,15.87,1
2024-06-21,19.21,19.4162,15.87,0
2024-06-24,18.69,18.2821,15.34,1
2024-06-25,19.25,12.4894,15.45,1
2024-06-26,19.37,16.3755,15.54,1
2024-06-27,19.66,19.2199,16.07,1
2024-06-28,19.85,23.8899,16.41,0
2024-07-01,22.56,15.2896,16.14,1
2024-07-02,22.12,16.9946,17.52,1
2024-07-03,20.98,14.4331,17.29,1
2024-07-05,20.17,18.7809,16.22,1
2024-07-08,19.5,18.8891,15.07,1
2024-07-09,19.03,17.1595,15.21,1
2024-07-10,18.89,18.6319,15.47,1
2024-07-11,19.02,22.3167,16.31,0
2024-07-12,20.77,16.0824,15.99,1
2024-07-15,24.58,14.7502,15.83,1
2024-07-16,26.72,21.378,15.44,1
2024-07-17,25.55,17.2235,15.23,1
2024-07-18,23.65,21.9623,16.08,1
2024-07-19,24.73,13.7497,16.98,1
2024-07-22,23.95,20.0002,16.92,1
2024-07-23,21.65,21.9793,18.08,0
2024-07-24,20.67,12.5959,18.01,1
2024-07-25,20.28,20.0407,18.88,1
2024-07-26,21.57,16.6035,18.71,1
2024-07-29,20.45,20.4271,18.97,1
2024-07-30,19.73,15.5814,18.07,1
2024-07-31,19.67,22.9894,18.22,0
2024-08-01,18.14,14.7379,17.06,1
2024-08-02,17.19,16.5474,18.94,0
2024-08-05,16.95,20.1947,18.94,1
2024-08-06,17.25,17.9344,18.28,1
2024-08-07,15.84,16.1078,16.77,1
2024-08-08,17.39,19.0531,16.11,0
2024-08-09,17.03,16.6599,15.5,1
2024-08-12,15.11,19.4095,16.24,1
2024-08-13,15.49,16.998,19.32,1
2024-08-14,15.14,21.341,19.31,1
2024-08-15,15.46,17.4924,19.25,1
2024-08-16,16.24,19.7254,25.01,1
2024-08-19,16.44,21.4282,25.23,1
2024-08-20,16.42,18.6564,21.7,1
2024-08-21,17.63,18.773,20.79,1
2024-08-22,16.86,15.4876,21.07,0
2024-08-23,18.69,21.853,18.11,0
2024-08-26,18.56,19.9982,19.86,1
2024-08-27,17.75,18.12,22.63,1
2024-08-28,17.13,15.579,24.18,0
2024-08-29,16.99,25.1875,26.03,1
2024-08-30,16.7,24.9387,26.42,1
2024-09-03,15.26,25.6367,24.97,1
2024-09-04,14.88,21.1395,26.92,1
2024-09-05,13.84,19.8083,27.42,1
2024-09-06,13.37,17.3385,25.63,1
2024-09-09,14.62,15.2514,25.13,1
2024-09-10,15.94,19.0999,25.96,1
2024-09-11,15.79,16.9835,24.79,1
2024-09-12,15.8,17.0006,26.43,1
2024-09-13,16.12,18.3443,23.86,1
2024-09-16,15.87,18.3052,22.81,1
2024-09-17,15.87,21.0826,23.27,1
2024-09-18,15.34,16.1614,22.58,1
2024-09-19,15.45,18.9317,22.73,1
2024-09-20,15.54,20.9443,24.56,1
2024-09-23,16.07,17.3062,24.6,1
2024-09-24,16.41,16.2916,21.61,0
2024-09-25,16.14,16.6642,20.37,1
2024-09-26,17.52,14.7172,19.96,0
2024-09-27,17.29,16.1509,19.25,0
2024-09-30,16.22,20.7264,20.15,1
2024-10-01,15.07,22.1657,19.3,1
2024-10-02,15.21,18.502,18.44,1
2024-10-03,15.47,16.8089,17.29,1
2024-10-04,16.31,18.4749,16.77,1
2024-10-07,15.99,19.705,17.21,1
2024-10-08,15.83,19.7002,19.64,1
2024-10-09,15.44,19.4547,20.55,1
2024-10-10,15.23,20.1614,19.07,1
2024-10-11,16.08,18.3631,18.34,1
2024-10-14,16.98,16.0744,17.86,0
2024-10-15,16.92,16.7774,17.19,0
2024-10-16,18.08,22.5014,17.36,0
2024-10-17,18.01,23.4907,18.15,1
2024-10-18,18.88,16.6498,18.3,1
2024-10-21,18.71,18.1308,19.91,0
2024-10-22,18.97,21.089,19.56,1
2024-10-23,18.07,22.4722,19.69,1
2024-10-24,18.22,17.4821,19.95,0
2024-10-25,17.06,18.2822,19.99,1
2024-10-28,18.94,18.0647,18.29,1
2024-10-29,18.94,17.3888,18.26,1
2024-10-30,18.28,17.636,18.42,0
2024-10-31,16.77,15.1527,19.18,0
2024-11-01,16.11,15.7474,18.34,0
2024-11-04,15.5,20.3376,17.95,1
2024-11-05,16.24,20.6132,17.65,1
2024-11-06,19.32,20.1981,17.03,0
2024-11-07,19.31,16.9543,16.8,1
2024-11-08,19.25,17.2556,16.77,1
2024-11-11,25.01,16.5541,16.76,1
2024-11-12,25.23,21.6739,16.02,1
2024-11-13,21.7,19.9295,16.24,1
2024-11-14,20.79,21.1111,16.91,0
2024-11-15,21.07,20.7654,16.9,1
2024-11-18,18.11,17.5832,16.05,1
2024-11-19,19.86,17.5553,15.78,1
2024-11-20,22.63,19.3082,15.95,1
2024-11-21,24.18,22.2167,14.66,1
2024-11-22,26.03,21.1583,13.89,1
2024-11-25,26.42,21.6051,12.42,1
2024-11-26,24.97,20.9543,12.45,1
2024-11-27,26.92,21.8842,13.13,1
2024-11-29,27.42,20.3079,13.92,1
2024-12-02,25.63,21.5437,13.79,1
2024-12-03,25.13,23.5237,13.97,1
2024-12-04,25.96,19.3708,15.12,1
2024-12-05,24.79,22.6138,15.09,1
2024-12-06,26.43,21.545,16.02,1
