date,entry_close,pred_close,actual_close,correct
2024-06-10,243.7538,270.0565,278.1697,1
2024-06-11,244.2052,260.5648,279.6573,1
2024-06-12,244.3973,266.0825,281.3767,1
2024-06-13,243.6482,257.2265,281.3574,1
2024-06-14,243.5329,254.2637,280.3528,1
2024-06-17,243.4657,262.7183,282.4006,1
2024-06-18,240.8535,261.5936,286.4384,1
2024-06-20,243.7442,260.9521,286.593,1
2024-06-21,249.1128,261.7004,283.753,1
2024-06-24,250.0635,264.0791,282.0915,1
2024-06-25,247.1824,266.5815,283.8496,1
2024-06-26,247.6145,260.5233,286.7281,1
2024-06-27,247.9411,254.315,288.8823,1
2024-06-28,244.743,261.5094,290.0511,1
2024-07-01,240.0852,261.9613,290.2443,1
2024-07-02,237.9724,262.6784,293.3161,1
2024-07-03,240.0948,255.9784,293.3547,1
2024-07-05,241.1416,262.0299,294.1468,1
2024-07-08,238.03,264.3273,292.6689,1
2024-07-09,236.0804,263.1593,293.4223,1
2024-07-10,240.5654,270.0116,293.1229,1
2024-07-11,244.7046,267.6925,293.4223,1
2024-07-12,243.8403,254.2361,290.6114,1
2024-07-15,241.5642,258.8804,291.6256,1
2024-07-16,247.0767,256.3875,293.4899,1
2024-07-17,250.6589,268.1321,293.6928,1
2024-07-18,249.2376,257.2022,294.6588,1
2024-07-19,247.0863,258.9987,299.2954,1
2024-07-22,249.2568,253.8467,302.6763,1
2024-07-23,243.9843,250.7666,302.2706,1
2024-07-24,243.3313,260.3843,303.99,1
2024-07-25,241.4969,256.4506,305.7867,1
2024-07-26,242.0155,256.0954,304.1736,1
2024-07-29,251.0624,258.6142,303.9804,1
2024-07-30,255.8834,246.3914,288.4089,0
2024-07-31,254.8846,251.0746,291.3165,0
2024-08-01,258.1019,246.3099,282.6518,0
2024-08-02,265.7273,254.4601,286.6895,0
2024-08-05,257.8138,249.7676,284.9604,0
2024-08-06,259.36,258.0514,281.5989,0
2024-08-07,258.6973,273.9684,282.1688,1
2024-08-08,260.4452,255.6609,285.1633,0
2024-08-09,257.2952,250.7764,282.8836,0
2024-08-12,258.7838,256.194,287.2015,0
2024-08-13,259.6001,265.9537,283.9945,1
2024-08-14,260.4068,259.4781,284.632,0
2024-08-15,263.9795,252.4062,288.7953,0
2024-08-16,267.456,267.0264,291.2682,0
2024-08-19,276.157,252.7402,288.4862,0
2024-08-20,274.3131,255.554,287.2305,0
2024-08-21,278.2314,266.0741,288.3993,0
2024-08-22,277.7513,253.2683,282.6711,0
2024-08-23,278.0489,253.2111,281.1932,0
2024-08-26,277.2423,248.7229,280.8358,0
2024-08-27,278.1642,272.4037,281.0096,0
2024-08-28,275.6768,262.962,278.6526,0
2024-08-29,276.4548,263.0805,280.4011,0
2024-08-30,277.2231,263.0701,286.11,0
2024-09-03,275.8031,269.9237,286.2451,0
2024-09-04,278.2277,252.9824,285.0377,0
2024-09-05,278.1697,274.1553,285.9361,0
