date,entry_close,pred_close,actual_close,correct
2024-06-10,40.77,42.0286,35.81,0
2024-06-11,40.77,43.2303,35.01,0
2024-06-12,40.47,40.1875,34.97,1
2024-06-13,40.53,41.1252,34.87,0
2024-06-14,39.85,41.9987,35.38,0
2024-06-17,40.39,43.1737,35.9,0
2024-06-18,40.53,41.9229,36.51,0
2024-06-20,41.7,40.0242,36.44,1
2024-06-21,42.0,40.5807,37.21,1
2024-06-24,42.45,41.868,36.96,1
2024-06-25,41.96,42.1517,37.75,0
2024-06-26,42.43,43.3016,37.31,0
2024-06-27,43.37,40.6126,36.85,1
2024-06-28,44.44,41.3794,37.35,1
2024-07-01,42.86,41.3539,37.18,1
2024-07-02,42.33,41.6142,38.31,1
2024-07-03,43.28,41.1782,39.62,1
2024-07-05,43.04,38.1835,39.09,1
2024-07-08,43.69,38.9941,38.62,1
2024-07-09,43.74,39.378,39.62,1
2024-07-10,43.91,40.7423,39.67,1
2024-07-11,45.84,39.7934,40.43,1
2024-07-12,46.11,40.7438,41.1,1
2024-07-15,46.15,45.1858,39.81,1
2024-07-16,46.78,43.1462,40.18,1
2024-07-17,46.19,43.1426,39.59,1
2024-07-18,45.3,41.5153,39.66,1
2024-07-19,45.37,43.3976,40.24,1
2024-07-22,43.77,42.4485,39.39,1
2024-07-23,43.78,40.5136,39.9,1
2024-07-24,42.44,42.2794,40.58,1
2024-07-25,41.44,38.7316,41.19,1
2024-07-26,41.84,42.0604,40.48,0
2024-07-29,42.78,40.7161,40.52,1
2024-07-30,42.78,41.2032,39.64,1
2024-07-31,42.97,43.2765,40.1,0
2024-08-01,37.29,40.9514,40.36,1
2024-08-02,35.48,41.6173,41.72,1
2024-08-05,34.07,39.3721,41.99,1
2024-08-06,35.4,40.7655,41.41,1
2024-08-07,36.44,42.4254,36.87,1
2024-08-08,37.49,40.7942,36.41,0
2024-08-09,37.13,41.2181,36.4,0
2024-08-12,37.28,42.6288,36.23,0
2024-08-13,38.16,41.0666,37.43,0
2024-08-14,38.08,38.7044,37.67,0
2024-08-15,39.2,43.0963,36.69,0
2024-08-16,38.9,42.281,36.72,0
2024-08-19,40.07,39.8766,36.75,1
2024-08-20,39.4,40.7527,37.98,0
2024-08-21,39.5,44.9236,37.52,0
2024-08-22,38.74,45.2454,37.28,0
2024-08-23,38.93,41.6678,37.15,0
2024-08-26,38.04,42.0443,37.27,0
2024-08-27,38.01,43.0022,37.51,0
2024-08-28,37.06,43.1406,38.01,1
2024-08-29,37.41,43.895,37.8,1
2024-08-30,37.59,41.1825,38.31,1
2024-09-03,36.29,41.178,37.55,1
2024-09-04,36.61,43.4247,37.37,1
2024-09-05,35.81,42.6032,38.34,1
2024-09-06,35.01,42.4767,38.29,1
2024-09-09,34.97,43.1343,37.51,1
2024-09-10,34.87,40.159,37.52,1
2024-09-11,35.38,41.19,36.84,1
2024-09-12,35.9,39.142,36.66,1
2024-09-13,36.51,41.361,36.6,1
2024-09-16,36.44,40.9565,36.52,1
2024-09-17,37.21,40.1936,36.94,0
2024-09-18,36.96,40.0586,36.8,0
2024-09-19,37.75,42.1539,36.25,0
2024-09-20,37.31,40.2144,35.28,0
2024-09-23,36.85,37.5941,35.37,0
2024-09-24,37.35,43.2365,33.8,0
2024-09-25,37.18,44.3599,33.44,0
2024-09-26,38.31,43.2041,34.16,0
2024-09-27,39.62,39.0665,34.29,1
2024-09-30,39.09,37.0437,34.74,1
2024-10-01,38.62,41.4695,34.89,0
2024-10-02,39.62,43.4035,34.77,0
2024-10-03,39.67,38.6456,34.35,1
2024-10-04,40.43,39.8447,34.65,1
2024-10-07,41.1,37.739,33.66,1
2024-10-08,39.81,42.5799,34.09,0
2024-10-09,40.18,42.6915,33.94,0
2024-10-10,39.59,41.4915,33.23,0
2024-10-11,39.66,43.2908,32.69,0
2024-10-14,40.24,43.2561,31.87,0
2024-10-15,39.39,42.0321,32.33,0
2024-10-16,39.9,39.8252,33.1,1
2024-10-17,40.58,42.8153,33.0,0
2024-10-18,41.19,39.1132,33.13,1
2024-10-21,40.48,40.7781,32.85,0
2024-10-22,40.52,42.7157,33.35,0
2024-10-23,39.64,40.6673,32.81,0
2024-10-24,40.1,44.4653,33.12,0
2024-10-25,40.36,38.3887,32.89,1
2024-10-28,41.72,40.5277,33.56,1
2024-10-29,41.99,38.9671,33.5,1
2024-10-30,41.41,43.6546,34.01,0
2024-10-31,36.87,41.3746,34.55,0
2024-11-01,36.41,43.0224,34.48,0
2024-11-04,36.4,38.6162,34.15,0
2024-11-05,36.23,40.3408,34.55,0
2024-11-06,37.43,41.8942,34.24,0
2024-11-07,37.67,39.9164,34.48,0
2024-11-08,36.69,38.4437,34.57,0
2024-11-11,36.72,40.3354,34.36,0
2024-11-12,36.75,44.5613,34.27,0
2024-11-13,37.98,41.2341,34.37,0
2024-11-14,37.52,41.3639,40.37,1
2024-11-15,37.28,42.723,39.81,1
2024-11-18,37.15,42.8699,38.07,1
2024-11-19,37.27,42.1836,38.34,1
2024-11-20,37.51,43.2499,38.3,1
2024-11-21,38.01,39.2807,36.0,0
2024-11-22,37.8,41.4258,36.37,0
2024-11-25,38.31,41.0275,35.52,0
2024-11-26,37.55,41.3157,35.17,0
2024-11-27,37.37,42.3427,34.67,0
2024-11-29,38.34,39.0175,34.76,0
2024-12-02,38.29,39.6667,33.19,0
2024-12-03,37.51,41.5833,32.61,0
2024-12-04,37.52,42.2173,32.83,0
2024-12-05,36.84,41.8025,31.64,0
2024-12-06,36.66,38.9505,32.03,0
2024-12-09,36.6,40.5353,31.89,0
2024-12-10,36.52,39.4263,31.29,0
2024-12-11,36.94,37.1271,30.99,0
2024-12-12,36.8,38.1824,30.16,0
2024-12-13,36.25,37.0653,31.76,0
2024-12-16,35.28,42.1099,32.42,0
2024-12-17,35.37,39.304,31.86,0
2024-12-18,33.8,38.0915,32.69,0
2024-12-19,33.44,39.7994,32.53,0
2024-12-20,34.16,41.6815,31.42,0
2024-12-23,34.29,38.2768,32.42,0
2024-12-24,34.74,40.3854,32.04,0
2024-12-26,34.89,39.4917,32.12,0
2024-12-27,34.77,40.2926,31.61,0
2024-12-30,34.35,39.8212,30.36,0
2024-12-31,34.65,37.9728,29.64,0
2025-01-02,33.66,36.8407,29.94,0
2025-01-03,34.09,35.0733,30.75,0
2025-01-06,33.94,40.8867,27.9,0
2025-01-07,33.23,40.9293,26.86,0
2025-01-08,32.69,40.1497,26.3,0
2025-01-10,31.87,39.3676,25.79,0
2025-01-13,32.33,38.5517,29.93,0
2025-01-14,33.1,38.7464,28.75,0
2025-01-15,33.0,37.37,29.35,0
2025-01-16,33.13,39.6381,29.62,0
2025-01-17,32.85,39.1929,29.71,0
2025-01-21,33.35,39.9003,28.46,0
2025-01-22,32.81,38.4388,28.9,0
2025-01-23,33.12,40.1577,28.92,0
2025-01-24,32.89,41.7139,30.28,0
2025-01-27,33.56,36.8903,30.77,0
2025-01-28,33.5,37.2795,31.42,0
2025-01-29,34.01,38.2888,31.67,0
2025-01-30,34.55,37.8353,32.21,0
2025-01-31,34.48,40.7658,31.8,0
2025-02-03,34.15,35.5958,31.46,0
2025-02-04,34.55,40.8341,30.86,0
