date,entry_close,pred_close,actual_close,correct
2024-06-10,148.59,103.5047,73.44,1
2024-06-11,148.39,102.05,72.89,1
2024-06-12,147.72,114.914,76.61,1
2024-06-13,145.23,115.1141,79.28,1
2024-06-14,140.03,92.0556,79.51,1
2024-06-17,137.9,103.2939,69.68,1
2024-06-18,133.27,97.6102,68.28,1
2024-06-20,134.4,116.7206,69.17,1
2024-06-21,133.4,97.4226,71.99,1
2024-06-24,137.0,122.7415,69.86,1
2024-06-25,137.6,97.5454,68.02,1
2024-06-26,122.45,120.3116,65.69,1
2024-06-27,121.18,102.2019,64.14,1
2024-06-28,118.75,117.3063,63.94,1
2024-07-01,115.95,108.7817,63.64,1
2024-07-02,117.07,107.5973,63.93,1
2024-07-03,115.95,122.6916,65.75,0
2024-07-05,118.32,105.6346,66.83,1
2024-07-08,116.45,109.0161,63.93,1
2024-07-09,116.07,112.0215,63.16,1
2024-07-10,117.44,113.5939,61.07,1
2024-07-11,122.82,112.2934,60.2,1
2024-07-12,121.46,115.6577,58.72,1
2024-07-15,121.48,81.6979,58.39,1
2024-07-16,125.14,100.7848,58.86,1
2024-07-17,124.055,112.7851,56.83,1
2024-07-18,121.32,109.5138,58.29,1
2024-07-19,121.14,111.065,57.73,1
2024-07-22,122.5,122.6871,57.31,0
2024-07-23,121.25,119.7215,57.46,1
2024-07-24,118.19,108.1118,54.82,1
2024-07-25,120.4,109.1541,54.1,1
2024-07-26,122.11,108.6411,53.8,1
2024-07-29,122.17,100.548,53.4,1
2024-07-30,118.84,105.1903,53.39,1
2024-07-31,119.22,100.5889,52.8,1
2024-08-01,94.17,105.7041,53.09,0
2024-08-02,86.58,78.2975,54.8,1
2024-08-05,83.75,91.4783,55.22,0
2024-08-06,82.3,121.8229,54.72,0
2024-08-07,81.55,102.7932,54.36,0
2024-08-08,84.32,103.1283,54.63,0
2024-08-09,84.93,102.2342,53.54,0
2024-08-12,81.29,82.1318,53.29,0
2024-08-13,82.9,103.371,51.81,0
2024-08-14,82.25,97.9167,50.28,0
2024-08-15,86.62,101.8877,46.83,0
2024-08-16,86.84,90.6477,42.75,0
2024-08-19,89.96,126.4367,43.47,0
2024-08-20,86.94,92.7868,42.14,0
2024-08-21,86.65,94.624,39.77,0
2024-08-22,81.04,102.6768,36.85,0
2024-08-23,82.44,97.633,39.51,0
2024-08-26,81.66,100.4657,37.29,0
2024-08-27,78.98,90.4873,36.94,0
2024-08-28,78.36,95.5352,38.25,0
2024-08-29,77.59,100.4309,41.11,0
2024-08-30,77.4,123.4579,43.66,0
2024-09-03,72.94,109.3837,42.05,0
2024-09-04,72.49,121.6137,43.39,0
2024-09-05,73.44,90.1723,43.06,0
2024-09-06,72.89,123.3383,44.26,0
2024-09-09,76.61,111.8594,42.58,0
2024-09-10,79.28,109.829,41.63,0
2024-09-11,79.51,98.622,42.94,0
2024-09-12,69.68,110.4331,44.44,0
2024-09-13,68.28,112.2114,45.65,0
2024-09-16,69.17,124.143,41.51,0
2024-09-17,71.99,105.3084,42.86,0
2024-09-18,69.86,115.3338,42.82,0
2024-09-19,68.02,107.4512,41.83,0
2024-09-20,65.69,105.9181,41.84,0
2024-09-23,64.14,103.3149,40.76,0
2024-09-24,63.94,127.1407,38.36,0
2024-09-25,63.64,112.4088,39.56,0
2024-09-26,63.93,99.2843,39.39,0
2024-09-27,65.75,102.5496,39.59,0
2024-09-30,66.83,118.0887,40.27,0
2024-10-01,63.93,110.8843,40.43,0
2024-10-02,63.16,110.6491,40.13,0
2024-10-03,61.07,104.4851,39.38,0
2024-10-04,60.2,132.8738,41.58,0
2024-10-07,58.72,86.7874,42.0,0
2024-10-08,58.39,107.571,42.18,0
2024-10-09,58.86,104.0642,42.57,0
2024-10-10,56.83,111.1893,47.53,0
2024-10-11,58.29,85.3934,43.17,0
2024-10-14,57.73,120.1577,42.25,0
2024-10-15,57.31,124.5321,35.15,0
2024-10-16,57.46,103.7567,34.46,0
2024-10-17,54.82,103.5937,34.77,0
2024-10-18,54.1,98.984,33.76,0
2024-10-21,53.8,96.706,34.06,0
2024-10-22,53.4,113.4591,35.89,0
2024-10-23,53.39,99.289,38.5,0
2024-10-24,52.8,97.3055,42.39,0
2024-10-25,53.09,115.5288,41.41,0
2024-10-28,54.8,106.9703,41.65,0
2024-10-29,55.22,103.7886,44.94,0
2024-10-30,54.72,119.3592,40.72,0
2024-10-31,54.36,111.7475,41.04,0
2024-11-01,54.63,91.2798,39.42,0
2024-11-04,53.54,110.9926,36.55,0
2024-11-05,53.29,96.5145,34.17,0
2024-11-06,51.81,84.0799,34.98,0
2024-11-07,50.28,99.49,33.61,0
2024-11-08,46.83,103.3231,32.6,0
2024-11-11,42.75,100.8575,31.87,0
2024-11-12,43.47,104.9082,30.93,0
2024-11-13,42.14,71.5814,30.535,0
2024-11-14,39.77,101.8098,31.92,0
2024-11-15,36.85,129.5225,32.99,0
2024-11-18,39.51,101.0782,35.75,0
2024-11-19,37.29,90.155,35.9,0
2024-11-20,36.94,85.2761,33.73,0
2024-11-21,38.25,90.1061,35.53,0
2024-11-22,41.11,87.8038,33.9,0
2024-11-25,43.66,105.852,33.28,0
2024-11-26,42.05,93.4726,33.58,0
2024-11-27,43.39,103.5472,31.09,0
2024-11-29,43.06,110.9731,30.96,0
2024-12-02,44.26,99.8421,30.27,0
2024-12-03,42.58,109.5656,30.37,0
2024-12-04,41.63,95.3762,35.21,0
2024-12-05,42.94,72.6273,34.3,0
2024-12-06,44.44,92.3897,35.61,0
2024-12-09,45.65,75.0252,35.96,0
2024-12-10,41.51,120.0108,33.76,0
2024-12-11,42.86,78.7423,35.01,0
2024-12-12,42.82,97.8764,34.3,0
2024-12-13,41.83,98.9722,34.62,0
2024-12-16,41.84,84.276,34.71,0
2024-12-17,40.76,84.9113,33.81,0
2024-12-18,38.36,89.9847,33.32,0
2024-12-19,39.56,76.4412,32.45,0
2024-12-20,39.39,124.0745,32.66,0
2024-12-23,39.59,75.073,34.17,0
2024-12-24,40.27,90.6796,33.85,0
2024-12-26,40.43,91.7335,31.48,0
2024-12-27,40.13,95.6745,32.12,0
2024-12-30,39.38,70.7343,31.12,0
2024-12-31,41.58,80.4325,28.35,0
2025-01-02,42.0,77.8465,27.16,0
2025-01-03,42.18,84.7216,27.72,0
2025-01-06,42.57,76.321,25.73,0
2025-01-07,47.53,63.8703,25.11,0
