date,entry_close,pred_close,actual_close,correct
2024-06-10,159.992,43.0988,119.57,1
2024-06-11,155.549,75.4581,114.3,1
2024-06-12,160.367,31.607,124.82,1
2024-06-13,148.388,57.9924,129.64,1
2024-06-14,149.554,128.0141,129.28,1
2024-06-17,150.726,60.4676,130.77,1
2024-06-18,146.943,106.8718,141.47,1
2024-06-20,146.54,34.5722,134.53,1
2024-06-21,148.376,46.6705,131.27,1
2024-06-24,137.215,74.1734,132.67,1
2024-06-25,149.574,69.844,144.66,1
2024-06-26,145.773,30.2795,144.78,1
2024-06-27,152.54,111.4802,149.97,1
2024-06-28,137.748,45.2835,153.88,0
2024-07-01,136.597,66.5603,151.94,0
2024-07-02,132.019,65.9802,165.98,0
2024-07-03,130.209,75.7832,176.22,0
2024-07-05,128.172,84.0009,168.6,0
2024-07-08,129.058,131.9779,162.69,1
2024-07-09,130.177,90.2074,164.64,0
2024-07-10,130.572,69.0245,163.41,0
2024-07-11,135.856,102.3277,176.51,0
2024-07-12,139.676,99.9307,186.09,0
2024-07-15,161.128,62.6329,192.2,0
2024-07-16,166.43,60.4008,188.91,0
2024-07-17,159.0,101.8538,183.34,0
2024-07-18,155.516,78.189,212.59,0
2024-07-19,177.85,128.3421,201.67,0
2024-07-22,180.009,54.5624,194.31,0
2024-07-23,172.177,110.5478,194.09,0
2024-07-24,167.269,115.2289,193.42,0
2024-07-25,160.647,31.6631,215.86,0
2024-07-26,175.271,89.0452,219.05,0
2024-07-29,168.485,112.7848,219.7,0
2024-07-30,160.407,91.7812,213.95,0
2024-07-31,161.444,98.2086,235.89,0
2024-08-01,151.181,91.8583,234.34,0
2024-08-02,144.799,74.0233,255.34,0
2024-08-05,130.9,133.4875,258.24,1
2024-08-06,136.921,90.0763,247.31,0
2024-08-07,124.685,124.561,244.5,0
2024-08-08,135.99,54.0501,229.71,0
2024-08-09,135.37,151.2651,222.99,1
2024-08-12,131.46,91.3565,227.8,0
2024-08-13,135.38,137.0932,257.81,1
2024-08-14,130.37,121.1279,270.81,0
2024-08-15,131.93,109.9847,270.42,0
2024-08-16,133.04,96.3992,340.0,0
2024-08-19,135.35,128.133,356.59,0
2024-08-20,133.69,115.5906,328.38,0
2024-08-21,141.42,93.5772,327.67,0
2024-08-22,133.81,105.3229,340.65,0
2024-08-23,150.01,97.5065,384.79,0
2024-08-26,146.9,132.7089,430.54,0
2024-08-27,140.01,126.0042,473.83,0
2024-08-28,132.09,142.6909,397.28,1
2024-08-29,132.56,125.1585,421.88,0
2024-08-30,132.42,122.2307,403.45,0
2024-09-03,122.32,92.7752,353.69,0
2024-09-04,124.85,88.1472,388.84,0
2024-09-05,119.57,117.8527,387.47,0
2024-09-06,114.3,93.5355,380.3,0
2024-09-09,124.82,129.0328,373.43,1
2024-09-10,129.64,127.4564,406.0,0
2024-09-11,129.28,130.0851,386.4,1
2024-09-12,130.77,118.3335,395.01,0
2024-09-13,141.47,134.556,365.34,0
2024-09-16,134.53,124.6906,377.32,0
2024-09-17,131.27,106.259,411.4,0
2024-09-18,132.67,120.0559,392.19,0
2024-09-19,144.66,132.1272,408.67,0
2024-09-20,144.78,89.1491,408.5,0
2024-09-23,149.97,133.8864,386.42,0
2024-09-24,153.88,137.0677,349.64,0
2024-09-25,151.94,105.6919,326.46,0
2024-09-26,165.98,113.7533,364.2,0
2024-09-27,176.22,89.1104,332.23,0
2024-09-30,168.6,124.8874,358.18,0
2024-10-01,162.69,142.4146,341.05,0
2024-10-02,164.64,111.5336,330.0,0
2024-10-03,163.41,127.3539,302.96,0
2024-10-04,176.51,123.7253,289.62,0
2024-10-07,186.09,89.2496,300.01,0
2024-10-08,192.2,122.5936,339.66,0
2024-10-09,188.91,157.0703,379.09,0
