date,entry_close,pred_close,actual_close,correct
2024-06-10,1.09,2.0321,0.97,0
2024-06-11,1.08,2.2291,0.98,0
2024-06-12,1.03,2.1937,0.99,0
2024-06-13,1.0,2.0915,1.08,1
2024-06-14,0.99,2.28,1.01,1
2024-06-17,0.97,2.2182,0.97,0
2024-06-18,0.89,1.9009,0.99,1
2024-06-20,0.9,2.2158,1.08,1
2024-06-21,0.97,1.8347,1.15,1
2024-06-24,1.03,2.186,1.13,1
2024-06-25,1.02,2.2767,1.15,1
2024-06-26,1.07,2.0423,1.13,1
2024-06-27,1.1,2.1126,1.07,0
2024-06-28,1.06,1.8218,1.13,1
2024-07-01,1.05,2.4585,1.2,1
2024-07-02,1.06,1.8519,1.2,1
2024-07-03,1.11,1.426,1.16,1
2024-07-05,1.1,2.3571,1.14,1
2024-07-08,1.12,1.8854,1.12,0
2024-07-09,1.09,2.1513,1.17,1
2024-07-10,1.1,1.846,1.15,1
2024-07-11,1.1,1.6635,1.2,1
2024-07-12,1.24,1.6304,1.29,1
2024-07-15,1.28,1.6412,1.25,0
2024-07-16,1.36,1.3729,1.27,0
2024-07-17,1.29,1.5286,1.26,0
2024-07-18,1.22,1.5616,1.29,1
2024-07-19,1.13,2.8868,1.33,1
2024-07-22,1.12,1.9674,1.2,1
2024-07-23,1.12,2.4641,1.13,1
2024-07-24,1.07,1.2394,1.11,1
2024-07-25,1.16,2.1848,1.12,0
2024-07-26,1.12,1.6619,1.11,0
2024-07-29,1.06,1.5011,1.11,1
2024-07-30,1.03,1.6904,1.1,1
2024-07-31,1.07,1.7179,1.08,1
2024-08-01,0.98,1.6086,1.07,1
2024-08-02,1.02,1.3076,1.08,1
2024-08-05,0.94,1.2465,1.06,1
2024-08-06,0.93,2.1441,1.03,1
2024-08-07,0.83,2.0402,1.01,1
2024-08-08,0.9,2.0045,1.02,1
2024-08-09,0.86,1.349,1.0,1
2024-08-12,0.85,1.5706,1.03,1
2024-08-13,0.88,1.6184,1.08,1
2024-08-14,0.85,2.1664,1.04,1
2024-08-15,0.94,1.7361,1.07,1
2024-08-16,0.96,1.3372,1.09,1
2024-08-19,0.93,1.3051,0.99,1
2024-08-20,0.89,1.3264,0.95,1
2024-08-21,0.91,1.6347,0.95,1
2024-08-22,0.89,1.7058,0.89,0
2024-08-23,0.96,1.66,0.87,0
2024-08-26,0.94,1.8135,0.9,0
2024-08-27,0.92,1.7209,0.93,1
2024-08-28,0.88,1.3719,0.97,1
2024-08-29,0.91,1.5481,1.02,1
2024-08-30,0.95,1.5,0.98,1
2024-09-03,0.9,1.2649,0.91,1
2024-09-04,0.89,1.2297,0.9,1
2024-09-05,0.97,1.3648,0.9,0
2024-09-06,0.98,1.6116,0.9,0
2024-09-09,0.99,1.5094,0.88,0
2024-09-10,1.08,1.4866,0.85,0
2024-09-11,1.01,1.4775,0.85,0
2024-09-12,0.97,1.1094,0.89,0
2024-09-13,0.99,1.3839,0.89,0
2024-09-16,1.08,1.3591,0.87,0
2024-09-17,1.15,1.0753,0.88,1
2024-09-18,1.13,1.3811,0.83,0
2024-09-19,1.15,1.4544,0.82,0
2024-09-20,1.13,1.1467,0.83,0
2024-09-23,1.07,1.1582,0.81,0
2024-09-24,1.13,1.613,0.91,0
2024-09-25,1.2,1.5621,0.95,0
2024-09-26,1.2,1.4377,0.99,0
2024-09-27,1.16,1.058,1.1,1
2024-09-30,1.14,1.2474,1.11,0
2024-10-01,1.12,1.0393,1.39,0
2024-10-02,1.17,1.3838,1.51,1
2024-10-03,1.15,0.8006,1.64,0
2024-10-04,1.2,1.2021,1.31,1
2024-10-07,1.29,1.4439,1.36,1
2024-10-08,1.25,1.4634,1.5,1
2024-10-09,1.27,1.2276,1.39,0
2024-10-10,1.26,1.2627,1.4,1
2024-10-11,1.29,1.8062,1.19,0
2024-10-14,1.33,1.1295,1.27,1
