date,entry_close,pred_close,actual_close,correct
2024-06-10,17.58,17.6325,17.11,0
2024-06-11,17.5,18.3131,16.95,0
2024-06-12,18.0,17.1847,17.5,1
2024-06-13,17.9,16.2701,17.77,1
2024-06-14,16.56,17.7837,18.7,1
2024-06-17,16.91,19.0804,19.03,1
2024-06-18,16.97,17.8552,19.33,1
2024-06-20,17.18,16.6673,19.85,0
2024-06-21,17.29,18.2653,19.76,1
2024-06-24,17.4,16.2788,19.84,0
2024-06-25,18.29,16.7054,20.21,0
2024-06-26,18.6,17.3879,20.89,0
2024-06-27,18.64,17.0929,20.99,0
2024-06-28,18.79,17.0793,20.96,0
2024-07-01,17.68,17.7921,20.19,1
2024-07-02,17.61,17.2315,21.08,0
2024-07-03,17.54,17.3468,20.95,0
2024-07-05,17.48,17.0453,20.51,0
2024-07-08,18.12,18.4714,19.91,1
2024-07-09,18.66,17.9566,19.86,0
2024-07-10,18.75,17.2877,19.44,0
2024-07-11,19.09,15.6869,20.39,0
2024-07-12,19.53,18.4066,20.09,0
2024-07-15,19.57,18.4042,20.8,0
2024-07-16,20.37,18.843,23.07,0
2024-07-17,19.86,18.1204,23.02,0
2024-07-18,19.64,17.2684,23.38,0
2024-07-19,19.66,16.717,23.35,0
2024-07-22,19.73,16.3281,24.3,0
2024-07-23,20.32,14.9157,24.56,0
2024-07-24,19.22,18.3038,24.11,0
2024-07-25,18.36,16.5372,23.81,0
2024-07-26,18.47,15.8359,23.71,0
2024-07-29,18.54,15.7393,23.92,0
2024-07-30,18.56,16.2296,23.4,0
2024-07-31,18.43,17.6148,23.22,0
2024-08-01,17.35,16.6008,23.16,0
2024-08-02,15.93,19.1681,23.8,1
2024-08-05,15.33,17.4552,24.11,1
2024-08-06,15.5,16.1205,23.84,1
2024-08-07,14.84,17.7589,25.34,1
2024-08-08,15.52,16.9798,24.88,1
2024-08-09,15.74,16.9162,25.15,1
2024-08-12,15.34,17.1827,25.94,1
2024-08-13,15.57,15.7806,27.76,1
2024-08-14,15.43,19.0551,27.05,1
2024-08-15,16.3,15.6634,27.32,0
2024-08-16,16.09,16.1312,27.82,1
2024-08-19,16.14,18.9843,27.87,1
2024-08-20,15.92,19.8779,27.3,1
2024-08-21,16.44,17.7022,26.68,1
2024-08-22,16.24,17.0547,26.42,1
2024-08-23,17.5,18.5233,26.1,1
2024-08-26,17.45,16.9427,26.34,0
2024-08-27,18.08,19.6629,26.04,1
2024-08-28,18.0,19.3475,26.76,1
2024-08-29,17.85,18.4804,26.86,1
2024-08-30,17.89,16.5592,27.15,0
2024-09-03,17.61,19.9468,27.18,1
2024-09-04,17.29,18.2698,26.92,1
2024-09-05,17.11,16.5266,26.89,0
2024-09-06,16.95,17.1184,28.35,1
2024-09-09,17.5,15.9127,27.38,0
2024-09-10,17.77,17.97,27.68,1
2024-09-11,18.7,17.7582,27.62,0
2024-09-12,19.03,18.8692,27.65,0
2024-09-13,19.33,18.1791,25.96,0
2024-09-16,19.85,17.6154,26.4,0
2024-09-17,19.76,18.3243,27.5,0
2024-09-18,19.84,18.6906,26.81,0
2024-09-19,20.21,18.5239,26.8,0
2024-09-20,20.89,17.4024,26.62,0
2024-09-23,20.99,17.291,26.39,0
2024-09-24,20.96,16.2702,25.1,0
2024-09-25,20.19,18.4424,25.41,0
2024-09-26,21.08,17.7403,26.91,0
2024-09-27,20.95,15.2851,26.13,0
2024-09-30,20.51,17.2157,26.42,0
2024-10-01,19.91,17.4227,26.34,0
2024-10-02,19.86,16.4295,25.75,0
2024-10-03,19.44,18.9174,25.75,0
2024-10-04,20.39,17.9347,25.73,0
2024-10-07,20.09,18.1485,25.92,0
2024-10-08,20.8,19.1299,25.42,0
2024-10-09,23.07,17.3371,25.64,0
2024-10-10,23.02,20.9202,25.51,0
2024-10-11,23.38,18.8918,25.92,0
2024-10-14,23.35,18.4423,25.79,0
2024-10-15,24.3,18.1256,25.63,0
2024-10-16,24.56,15.6746,26.0,0
2024-10-17,24.11,16.6554,26.02,0
2024-10-18,23.81,16.6868,26.44,0
2024-10-21,23.71,16.5178,27.17,0
2024-10-22,23.92,17.7313,27.04,0
2024-10-23,23.4,18.9163,26.26,0
2024-10-24,23.22,18.6295,26.42,0
2024-10-25,23.16,21.5195,25.68,0
2024-10-28,23.8,18.7372,26.39,0
2024-10-29,24.11,20.1887,28.44,0
2024-10-30,23.84,18.1474,28.46,0
2024-10-31,25.34,19.3266,29.07,0
2024-11-01,24.88,17.5645,28.35,0
