date,entry_close,pred_close,actual_close,correct
2024-06-10,30.21,29.2305,30.23,0
2024-06-11,30.42,30.8398,30.05,0
2024-06-12,31.26,30.7949,29.89,1
2024-06-13,31.38,31.1576,29.0,1
2024-06-14,31.69,29.497,29.17,1
2024-06-17,31.34,32.6966,29.1,0
2024-06-18,31.49,29.5445,29.39,1
2024-06-20,31.3,32.0081,29.69,0
2024-06-21,31.69,30.5907,29.72,1
2024-06-24,31.52,30.7164,29.88,1
2024-06-25,31.5,30.6396,30.73,1
2024-06-26,31.47,31.0485,30.44,1
2024-06-27,31.36,31.0276,30.09,1
2024-06-28,31.45,27.5738,30.61,1
2024-07-01,31.25,31.0484,30.04,1
2024-07-02,31.48,31.077,30.88,1
2024-07-03,31.26,30.3082,31.29,0
2024-07-05,31.5,28.9543,31.59,0
2024-07-08,31.38,29.2025,31.11,1
2024-07-09,31.12,30.3087,31.01,1
2024-07-10,30.6,31.8399,30.89,1
2024-07-11,31.75,31.8437,30.97,0
2024-07-12,31.36,30.9042,30.14,1
2024-07-15,31.325,31.5474,31.09,0
2024-07-16,32.66,30.7786,32.06,1
2024-07-17,32.95,28.2134,33.46,0
2024-07-18,32.36,30.2891,34.51,0
2024-07-19,31.98,30.0505,35.07,0
2024-07-22,33.14,30.744,35.05,0
2024-07-23,33.3,31.0285,36.06,0
2024-07-24,32.04,29.6817,36.22,0
2024-07-25,32.32,29.7477,36.58,0
2024-07-26,33.54,32.7227,37.21,0
2024-07-29,33.07,30.5446,36.95,0
2024-07-30,32.85,28.482,37.55,0
2024-07-31,32.76,27.5692,38.25,0
2024-08-01,32.14,29.8698,37.83,0
2024-08-02,31.45,31.4732,38.19,1
2024-08-05,30.73,28.9955,38.42,0
2024-08-06,30.99,29.7603,38.38,0
2024-08-07,31.45,29.5159,37.3,0
2024-08-08,32.1,28.9345,37.33,0
2024-08-09,32.1,30.9405,36.82,0
2024-08-12,31.55,32.0652,37.55,1
2024-08-13,32.35,31.7672,40.15,0
2024-08-14,33.1,32.7658,41.99,0
2024-08-15,34.425,29.5103,42.53,0
2024-08-16,34.24,31.8188,42.64,0
2024-08-19,34.37,32.3008,42.33,0
2024-08-20,34.29,29.8067,41.49,0
2024-08-21,34.34,34.1215,40.71,0
2024-08-22,34.25,31.9391,40.22,0
2024-08-23,35.0,32.1623,40.0,0
2024-08-26,34.65,33.7501,40.05,0
