date,entry_close,pred_close,actual_close,correct
2024-06-10,71.72,75.6445,78.4,1
2024-06-11,72.63,83.2009,76.05,1
2024-06-12,75.42,81.6693,76.24,1
2024-06-13,73.51,78.5699,76.81,1
2024-06-14,75.59,86.6494,78.56,1
2024-06-17,77.68,89.7099,78.86,1
2024-06-18,79.08,76.4216,78.59,1
2024-06-20,78.45,76.3126,79.93,0
2024-06-21,77.94,79.4911,79.11,1
2024-06-24,78.6,78.4412,78.09,1
2024-06-25,80.66,76.0498,82.83,0
2024-06-26,79.28,75.5073,82.45,0
2024-06-27,81.79,73.3276,85.61,0
2024-06-28,82.83,81.5773,85.5,0
2024-07-01,83.95,87.8715,83.41,0
2024-07-02,85.05,78.1792,82.36,1
2024-07-03,84.53,81.1464,81.59,1
2024-07-05,86.96,78.5705,80.89,1
2024-07-08,84.88,79.0011,78.11,1
2024-07-09,82.58,84.1595,79.34,0
2024-07-10,82.37,72.1222,79.43,1
2024-07-11,82.02,72.5921,83.43,0
2024-07-12,82.21,81.8363,80.49,1
2024-07-15,83.43,66.4323,81.76,1
2024-07-16,83.95,78.9512,84.95,0
2024-07-17,80.58,82.1272,92.46,1
2024-07-18,78.52,74.357,93.47,0
2024-07-19,78.66,76.005,93.75,0
2024-07-22,78.66,73.7787,93.8,0
2024-07-23,80.97,78.544,91.34,0
2024-07-24,76.0,87.5065,90.4,1
2024-07-25,78.04,89.9581,90.8,1
2024-07-26,78.06,70.4108,90.74,0
2024-07-29,77.37,80.6911,88.46,1
2024-07-30,76.03,78.8974,87.64,1
2024-07-31,77.5,78.497,89.57,1
2024-08-01,74.4,72.3592,88.76,0
2024-08-02,79.46,84.7187,87.94,1
2024-08-05,77.7,82.7752,89.52,1
2024-08-06,76.24,80.0042,89.85,1
2024-08-07,76.37,76.1606,87.71,0
2024-08-08,76.82,73.669,87.55,0
2024-08-09,77.71,74.4538,86.49,0
2024-08-12,76.63,70.8565,87.71,0
2024-08-13,81.75,79.0736,92.51,0
2024-08-14,81.46,81.7062,95.66,1
2024-08-15,82.16,84.6619,91.25,1
2024-08-16,82.38,68.8298,93.23,0
2024-08-19,84.07,80.3862,90.91,0
2024-08-20,82.33,84.168,94.16,1
2024-08-21,82.37,78.7199,91.93,0
2024-08-22,80.63,81.0483,89.77,1
2024-08-23,82.39,80.7697,92.29,0
2024-08-26,81.64,77.4735,96.37,0
2024-08-27,81.26,86.1054,96.47,1
2024-08-28,79.85,84.307,104.24,1
2024-08-29,81.28,77.7713,104.23,0
2024-08-30,82.14,85.4584,103.73,1
2024-09-03,78.11,84.2686,102.23,1
2024-09-04,78.03,89.1209,99.37,1
2024-09-05,78.4,80.2839,99.83,1
2024-09-06,76.05,83.3687,105.05,1
2024-09-09,76.24,78.859,104.91,1
2024-09-10,76.81,84.8493,110.72,1
2024-09-11,78.56,80.5524,110.46,1
2024-09-12,78.86,81.5356,112.96,1
2024-09-13,78.59,84.4623,113.87,1
2024-09-16,79.93,91.0767,111.2,1
2024-09-17,79.11,85.5356,114.51,1
2024-09-18,78.09,86.7259,114.89,1
2024-09-19,82.83,90.9585,113.6,1
2024-09-20,82.45,79.4381,114.65,0
2024-09-23,85.61,83.3837,117.56,0
2024-09-24,85.5,88.1854,109.1,1
2024-09-25,83.41,84.8695,108.58,1
2024-09-26,82.36,77.9863,112.69,0
2024-09-27,81.59,77.8968,111.58,0
2024-09-30,80.89,77.2026,112.58,0
2024-10-01,78.11,76.287,112.61,0
2024-10-02,79.34,85.7282,110.61,1
2024-10-03,79.43,79.6208,109.03,1
2024-10-04,83.43,84.9309,107.68,1
2024-10-07,80.49,75.9615,112.54,0
2024-10-08,81.76,77.122,114.73,0
2024-10-09,84.95,85.8718,113.99,1
2024-10-10,92.46,84.3625,113.67,0
2024-10-11,93.47,78.3012,115.7,0
2024-10-14,93.75,77.1558,112.62,0
2024-10-15,93.8,87.1391,110.71,0
2024-10-16,91.34,74.58,112.0,0
2024-10-17,90.4,86.2648,114.48,0
2024-10-18,90.8,79.1635,114.82,0
2024-10-21,90.74,78.1829,117.16,0
2024-10-22,88.46,83.5145,119.85,0
2024-10-23,87.64,84.5497,123.09,0
2024-10-24,89.57,85.725,123.93,0
2024-10-25,88.76,82.6207,125.12,0
2024-10-28,87.94,80.2038,126.47,0
2024-10-29,89.52,84.8229,139.98,0
2024-10-30,89.85,82.6548,136.44,0
2024-10-31,87.71,92.186,137.26,1
2024-11-01,87.55,84.3586,138.4,0
2024-11-04,86.49,95.0767,136.84,1
2024-11-05,87.71,78.3026,140.14,0
2024-11-06,92.51,85.9145,144.29,0
2024-11-07,95.66,81.0667,141.52,0
2024-11-08,91.25,93.1995,166.66,1
2024-11-11,93.23,79.5715,172.49,0
2024-11-12,90.91,89.4984,172.55,0
2024-11-13,94.16,89.9728,172.83,0
2024-11-14,91.93,87.1045,176.5,0
2024-11-15,89.77,87.7523,171.16,0
2024-11-18,92.29,78.7245,168.81,0
2024-11-19,96.37,93.9183,160.59,0
2024-11-20,96.47,94.1137,156.38,0
2024-11-21,104.24,89.5501,151.96,0
2024-11-22,104.23,86.6643,148.0,0
2024-11-25,103.73,90.3242,143.14,0
2024-11-26,102.23,83.9911,144.92,0
2024-11-27,99.37,84.6903,140.72,0
2024-11-29,99.83,91.4153,145.3,0
2024-12-02,105.05,92.6894,142.91,0
2024-12-03,104.91,86.3722,140.93,0
2024-12-04,110.72,86.1998,143.75,0
2024-12-05,110.46,82.7863,131.02,0
2024-12-06,112.96,85.263,126.75,0
2024-12-09,113.87,91.6985,116.61,0
2024-12-10,111.2,89.7398,120.07,0
2024-12-11,114.51,97.948,119.4,0
2024-12-12,114.89,86.0323,113.7,1
2024-12-13,113.6,92.6536,116.15,0
2024-12-16,114.65,84.156,116.02,0
2024-12-17,117.56,75.5233,115.12,1
2024-12-18,109.1,87.8157,117.58,0
2024-12-19,108.58,86.6533,117.94,0
2024-12-20,112.69,92.5253,119.22,0
2024-12-23,111.58,77.1912,123.93,0
2024-12-24,112.58,87.5645,127.5,0
2024-12-26,112.61,87.2278,121.15,0
2024-12-27,110.61,94.0939,118.57,0
2024-12-30,109.03,92.5266,114.92,0
2024-12-31,107.68,85.3864,112.69,0
2025-01-02,112.54,79.0553,115.66,0
2025-01-03,114.73,104.0495,119.55,0
2025-01-06,113.99,93.5856,107.39,1
2025-01-07,113.67,85.2463,97.08,1
2025-01-08,115.7,85.6284,98.36,1
2025-01-10,112.62,83.73,97.45,1
2025-01-13,110.71,92.7174,112.56,0
2025-01-14,112.0,90.115,105.5,1
2025-01-15,114.48,87.5627,106.25,1
2025-01-16,114.82,74.6412,107.12,1
2025-01-17,117.16,85.5738,109.14,1
2025-01-21,119.85,92.71,109.55,1
2025-01-22,123.09,88.3396,107.9,1
2025-01-23,123.93,93.953,102.11,1
2025-01-24,125.12,89.5644,106.81,1
2025-01-27,126.47,88.5966,112.8,1
2025-01-28,139.98,85.9881,118.87,1
2025-01-29,136.44,74.1979,121.0,1
2025-01-30,137.26,88.8894,121.0,1
2025-01-31,138.4,90.1481,122.23,1
2025-02-03,136.84,102.6002,120.78,1
2025-02-04,140.14,90.1381,122.61,1
2025-02-05,144.29,91.9793,124.23,1
2025-02-06,141.52,87.0389,124.64,1
2025-02-07,166.66,95.6434,122.29,1
2025-02-10,172.49,109.0843,121.71,1
2025-02-11,172.55,96.6328,124.31,1
2025-02-12,172.83,89.2395,132.34,1
2025-02-13,176.5,89.7762,142.36,1
2025-02-14,171.16,87.1521,150.36,1
2025-02-18,168.81,97.2581,154.49,1
2025-02-19,160.59,79.4947,152.8,1
2025-02-20,156.38,93.7829,157.19,0
2025-02-21,151.96,81.6847,157.52,0
2025-02-24,148.0,90.0581,157.42,0
2025-02-25,143.14,85.6132,156.52,0
2025-02-26,144.92,91.7772,158.21,0
2025-02-27,140.72,78.4305,158.04,0
2025-02-28,145.3,76.2016,161.76,0
2025-03-03,142.91,99.8782,161.98,0
2025-03-04,140.93,85.1909,164.16,0
2025-03-05,143.75,95.9078,165.89,0
2025-03-06,131.02,66.8837,169.7,0
2025-03-07,126.75,93.2216,172.57,0
2025-03-10,116.61,98.315,170.92,0
2025-03-11,120.07,86.205,176.33,0
2025-03-12,119.4,94.4097,179.67,0
2025-03-13,113.7,93.4619,177.8,0
2025-03-14,116.15,99.7009,179.34,0
2025-03-17,116.02,96.8439,179.71,0
2025-03-18,115.12,74.8516,170.81,0
2025-03-19,117.58,99.3592,171.97,0
2025-03-20,117.94,97.0632,179.27,0
2025-03-21,119.22,97.7256,181.23,0
2025-03-24,123.93,97.8769,181.4,0
2025-03-25,127.5,93.1347,179.3,0
2025-03-26,121.15,107.3254,183.87,0
2025-03-27,118.57,101.3814,186.43,0
2025-03-28,114.92,87.5553,190.12,0
2025-03-31,112.69,96.2036,190.96,0
2025-04-01,115.66,97.8759,194.05,0
2025-04-02,119.55,73.0735,195.83,0
2025-04-03,107.39,92.5802,184.95,0
2025-04-04,97.08,101.2783,185.64,1
2025-04-07,98.36,91.7249,191.27,0
2025-04-08,97.45,88.1519,192.85,0
2025-04-09,112.56,115.3876,192.81,1
2025-04-10,105.5,92.6689,193.49,0
2025-04-11,106.25,113.7806,181.92,1
2025-04-14,107.12,109.3981,181.39,1
2025-04-15,109.14,101.3495,182.9,0
2025-04-16,109.55,100.3146,186.97,0
2025-04-17,107.9,95.0535,189.81,0
2025-04-21,102.11,116.9222,191.25,1
2025-04-22,106.81,102.2128,197.35,0
2025-04-23,112.8,101.1393,197.76,0
2025-04-24,118.87,103.1882,190.55,0
2025-04-25,121.0,103.8612,189.15,0
2025-04-28,121.0,96.0917,191.58,0
2025-04-29,122.23,107.3191,198.42,0
2025-04-30,120.78,95.8293,199.41,0
2025-05-01,122.61,92.3834,199.43,0
2025-05-02,124.23,105.8978,200.85,0
2025-05-05,124.64,107.0828,207.68,0
2025-05-06,122.29,110.3485,200.11,0
2025-05-07,121.71,99.3191,208.8,0
2025-05-08,124.31,108.6722,207.81,0
2025-05-09,132.34,98.8858,215.53,0
2025-05-12,142.36,88.8674,210.44,0
2025-05-13,150.36,92.0953,204.6,0
2025-05-14,154.49,90.6011,201.17,0
2025-05-15,152.8,85.2677,202.33,0
2025-05-16,157.19,100.4034,199.34,0
2025-05-19,157.52,107.7286,195.38,0
2025-05-20,157.42,86.2659,200.91,0
2025-05-21,156.52,88.9471,202.37,0
2025-05-22,158.21,99.8702,196.51,0
2025-05-23,158.04,99.1812,193.2,0
2025-05-27,161.76,111.4943,192.77,0
2025-05-28,161.98,106.6849,196.17,0
2025-05-29,164.16,115.6662,195.88,0
2025-05-30,165.89,84.0963,198.55,0
2025-06-02,169.7,119.3039,205.24,0
2025-06-03,172.57,109.8819,213.42,0
2025-06-04,170.92,110.1988,208.71,0
2025-06-05,176.33,100.711,208.05,0
2025-06-06,179.67,101.8748,205.71,0
2025-06-09,177.8,102.3178,209.98,0
2025-06-10,179.34,114.6193,214.43,0
2025-06-11,179.71,117.2161,217.92,0
2025-06-12,170.81,89.0282,218.56,0
