date,entry_close,pred_close,actual_close,correct
2024-05-17,2.11,1.1278,2.39,0
2024-05-20,2.1,1.179,2.4,0
2024-05-21,2.08,1.4006,2.56,0
2024-05-22,1.95,1.3735,2.64,0
2024-05-23,1.89,1.2924,2.66,0
2024-05-24,1.97,1.3154,2.69,0
2024-05-28,2.11,1.2237,2.63,0
2024-05-29,2.08,1.2592,2.65,0
2024-05-30,2.2,1.0798,2.65,0
2024-05-31,2.19,1.4343,2.6,0
2024-06-03,2.13,1.3953,2.47,0
2024-06-04,2.04,1.3205,2.49,0
2024-06-05,2.05,0.9461,2.51,0
2024-06-06,2.13,1.2161,2.34,0
2024-06-07,1.97,1.438,2.36,0
2024-06-10,1.95,1.3898,2.4,0
2024-06-11,1.99,1.5235,2.33,0
2024-06-12,1.99,1.3657,2.37,0
2024-06-13,1.95,1.4549,2.49,0
2024-06-14,1.97,1.5539,2.64,0
2024-06-17,1.92,1.4121,2.89,0
2024-06-18,1.96,1.1404,3.1,0
2024-06-20,2.0,1.1778,3.13,0
2024-06-21,1.94,1.2492,3.05,0
2024-06-24,1.96,1.1587,2.99,0
2024-06-25,1.94,1.406,3.05,0
2024-06-26,1.95,1.2347,3.11,0
2024-06-27,1.99,1.5069,3.12,0
2024-06-28,1.95,1.3966,3.19,0
2024-07-01,1.95,1.3814,3.14,0
2024-07-02,1.97,1.3829,3.11,0
2024-07-03,2.11,1.307,2.97,0
2024-07-05,2.14,1.4043,2.88,0
2024-07-08,2.19,1.3995,2.96,0
2024-07-09,2.25,1.3351,2.92,0
2024-07-10,2.38,1.2786,2.85,0
2024-07-11,2.4,1.1122,2.8,0
2024-07-12,2.37,1.5053,2.76,0
2024-07-15,2.35,1.4918,2.71,0
2024-07-16,2.41,1.2982,2.74,0
2024-07-17,2.31,1.3842,2.81,0
2024-07-18,2.27,1.3061,2.82,0
2024-07-19,2.22,1.7149,2.85,0
2024-07-22,2.19,1.1394,2.85,0
2024-07-23,2.2,1.4832,2.93,0
2024-07-24,2.15,1.3602,2.88,0
2024-07-25,2.07,1.1479,3.03,0
2024-07-26,2.02,1.4297,2.97,0
2024-07-29,2.08,1.4285,3.01,0
2024-07-30,2.06,1.3021,2.92,0
2024-07-31,2.31,1.4414,2.92,0
2024-08-01,2.3,1.4704,2.88,0
2024-08-02,2.19,1.5461,2.86,0
2024-08-05,2.11,1.1307,2.91,0
2024-08-06,2.15,1.4232,2.85,0
2024-08-07,2.05,1.6569,2.75,0
2024-08-08,2.12,1.3766,2.77,0
2024-08-09,2.17,1.3422,2.76,0
2024-08-12,2.33,1.7136,2.74,0
2024-08-13,2.42,1.5008,2.69,0
2024-08-14,2.39,1.7822,2.83,0
2024-08-15,2.4,1.4214,2.74,0
2024-08-16,2.56,1.6846,2.53,1
2024-08-19,2.64,1.654,2.54,1
2024-08-20,2.66,1.7487,2.48,1
2024-08-21,2.69,1.7264,2.55,1
2024-08-22,2.63,1.6909,2.53,1
2024-08-23,2.65,2.0494,2.67,0
2024-08-26,2.65,2.0038,2.78,0
2024-08-27,2.6,1.808,2.78,0
2024-08-28,2.47,1.931,2.88,0
2024-08-29,2.49,1.7779,2.83,0
2024-08-30,2.51,1.5331,2.66,0
2024-09-03,2.34,2.0347,2.71,0
2024-09-04,2.36,1.643,2.74,0
2024-09-05,2.4,1.7242,2.75,0
2024-09-06,2.33,1.8873,2.72,0
2024-09-09,2.37,1.819,2.91,0
2024-09-10,2.49,1.9629,2.9,0
2024-09-11,2.64,1.6199,2.87,0
2024-09-12,2.89,1.8861,2.82,1
2024-09-13,3.1,1.7546,2.9,1
2024-09-16,3.13,1.9879,2.91,1
2024-09-17,3.05,2.1382,3.08,0
2024-09-18,2.99,1.8456,2.87,1
2024-09-19,3.05,1.2986,2.77,1
2024-09-20,3.11,1.623,2.7,1
2024-09-23,3.12,2.1732,2.66,1
2024-09-24,3.19,1.3363,2.52,1
2024-09-25,3.14,1.9321,2.48,1
2024-09-26,3.11,2.0389,2.51,1
2024-09-27,2.97,2.1118,2.52,1
2024-09-30,2.88,1.5951,2.52,1
2024-10-01,2.96,1.7646,2.52,1
2024-10-02,2.92,1.3957,2.49,1
2024-10-03,2.85,1.6445,2.47,1
2024-10-04,2.8,1.5461,2.48,1
2024-10-07,2.76,1.4414,2.62,1
2024-10-08,2.71,2.0052,2.59,1
2024-10-09,2.74,1.4665,2.54,1
2024-10-10,2.81,1.9505,2.61,1
2024-10-11,2.82,1.9107,2.74,1
2024-10-14,2.85,1.644,2.71,1
2024-10-15,2.85,2.3087,2.63,1
2024-10-16,2.93,1.9923,2.77,1
2024-10-17,2.88,2.1525,2.73,1
2024-10-18,3.03,1.3994,2.75,1
2024-10-21,2.97,1.9967,2.75,1
2024-10-22,3.01,2.0274,2.82,1
2024-10-23,2.92,2.3405,2.81,1
2024-10-24,2.92,1.8728,2.81,1
2024-10-25,2.88,1.4197,2.91,0
2024-10-28,2.86,1.7841,2.81,1
2024-10-29,2.91,2.0671,2.87,1
2024-10-30,2.85,1.93,2.89,0
2024-10-31,2.75,2.0704,3.04,0
2024-11-01,2.77,2.1341,3.02,0
2024-11-04,2.76,2.4787,2.89,0
2024-11-05,2.74,2.2064,3.03,0
2024-11-06,2.69,2.3381,3.11,0
2024-11-07,2.83,2.2364,2.99,0
2024-11-08,2.74,2.2295,3.0,0
2024-11-11,2.53,2.4555,3.14,0
2024-11-12,2.54,2.2255,3.01,0
2024-11-13,2.48,2.0214,3.0,0
2024-11-14,2.55,2.1831,3.03,0
2024-11-15,2.53,2.3481,2.91,0
2024-11-18,2.67,2.2642,2.96,0
2024-11-19,2.78,2.4171,2.88,0
2024-11-20,2.78,2.5282,3.01,0
2024-11-21,2.88,2.2681,2.82,1
2024-11-22,2.83,2.0108,2.84,0
2024-11-25,2.66,2.5632,2.72,0
2024-11-26,2.71,2.5938,2.83,0
2024-11-27,2.74,2.5171,2.7,1
2024-11-29,2.75,2.4543,2.72,1
2024-12-02,2.72,2.3189,2.67,1
2024-12-03,2.91,2.3664,2.68,1
2024-12-04,2.9,2.0729,2.82,1
2024-12-05,2.87,2.1411,2.82,1
2024-12-06,2.82,2.4753,2.9,0
2024-12-09,2.9,2.1607,2.79,1
