date,entry_close,pred_close,actual_close,correct
2024-06-10,175.08,224.9178,162.44,0
2024-06-11,174.94,226.7136,159.14,0
2024-06-12,174.18,212.1807,161.68,0
2024-06-13,168.15,202.1606,160.66,0
2024-06-14,167.9,207.2273,162.12,0
2024-06-17,167.06,209.6176,163.55,0
2024-06-18,166.65,216.5964,164.93,0
2024-06-20,164.64,207.9624,161.46,0
2024-06-21,164.67,206.7209,162.75,0
2024-06-24,162.29,201.0308,162.98,1
2024-06-25,162.2,211.9314,165.83,1
2024-06-26,162.57,217.8773,164.89,1
2024-06-27,168.69,200.9131,166.94,0
2024-06-28,171.97,214.3679,170.89,0
2024-07-01,168.6,216.6904,170.32,1
2024-07-02,169.54,220.3397,168.97,0
2024-07-03,169.89,184.3981,171.44,1
2024-07-05,171.19,193.2324,173.67,1
2024-07-08,173.72,203.089,164.71,0
2024-07-09,172.72,209.6774,166.18,0
2024-07-10,171.56,224.3194,166.98,0
2024-07-11,170.51,218.7362,171.03,1
2024-07-12,174.19,209.2104,170.39,0
2024-07-15,178.32,230.6266,166.65,0
2024-07-16,181.73,211.1567,165.6,0
2024-07-17,180.79,207.0753,165.67,0
2024-07-18,178.14,210.0723,171.09,0
2024-07-19,176.9,198.4776,173.29,0
2024-07-22,181.43,211.1004,177.72,0
2024-07-23,184.0,212.2571,177.88,0
2024-07-24,180.94,244.5989,178.7,0
2024-07-25,181.8,223.6978,179.71,0
2024-07-26,180.99,272.6873,178.1,0
2024-07-29,179.92,208.6508,177.55,0
2024-07-30,180.11,203.4909,175.5,0
2024-07-31,181.0,204.1789,177.8,0
2024-08-01,176.73,206.1931,174.33,0
2024-08-02,171.76,204.4981,179.9,1
2024-08-05,169.05,200.7693,180.04,1
2024-08-06,168.1,203.6764,178.54,1
2024-08-07,164.51,208.3544,173.7,1
2024-08-08,171.0,196.4486,171.91,1
2024-08-09,157.57,194.5252,169.49,1
2024-08-12,154.95,214.702,171.5,1
2024-08-13,160.06,226.8208,175.28,1
2024-08-14,166.78,217.5386,185.31,1
2024-08-15,174.37,184.1705,189.99,1
2024-08-16,177.3,197.0156,192.07,1
2024-08-19,184.96,191.4922,192.89,1
2024-08-20,178.63,206.6178,199.17,1
2024-08-21,179.02,206.5411,182.19,1
2024-08-22,176.13,200.8973,172.62,0
2024-08-23,178.26,189.9648,173.83,0
2024-08-26,180.59,191.7637,172.67,0
2024-08-27,181.4,189.2553,170.97,0
2024-08-28,174.75,211.9975,171.31,0
2024-08-29,174.32,199.3022,176.16,1
2024-08-30,173.74,212.3206,183.7,1
2024-09-03,166.23,203.5592,182.51,1
2024-09-04,165.51,199.5213,179.84,1
2024-09-05,162.44,191.5938,182.44,1
2024-09-06,159.14,208.5325,184.51,1
2024-09-09,161.68,230.1999,185.37,1
2024-09-10,160.66,191.6509,192.39,1
2024-09-11,162.12,205.0981,190.65,1
2024-09-12,163.55,206.8176,189.81,1
2024-09-13,164.93,189.271,186.44,1
2024-09-16,161.46,186.62,181.46,1
2024-09-17,162.75,175.8426,183.22,1
2024-09-18,162.98,192.756,192.33,1
2024-09-19,165.83,190.9589,186.67,1
2024-09-20,164.89,192.6644,186.3,1
2024-09-23,166.94,183.0217,189.87,1
2024-09-24,170.89,181.4781,181.75,1
2024-09-25,170.32,177.4444,175.56,1
2024-09-26,168.97,180.6967,176.02,1
2024-09-27,171.44,182.994,173.67,1
2024-09-30,173.67,175.0788,175.42,1
2024-10-01,164.71,176.5614,176.02,1
2024-10-02,166.18,183.2162,173.45,1
2024-10-03,166.98,186.7489,170.52,1
2024-10-04,171.03,169.9059,169.84,1
2024-10-07,170.39,182.5744,169.62,0
2024-10-08,166.65,179.2117,169.8,1
2024-10-09,165.6,180.4184,170.13,1
2024-10-10,165.67,179.0789,166.33,1
2024-10-11,171.09,176.252,165.72,0
2024-10-14,173.29,213.434,161.66,0
2024-10-15,177.72,176.4497,165.62,1
2024-10-16,177.88,165.6693,169.34,1
2024-10-17,178.7,177.5994,167.14,1
2024-10-18,179.71,191.4825,164.2,0
2024-10-21,178.1,173.9444,162.4,1
2024-10-22,177.55,190.6772,165.52,0
2024-10-23,175.5,196.0537,164.98,0
2024-10-24,177.8,186.7414,161.04,0
2024-10-25,174.33,184.6102,161.88,0
2024-10-28,179.9,173.1869,170.58,1
2024-10-29,180.04,190.8199,167.22,0
2024-10-30,178.54,171.5252,166.0,1
2024-10-31,173.7,182.2893,165.0,0
2024-11-01,171.91,176.1923,166.14,0
2024-11-04,169.49,177.4343,162.81,0
2024-11-05,171.5,180.8777,169.44,0
2024-11-06,175.28,181.4727,173.15,0
2024-11-07,185.31,184.9531,173.87,1
2024-11-08,189.99,161.3212,169.47,1
2024-11-11,192.07,188.3702,173.84,1
2024-11-12,192.89,166.654,172.22,1
2024-11-13,199.17,197.2292,171.9,1
2024-11-14,182.19,197.1794,178.23,0
2024-11-15,172.62,174.933,176.49,1
2024-11-18,173.83,177.8748,176.46,1
2024-11-19,172.67,206.0431,178.5,1
2024-11-20,170.97,191.0735,153.59,0
2024-11-21,171.31,178.8495,155.39,0
2024-11-22,176.16,187.5675,160.99,0
2024-11-25,183.7,173.8568,151.56,1
2024-11-26,182.51,178.2849,144.89,1
2024-11-27,179.84,176.2426,142.99,1
2024-11-29,182.44,173.869,139.18,1
2024-12-02,184.51,159.7979,140.62,1
2024-12-03,185.37,177.5331,144.62,1
2024-12-04,192.39,163.0897,148.26,1
2024-12-05,190.65,209.6832,146.62,0
2024-12-06,189.81,194.9968,149.8,0
2024-12-09,186.44,179.5066,146.05,1
2024-12-10,181.46,170.0459,143.61,1
2024-12-11,183.22,162.4982,140.59,1
2024-12-12,192.33,197.323,141.34,0
2024-12-13,186.67,182.0395,144.61,1
2024-12-16,186.3,186.9302,151.05,0
2024-12-17,189.87,178.6736,151.02,1
2024-12-18,181.75,174.9826,151.98,1
2024-12-19,175.56,187.7553,154.0,0
2024-12-20,176.02,185.5946,156.78,0
2024-12-23,173.67,208.8931,156.17,0
2024-12-24,175.42,198.3555,159.0,0
2024-12-26,176.02,174.4453,159.06,1
2024-12-27,173.45,189.4733,158.83,0
2024-12-30,170.52,188.893,155.48,0
2024-12-31,169.84,206.2912,154.17,0
2025-01-02,169.62,195.7426,155.09,0
2025-01-03,169.8,176.106,157.7,0
2025-01-06,170.13,174.3006,150.34,0
2025-01-07,166.33,161.3029,141.3,1
2025-01-08,165.72,171.0534,147.1,0
2025-01-10,161.66,173.9297,142.24,0
2025-01-13,165.62,161.1608,153.44,1
2025-01-14,169.34,167.2959,149.03,1
2025-01-15,167.14,173.0394,152.61,0
2025-01-16,164.2,181.5543,152.62,0
2025-01-17,162.4,178.2546,154.94,0
2025-01-21,165.52,173.9973,150.68,0
2025-01-22,164.98,179.8227,149.75,0
2025-01-23,161.04,167.3262,143.8,0
2025-01-24,161.88,164.9225,147.07,0
2025-01-27,170.58,193.0376,151.4,0
2025-01-28,167.22,178.0311,154.52,0
2025-01-29,166.0,156.298,155.01,1
2025-01-30,165.0,176.4947,156.17,0
2025-01-31,166.14,165.5023,156.68,1
2025-02-03,162.81,194.9483,155.85,0
2025-02-04,169.44,164.2395,156.04,1
2025-02-05,173.15,168.55,157.39,1
2025-02-06,173.87,170.0928,158.01,1
2025-02-07,169.47,173.6966,156.9,0
2025-02-10,173.84,166.1851,160.44,1
2025-02-11,172.22,173.0341,163.77,0
