date,entry_close,pred_close,actual_close,correct
2024-06-10,4.72,5.3622,4.85,1
2024-06-11,4.46,5.0906,5.02,1
2024-06-12,4.45,5.7762,5.57,1
2024-06-13,4.41,6.1742,5.48,1
2024-06-14,4.33,5.6573,5.6,1
2024-06-17,4.43,5.6985,5.28,1
2024-06-18,4.43,5.6785,5.55,1
2024-06-20,4.33,5.0434,5.4,1
2024-06-21,4.3,5.6904,5.41,1
2024-06-24,4.44,7.003,5.02,1
2024-06-25,4.37,5.5812,5.4,1
2024-06-26,4.64,6.2397,5.28,1
2024-06-27,4.39,5.7872,5.32,1
2024-06-28,4.16,6.2052,5.94,1
2024-07-01,4.44,5.5049,5.65,1
2024-07-02,4.53,4.7123,5.78,1
2024-07-03,4.87,5.3852,6.52,1
2024-07-05,4.62,5.2658,6.68,1
2024-07-08,4.46,5.3905,7.03,1
2024-07-09,4.5,4.8771,7.21,1
2024-07-10,4.62,5.8979,6.7,1
2024-07-11,4.68,4.9493,6.77,1
2024-07-12,4.87,6.5857,6.79,1
2024-07-15,4.63,5.9509,6.24,1
2024-07-16,4.9,8.1447,6.29,1
2024-07-17,4.59,6.4017,6.22,1
2024-07-18,4.54,4.6787,6.24,1
2024-07-19,4.46,5.7231,5.79,1
2024-07-22,4.69,5.2654,5.62,1
2024-07-23,4.48,6.3528,5.51,1
2024-07-24,4.3,5.2215,5.15,1
2024-07-25,4.27,6.0553,5.22,1
2024-07-26,4.43,4.8233,5.14,1
2024-07-29,4.39,4.9639,5.23,1
2024-07-30,4.42,5.3458,5.19,1
2024-07-31,4.44,4.5652,4.98,1
2024-08-01,4.06,6.0024,5.26,1
2024-08-02,4.05,5.6375,5.81,1
2024-08-05,3.89,4.514,5.6,1
2024-08-06,3.77,5.2822,5.35,1
2024-08-07,3.67,5.3868,5.1,1
2024-08-08,3.82,5.2581,5.1,1
2024-08-09,3.78,5.2488,5.14,1
2024-08-12,3.76,5.229,5.28,1
2024-08-13,3.89,5.2669,5.0,1
2024-08-14,3.72,5.4594,5.31,1
2024-08-15,3.83,5.2921,5.09,1
2024-08-16,3.95,4.8272,5.06,1
2024-08-19,4.07,5.3971,4.58,1
2024-08-20,3.85,5.7163,4.61,1
2024-08-21,3.99,5.1515,4.43,1
2024-08-22,3.99,4.6315,4.49,1
2024-08-23,4.08,5.1201,4.67,1
2024-08-26,4.03,4.8431,4.63,1
2024-08-27,4.0,4.9608,4.65,1
2024-08-28,3.7,5.3805,4.7,1
2024-08-29,3.94,5.5713,4.84,1
2024-08-30,4.04,5.2809,4.67,1
2024-09-03,4.15,5.5207,4.31,1
2024-09-04,4.24,4.4938,4.38,1
2024-09-05,4.85,5.1767,4.48,0
2024-09-06,5.02,5.0541,4.4,0
2024-09-09,5.57,5.1485,4.64,1
2024-09-10,5.48,4.9628,4.6,1
2024-09-11,5.6,4.8177,4.61,1
2024-09-12,5.28,4.8551,4.61,1
2024-09-13,5.55,5.1859,5.18,1
2024-09-16,5.4,5.4002,4.77,0
2024-09-17,5.41,5.1379,4.67,1
2024-09-18,5.02,5.085,4.59,0
2024-09-19,5.4,5.3568,4.51,1
2024-09-20,5.28,5.3762,4.42,0
2024-09-23,5.32,4.8196,4.54,1
2024-09-24,5.94,4.9859,4.32,1
2024-09-25,5.65,4.5663,4.4,1
2024-09-26,5.78,4.6631,4.54,1
2024-09-27,6.52,5.862,4.48,1
2024-09-30,6.68,4.0992,4.62,1
2024-10-01,7.03,3.8497,4.69,1
2024-10-02,7.21,4.9945,4.48,1
2024-10-03,6.7,4.2477,4.38,1
2024-10-04,6.77,5.0234,4.36,1
2024-10-07,6.79,4.4648,4.55,1
2024-10-08,6.24,4.0131,4.63,1
2024-10-09,6.29,4.0267,4.71,1
2024-10-10,6.22,5.524,4.51,1
2024-10-11,6.24,4.2786,4.32,1
2024-10-14,5.79,3.8173,4.17,1
2024-10-15,5.62,4.2421,4.06,1
2024-10-16,5.51,4.2653,4.08,1
2024-10-17,5.15,5.0799,4.1,1
2024-10-18,5.22,6.0166,4.16,0
2024-10-21,5.14,5.3477,4.36,0
2024-10-22,5.23,4.6872,4.18,1
