date,entry_close,pred_close,actual_close,correct
2024-06-10,217.0503,223.7723,245.0527,1
2024-06-11,216.8768,221.2979,242.3865,1
2024-06-12,216.1054,218.1968,248.9792,1
2024-06-13,213.8974,234.9073,249.5221,1
2024-06-14,212.0269,220.1155,246.0319,1
2024-06-17,212.9911,215.2996,246.8268,1
2024-06-18,213.9938,222.0328,238.3049,1
2024-06-20,216.4622,226.5574,239.5362,1
2024-06-21,216.8189,225.2664,238.7315,1
2024-06-24,210.8505,221.699,241.6884,1
2024-06-25,205.7306,221.4446,244.1801,1
2024-06-26,204.8821,203.0018,240.3021,0
2024-06-27,202.3849,230.5913,238.4988,1
2024-06-28,207.0034,224.2154,239.4004,1
2024-07-01,206.3959,228.8388,235.8811,1
2024-07-02,207.8326,230.2985,236.8894,1
2024-07-03,208.5558,236.5548,238.9545,1
2024-07-05,208.1315,229.5224,240.9225,1
2024-07-08,206.5791,226.9739,240.5735,1
2024-07-09,206.0971,219.9395,239.4974,1
2024-07-10,207.1384,227.1616,237.4129,1
2024-07-11,213.0296,220.5931,240.3602,1
2024-07-12,213.425,214.8951,236.3271,1
2024-07-15,219.6055,223.9568,235.7842,1
2024-07-16,226.3837,218.3376,237.6844,0
2024-07-17,226.0559,223.4512,238.4115,0
2024-07-18,222.1316,222.1179,242.5416,0
2024-07-19,219.7886,234.3264,246.0997,1
2024-07-22,219.8658,220.4388,246.5748,1
2024-07-23,216.25,219.2204,247.8545,1
2024-07-24,213.4153,215.4884,240.6705,1
2024-07-25,214.9194,219.6266,244.6745,1
2024-07-26,238.3687,207.0908,240.5929,0
2024-07-29,238.7641,214.8492,252.4888,0
2024-07-30,240.7696,211.493,249.144,0
2024-07-31,240.625,226.6512,245.6925,0
2024-08-01,237.6359,205.0183,243.4336,0
2024-08-02,235.9878,213.5897,245.8573,0
2024-08-05,232.3715,227.6929,244.7133,0
2024-08-06,236.4144,213.0627,245.0332,0
2024-08-07,232.6623,217.9493,242.7937,0
2024-08-08,234.6498,215.182,243.7782,0
2024-08-09,232.3133,212.7837,241.3413,0
2024-08-12,229.9477,213.0023,245.7472,0
2024-08-13,232.0709,207.766,270.009,0
2024-08-14,234.5917,213.2024,263.8778,0
2024-08-15,233.7967,211.3986,264.8136,0
2024-08-16,233.1083,224.9518,264.2677,0
2024-08-19,233.8161,220.3273,260.7001,0
2024-08-20,233.4283,224.445,262.4644,0
2024-08-21,234.1651,217.6255,258.078,0
2024-08-22,229.8702,230.1066,254.6663,1
2024-08-23,233.3119,221.987,255.6021,0
2024-08-26,234.9795,224.2674,253.1554,0
2024-08-27,241.3007,225.2077,252.3951,0
2024-08-28,242.658,225.3362,257.5906,0
2024-08-29,244.3352,226.4423,262.1622,0
2024-08-30,248.349,230.0795,268.966,0
2024-09-03,246.7978,224.5038,269.122,0
2024-09-04,251.7713,229.6416,268.4299,0
2024-09-05,245.0527,218.4062,268.8881,0
2024-09-06,242.3865,228.1393,265.8664,0
2024-09-09,248.9792,223.1898,263.3027,0
2024-09-10,249.5221,215.6167,260.8755,0
2024-09-11,246.0319,213.0469,257.3372,0
2024-09-12,246.8268,231.9396,254.1984,0
2024-09-13,238.3049,220.4125,250.3578,0
2024-09-16,239.5362,218.6772,249.617,0
2024-09-17,238.7315,242.7412,241.0099,1
2024-09-18,241.6884,229.0478,242.0431,0
2024-09-19,244.1801,226.2941,240.0059,1
2024-09-20,240.3021,216.1711,236.6917,1
2024-09-23,238.4988,243.2794,236.3505,0
2024-09-24,239.4004,220.1152,231.7984,1
2024-09-25,235.8811,227.4506,224.7801,1
2024-09-26,236.8894,231.1882,228.2405,1
2024-09-27,238.9545,223.0031,229.8196,1
