date,entry_close,pred_close,actual_close,correct
2024-06-10,23.28,25.3905,20.93,0
2024-06-11,23.75,29.6135,19.72,0
2024-06-12,25.85,25.302,19.83,1
2024-06-13,25.96,28.47,20.12,0
2024-06-14,25.15,30.8789,20.24,0
2024-06-17,25.17,28.3392,20.67,0
2024-06-18,24.8,24.9721,22.07,0
2024-06-20,24.15,27.0424,21.51,0
2024-06-21,24.22,29.7727,22.55,0
2024-06-24,25.0,27.8521,22.52,0
2024-06-25,24.0,27.0547,22.93,0
2024-06-26,22.91,32.6849,21.88,0
2024-06-27,23.19,27.3524,21.46,0
2024-06-28,22.38,28.4826,21.47,0
2024-07-01,22.47,27.653,20.695,0
2024-07-02,22.15,29.9282,20.57,0
2024-07-03,22.95,26.7821,21.0,0
2024-07-05,22.76,29.0729,20.55,0
2024-07-08,22.94,24.4727,19.2,0
2024-07-09,22.26,26.4208,18.55,0
2024-07-10,23.15,27.0415,17.65,0
2024-07-11,24.63,26.9049,17.99,0
2024-07-12,25.79,29.6362,17.84,0
2024-07-15,26.01,26.3165,17.89,0
2024-07-16,27.35,24.1927,17.65,1
2024-07-17,27.36,27.1627,17.79,1
2024-07-18,26.09,26.1538,18.58,0
2024-07-19,25.08,31.2793,19.51,0
2024-07-22,25.33,25.9631,19.52,0
2024-07-23,26.46,26.9528,20.58,0
2024-07-24,25.6,26.3082,20.98,0
2024-07-25,26.42,25.0333,21.08,1
2024-07-26,26.5,25.5314,20.67,1
2024-07-29,26.94,27.2423,21.08,0
2024-07-30,26.27,26.0293,19.94,1
2024-07-31,26.21,25.39,15.85,1
2024-08-01,25.14,27.4977,15.95,0
2024-08-02,23.85,24.105,16.34,0
2024-08-05,22.33,27.8348,14.99,0
2024-08-06,22.49,23.2549,14.33,0
2024-08-07,21.31,26.7952,14.22,0
2024-08-08,22.38,22.4756,14.81,0
2024-08-09,21.46,25.6571,15.14,0
2024-08-12,21.77,24.7473,15.43,0
2024-08-13,22.41,25.6215,16.06,0
2024-08-14,21.51,24.384,16.0,0
2024-08-15,22.87,25.9169,16.73,0
2024-08-16,22.63,23.9848,17.5,0
2024-08-19,23.44,24.3219,16.65,0
2024-08-20,23.18,25.762,16.11,0
2024-08-21,23.61,28.1118,15.12,0
2024-08-22,23.0,26.3395,13.97,0
2024-08-23,23.63,26.1966,14.17,0
2024-08-26,23.58,24.6697,14.13,0
2024-08-27,22.94,26.879,13.12,0
2024-08-28,22.35,25.2978,13.8,0
2024-08-29,23.0,24.4913,14.3,0
2024-08-30,22.44,26.8892,14.79,0
2024-09-03,21.62,24.6639,14.73,0
2024-09-04,21.27,27.0418,15.21,0
2024-09-05,20.93,21.9886,15.62,0
2024-09-06,19.72,26.4058,15.73,0
2024-09-09,19.83,27.4468,14.65,0
2024-09-10,20.12,23.3181,14.49,0
2024-09-11,20.24,27.4767,13.65,0
2024-09-12,20.67,28.9421,14.72,0
2024-09-13,22.07,22.723,14.62,0
2024-09-16,21.51,26.1065,14.72,0
2024-09-17,22.55,28.2153,14.1,0
2024-09-18,22.52,24.8976,13.56,0
2024-09-19,22.93,27.1308,12.9,0
2024-09-20,21.88,22.4409,13.38,0
2024-09-23,21.46,21.6394,13.13,0
2024-09-24,21.47,28.3668,12.02,0
2024-09-25,20.695,22.9468,12.08,0
2024-09-26,20.57,23.1546,12.18,0
2024-09-27,21.0,21.1407,12.1,0
2024-09-30,20.55,25.4327,12.05,0
2024-10-01,19.2,21.6437,12.12,0
2024-10-02,18.55,23.6761,11.97,0
2024-10-03,17.65,23.1209,11.41,0
2024-10-04,17.99,23.4158,11.66,0
2024-10-07,17.84,24.438,12.22,0
2024-10-08,17.89,24.8099,12.13,0
2024-10-09,17.65,24.6177,12.8,0
2024-10-10,17.79,24.594,12.47,0
2024-10-11,18.58,25.9931,12.02,0
2024-10-14,19.51,24.7551,10.2,0
2024-10-15,19.52,20.2682,10.05,0
2024-10-16,20.58,26.729,9.735,0
2024-10-17,20.98,25.6046,9.71,0
2024-10-18,21.08,28.7261,9.42,0
2024-10-21,20.67,26.1773,9.5,0
2024-10-22,21.08,24.9169,9.94,0
2024-10-23,19.94,23.9177,11.01,0
2024-10-24,15.85,22.9821,11.29,0
2024-10-25,15.95,22.2273,10.99,0
2024-10-28,16.34,23.8201,10.55,0
2024-10-29,14.99,23.5486,10.01,0
2024-10-30,14.33,23.328,10.12,0
2024-10-31,14.22,20.9489,10.51,0
2024-11-01,14.81,22.9933,10.32,0
2024-11-04,15.14,23.4594,9.54,0
2024-11-05,15.43,20.7596,9.62,0
2024-11-06,16.06,23.8207,10.51,0
2024-11-07,16.0,24.7029,10.13,0
2024-11-08,16.73,24.1555,9.79,0
2024-11-11,17.5,19.8123,9.58,0
2024-11-12,16.65,23.7638,9.21,0
2024-11-13,16.11,23.2399,9.51,0
2024-11-14,15.12,23.7659,9.64,0
2024-11-15,13.97,23.6253,10.7,0
2024-11-18,14.17,25.2117,11.53,0
2024-11-19,14.13,23.8117,12.28,0
2024-11-20,13.12,23.9784,12.25,0
2024-11-21,13.8,23.0661,12.17,0
2024-11-22,14.3,21.7359,11.51,0
2024-11-25,14.79,25.8554,10.71,0
2024-11-26,14.73,25.6747,10.8,0
2024-11-27,15.21,23.4707,10.86,0
2024-11-29,15.62,23.2672,10.09,0
2024-12-02,15.73,22.7561,9.45,0
2024-12-03,14.65,23.7801,9.095,0
2024-12-04,14.49,25.6482,9.365,0
2024-12-05,13.65,20.9283,9.9,0
2024-12-06,14.72,20.4049,10.35,0
2024-12-09,14.62,22.3056,9.46,0
2024-12-10,14.72,22.8073,9.3,0
2024-12-11,14.1,27.3829,9.62,0
2024-12-12,13.56,23.7173,9.22,0
2024-12-13,12.9,25.5202,9.14,0
2024-12-16,13.38,23.3907,9.58,0
2024-12-17,13.13,24.3362,9.19,0
2024-12-18,12.02,21.3336,9.3,0
2024-12-19,12.08,22.8383,8.7,0
2024-12-20,12.18,22.857,9.0,0
2024-12-23,12.1,19.634,9.31,0
2024-12-24,12.05,20.7238,8.73,0
2024-12-26,12.12,17.2478,8.31,0
2024-12-27,11.97,25.2768,8.4,0
2024-12-30,11.41,22.4881,8.07,0
2024-12-31,11.66,21.1428,7.11,0
2025-01-02,12.22,20.2631,6.655,0
2025-01-03,12.13,19.3721,7.3,0
2025-01-06,12.8,16.0833,6.89,0
2025-01-07,12.47,20.0092,6.63,0
2025-01-08,12.02,17.1125,6.54,0
2025-01-10,10.2,24.058,6.28,0
2025-01-13,10.05,20.9536,7.08,0
2025-01-14,9.735,18.9159,6.77,0
2025-01-15,9.71,24.1264,7.41,0
2025-01-16,9.42,22.5325,7.5,0
2025-01-17,9.5,16.3621,7.36,0
2025-01-21,9.94,22.439,6.86,0
2025-01-22,11.01,20.8545,7.23,0
2025-01-23,11.29,17.6733,7.92,0
2025-01-24,10.99,25.0689,8.31,0
2025-01-27,10.55,18.8609,8.09,0
2025-01-28,10.01,16.4917,8.18,0
2025-01-29,10.12,16.7741,8.31,0
2025-01-30,10.51,14.4159,8.48,0
2025-01-31,10.32,20.2397,8.2,0
2025-02-03,9.54,21.4176,8.87,0
2025-02-04,9.62,20.1951,8.64,0
2025-02-05,10.51,21.6918,8.84,0
2025-02-06,10.13,18.5614,8.44,0
2025-02-07,9.79,19.7612,7.25,0
2025-02-10,9.58,16.5529,7.29,0
2025-02-11,9.21,19.7266,8.28,0
2025-02-12,9.51,23.0702,8.12,0
2025-02-13,9.64,15.7336,8.55,0
2025-02-14,10.7,27.0852,8.32,0
2025-02-18,11.53,15.6437,7.88,0
2025-02-19,12.28,18.4188,8.075,0
2025-02-20,12.25,20.6482,8.5,0
2025-02-21,12.17,19.4943,9.06,0
2025-02-24,11.51,16.2302,9.67,0
2025-02-25,10.71,19.2988,9.2,0
2025-02-26,10.8,16.2659,9.46,0
2025-02-27,10.86,21.1942,9.16,0
2025-02-28,10.09,16.4869,9.325,0
2025-03-03,9.45,14.7337,9.66,1
