date,entry_close,pred_close,actual_close,correct
2024-06-10,152.4442,169.2547,135.7558,0
2024-06-11,150.6224,175.3552,134.9682,0
2024-06-12,149.663,169.2907,137.0395,0
2024-06-13,149.3529,165.9621,135.7656,0
2024-06-14,149.9053,172.5638,133.9762,0
2024-06-17,152.5121,170.2655,136.7283,0
2024-06-18,150.8162,169.0763,139.636,0
2024-06-20,151.9597,166.1722,139.0233,0
2024-06-21,152.7059,173.5091,138.2648,0
2024-06-24,150.7483,169.3239,139.0428,0
2024-06-25,146.7946,163.2262,144.897,0
2024-06-26,149.7793,171.0396,142.2811,0
2024-06-27,149.9247,168.8198,142.9521,0
2024-06-28,153.727,160.6519,146.4627,0
2024-07-01,152.6767,164.8407,144.7803,0
2024-07-02,152.1516,173.4894,146.4432,0
2024-07-03,152.1127,163.0513,146.5213,0
2024-07-05,149.6037,177.2487,146.7262,0
2024-07-08,148.2715,166.5675,149.0393,1
2024-07-09,146.1126,163.599,147.8096,1
2024-07-10,149.1369,157.4136,147.6534,0
2024-07-11,154.5827,165.5972,147.7998,0
2024-07-12,156.6638,158.3063,149.0783,0
2024-07-15,160.33,163.6553,144.5499,0
2024-07-16,161.565,151.8846,148.1707,1
2024-07-17,159.4839,165.2951,147.2728,0
2024-07-18,161.108,152.245,148.2585,1
2024-07-19,158.0253,165.0056,149.1662,0
2024-07-22,158.8421,167.1557,147.995,0
2024-07-23,157.1014,165.0024,150.5618,0
2024-07-24,150.5276,148.7499,154.2899,0
2024-07-25,152.6962,180.0331,154.4364,1
2024-07-26,156.4596,158.4913,152.3576,0
2024-07-29,155.0203,171.2782,142.5101,0
2024-07-30,155.0398,163.4259,138.2549,0
2024-07-31,158.4531,162.9169,137.9426,0
2024-08-01,151.4903,162.4227,138.0695,0
2024-08-02,146.8906,159.0123,144.179,0
2024-08-05,146.3752,160.7607,143.6617,0
2024-08-06,145.8306,162.9594,139.2699,0
2024-08-07,141.1919,161.5794,138.4306,0
2024-08-08,141.6392,156.5704,140.1092,0
2024-08-09,141.1433,168.1617,139.1723,0
2024-08-12,137.4577,160.3345,141.134,1
2024-08-13,138.9455,180.7737,163.708,1
2024-08-14,137.3702,154.5301,157.2959,1
2024-08-15,141.2211,165.5242,155.0219,1
2024-08-16,141.2308,160.8172,155.2366,1
2024-08-19,140.1028,171.5041,150.1909,1
2024-08-20,139.4512,162.3757,148.5415,1
2024-08-21,142.427,161.8067,142.8614,1
2024-08-22,142.1936,163.1639,143.5446,1
2024-08-23,143.662,164.6969,143.7105,1
2024-08-26,146.2973,166.4867,141.2023,0
2024-08-27,146.2293,169.2886,144.6084,0
2024-08-28,143.9634,164.6127,146.3847,1
2024-08-29,145.8889,146.3398,148.2683,1
2024-08-30,147.7269,155.2591,149.7517,1
2024-09-03,140.4529,161.1863,150.2983,1
2024-09-04,137.8078,157.5873,151.0498,1
2024-09-05,135.7558,158.317,150.9717,1
2024-09-06,134.9682,151.7615,152.6113,1
2024-09-09,137.0395,173.607,151.2547,1
2024-09-10,135.7656,166.8155,145.721,1
2024-09-11,133.9762,157.7301,142.0709,1
2024-09-12,136.7283,162.8204,139.143,1
2024-09-13,139.636,154.8486,141.1047,1
2024-09-16,139.0233,160.6449,137.1814,0
2024-09-17,138.2648,171.4687,135.1123,0
2024-09-18,139.0428,152.1423,128.2513,0
2024-09-19,144.897,144.1616,122.2393,1
2024-09-20,142.2811,145.4551,121.1755,0
2024-09-23,142.9521,173.3183,118.072,0
2024-09-24,146.4627,155.4001,115.1246,0
2024-09-25,144.7803,153.7058,112.997,0
2024-09-26,146.4432,144.6798,113.7777,1
2024-09-27,146.5213,163.2628,113.807,0
2024-09-30,146.7262,153.8951,114.6073,0
2024-10-01,149.0393,163.9536,115.7882,0
2024-10-02,147.8096,148.4668,114.4609,0
2024-10-03,147.6534,174.049,113.0751,0
2024-10-04,147.7998,179.6696,114.4479,0
2024-10-07,149.0783,152.9464,112.2611,0
2024-10-08,144.5499,152.3951,113.2123,0
2024-10-09,148.1707,147.165,118.2821,1
2024-10-10,147.2728,155.2288,118.9293,0
2024-10-11,148.2585,156.0472,115.8894,0
2024-10-14,149.1662,162.79,115.8698,0
2024-10-15,147.995,147.5096,120.4983,1
2024-10-16,150.5618,149.0973,119.3902,1
2024-10-17,154.2899,158.8553,120.6945,0
2024-10-18,154.4364,162.4367,120.969,0
2024-10-21,152.3576,169.4886,122.1163,0
2024-10-22,142.5101,155.9486,122.6459,0
2024-10-23,138.2549,154.8718,119.7236,0
2024-10-24,137.9426,167.7119,119.6942,0
2024-10-25,138.0695,146.3289,119.8021,0
2024-10-28,144.179,159.589,119.606,0
2024-10-29,143.6617,184.6083,124.0972,0
2024-10-30,139.2699,150.5491,124.411,0
2024-10-31,138.4306,161.6294,126.1859,0
2024-11-01,140.1092,147.7719,125.9408,0
2024-11-04,139.1723,156.2076,128.7551,0
2024-11-05,141.134,159.5878,128.2844,0
2024-11-06,163.708,150.9362,130.6379,1
2024-11-07,157.2959,153.3943,130.6183,1
2024-11-08,155.0219,147.0947,127.7353,1
2024-11-11,155.2366,149.2324,134.8644,1
2024-11-12,150.1909,150.1603,135.4331,1
2024-11-13,148.5415,158.7481,130.9615,0
2024-11-14,142.8614,147.3523,132.9228,0
2024-11-15,143.5446,146.9869,135.0997,0
2024-11-18,143.7105,147.4462,139.7577,0
2024-11-19,141.2023,143.0532,137.061,0
2024-11-20,144.6084,165.1608,137.2375,0
2024-11-21,146.3847,161.2016,132.609,0
2024-11-22,148.2683,144.585,133.5405,1
2024-11-25,149.7517,155.2921,133.4425,0
2024-11-26,150.2983,157.3071,131.9617,0
2024-11-27,151.0498,157.5873,132.1971,0
2024-11-29,150.9717,163.9128,134.8056,0
2024-12-02,152.6113,151.8654,131.4715,1
2024-12-03,151.2547,156.4664,126.9998,0
2024-12-04,145.721,173.2934,129.9221,0
2024-12-05,142.0709,167.994,129.4318,0
2024-12-06,139.143,152.2507,131.1282,0
2024-12-09,141.1047,153.8778,124.2443,0
2024-12-10,137.1814,159.7815,127.3822,0
