date,entry_close,pred_close,actual_close,correct
2024-06-10,16.01,4.3048,11.95,1
2024-06-11,16.73,5.8704,11.63,1
2024-06-12,15.86,5.1641,12.78,1
2024-06-13,15.05,4.3022,12.7,1
2024-06-14,14.4,4.8505,12.29,1
2024-06-17,14.05,4.3528,11.92,1
2024-06-18,13.79,4.2778,13.61,1
2024-06-20,14.06,4.3641,13.2,1
2024-06-21,14.0,4.4332,12.93,1
2024-06-24,14.02,5.2819,12.56,1
2024-06-25,14.0,4.8005,12.52,1
2024-06-26,13.11,5.6492,12.91,1
2024-06-27,12.83,5.379,12.8,1
2024-06-28,12.66,4.7117,13.29,0
2024-07-01,12.73,4.603,12.04,1
2024-07-02,12.97,4.4356,12.15,1
2024-07-03,12.55,5.2018,13.3,0
2024-07-05,11.9,4.6057,12.63,0
2024-07-08,12.06,2.2885,12.32,0
2024-07-09,11.84,4.7602,14.68,0
2024-07-10,11.94,5.2934,14.42,0
2024-07-11,12.96,5.4062,13.61,0
2024-07-12,13.11,4.345,13.02,1
2024-07-15,15.12,3.0947,13.04,1
2024-07-16,16.44,4.2745,12.68,1
2024-07-17,15.85,5.3267,12.91,1
2024-07-18,14.96,4.8678,12.53,1
2024-07-19,13.85,5.8466,12.62,1
2024-07-22,14.94,4.609,12.6,1
2024-07-23,16.39,5.893,10.15,1
2024-07-24,15.4,4.788,10.35,1
2024-07-25,16.67,6.2192,10.18,1
2024-07-26,17.11,4.6104,10.14,1
2024-07-29,16.42,7.226,10.12,1
2024-07-30,12.2,5.4603,10.0,1
2024-07-31,12.81,6.7992,9.92,1
2024-08-01,12.57,5.7875,9.74,1
2024-08-02,11.78,5.2745,10.25,1
2024-08-05,11.38,5.8807,10.07,1
2024-08-06,11.53,5.1985,9.84,1
2024-08-07,10.71,5.6621,9.61,1
2024-08-08,11.68,6.6279,9.35,1
2024-08-09,11.6,4.7114,9.12,1
2024-08-12,11.85,6.1586,9.44,1
2024-08-13,12.16,4.9828,8.96,1
2024-08-14,12.19,7.2173,9.18,1
2024-08-15,12.64,6.928,8.91,1
2024-08-16,12.96,6.2806,9.01,1
2024-08-19,13.9,5.9466,8.46,1
2024-08-20,13.02,3.9375,7.77,1
2024-08-21,12.94,6.3336,7.22,1
2024-08-22,11.96,6.0439,7.32,1
2024-08-23,11.99,11.0092,7.83,1
2024-08-26,11.51,6.6232,8.0,1
2024-08-27,11.15,10.9366,8.06,1
2024-08-28,11.13,8.1041,8.04,1
2024-08-29,11.4,5.3734,8.47,1
2024-08-30,12.38,9.9351,9.32,1
2024-09-03,12.67,5.1433,8.75,1
2024-09-04,11.87,6.4314,8.62,1
2024-09-05,11.95,10.0398,8.72,1
2024-09-06,11.63,10.8269,8.77,1
2024-09-09,12.78,9.2174,8.41,1
2024-09-10,12.7,10.8561,8.3,1
2024-09-11,12.29,6.8472,8.3,1
2024-09-12,11.92,11.1855,8.94,1
2024-09-13,13.61,10.2368,9.07,1
2024-09-16,13.2,10.7075,8.77,1
2024-09-17,12.93,10.8634,8.82,1
2024-09-18,12.56,11.6014,9.02,1
2024-09-19,12.52,12.0382,9.11,1
2024-09-20,12.91,10.5166,9.23,1
2024-09-23,12.8,6.9628,9.0,1
2024-09-24,13.29,11.1075,8.63,1
2024-09-25,12.04,12.9597,8.68,0
2024-09-26,12.15,9.7509,8.7,1
2024-09-27,13.3,11.5024,8.64,1
2024-09-30,12.63,8.4407,8.51,1
2024-10-01,12.32,10.7909,8.47,1
2024-10-02,14.68,8.729,8.28,1
2024-10-03,14.42,9.0622,7.93,1
2024-10-04,13.61,10.2938,8.04,1
2024-10-07,13.02,9.4944,8.57,1
2024-10-08,13.04,9.6852,8.85,1
2024-10-09,12.68,9.9962,9.76,1
2024-10-10,12.91,8.9384,10.82,1
2024-10-11,12.53,7.8209,9.61,1
2024-10-14,12.62,9.8908,9.32,1
2024-10-15,12.6,5.3065,8.61,1
2024-10-16,10.15,9.8408,8.51,1
2024-10-17,10.35,10.9331,8.55,0
2024-10-18,10.18,12.0252,8.53,0
