date,entry_close,pred_close,actual_close,correct
2024-06-10,89.11,96.3059,74.71,0
2024-06-11,89.14,95.7827,72.45,0
2024-06-12,89.29,94.1985,71.27,0
2024-06-13,88.24,90.7975,71.0,0
2024-06-14,89.76,96.2563,73.34,0
2024-06-17,89.78,97.3909,73.5,0
2024-06-18,87.54,92.5267,74.06,0
2024-06-20,86.52,91.0995,74.03,0
2024-06-21,86.91,96.0241,74.21,0
2024-06-24,88.35,92.2849,73.89,0
2024-06-25,88.9,94.0208,75.02,0
2024-06-26,88.3,94.1139,75.75,0
2024-06-27,92.37,89.522,76.18,1
2024-06-28,93.61,87.659,75.83,1
2024-07-01,94.55,91.5269,74.86,1
2024-07-02,93.61,96.0959,74.29,0
2024-07-03,93.79,86.9717,73.99,1
2024-07-05,96.35,90.2555,74.34,1
2024-07-08,98.05,93.9558,72.58,1
2024-07-09,94.64,92.3466,72.39,1
2024-07-10,92.79,94.0178,72.09,0
2024-07-11,93.25,89.0448,72.31,1
2024-07-12,96.08,92.1803,71.81,1
2024-07-15,98.47,84.9046,73.22,1
2024-07-16,100.39,88.5022,76.52,1
2024-07-17,96.19,89.9741,77.93,1
2024-07-18,93.92,87.2485,77.34,1
2024-07-19,94.03,87.8313,77.97,1
2024-07-22,95.02,96.715,78.65,0
2024-07-23,96.05,88.2206,75.72,1
2024-07-24,92.69,88.18,74.45,1
2024-07-25,93.11,90.4909,74.82,1
2024-07-26,93.48,95.2827,74.04,0
2024-07-29,94.23,89.2957,74.03,1
2024-07-30,92.82,84.6034,72.16,1
2024-07-31,93.94,93.215,72.15,1
2024-08-01,91.38,88.5361,72.24,1
2024-08-02,86.69,81.1276,73.25,1
2024-08-05,82.85,73.5077,73.81,1
2024-08-06,83.8,92.3243,72.4,0
2024-08-07,85.76,75.9961,71.89,1
2024-08-08,88.65,82.5274,73.23,1
2024-08-09,90.36,88.1148,73.24,1
2024-08-12,92.02,75.4166,74.07,1
2024-08-13,92.82,87.9916,76.61,1
2024-08-14,95.08,82.6465,77.18,1
2024-08-15,95.51,88.0848,76.75,1
2024-08-16,96.69,95.0127,78.45,1
2024-08-19,97.93,95.4168,78.22,1
2024-08-20,97.61,89.3484,78.42,1
2024-08-21,97.93,95.1653,76.93,1
2024-08-22,97.11,79.2067,73.66,1
2024-08-23,99.01,93.6534,72.88,1
2024-08-26,97.79,85.23,74.51,1
2024-08-27,96.98,91.6561,73.69,1
2024-08-28,96.54,93.4962,75.45,1
2024-08-29,79.51,96.9279,76.57,0
2024-08-30,78.73,87.431,76.5,0
2024-09-03,76.04,91.5624,76.83,1
2024-09-04,75.26,92.4227,76.42,1
2024-09-05,74.71,79.6449,77.56,1
2024-09-06,72.45,90.5535,80.85,1
2024-09-09,71.27,80.3845,81.71,1
2024-09-10,71.0,96.3938,86.11,1
2024-09-11,73.34,96.3003,83.515,1
2024-09-12,73.5,96.6471,84.79,1
2024-09-13,74.06,86.8803,83.2,1
2024-09-16,74.03,96.7375,82.78,1
2024-09-17,74.21,87.3371,85.0,1
2024-09-18,73.89,102.1025,83.91,1
2024-09-19,75.02,87.9992,81.99,1
2024-09-20,75.75,84.8341,84.76,1
2024-09-23,76.18,86.1745,85.42,1
2024-09-24,75.83,92.0128,81.41,1
2024-09-25,74.86,88.5624,81.69,1
2024-09-26,74.29,93.076,83.28,1
2024-09-27,73.99,90.7555,83.6,1
2024-09-30,74.34,83.8657,83.19,1
2024-10-01,72.58,92.7382,83.02,1
2024-10-02,72.39,98.9753,81.64,1
2024-10-03,72.09,81.0165,79.64,1
2024-10-04,72.31,89.5586,78.8,1
2024-10-07,71.81,90.6049,78.83,1
2024-10-08,73.22,85.1916,80.76,1
2024-10-09,76.52,97.9241,84.38,1
2024-10-10,77.93,101.2977,84.66,1
2024-10-11,77.34,85.3258,85.46,1
2024-10-14,77.97,85.0212,84.37,1
2024-10-15,78.65,91.2171,83.49,1
2024-10-16,75.72,93.0253,83.07,1
2024-10-17,74.45,88.8715,84.2,1
2024-10-18,74.82,92.0647,85.67,1
2024-10-21,74.04,90.6426,87.29,1
2024-10-22,74.03,88.9568,89.4,1
2024-10-23,72.16,91.5223,88.62,1
2024-10-24,72.15,86.1771,88.07,1
2024-10-25,72.24,81.2844,88.86,1
2024-10-28,73.25,77.3755,90.9,1
2024-10-29,73.81,81.8474,94.93,1
2024-10-30,72.4,85.6949,94.0,1
2024-10-31,71.89,88.8737,93.76,1
2024-11-01,73.23,97.6341,94.22,1
2024-11-04,73.24,93.0688,93.24,1
2024-11-05,74.07,85.5439,94.41,1
2024-11-06,76.61,87.8467,97.45,1
2024-11-07,77.18,90.994,97.47,1
2024-11-08,76.75,94.8109,97.0,1
2024-11-11,78.45,83.2761,97.66,1
2024-11-12,78.22,99.5876,95.78,1
2024-11-13,78.42,90.2871,98.26,1
2024-11-14,76.93,98.0541,100.26,1
2024-11-15,73.66,98.7536,96.29,1
2024-11-18,72.88,106.3525,97.04,1
2024-11-19,74.51,82.8399,96.98,1
2024-11-20,73.69,85.7207,95.19,1
2024-11-21,75.45,87.3797,92.75,1
2024-11-22,76.57,81.6716,90.88,1
2024-11-25,76.5,101.36,89.34,1
2024-11-26,76.83,98.0251,89.58,1
2024-11-27,76.42,85.3074,89.19,1
2024-11-29,77.56,86.0093,90.49,1
2024-12-02,80.85,91.6366,87.16,1
2024-12-03,81.71,83.4706,108.31,1
2024-12-04,86.11,86.6414,116.31,1
2024-12-05,83.515,90.369,111.22,1
2024-12-06,84.79,85.0571,112.44,1
2024-12-09,83.2,95.745,105.19,1
2024-12-10,82.78,93.1709,107.0,1
2024-12-11,85.0,85.6852,108.78,1
2024-12-12,83.91,83.4054,106.63,0
2024-12-13,81.99,96.4023,112.55,1
2024-12-16,84.76,94.9228,115.64,1
2024-12-17,85.42,89.7743,112.92,1
2024-12-18,81.41,90.2203,114.08,1
2024-12-19,81.69,93.0528,112.8,1
2024-12-20,83.28,79.8413,113.74,0
2024-12-23,83.6,96.0006,116.38,1
2024-12-24,83.19,89.5543,116.72,1
2024-12-26,83.02,81.5599,114.02,0
2024-12-27,81.64,95.5867,111.2,1
2024-12-30,79.64,95.6396,107.99,1
2024-12-31,78.8,78.1503,105.22,0
2025-01-02,78.83,92.1127,104.69,1
2025-01-03,80.76,91.8538,105.38,1
2025-01-06,84.38,94.1247,100.27,1
2025-01-07,84.66,82.2974,91.93,0
2025-01-08,85.46,84.3276,91.24,0
2025-01-10,84.37,88.4145,91.39,1
2025-01-13,83.49,87.4067,101.73,1
2025-01-14,83.07,98.6176,101.63,1
2025-01-15,84.2,79.874,101.82,0
2025-01-16,85.67,76.2386,100.88,0
2025-01-17,87.29,76.886,100.21,0
2025-01-21,89.4,80.2564,99.97,0
2025-01-22,88.62,84.3885,97.93,0
2025-01-23,88.07,81.1353,92.46,0
2025-01-24,88.86,76.9916,94.33,0
2025-01-27,90.9,76.1691,98.33,0
2025-01-28,94.93,76.109,101.54,0
2025-01-29,94.0,79.0658,103.38,0
2025-01-30,93.76,85.677,104.79,0
2025-01-31,94.22,76.8775,112.54,0
2025-02-03,93.24,77.5956,112.16,0
2025-02-04,94.41,74.5917,111.86,0
2025-02-05,97.45,77.4958,112.9,0
2025-02-06,97.47,81.3318,115.71,0
2025-02-07,97.0,77.1405,117.07,0
2025-02-10,97.66,76.1487,118.03,0
2025-02-11,95.78,83.8847,120.75,0
2025-02-12,98.26,75.4517,119.45,0
2025-02-13,100.26,97.1031,124.17,0
2025-02-14,96.29,92.099,124.05,0
2025-02-18,97.04,80.6728,123.34,0
2025-02-19,96.98,77.0886,124.39,0
2025-02-20,95.19,86.6207,127.3,0
2025-02-21,92.75,75.2427,126.44,0
2025-02-24,90.88,82.9938,125.54,0
2025-02-25,89.34,83.3272,122.06,0
2025-02-26,89.58,87.6578,123.91,0
2025-02-27,89.19,77.194,123.72,0
2025-02-28,90.49,88.771,125.5,0
2025-03-03,87.16,78.8184,105.225,0
2025-03-04,108.31,76.8202,106.63,1
2025-03-05,116.31,93.53,103.17,1
2025-03-06,111.22,77.3669,104.73,1
2025-03-07,112.44,88.1525,103.58,1
2025-03-10,105.19,91.8018,105.6,0
2025-03-11,107.0,85.0985,104.18,1
2025-03-12,108.78,93.2494,105.08,1
2025-03-13,106.63,90.5329,101.2,1
2025-03-14,112.55,83.9207,100.78,1
2025-03-17,115.64,94.5842,100.44,1
2025-03-18,112.92,79.7382,100.18,1
2025-03-19,114.08,94.0564,97.48,1
2025-03-20,112.8,81.459,99.28,1
2025-03-21,113.74,81.1091,98.67,1
2025-03-24,116.38,88.3873,99.0,1
2025-03-25,116.72,88.0506,99.42,1
2025-03-26,114.02,74.9902,98.66,1
2025-03-27,111.2,87.5618,98.53,1
2025-03-28,107.99,85.7091,98.21,1
2025-03-31,105.22,81.5622,98.13,1
2025-04-01,104.69,98.3637,98.43,1
2025-04-02,105.38,86.0973,99.97,1
2025-04-03,100.27,73.6658,98.55,1
