date,entry_close,pred_close,actual_close,correct
2024-06-10,20.51,11.458,17.4,1
2024-06-11,20.01,11.5664,16.99,1
2024-06-12,19.06,11.9085,17.47,1
2024-06-13,19.0,13.2635,17.42,1
2024-06-14,19.0,12.3546,20.67,0
2024-06-17,18.8,12.8595,21.0,0
2024-06-18,19.23,11.3519,21.61,0
2024-06-20,18.04,11.6,21.92,0
2024-06-21,18.06,12.5902,21.93,0
2024-06-24,17.75,10.1861,22.6,0
2024-06-25,17.64,13.9345,23.27,0
2024-06-26,17.92,12.2133,22.93,0
2024-06-27,17.65,10.8489,22.33,0
2024-06-28,15.82,14.219,21.71,0
2024-07-01,15.87,14.703,21.58,0
2024-07-02,16.59,13.8598,20.48,0
2024-07-03,17.07,15.7907,20.99,0
2024-07-05,16.78,15.3558,21.21,0
2024-07-08,16.13,7.4441,20.63,0
2024-07-09,15.75,16.0069,20.25,1
2024-07-10,16.39,15.1119,19.19,0
2024-07-11,16.59,13.9641,20.14,0
2024-07-12,16.52,13.7794,18.48,0
2024-07-15,16.0,14.5892,18.28,0
2024-07-16,16.19,14.2266,18.18,0
2024-07-17,15.59,13.5003,17.34,0
2024-07-18,14.96,14.2254,18.0,0
2024-07-19,15.25,15.2689,17.58,1
2024-07-22,15.34,13.9132,17.37,0
2024-07-23,15.59,14.4201,17.8,0
2024-07-24,15.9,12.3929,16.8,0
2024-07-25,15.32,12.6158,16.35,0
2024-07-26,15.82,13.5074,15.97,0
2024-07-29,16.9,14.2657,16.03,1
2024-07-30,17.39,13.0336,15.94,1
2024-07-31,17.68,14.9206,17.2,1
2024-08-01,18.06,13.0194,16.19,1
2024-08-02,16.71,13.0981,15.35,1
2024-08-05,16.42,13.4359,15.93,1
2024-08-06,17.23,12.9042,17.04,1
2024-08-07,16.7,12.4437,16.8,0
2024-08-08,18.47,17.6155,17.65,1
2024-08-09,18.05,14.2441,18.09,0
2024-08-12,17.98,16.0703,18.34,0
2024-08-13,18.28,17.9524,15.55,1
2024-08-14,18.2,13.5968,13.64,1
2024-08-15,18.05,13.4714,13.54,1
2024-08-16,18.7,15.2364,13.8,1
2024-08-19,17.62,15.7208,13.56,1
2024-08-20,17.26,14.8884,13.48,1
2024-08-21,16.94,15.7327,15.44,1
2024-08-22,16.73,14.5103,14.87,1
2024-08-23,17.72,13.6597,15.98,1
2024-08-26,18.1,15.0049,18.01,1
2024-08-27,17.64,14.1573,17.0,1
2024-08-28,17.27,16.5657,16.31,1
2024-08-29,17.81,17.7078,15.98,1
2024-08-30,18.3,17.4134,16.85,1
2024-09-03,17.96,16.7396,16.28,1
2024-09-04,17.44,15.7344,16.83,1
2024-09-05,17.4,16.0502,17.33,1
2024-09-06,16.99,17.7577,18.43,1
2024-09-09,17.47,18.7119,17.99,1
2024-09-10,17.42,16.3001,16.96,1
2024-09-11,20.67,16.2554,16.4,1
2024-09-12,21.0,15.642,15.61,1
2024-09-13,21.61,16.1456,16.55,1
2024-09-16,21.92,16.8025,15.03,1
2024-09-17,21.93,16.3684,14.36,1
2024-09-18,22.6,16.7702,13.64,1
2024-09-19,23.27,15.2476,13.66,1
2024-09-20,22.93,16.7865,13.9,1
2024-09-23,22.33,14.9371,13.5,1
2024-09-24,21.71,16.9584,13.38,1
2024-09-25,21.58,17.0961,13.5,1
2024-09-26,20.48,15.2655,14.09,1
2024-09-27,20.99,13.682,13.6,1
2024-09-30,21.21,10.8152,13.4,1
2024-10-01,20.63,15.7292,14.19,1
2024-10-02,20.25,17.8405,13.8,1
2024-10-03,19.19,17.0995,13.58,1
2024-10-04,20.14,15.2046,13.44,1
2024-10-07,18.48,16.576,13.55,1
2024-10-08,18.28,20.0191,14.35,0
2024-10-09,18.18,13.7677,14.72,1
2024-10-10,17.34,20.0397,14.39,0
2024-10-11,18.0,19.2128,15.29,0
2024-10-14,17.58,13.1721,14.18,1
2024-10-15,17.37,12.8188,14.17,1
2024-10-16,17.8,17.5178,14.93,1
2024-10-17,16.8,16.1618,15.38,1
2024-10-18,16.35,15.5147,14.95,1
2024-10-21,15.97,15.7099,15.9,1
2024-10-22,16.03,18.8659,15.65,0
2024-10-23,15.94,13.7583,16.26,0
2024-10-24,17.2,15.86,16.47,1
2024-10-25,16.19,17.9832,16.65,1
2024-10-28,15.35,16.6767,16.3,1
2024-10-29,15.93,15.2414,16.28,0
2024-10-30,17.04,16.4529,16.68,1
2024-10-31,16.8,16.9168,17.3,1
2024-11-01,17.65,17.1256,16.6,1
2024-11-04,18.09,17.9364,16.75,1
2024-11-05,18.34,17.9197,15.28,1
2024-11-06,15.55,18.2336,15.75,1
2024-11-07,13.64,17.4012,14.78,1
2024-11-08,13.54,17.6672,14.7,1
2024-11-11,13.8,17.0079,14.72,1
2024-11-12,13.56,19.0449,14.11,1
2024-11-13,13.48,18.4836,13.76,1
2024-11-14,15.44,18.1006,13.06,0
2024-11-15,14.87,17.8013,13.46,0
2024-11-18,15.98,18.2766,15.85,0
2024-11-19,18.01,15.3861,15.99,1
2024-11-20,17.0,17.9031,16.07,0
2024-11-21,16.31,18.2205,14.82,0
2024-11-22,15.98,18.3227,15.27,0
2024-11-25,16.85,16.0166,15.61,1
2024-11-26,16.28,19.7487,15.67,0
2024-11-27,16.83,17.8105,14.79,0
2024-11-29,17.33,16.8751,14.61,1
2024-12-02,18.43,16.9455,15.09,1
2024-12-03,17.99,21.0093,15.41,0
2024-12-04,16.96,16.4135,16.25,1
2024-12-05,16.4,18.5347,15.62,0
2024-12-06,15.61,17.7198,15.96,1
2024-12-09,16.55,16.1422,15.53,1
2024-12-10,15.03,18.4355,14.65,0
2024-12-11,14.36,19.3772,14.19,0
2024-12-12,13.64,19.9801,12.88,0
2024-12-13,13.66,18.8646,13.22,0
2024-12-16,13.9,15.6729,13.45,0
2024-12-17,13.5,17.4361,12.83,0
2024-12-18,13.38,19.5884,12.85,0
2024-12-19,13.5,17.6741,12.92,0
2024-12-20,14.09,15.6621,13.04,0
2024-12-23,13.6,16.1303,13.96,1
2024-12-24,13.4,17.6823,14.19,1
2024-12-26,14.19,17.1911,13.76,0
2024-12-27,13.8,16.5231,13.48,0
2024-12-30,13.58,18.3727,13.3,0
2024-12-31,13.44,17.2434,13.11,0
2025-01-02,13.55,15.4559,12.97,0
2025-01-03,14.35,16.0857,13.37,0
2025-01-06,14.72,20.0855,13.61,0
2025-01-07,14.39,16.2662,13.0,0
2025-01-08,15.29,15.9054,12.54,0
2025-01-10,14.18,15.6139,11.72,0
2025-01-13,14.17,15.4151,12.52,0
2025-01-14,14.93,15.3457,12.25,0
2025-01-15,15.38,18.3764,12.57,0
2025-01-16,14.95,16.1507,12.42,0
2025-01-17,15.9,16.3033,12.45,0
2025-01-21,15.65,18.1851,12.35,0
2025-01-22,16.26,15.9139,12.03,1
2025-01-23,16.47,15.4765,11.64,1
2025-01-24,16.65,15.0129,11.6,1
2025-01-27,16.3,17.695,12.01,0
2025-01-28,16.28,14.7254,12.03,1
2025-01-29,16.68,16.6329,12.23,1
2025-01-30,17.3,16.765,12.62,1
2025-01-31,16.6,15.4013,13.15,1
2025-02-03,16.75,17.6473,13.01,0
2025-02-04,15.28,16.6387,13.05,0
2025-02-05,15.75,15.5201,13.2,1
2025-02-06,14.78,15.2286,13.0,0
2025-02-07,14.7,17.5926,13.07,0
2025-02-10,14.72,18.5013,17.02,1
2025-02-11,14.11,19.4331,17.06,1
2025-02-12,13.76,16.4649,17.11,1
2025-02-13,13.06,16.711,16.82,1
2025-02-14,13.46,14.3028,16.92,1
2025-02-18,15.85,17.3806,16.54,1
2025-02-19,15.99,18.0612,16.56,1
2025-02-20,16.07,15.3128,17.52,0
2025-02-21,14.82,17.9984,16.75,1
2025-02-24,15.27,17.9327,16.47,1
2025-02-25,15.61,18.0337,14.86,0
2025-02-26,15.67,16.9154,14.37,0
2025-02-27,14.79,17.3493,14.17,0
2025-02-28,14.61,15.3019,15.01,1
2025-03-03,15.09,14.887,13.89,1
2025-03-04,15.41,19.7539,13.8,0
2025-03-05,16.25,16.3728,13.8,0
2025-03-06,15.62,14.5533,14.26,1
2025-03-07,15.96,15.0852,14.25,1
2025-03-10,15.53,15.7106,14.15,0
2025-03-11,14.65,14.9201,15.65,1
2025-03-12,14.19,16.6415,15.42,1
2025-03-13,12.88,18.6106,14.76,1
2025-03-14,13.22,17.1573,14.69,1
2025-03-17,13.45,16.5855,14.15,1
2025-03-18,12.83,16.4116,14.34,1
2025-03-19,12.85,16.8568,13.95,1
2025-03-20,12.92,15.8773,14.95,1
2025-03-21,13.04,17.1704,16.11,1
2025-03-24,13.96,16.792,18.77,1
2025-03-25,14.19,15.9075,21.22,1
2025-03-26,13.76,15.5422,20.42,1
2025-03-27,13.48,13.8614,20.02,1
2025-03-28,13.3,15.9537,19.19,1
2025-03-31,13.11,14.2945,20.48,1
2025-04-01,12.97,13.6815,20.41,1
2025-04-02,13.37,14.8708,21.44,1
2025-04-03,13.61,17.4118,20.45,1
2025-04-04,13.0,15.9297,16.62,1
2025-04-07,12.54,14.8596,16.47,1
2025-04-08,11.72,17.5362,16.81,1
2025-04-09,12.52,15.6512,16.55,1
2025-04-10,12.25,15.0063,16.08,1
2025-04-11,12.57,17.9873,15.53,1
2025-04-14,12.42,15.4709,14.38,1
2025-04-15,12.45,14.7957,15.08,1
2025-04-16,12.35,17.0965,14.92,1
2025-04-17,12.03,15.4637,15.35,1
2025-04-21,11.64,15.092,13.87,1
2025-04-22,11.6,14.1338,13.42,1
2025-04-23,12.01,16.2018,13.62,1
2025-04-24,12.03,14.689,14.7,1
2025-04-25,12.23,15.5348,15.87,1
2025-04-28,12.62,16.2661,14.2,1
2025-04-29,13.15,17.5268,14.45,1
2025-04-30,13.01,14.6543,14.67,1
2025-05-01,13.05,13.9106,13.84,1
2025-05-02,13.2,14.088,14.0,1
2025-05-05,13.0,14.0261,14.05,1
2025-05-06,13.07,14.4152,13.58,1
2025-05-07,17.02,18.1157,13.84,0
2025-05-08,17.06,15.9277,13.82,1
2025-05-09,17.11,14.7722,14.34,1
2025-05-12,16.82,15.3023,15.16,1
2025-05-13,16.92,14.8146,15.46,1
2025-05-14,16.54,13.6374,15.61,1
2025-05-15,16.56,14.3241,14.98,1
2025-05-16,17.52,14.7585,14.93,1
2025-05-19,16.75,14.4127,14.68,1
2025-05-20,16.47,14.4647,15.64,1
2025-05-21,14.86,15.4784,16.65,1
2025-05-22,14.37,14.722,16.63,1
2025-05-23,14.17,15.6588,15.27,1
2025-05-27,15.01,16.996,15.42,1
2025-05-28,13.89,16.5626,16.8,1
2025-05-29,13.8,14.4376,16.71,1
2025-05-30,13.8,13.5732,17.08,0
2025-06-02,14.26,13.8015,17.02,0
2025-06-03,14.25,14.1339,17.24,0
2025-06-04,14.15,14.3735,16.66,1
2025-06-05,15.65,14.6383,16.43,0
2025-06-06,15.42,14.0763,17.68,0
2025-06-09,14.76,14.3448,18.38,0
2025-06-10,14.69,14.3991,19.43,0
2025-06-11,14.15,14.2834,20.28,1
2025-06-12,14.34,13.7987,20.05,0
2025-06-13,13.95,15.809,19.48,1
2025-06-16,14.95,14.8881,19.43,0
2025-06-17,16.11,13.8759,19.33,0
2025-06-18,18.77,14.3256,18.73,1
2025-06-20,21.22,13.8784,17.93,1
2025-06-23,20.42,13.4285,17.77,1
2025-06-24,20.02,15.1693,19.11,1
2025-06-25,19.19,14.9304,18.97,1
2025-06-26,20.48,13.9063,18.5,1
2025-06-27,20.41,14.6221,17.76,1
2025-06-30,21.44,15.6735,18.44,1
2025-07-01,20.45,18.1188,18.09,1
2025-07-02,16.62,14.1728,18.42,0
2025-07-03,16.47,15.9452,19.13,0
