date,entry_close,pred_close,actual_close,correct
2024-06-10,11.3,5.4951,6.25,1
2024-06-11,10.97,5.6287,5.9,1
2024-06-12,10.78,4.9065,6.1,1
2024-06-13,10.55,5.2727,6.24,1
2024-06-14,10.33,5.7636,6.21,1
2024-06-17,10.91,4.9823,6.14,1
2024-06-18,10.68,7.642,6.66,1
2024-06-20,10.22,6.801,6.29,1
2024-06-21,10.2,7.6453,6.29,1
2024-06-24,9.71,4.3533,6.02,1
2024-06-25,9.48,6.4627,6.17,1
2024-06-26,9.75,6.6549,6.06,1
2024-06-27,10.03,5.7323,5.94,1
2024-06-28,9.83,6.904,6.22,1
2024-07-01,9.65,6.1735,5.93,1
2024-07-02,9.41,5.2393,6.29,1
2024-07-03,9.7,5.7241,6.36,1
2024-07-05,9.59,6.3696,6.3,1
2024-07-08,10.47,6.5298,6.06,1
2024-07-09,11.59,5.8699,6.2,1
2024-07-10,12.08,5.4551,6.16,1
2024-07-11,12.96,5.6543,6.38,1
2024-07-12,13.79,8.4221,6.45,1
2024-07-15,16.02,7.1795,6.27,1
2024-07-16,16.39,6.4151,6.63,1
2024-07-17,15.14,5.705,6.58,1
2024-07-18,14.31,4.9542,7.15,1
2024-07-19,14.04,7.4494,7.08,1
2024-07-22,14.17,6.8658,7.12,1
2024-07-23,14.7,5.446,7.52,1
2024-07-24,13.58,5.1544,7.92,1
2024-07-25,13.41,9.3975,8.07,1
2024-07-26,13.96,6.1361,8.25,1
2024-07-29,13.46,7.519,8.38,1
2024-07-30,13.21,7.7626,7.81,1
2024-07-31,13.13,5.1782,7.75,1
2024-08-01,12.44,1.5604,7.55,1
2024-08-02,11.77,7.5732,7.43,1
2024-08-05,11.11,5.9182,7.1,1
2024-08-06,10.98,5.5423,6.97,1
2024-08-07,10.38,5.993,6.63,1
2024-08-08,10.58,6.1205,7.0,1
2024-08-09,10.57,6.4183,7.05,1
2024-08-12,10.92,7.3123,7.46,1
2024-08-13,10.88,6.5139,7.83,1
2024-08-14,7.87,8.6111,7.87,0
2024-08-15,7.78,7.033,7.99,0
2024-08-16,8.01,8.0561,10.55,1
2024-08-19,7.85,7.3776,9.77,0
2024-08-20,7.84,8.2093,9.11,1
2024-08-21,8.05,10.3248,8.7,1
2024-08-22,7.69,7.9565,8.44,1
2024-08-23,7.65,12.4405,8.78,1
2024-08-26,7.59,8.6408,9.02,1
2024-08-27,7.49,8.2523,8.88,1
2024-08-28,7.24,9.7621,8.97,1
2024-08-29,7.16,7.9743,9.53,1
2024-08-30,7.09,12.0986,9.88,1
2024-09-03,6.6,7.2196,9.36,1
2024-09-04,6.42,6.3565,9.55,0
2024-09-05,6.25,8.7388,9.88,1
2024-09-06,5.9,7.3733,9.62,1
2024-09-09,6.1,8.1784,9.1,1
2024-09-10,6.24,10.4518,8.9,1
2024-09-11,6.21,10.3547,8.94,1
2024-09-12,6.14,11.2457,10.39,1
2024-09-13,6.66,8.4563,9.98,1
2024-09-16,6.29,9.9427,9.79,1
2024-09-17,6.29,9.3686,9.63,1
2024-09-18,6.02,9.3066,9.14,1
2024-09-19,6.17,9.44,9.08,1
2024-09-20,6.06,7.9096,9.38,1
2024-09-23,5.94,6.2832,11.0,1
2024-09-24,6.22,10.3932,10.38,1
2024-09-25,5.93,8.1919,10.42,1
2024-09-26,6.29,8.0559,11.98,1
2024-09-27,6.36,8.7955,12.21,1
2024-09-30,6.3,7.0798,12.81,1
2024-10-01,6.06,8.1129,13.71,1
2024-10-02,6.2,6.5167,12.49,1
2024-10-03,6.16,7.3189,12.45,1
2024-10-04,6.38,6.7317,12.22,1
2024-10-07,6.45,8.6614,12.35,1
2024-10-08,6.27,9.12,14.64,1
2024-10-09,6.63,5.915,15.22,0
2024-10-10,6.58,7.4337,14.61,1
2024-10-11,7.15,8.3695,12.595,1
2024-10-14,7.08,6.9594,11.32,0
2024-10-15,7.12,7.3505,10.85,1
2024-10-16,7.52,8.2437,10.73,1
2024-10-17,7.92,7.9284,11.43,1
2024-10-18,8.07,8.5475,11.27,1
2024-10-21,8.25,8.6354,10.6,1
2024-10-22,8.38,9.8485,10.55,1
2024-10-23,7.81,7.5552,10.77,0
2024-10-24,7.75,11.4289,10.72,1
2024-10-25,7.55,7.5889,10.46,1
2024-10-28,7.43,10.6462,9.68,1
2024-10-29,7.1,8.4744,9.74,1
2024-10-30,6.97,8.1009,9.46,1
2024-10-31,6.63,8.4293,9.88,1
2024-11-01,7.0,7.3496,9.96,1
2024-11-04,7.05,11.1837,9.55,1
2024-11-05,7.46,8.6619,10.1,1
2024-11-06,7.83,7.6472,10.28,0
2024-11-07,7.87,7.0046,11.05,0
2024-11-08,7.99,7.7429,10.39,0
2024-11-11,10.55,7.1614,10.28,1
2024-11-12,9.77,7.8074,9.71,1
2024-11-13,9.11,7.8938,9.6,0
2024-11-14,8.7,8.2629,10.09,0
2024-11-15,8.44,7.6835,9.83,0
2024-11-18,8.78,9.356,10.05,1
2024-11-19,9.02,7.4598,10.21,0
2024-11-20,8.88,9.5929,9.85,1
2024-11-21,8.97,6.079,8.87,1
2024-11-22,9.53,5.7928,8.27,1
2024-11-25,9.88,7.5617,8.04,1
2024-11-26,9.36,7.4165,8.32,1
2024-11-27,9.55,7.7222,8.09,1
2024-11-29,9.88,6.9635,8.25,1
2024-12-02,9.62,8.2459,7.69,1
2024-12-03,9.1,7.7414,7.77,1
2024-12-04,8.9,8.6416,8.35,1
2024-12-05,8.94,6.7946,7.98,1
2024-12-06,10.39,6.5459,8.08,1
2024-12-09,9.98,6.7974,7.65,1
2024-12-10,9.79,6.8448,7.85,1
2024-12-11,9.63,10.1303,7.48,0
2024-12-12,9.14,7.3886,7.56,1
2024-12-13,9.08,7.1207,7.97,1
2024-12-16,9.38,7.0973,8.51,1
2024-12-17,11.0,7.4283,8.16,1
2024-12-18,10.38,8.6247,8.3,1
2024-12-19,10.42,7.7871,8.38,1
2024-12-20,11.98,8.075,11.05,1
2024-12-23,12.21,6.6565,11.24,1
2024-12-24,12.81,8.1539,11.23,1
2024-12-26,13.71,8.634,10.62,1
2024-12-27,12.49,9.1608,9.98,1
2024-12-30,12.45,7.6964,9.54,1
