date,entry_close,pred_close,actual_close,correct
2024-06-10,12.01,19.5717,12.74,1
2024-06-11,11.81,19.2331,11.97,1
2024-06-12,11.81,18.2408,12.19,1
2024-06-13,11.53,20.8253,12.03,1
2024-06-14,11.54,22.0969,12.02,1
2024-06-17,11.43,20.5704,12.02,1
2024-06-18,11.26,21.543,12.51,1
2024-06-20,11.37,17.8969,12.48,1
2024-06-21,11.96,22.7876,12.27,1
2024-06-24,12.03,19.2775,12.3,1
2024-06-25,11.93,19.4155,12.45,1
2024-06-26,12.22,20.8297,12.49,1
2024-06-27,12.68,21.4715,12.91,1
2024-06-28,12.68,22.6687,12.95,1
2024-07-01,12.88,19.5642,12.48,0
2024-07-02,12.96,18.3979,12.59,0
2024-07-03,12.96,19.1622,12.8,0
2024-07-05,13.24,17.7722,12.8,0
2024-07-08,12.82,19.271,12.4,0
2024-07-09,11.93,20.4357,12.33,1
2024-07-10,12.09,18.583,11.95,0
2024-07-11,12.35,22.006,12.49,1
2024-07-12,12.63,20.7073,12.29,0
2024-07-15,12.47,19.5999,12.17,0
2024-07-16,12.7,24.1006,12.44,0
2024-07-17,12.57,18.0984,12.56,0
2024-07-18,12.09,20.5041,12.7,1
2024-07-19,12.05,16.6281,12.74,1
2024-07-22,12.24,21.1595,12.87,1
2024-07-23,12.31,23.556,12.8,1
2024-07-24,11.93,21.6959,12.77,1
2024-07-25,12.2,16.403,13.06,1
2024-07-26,12.36,19.9668,13.05,1
2024-07-29,12.32,25.019,12.64,1
2024-07-30,12.06,15.8734,12.06,0
2024-07-31,12.17,17.3438,12.48,1
2024-08-01,11.8,20.1875,12.35,1
2024-08-02,11.41,15.6627,12.48,1
2024-08-05,11.13,22.7529,12.7,1
2024-08-06,10.89,18.7406,12.61,1
2024-08-07,10.75,15.959,12.36,1
2024-08-08,11.13,18.4671,12.57,1
2024-08-09,11.37,17.2397,12.32,1
2024-08-12,11.13,22.4506,12.54,1
2024-08-13,11.53,19.0177,13.15,1
2024-08-14,11.43,17.2045,13.38,1
2024-08-15,11.79,17.0704,13.17,1
2024-08-16,11.85,17.3598,13.89,1
2024-08-19,12.16,23.4076,13.36,1
2024-08-20,12.09,23.6837,13.53,1
2024-08-21,12.25,19.4929,12.64,1
2024-08-22,12.06,18.2518,12.37,1
2024-08-23,12.41,19.6804,12.52,1
2024-08-26,12.64,20.9671,12.76,1
2024-08-27,12.86,18.2867,12.87,1
2024-08-28,12.58,16.7581,13.68,1
2024-08-29,12.84,16.5117,14.24,1
2024-08-30,12.88,19.2483,14.5,1
2024-09-03,12.59,16.2447,14.18,1
2024-09-04,12.72,16.4895,14.09,1
2024-09-05,12.74,17.1635,14.21,1
2024-09-06,11.97,22.3932,14.52,1
2024-09-09,12.19,16.1049,14.38,1
2024-09-10,12.03,15.9461,15.33,1
2024-09-11,12.02,22.0531,14.95,1
2024-09-12,12.02,14.2938,14.81,1
2024-09-13,12.51,15.293,15.5,1
2024-09-16,12.48,14.3177,14.71,1
2024-09-17,12.27,13.6633,14.64,1
2024-09-18,12.3,16.7208,14.23,1
2024-09-19,12.45,15.7955,14.01,1
2024-09-20,12.49,21.6417,14.06,1
2024-09-23,12.91,15.1039,13.91,1
2024-09-24,12.95,14.8376,12.97,1
2024-09-25,12.48,16.4435,12.74,1
2024-09-26,12.59,15.495,13.25,1
2024-09-27,12.8,16.8087,13.05,1
2024-09-30,12.8,13.4914,13.13,1
2024-10-01,12.4,13.0057,13.18,1
2024-10-02,12.33,12.2204,12.88,0
2024-10-03,11.95,14.2158,12.74,1
2024-10-04,12.49,18.5323,12.71,1
2024-10-07,12.29,15.3302,12.93,1
2024-10-08,12.17,15.2316,13.28,1
2024-10-09,12.44,15.3623,13.81,1
2024-10-10,12.56,13.0322,13.2,1
2024-10-11,12.7,11.9526,13.43,0
2024-10-14,12.74,14.4794,12.97,1
2024-10-15,12.87,14.6459,12.83,0
2024-10-16,12.8,16.9004,13.28,1
