date,entry_close,pred_close,actual_close,correct
2024-06-10,17.25,19.8178,18.84,1
2024-06-11,17.33,21.3993,18.07,1
2024-06-12,18.55,17.6783,17.67,1
2024-06-13,19.05,19.7152,17.42,0
2024-06-14,17.4,20.0267,17.63,1
2024-06-17,18.52,19.2787,18.36,0
2024-06-18,18.23,17.6525,19.9,0
2024-06-20,20.04,21.1016,20.02,0
2024-06-21,19.83,18.7414,19.78,1
2024-06-24,19.34,17.7794,19.62,0
2024-06-25,18.26,17.5953,20.05,0
2024-06-26,18.3,20.1733,20.08,1
2024-06-27,18.89,19.4655,19.51,1
2024-06-28,19.36,23.4663,18.81,0
2024-07-01,18.78,18.4842,18.7,1
2024-07-02,18.81,18.8196,19.04,1
2024-07-03,18.74,19.1986,19.28,1
2024-07-05,19.62,17.4195,18.86,1
2024-07-08,20.07,20.7207,18.47,0
2024-07-09,20.04,18.6148,18.35,1
2024-07-10,20.07,17.015,18.42,1
2024-07-11,20.77,17.9974,18.96,1
2024-07-12,20.58,20.0254,18.57,1
2024-07-15,19.82,21.5139,18.48,0
2024-07-16,19.9,20.3771,18.75,0
2024-07-17,19.44,20.0804,18.46,0
2024-07-18,18.57,17.7243,18.52,1
2024-07-19,18.52,19.7684,18.48,0
2024-07-22,18.72,19.1041,18.51,0
2024-07-23,19.07,17.869,18.74,1
2024-07-24,18.16,21.4297,18.78,1
2024-07-25,18.19,20.2637,18.99,1
2024-07-26,19.71,18.8398,18.4,1
2024-07-29,19.62,19.0763,18.88,1
2024-07-30,19.51,18.4856,18.62,1
2024-07-31,19.97,19.3533,19.19,1
2024-08-01,18.92,17.4256,19.91,0
2024-08-02,17.87,19.6767,19.89,1
2024-08-05,16.97,23.2571,20.79,1
2024-08-06,17.47,22.3317,20.7,1
2024-08-07,17.26,15.8006,19.75,0
2024-08-08,18.72,17.2164,19.45,0
2024-08-09,18.24,17.6319,19.06,0
2024-08-12,18.7,19.9661,18.34,0
2024-08-13,18.81,18.433,19.23,0
2024-08-14,18.52,19.0607,20.22,1
2024-08-15,19.26,20.3135,20.49,1
2024-08-16,19.24,21.7944,20.46,1
2024-08-19,20.03,21.3086,21.54,1
2024-08-20,19.81,16.8109,21.23,0
2024-08-21,19.76,19.7701,20.94,1
2024-08-22,19.48,17.4478,20.78,0
2024-08-23,19.57,17.8603,20.1,0
2024-08-26,19.47,19.3605,20.32,0
2024-08-27,19.27,20.1752,20.02,1
2024-08-28,18.7,20.6128,20.22,1
