date,entry_close,pred_close,actual_close,correct
2024-06-10,155.5928,154.9086,168.1603,0
2024-06-11,154.8144,155.2054,167.5886,1
2024-06-12,153.6515,159.631,168.3918,1
2024-06-13,153.1825,158.7328,168.0327,1
2024-06-14,153.6327,160.7757,166.1144,1
2024-06-17,155.8179,157.7049,167.5035,1
2024-06-18,156.1368,158.8208,167.6075,1
2024-06-20,156.3244,155.9793,167.4657,0
2024-06-21,156.8871,161.8142,167.1444,1
2024-06-24,157.6374,153.1956,165.5757,0
2024-06-25,156.9527,151.7085,165.0559,0
2024-06-26,156.3806,149.3278,161.7673,0
2024-06-27,155.9305,156.5722,162.6462,1
2024-06-28,154.6831,166.6064,160.5766,1
2024-07-01,152.7699,154.4814,160.0852,1
2024-07-02,153.417,155.7739,160.3592,1
2024-07-03,152.4979,163.5954,160.6522,1
2024-07-05,154.1767,156.4635,160.6994,1
2024-07-08,152.0477,158.5933,161.9563,1
2024-07-09,151.8413,158.3778,160.2269,1
2024-07-10,153.4263,158.1311,159.263,1
2024-07-11,153.764,158.8443,158.7338,1
2024-07-12,156.043,157.842,158.0156,1
2024-07-15,153.6796,156.0364,161.0491,1
2024-07-16,154.5236,151.6678,163.0525,0
2024-07-17,159.3349,157.7342,163.4778,0
2024-07-18,159.7851,157.5466,165.1977,0
2024-07-19,158.8379,154.6101,166.4168,0
2024-07-22,157.2435,151.485,166.2277,0
2024-07-23,155.9492,160.666,164.8858,1
2024-07-24,157.7218,155.6544,165.0654,0
2024-07-25,160.3947,155.5069,165.4339,0
2024-07-26,162.0173,150.4038,165.3867,0
2024-07-29,162.4487,160.7745,164.7819,0
2024-07-30,162.4205,157.3076,163.44,0
2024-07-31,161.9422,157.7136,162.6934,0
2024-08-01,164.09,152.9833,162.3438,1
2024-08-02,166.9786,154.7331,160.501,1
2024-08-05,163.2271,156.5761,158.2896,1
2024-08-06,161.7734,154.5325,157.0706,1
2024-08-07,161.1169,162.3455,156.9478,0
2024-08-08,161.6609,152.5415,156.4847,1
2024-08-09,161.6796,152.4807,157.1935,1
2024-08-12,160.7699,151.6068,158.6204,1
2024-08-13,161.6609,153.2525,155.6531,1
2024-08-14,162.9176,157.2317,154.9821,1
2024-08-15,161.8016,159.2281,156.0311,1
2024-08-16,161.8953,159.7901,155.2278,1
2024-08-19,163.0208,163.3285,155.3034,0
2024-08-20,164.9247,157.9547,155.6814,1
2024-08-21,164.3244,160.4563,156.0689,1
2024-08-22,164.8215,159.2236,149.8979,1
2024-08-23,164.9434,160.8709,149.6239,1
2024-08-26,165.0372,163.0659,148.1024,1
2024-08-27,164.4088,165.1711,150.0113,0
2024-08-28,163.1146,155.5997,151.5233,1
2024-08-29,161.3983,160.7862,153.0921,1
2024-08-30,162.1392,159.5762,154.0844,1
2024-09-03,166.5097,165.8769,153.2433,1
2024-09-04,167.4288,159.5095,153.7725,1
2024-09-05,168.1603,159.7423,154.4624,1
2024-09-06,167.5886,162.1209,154.0844,1
2024-09-09,168.3918,159.0999,152.8086,1
2024-09-10,168.0327,157.5501,151.3721,1
2024-09-11,166.1144,158.4831,151.6651,1
2024-09-12,167.5035,160.3979,150.3832,1
2024-09-13,167.6075,157.3277,151.9844,1
2024-09-16,167.4657,162.7683,152.337,1
2024-09-17,167.1444,153.4152,149.4111,1
2024-09-18,165.5757,162.9666,151.4411,1
2024-09-19,165.0559,157.7607,150.5548,1
2024-09-20,161.7673,159.4684,148.6963,1
2024-09-23,162.6462,158.3098,148.8107,1
2024-09-24,160.5766,161.2488,147.181,0
2024-09-25,160.0852,153.5463,144.3599,1
2024-09-26,160.3592,152.4226,145.6179,1
2024-09-27,160.6522,161.1225,144.1883,0
2024-09-30,160.6994,156.7558,145.637,1
2024-10-01,161.9563,165.3309,145.2844,0
2024-10-02,160.2269,155.3795,145.7132,1
2024-10-03,159.263,154.2861,144.5982,1
2024-10-04,158.7338,157.1405,144.9222,1
2024-10-07,158.0156,157.6037,143.1591,1
2024-10-08,161.0491,154.9373,142.6253,1
2024-10-09,163.0525,165.0922,139.404,0
2024-10-10,163.4778,157.7718,138.5748,1
2024-10-11,165.1977,158.6578,139.6613,1
2024-10-14,166.4168,156.3652,135.9444,1
2024-10-15,166.2277,163.3812,137.7171,1
2024-10-16,164.8858,162.4488,138.146,1
2024-10-17,165.0654,160.2584,137.9839,1
2024-10-18,165.4339,159.6068,139.6613,1
2024-10-21,165.3867,157.4135,141.2911,1
