date,entry_close,pred_close,actual_close,correct
2024-06-10,44.04,36.244,30.81,1
2024-06-11,43.79,33.0309,29.25,1
2024-06-12,43.9,31.4587,29.41,1
2024-06-13,43.23,32.257,29.12,1
2024-06-14,43.51,34.4237,29.22,1
2024-06-17,43.83,33.2404,29.31,1
2024-06-18,44.22,37.667,28.86,1
2024-06-20,44.01,29.37,28.89,1
2024-06-21,43.62,29.1263,29.36,1
2024-06-24,43.12,34.8053,29.89,1
2024-06-25,44.98,34.9614,30.52,1
2024-06-26,44.4,34.3813,30.38,1
2024-06-27,44.12,30.75,30.46,1
2024-06-28,44.07,31.0928,31.65,1
2024-07-01,43.08,32.858,32.15,1
2024-07-02,43.26,33.3225,32.72,1
2024-07-03,43.12,30.3779,32.48,1
2024-07-05,43.51,32.1789,32.37,1
2024-07-08,43.44,35.3276,32.76,1
2024-07-09,43.34,34.5677,33.21,1
2024-07-10,42.74,28.8672,32.77,1
2024-07-11,42.12,29.7168,33.25,1
2024-07-12,41.29,30.2279,32.58,1
2024-07-15,41.36,35.9893,32.92,1
2024-07-16,40.76,34.7802,33.84,1
2024-07-17,40.7,31.0039,33.74,1
2024-07-18,40.96,32.0165,34.15,1
2024-07-19,40.78,32.8431,33.98,1
2024-07-22,41.1,34.6433,33.67,1
2024-07-23,40.82,33.9364,33.37,1
2024-07-24,38.81,37.6549,32.94,1
2024-07-25,37.88,34.6342,33.18,1
2024-07-26,37.55,39.3447,33.03,0
2024-07-29,37.36,37.3157,31.94,1
2024-07-30,37.35,39.1971,31.54,0
2024-07-31,31.95,35.3282,31.83,0
2024-08-01,31.24,37.8303,32.35,1
2024-08-02,29.1,37.4148,32.26,1
2024-08-05,28.66,39.8978,32.43,1
2024-08-06,28.85,35.1123,32.59,1
2024-08-07,28.79,39.7628,31.79,1
2024-08-08,29.27,34.677,32.02,1
2024-08-09,28.99,37.8843,32.28,1
2024-08-12,29.01,34.876,32.72,1
2024-08-13,29.75,35.3121,33.76,1
2024-08-14,29.28,34.012,33.93,1
2024-08-15,30.67,35.4107,29.18,0
2024-08-16,31.01,35.755,30.39,0
2024-08-19,31.77,37.9905,30.67,0
2024-08-20,31.65,35.746,29.98,0
2024-08-21,32.52,36.2856,29.37,0
2024-08-22,32.02,37.8471,28.24,0
2024-08-23,32.34,36.8212,28.99,0
2024-08-26,31.7,36.63,29.69,0
2024-08-27,31.53,37.057,29.23,0
2024-08-28,31.27,36.691,29.31,0
2024-08-29,31.2,39.5096,30.02,0
2024-08-30,32.04,36.0936,30.51,0
2024-09-03,31.31,37.4379,31.0,0
2024-09-04,30.83,37.6363,30.32,0
2024-09-05,30.81,37.5536,30.32,0
2024-09-06,29.25,34.5574,30.43,1
2024-09-09,29.41,37.8288,31.34,1
2024-09-10,29.12,38.8466,32.3,1
2024-09-11,29.22,37.0977,31.58,1
2024-09-12,29.31,36.5736,32.28,1
2024-09-13,28.86,37.5787,33.06,1
2024-09-16,28.89,38.0045,31.83,1
2024-09-17,29.36,37.8223,31.93,1
2024-09-18,29.89,34.9603,30.84,1
2024-09-19,30.52,39.6069,30.65,1
2024-09-20,30.38,38.7876,30.3,0
2024-09-23,30.46,36.5909,31.0,1
2024-09-24,31.65,43.6866,29.87,0
2024-09-25,32.15,35.2199,29.61,0
2024-09-26,32.72,38.3099,29.49,0
2024-09-27,32.48,41.688,29.47,0
2024-09-30,32.37,36.7954,29.9,0
2024-10-01,32.76,35.6775,29.92,0
2024-10-02,33.21,39.7125,29.56,0
2024-10-03,32.77,37.1725,29.15,0
2024-10-04,33.25,36.4232,29.0,0
2024-10-07,32.58,39.919,30.58,0
2024-10-08,32.92,39.0718,30.94,0
2024-10-09,33.84,40.2564,32.41,0
2024-10-10,33.74,37.852,31.81,0
2024-10-11,34.15,36.2613,30.87,0
2024-10-14,33.98,35.8958,30.66,0
2024-10-15,33.67,42.2652,30.41,0
2024-10-16,33.37,40.7845,29.79,0
2024-10-17,32.94,33.7314,30.63,0
2024-10-18,33.18,39.2043,30.39,0
2024-10-21,33.03,39.3971,30.53,0
