date,entry_close,pred_close,actual_close,correct
2024-06-10,34.99,36.7514,43.71,1
2024-06-11,35.49,37.2907,43.64,1
2024-06-12,36.03,38.252,43.62,1
2024-06-13,35.52,32.2562,44.9,0
2024-06-14,35.1,35.4477,44.99,1
2024-06-17,35.9,36.8932,45.41,1
2024-06-18,35.9,39.8187,45.87,1
2024-06-20,35.86,39.1776,46.24,1
2024-06-21,36.16,32.9325,45.74,0
2024-06-24,35.19,37.7031,45.28,1
2024-06-25,35.43,36.2056,46.3,1
2024-06-26,36.91,35.1899,46.03,0
2024-06-27,37.22,35.8541,45.53,0
2024-06-28,37.21,41.8443,47.11,1
2024-07-01,37.06,39.354,47.64,1
2024-07-02,37.14,39.3426,44.87,1
2024-07-03,37.77,33.2391,44.18,0
2024-07-05,38.68,35.3179,44.26,0
2024-07-08,39.82,35.6389,43.53,0
2024-07-09,39.39,36.0609,43.39,0
2024-07-10,39.66,38.8606,42.18,0
2024-07-11,38.52,39.0627,41.99,1
2024-07-12,40.53,39.4897,41.39,0
2024-07-15,41.11,38.539,40.51,1
2024-07-16,41.28,35.0044,41.74,0
2024-07-17,40.0,36.428,41.4,0
2024-07-18,39.79,36.0946,41.6,0
2024-07-19,40.52,36.8326,40.79,0
2024-07-22,41.0,34.0115,40.76,1
2024-07-23,41.08,37.2966,41.39,0
2024-07-24,39.96,37.4778,39.86,1
2024-07-25,40.54,38.4958,39.93,1
2024-07-26,40.51,36.4622,40.31,1
2024-07-29,40.57,39.7105,41.29,0
2024-07-30,41.03,39.8456,41.16,0
2024-07-31,41.52,38.7482,41.78,0
2024-08-01,38.85,34.6027,42.14,0
2024-08-02,39.04,41.2002,42.3,1
2024-08-05,36.53,37.8014,42.61,1
2024-08-06,37.67,41.0028,43.14,1
2024-08-07,36.18,35.8464,51.72,0
2024-08-08,37.17,40.2991,51.44,1
2024-08-09,37.02,40.0162,50.0,1
2024-08-12,37.32,34.9736,51.18,0
2024-08-13,38.75,40.6125,52.9,1
2024-08-14,39.09,38.8096,53.11,0
2024-08-15,40.5,39.4341,52.4,0
2024-08-16,40.59,35.6906,54.56,0
2024-08-19,40.86,41.5652,54.38,1
2024-08-20,40.54,40.6776,53.14,1
2024-08-21,43.35,37.8411,52.73,0
2024-08-22,43.36,40.2727,50.73,0
2024-08-23,44.16,39.3575,51.03,0
2024-08-26,43.94,42.1746,52.24,0
2024-08-27,44.16,40.2461,51.52,0
2024-08-28,44.13,37.2203,49.35,0
2024-08-29,43.57,40.44,49.38,0
2024-08-30,43.99,38.9243,49.16,0
2024-09-03,42.92,39.3348,49.06,0
2024-09-04,43.26,41.4435,49.37,0
2024-09-05,43.71,40.9925,50.13,0
