date,entry_close,pred_close,actual_close,correct
2024-06-10,3.62,2.5343,2.28,1
2024-06-11,3.63,2.5895,2.28,1
2024-06-12,3.57,3.1026,2.34,1
2024-06-13,3.43,2.5722,2.37,1
2024-06-14,3.22,2.7446,2.42,1
2024-06-17,3.165,3.1394,2.5,1
2024-06-18,3.21,1.6787,2.69,1
2024-06-20,3.05,2.6254,2.79,1
2024-06-21,3.08,2.6083,3.25,0
2024-06-24,3.07,2.8451,3.21,0
2024-06-25,3.06,3.2253,3.26,1
2024-06-26,3.17,2.9987,3.24,0
2024-06-27,3.17,3.0679,3.21,0
2024-06-28,3.19,2.8193,3.22,0
2024-07-01,3.1,3.1172,3.09,0
2024-07-02,3.24,3.3076,3.12,0
2024-07-03,3.265,3.0149,3.25,1
2024-07-05,3.3,2.7349,3.14,1
2024-07-08,3.45,3.1082,2.92,1
2024-07-09,3.365,2.8017,2.99,1
2024-07-10,3.32,2.9523,3.01,1
2024-07-11,3.45,2.8979,3.23,1
2024-07-12,3.53,2.9085,3.23,1
2024-07-15,3.5,2.3897,3.34,1
2024-07-16,3.745,2.2133,3.39,1
2024-07-17,3.77,2.0658,3.31,1
2024-07-18,3.63,2.1617,3.38,1
2024-07-19,3.52,2.4152,3.32,1
2024-07-22,3.46,2.7482,3.21,1
2024-07-23,3.45,2.691,3.3,1
2024-07-24,3.24,2.0816,3.18,1
2024-07-25,3.21,2.9805,3.05,1
2024-07-26,3.45,2.8298,3.02,1
2024-07-29,3.54,3.1088,3.01,1
2024-07-30,3.6,2.4769,2.93,1
2024-07-31,3.74,2.8199,2.97,1
2024-08-01,3.46,2.6469,2.93,1
2024-08-02,3.31,3.4945,2.98,0
2024-08-05,3.1,2.6081,3.04,1
2024-08-06,3.1,2.7769,3.04,1
2024-08-07,2.38,2.9512,2.9,1
2024-08-08,2.46,2.1019,2.99,0
2024-08-09,2.45,2.9274,3.05,1
2024-08-12,2.52,2.3649,3.66,0
2024-08-13,2.69,2.8477,3.77,1
2024-08-14,2.61,2.8024,3.74,1
2024-08-15,2.75,2.4454,3.76,0
2024-08-16,2.64,2.6511,3.76,1
2024-08-19,2.67,2.9736,3.78,1
2024-08-20,2.64,3.5134,4.14,1
2024-08-21,2.69,3.0445,3.99,1
2024-08-22,2.57,2.943,3.99,1
2024-08-23,2.72,2.7701,4.01,1
2024-08-26,2.7,3.1196,4.32,1
2024-08-27,2.68,2.4777,4.43,0
2024-08-28,2.59,3.6833,4.48,1
2024-08-29,2.63,2.7886,4.74,1
2024-08-30,2.64,2.4344,5.33,0
2024-09-03,2.43,3.0867,5.29,1
2024-09-04,2.36,3.4756,5.76,1
2024-09-05,2.28,3.7668,5.88,1
2024-09-06,2.28,2.7103,6.04,1
2024-09-09,2.34,3.0706,5.9,1
2024-09-10,2.37,3.0645,6.15,1
2024-09-11,2.42,2.8097,6.12,1
2024-09-12,2.5,3.454,6.44,1
2024-09-13,2.69,3.4008,8.96,1
2024-09-16,2.79,2.9514,9.06,1
2024-09-17,3.25,3.4881,9.33,1
2024-09-18,3.21,3.3108,8.86,1
2024-09-19,3.26,3.127,8.79,0
2024-09-20,3.24,3.0305,9.25,0
2024-09-23,3.21,3.3015,9.51,1
2024-09-24,3.22,2.1339,8.565,0
2024-09-25,3.09,3.0537,8.825,0
2024-09-26,3.12,2.6175,9.39,0
2024-09-27,3.25,2.5681,9.28,0
2024-09-30,3.14,2.402,9.33,0
2024-10-01,2.92,3.0231,10.99,1
2024-10-02,2.99,2.6413,10.86,0
2024-10-03,3.01,3.2403,11.18,1
2024-10-04,3.23,3.4892,10.93,1
2024-10-07,3.23,2.9862,9.84,0
2024-10-08,3.34,2.9,9.5,0
2024-10-09,3.39,2.5961,9.67,0
2024-10-10,3.31,3.1448,9.18,0
2024-10-11,3.38,2.5786,8.73,0
2024-10-14,3.32,2.2198,8.73,0
2024-10-15,3.21,3.2197,8.15,1
2024-10-16,3.3,2.9033,8.58,0
2024-10-17,3.18,2.7278,9.01,0
2024-10-18,3.05,3.3367,9.45,1
2024-10-21,3.02,2.8841,9.52,0
2024-10-22,3.01,3.0282,9.93,1
2024-10-23,2.93,2.9151,9.42,0
2024-10-24,2.97,2.916,9.36,0
2024-10-25,2.93,3.1096,9.47,1
2024-10-28,2.98,2.8673,9.24,0
2024-10-29,3.04,2.5623,9.53,0
2024-10-30,3.04,3.0808,9.21,1
2024-10-31,2.9,3.1979,9.29,1
2024-11-01,2.99,2.7176,9.54,0
2024-11-04,3.05,2.9029,9.06,0
2024-11-05,3.66,2.8962,9.23,0
2024-11-06,3.77,2.9436,8.59,0
2024-11-07,3.74,2.7158,8.54,0
2024-11-08,3.76,2.9187,8.37,0
2024-11-11,3.76,2.7454,8.03,0
2024-11-12,3.78,2.7375,7.67,0
2024-11-13,4.14,3.4286,7.81,0
2024-11-14,3.99,3.1041,7.88,0
2024-11-15,3.99,3.2198,7.99,0
2024-11-18,4.01,3.4267,8.19,0
2024-11-19,4.32,2.9828,7.97,0
2024-11-20,4.43,3.0086,7.96,0
2024-11-21,4.48,3.6324,6.46,0
2024-11-22,4.74,2.9252,6.87,0
2024-11-25,5.33,2.9111,6.74,0
2024-11-26,5.29,3.2578,6.84,0
2024-11-27,5.76,3.4805,6.53,0
2024-11-29,5.88,2.8838,6.82,0
2024-12-02,6.04,3.1145,6.23,0
2024-12-03,5.9,3.1295,5.68,1
2024-12-04,6.15,3.1679,5.725,1
2024-12-05,6.12,3.1469,5.32,1
2024-12-06,6.44,2.7948,5.4,1
2024-12-09,8.96,3.2833,5.11,1
2024-12-10,9.06,3.3607,5.44,1
2024-12-11,9.33,3.3457,5.86,1
2024-12-12,8.86,2.802,5.5,1
2024-12-13,8.79,2.9528,5.61,1
2024-12-16,9.25,3.2152,5.94,1
2024-12-17,9.51,2.9558,5.7,1
2024-12-18,8.565,3.1813,6.17,1
2024-12-19,8.825,2.0629,6.3,1
2024-12-20,9.39,3.5792,6.23,1
2024-12-23,9.28,3.2287,6.76,1
2024-12-24,9.33,3.6813,6.28,1
2024-12-26,10.99,2.7097,6.09,1
2024-12-27,10.86,3.1304,5.81,1
2024-12-30,11.18,2.5898,5.62,1
