date,entry_close,pred_close,actual_close,correct
2024-06-10,1.03,1.3852,0.8,0
2024-06-11,1.05,1.7306,0.754,0
2024-06-12,1.02,1.3708,0.688,0
2024-06-13,1.02,1.2057,0.734,0
2024-06-14,0.986,1.3526,0.804,0
2024-06-17,1.04,1.3321,0.82,0
2024-06-18,0.98,1.2115,0.853,0
2024-06-20,0.88,1.379,0.822,0
2024-06-21,0.953,0.8922,0.84,1
2024-06-24,0.964,1.5348,0.82,0
2024-06-25,0.897,1.0363,0.815,0
2024-06-26,0.906,1.5105,0.794,0
2024-06-27,1.05,1.4429,0.765,0
2024-06-28,1.07,1.5562,0.76,0
2024-07-01,0.999,1.2868,0.74,0
2024-07-02,0.949,1.5072,0.778,0
2024-07-03,0.96,1.5703,0.81,0
2024-07-05,0.992,1.0639,0.783,0
2024-07-08,1.04,1.2045,0.753,0
2024-07-09,1.04,1.4132,0.764,0
2024-07-10,1.08,1.5621,0.748,0
2024-07-11,1.02,1.2112,0.785,0
2024-07-12,1.08,1.3008,0.785,0
2024-07-15,1.19,1.0724,0.779,1
2024-07-16,1.28,1.2171,0.766,1
2024-07-17,1.17,1.1736,0.756,0
2024-07-18,1.09,1.044,0.816,1
2024-07-19,1.04,1.0701,0.842,0
2024-07-22,1.05,1.4762,0.811,0
2024-07-23,1.12,0.9752,0.92,1
2024-07-24,1.02,1.2734,0.951,0
2024-07-25,1.04,1.389,1.11,1
2024-07-26,1.07,1.1076,1.28,1
2024-07-29,1.03,1.5966,1.23,1
2024-07-30,0.99,1.0626,1.21,1
2024-07-31,1.03,1.0832,1.2,1
2024-08-01,0.948,1.0873,1.22,1
2024-08-02,0.897,1.0321,1.5,1
2024-08-05,0.796,1.1984,1.46,1
2024-08-06,0.846,1.0789,1.41,1
2024-08-07,0.778,1.5253,1.32,1
2024-08-08,0.831,0.8829,1.23,1
2024-08-09,0.79,1.0881,1.13,1
2024-08-12,0.854,1.6151,1.12,1
2024-08-13,0.897,1.0741,1.2,1
2024-08-14,0.841,1.1464,1.43,1
2024-08-15,0.886,1.4278,1.51,1
2024-08-16,0.898,1.1745,1.52,1
2024-08-19,0.87,1.1799,1.49,1
2024-08-20,0.836,1.1229,1.7,1
2024-08-21,0.928,1.053,1.55,1
2024-08-22,0.907,1.1312,1.41,1
2024-08-23,0.966,1.0831,1.3,1
2024-08-26,0.946,0.9305,1.31,0
2024-08-27,0.91,1.0725,1.35,1
2024-08-28,0.86,1.2048,1.48,1
2024-08-29,0.881,1.0406,1.74,1
2024-08-30,0.916,1.2985,2.75,1
2024-09-03,0.831,0.9113,2.2,1
2024-09-04,0.835,1.0487,2.4,1
2024-09-05,0.8,0.9538,3.05,1
2024-09-06,0.754,1.1435,3.02,1
2024-09-09,0.688,0.9218,3.14,1
2024-09-10,0.734,1.4549,3.11,1
2024-09-11,0.804,1.0741,3.18,1
2024-09-12,0.82,1.1198,4.38,1
2024-09-13,0.853,1.2872,4.47,1
2024-09-16,0.822,0.8695,6.49,1
2024-09-17,0.84,1.0284,7.38,1
2024-09-18,0.82,1.3986,5.97,1
2024-09-19,0.815,1.118,7.16,1
2024-09-20,0.794,1.1374,8.43,1
2024-09-23,0.765,0.8819,11.13,1
2024-09-24,0.76,1.0337,10.69,1
2024-09-25,0.74,1.0494,7.47,1
2024-09-26,0.778,0.935,9.37,1
2024-09-27,0.81,0.884,10.96,1
2024-09-30,0.783,1.047,11.35,1
2024-10-01,0.753,0.9454,15.44,1
2024-10-02,0.764,1.0414,17.08,1
2024-10-03,0.748,0.9892,17.0,1
2024-10-04,0.785,1.0341,15.26,1
2024-10-07,0.785,1.035,20.0,1
2024-10-08,0.779,1.0039,19.02,1
2024-10-09,0.766,1.0343,19.51,1
2024-10-10,0.756,1.0237,18.39,1
2024-10-11,0.816,0.9591,10.04,1
2024-10-14,0.842,1.0617,8.93,1
2024-10-15,0.811,1.1791,6.05,1
2024-10-16,0.92,0.9678,8.95,1
2024-10-17,0.951,0.8822,10.94,0
2024-10-18,1.11,0.8876,11.24,0
2024-10-21,1.28,1.2118,9.83,0
2024-10-22,1.23,0.9969,13.98,0
2024-10-23,1.21,1.0919,13.91,0
2024-10-24,1.2,1.0075,13.47,0
2024-10-25,1.22,1.0397,13.2,0
2024-10-28,1.5,1.0437,12.45,0
2024-10-29,1.46,0.7596,13.08,0
2024-10-30,1.41,1.0706,12.66,0
2024-10-31,1.32,1.0856,12.3,0
2024-11-01,1.23,1.1241,13.17,0
2024-11-04,1.13,0.893,13.47,0
2024-11-05,1.12,1.1161,13.72,0
2024-11-06,1.2,1.1656,13.83,0
2024-11-07,1.43,1.1034,13.29,0
2024-11-08,1.51,0.972,12.85,0
2024-11-11,1.52,1.0172,12.35,0
2024-11-12,1.49,1.2891,11.02,0
2024-11-13,1.7,1.1045,11.75,0
2024-11-14,1.55,1.0685,12.25,0
2024-11-15,1.41,1.0209,11.81,0
2024-11-18,1.3,1.1026,10.52,0
2024-11-19,1.31,1.3529,11.03,1
2024-11-20,1.35,1.0074,11.47,0
2024-11-21,1.48,0.9543,10.75,0
2024-11-22,1.74,0.857,10.12,0
2024-11-25,2.75,1.044,9.03,0
2024-11-26,2.2,0.9961,9.28,0
2024-11-27,2.4,1.0959,8.03,0
2024-11-29,3.05,0.9192,8.46,0
2024-12-02,3.02,1.1549,7.7,0
2024-12-03,3.14,1.0559,7.86,0
