date,entry_close,pred_close,actual_close,correct
2024-06-10,9.895,12.3175,6.69,0
2024-06-11,9.99,13.2189,6.38,0
2024-06-12,10.64,10.2201,6.81,1
2024-06-13,10.98,11.2003,7.24,0
2024-06-14,10.53,11.4516,7.09,0
2024-06-17,10.91,9.8546,7.03,1
2024-06-18,10.66,11.6527,7.2,0
2024-06-20,10.42,10.7119,6.96,0
2024-06-21,9.55,10.5167,7.1,0
2024-06-24,9.21,13.5811,7.17,0
2024-06-25,9.2,10.6354,7.22,0
2024-06-26,9.03,10.4413,7.19,0
2024-06-27,9.12,10.5933,7.33,0
2024-06-28,9.14,12.0325,7.53,0
2024-07-01,9.95,10.4905,7.44,0
2024-07-02,9.72,10.3401,7.77,0
2024-07-03,9.57,9.6329,7.84,0
2024-07-05,9.64,10.84,7.42,0
2024-07-08,9.4,10.0229,7.08,0
2024-07-09,9.14,12.9951,7.25,0
2024-07-10,9.16,11.4751,7.43,0
2024-07-11,9.31,13.0651,7.85,0
2024-07-12,9.805,10.8383,8.16,0
2024-07-15,11.48,11.9282,8.16,0
2024-07-16,12.7,13.0505,7.82,0
2024-07-17,12.42,11.2565,7.74,1
2024-07-18,10.95,11.9524,8.41,0
2024-07-19,12.03,11.0892,8.74,1
2024-07-22,12.24,11.2231,8.77,1
2024-07-23,11.59,10.0169,9.08,1
2024-07-24,11.32,12.76,9.2,0
2024-07-25,10.73,9.3959,9.86,1
2024-07-26,11.2,10.6012,9.74,1
2024-07-29,10.63,10.9852,9.92,0
2024-07-30,10.37,9.4464,9.77,1
2024-07-31,10.19,9.301,10.19,1
2024-08-01,9.32,10.431,9.64,1
2024-08-02,8.57,9.8873,10.56,1
2024-08-05,8.31,11.3143,10.87,1
2024-08-06,8.41,10.1551,10.48,1
2024-08-07,7.64,11.3768,9.24,1
2024-08-08,8.29,10.0923,9.44,1
2024-08-09,8.06,11.0428,8.98,1
2024-08-12,7.61,10.7977,9.71,1
2024-08-13,7.84,10.9128,12.25,1
2024-08-14,7.65,12.6201,12.39,1
2024-08-15,7.68,11.9693,12.81,1
2024-08-16,7.99,12.9813,14.97,1
2024-08-19,8.05,12.0446,14.45,1
2024-08-20,8.04,10.7109,12.67,1
2024-08-21,8.35,13.1687,11.865,1
2024-08-22,8.05,11.0121,12.37,1
2024-08-23,8.5,12.8343,12.16,1
2024-08-26,8.36,11.5378,12.27,1
2024-08-27,7.9,11.0403,12.15,1
2024-08-28,7.64,13.0572,11.76,1
2024-08-29,7.68,10.3462,12.31,1
2024-08-30,7.53,9.9011,12.06,1
2024-09-03,6.78,12.514,11.17,1
2024-09-04,6.85,11.7173,12.37,1
2024-09-05,6.69,10.8386,12.65,1
2024-09-06,6.38,11.2714,12.1,1
2024-09-09,6.81,11.1642,12.14,1
2024-09-10,7.24,14.2558,12.95,1
2024-09-11,7.09,9.7075,12.32,1
2024-09-12,7.03,8.845,12.95,1
2024-09-13,7.2,10.1877,11.21,1
2024-09-16,6.96,8.7087,11.1,1
2024-09-17,7.1,14.2054,11.77,1
2024-09-18,7.17,15.1932,12.33,1
2024-09-19,7.22,16.4904,12.99,1
2024-09-20,7.19,10.1605,14.03,1
2024-09-23,7.33,13.3995,13.97,1
2024-09-24,7.53,12.5706,11.95,1
2024-09-25,7.44,13.6108,11.19,1
2024-09-26,7.77,11.0331,11.55,1
2024-09-27,7.84,13.0724,10.8,1
2024-09-30,7.42,11.0753,11.67,1
2024-10-01,7.08,10.6551,11.55,1
2024-10-02,7.25,12.7503,10.99,1
2024-10-03,7.43,12.4423,10.5,1
2024-10-04,7.85,7.8525,10.21,1
2024-10-07,8.16,12.584,10.46,1
2024-10-08,8.16,8.0368,12.34,0
2024-10-09,7.82,13.4049,12.89,1
2024-10-10,7.74,10.6938,12.41,1
2024-10-11,8.41,13.1836,12.02,1
2024-10-14,8.74,9.5889,12.0,1
2024-10-15,8.77,10.5538,11.77,1
2024-10-16,9.08,10.4274,12.24,1
2024-10-17,9.2,12.7854,13.46,1
2024-10-18,9.86,11.5098,13.29,1
2024-10-21,9.74,8.1581,13.39,0
2024-10-22,9.92,8.9955,12.74,0
2024-10-23,9.77,9.6687,13.14,0
2024-10-24,10.19,9.267,12.99,0
2024-10-25,9.64,8.7412,13.54,0
2024-10-28,10.56,13.111,11.45,1
2024-10-29,10.87,10.6023,10.95,0
2024-10-30,10.48,10.4675,11.22,0
2024-10-31,9.24,8.9225,11.9,0
2024-11-01,9.44,8.8082,11.88,0
2024-11-04,8.98,9.3315,11.99,1
2024-11-05,9.71,8.0303,12.29,0
2024-11-06,12.25,9.1987,11.74,1
2024-11-07,12.39,9.7777,11.61,1
2024-11-08,12.81,9.7468,11.64,1
2024-11-11,14.97,9.1676,11.63,1
2024-11-12,14.45,11.0458,11.14,1
2024-11-13,12.67,10.091,11.16,1
2024-11-14,11.865,11.9465,12.23,1
2024-11-15,12.37,10.0564,12.27,1
2024-11-18,12.16,9.128,11.56,1
2024-11-19,12.27,9.2535,11.56,1
2024-11-20,12.15,10.3362,11.6,1
2024-11-21,11.76,11.9989,10.46,0
2024-11-22,12.31,10.5362,9.99,1
2024-11-25,12.06,11.8352,9.32,1
2024-11-26,11.17,9.6483,8.94,1
2024-11-27,12.37,12.4694,8.66,0
2024-11-29,12.65,11.7702,9.28,1
2024-12-02,12.1,11.2621,8.86,1
2024-12-03,12.14,9.9248,8.41,1
2024-12-04,12.95,10.2761,8.88,1
2024-12-05,12.32,11.3391,8.115,1
2024-12-06,12.95,9.3828,8.37,1
2024-12-09,11.21,10.6079,7.56,1
2024-12-10,11.1,10.2741,7.72,1
2024-12-11,11.77,8.6663,7.85,1
2024-12-12,12.33,10.7139,7.31,1
2024-12-13,12.99,7.9234,7.82,1
2024-12-16,14.03,11.1807,7.76,1
2024-12-17,13.97,11.1888,7.4,1
2024-12-18,11.95,8.466,7.78,1
2024-12-19,11.19,8.5787,7.76,1
2024-12-20,11.55,9.9609,7.95,1
2024-12-23,10.8,10.1918,8.72,1
2024-12-24,11.67,7.995,8.51,1
2024-12-26,11.55,8.298,7.9,1
2024-12-27,10.99,9.7293,7.77,1
2024-12-30,10.5,8.8654,7.41,1
2024-12-31,10.21,7.3819,7.12,1
2025-01-02,10.46,8.6464,7.54,1
2025-01-03,12.34,8.3245,8.02,1
2025-01-06,12.89,10.6804,7.3,1
2025-01-07,12.41,8.9281,7.14,1
2025-01-08,12.02,7.9906,7.11,1
2025-01-10,12.0,10.4655,6.54,1
2025-01-13,11.77,7.9081,7.375,1
2025-01-14,12.24,8.7924,6.79,1
2025-01-15,13.46,9.9961,7.06,1
2025-01-16,13.29,10.5403,7.01,1
2025-01-17,13.39,9.0666,6.55,1
2025-01-21,12.74,11.1834,6.36,1
2025-01-22,13.14,10.6009,6.46,1
2025-01-23,12.99,8.9181,6.29,1
2025-01-24,13.54,9.8051,7.12,1
2025-01-27,11.45,11.0787,7.5,1
2025-01-28,10.95,12.0401,7.79,0
2025-01-29,11.22,10.4497,7.77,1
2025-01-30,11.9,8.2405,7.63,1
2025-01-31,11.88,9.0007,7.42,1
2025-02-03,11.99,9.3429,7.24,1
2025-02-04,12.29,7.6012,7.77,1
2025-02-05,11.74,8.4877,8.39,1
2025-02-06,11.61,12.4132,7.9,0
2025-02-07,11.64,12.0157,7.86,0
2025-02-10,11.63,10.7853,7.84,1
2025-02-11,11.14,12.5265,8.44,0
2025-02-12,11.16,9.0292,8.48,1
2025-02-13,12.23,10.9259,8.7,1
2025-02-14,12.27,10.139,9.06,1
2025-02-18,11.56,11.8161,8.91,0
2025-02-19,11.56,10.3937,8.7,1
2025-02-20,11.6,11.1356,9.15,1
2025-02-21,10.46,6.6752,8.97,1
2025-02-24,9.99,8.3082,8.93,1
2025-02-25,9.32,10.9764,8.84,0
2025-02-26,8.94,9.4423,8.94,0
2025-02-27,8.66,10.1676,8.55,0
2025-02-28,9.28,10.4532,9.14,0
2025-03-03,8.86,10.4949,8.38,0
2025-03-04,8.41,9.3561,8.18,0
2025-03-05,8.88,11.9707,8.07,0
2025-03-06,8.115,10.0145,8.48,1
2025-03-07,8.37,12.1219,9.03,1
2025-03-10,7.56,10.6811,9.5,1
2025-03-11,7.72,7.8645,8.99,1
2025-03-12,7.85,11.8101,9.85,1
2025-03-13,7.31,11.3478,10.12,1
2025-03-14,7.82,10.4361,10.45,1
2025-03-17,7.76,10.1221,10.55,1
2025-03-18,7.4,10.8067,10.21,1
2025-03-19,7.78,10.2604,9.72,1
2025-03-20,7.76,8.7678,10.17,1
2025-03-21,7.95,8.757,9.66,1
2025-03-24,8.72,8.7194,9.94,0
2025-03-25,8.51,10.9526,9.56,1
2025-03-26,7.9,10.927,9.27,1
2025-03-27,7.77,9.5062,10.02,1
2025-03-28,7.41,7.8986,10.0,1
2025-03-31,7.12,11.4404,10.51,1
2025-04-01,7.54,10.5503,10.55,1
2025-04-02,8.02,9.3781,11.3,1
2025-04-03,7.3,8.8463,11.27,1
2025-04-04,7.14,11.0518,12.2,1
2025-04-07,7.11,10.4182,12.17,1
2025-04-08,6.54,9.6003,11.55,1
2025-04-09,7.375,9.974,11.57,1
2025-04-10,6.79,8.6663,12.24,1
2025-04-11,7.06,10.1011,12.59,1
2025-04-14,7.01,11.4609,12.42,1
2025-04-15,6.55,9.6583,12.51,1
2025-04-16,6.36,9.5973,12.1,1
2025-04-17,6.46,10.0995,12.57,1
2025-04-21,6.29,9.2336,13.33,1
2025-04-22,7.12,13.3959,13.86,1
2025-04-23,7.5,11.0408,14.02,1
2025-04-24,7.79,9.2823,14.27,1
2025-04-25,7.77,9.0971,14.34,1
2025-04-28,7.63,8.8026,14.69,1
2025-04-29,7.42,12.3466,14.54,1
2025-04-30,7.24,8.5542,14.51,1
2025-05-01,7.77,9.03,13.6,1
2025-05-02,8.39,9.995,13.52,1
2025-05-05,7.9,9.8659,13.41,1
2025-05-06,7.86,10.5875,11.03,1
2025-05-07,7.84,10.9158,11.42,1
2025-05-08,8.44,8.9201,11.13,1
2025-05-09,8.48,8.7637,11.66,1
2025-05-12,8.7,8.2,11.58,0
2025-05-13,9.06,9.0867,11.08,1
2025-05-14,8.91,11.3676,11.11,1
2025-05-15,8.7,11.1104,11.44,1
2025-05-16,9.15,8.9976,11.59,0
2025-05-19,8.97,11.208,12.25,1
2025-05-20,8.93,12.3214,11.33,1
2025-05-21,8.84,9.1378,12.32,1
2025-05-22,8.94,7.9418,11.96,0
2025-05-23,8.55,9.9537,12.52,1
2025-05-27,9.14,8.5129,12.27,0
2025-05-28,8.38,8.9054,13.22,1
2025-05-29,8.18,7.6649,13.28,0
2025-05-30,8.07,10.6762,13.69,1
2025-06-02,8.48,7.6274,13.55,0
2025-06-03,9.03,11.1996,13.8,1
2025-06-04,9.5,7.3723,13.76,0
2025-06-05,8.99,7.3329,14.09,0
2025-06-06,9.85,7.2266,13.45,0
2025-06-09,10.12,8.0002,13.16,0
2025-06-10,10.45,9.4871,13.29,0
2025-06-11,10.55,10.2712,13.44,0
2025-06-12,10.21,7.5869,15.21,0
2025-06-13,9.72,7.8688,16.4,0
2025-06-16,10.17,9.8733,15.65,0
2025-06-17,9.66,8.7685,15.89,0
2025-06-18,9.94,7.9324,16.68,0
2025-06-20,9.56,8.6627,17.52,0
2025-06-23,9.27,8.9464,17.62,0
2025-06-24,10.02,8.3946,17.51,0
2025-06-25,10.0,10.2686,17.46,1
