date,entry_close,pred_close,actual_close,correct
2024-06-10,4.56,4.8745,6.08,1
2024-06-11,4.57,4.5031,5.81,0
2024-06-12,4.64,4.484,6.14,0
2024-06-13,4.55,5.2037,6.15,1
2024-06-14,4.39,3.9257,6.68,0
2024-06-17,4.34,4.0837,6.86,0
2024-06-18,4.91,4.1181,7.46,0
2024-06-20,4.8,4.4256,7.37,0
2024-06-21,5.01,4.9143,7.17,0
2024-06-24,4.83,4.6391,7.12,0
2024-06-25,4.74,4.6409,7.17,0
2024-06-26,4.76,4.2515,7.47,0
2024-06-27,4.86,4.5409,7.56,0
2024-06-28,4.8,4.1149,7.59,0
2024-07-01,4.54,4.7963,8.62,1
2024-07-02,4.61,4.1101,8.69,0
2024-07-03,4.62,4.2169,9.78,0
2024-07-05,4.88,4.1508,9.73,0
2024-07-08,4.97,4.6376,9.23,0
2024-07-09,5.08,4.3256,9.71,0
2024-07-10,5.13,4.5364,9.25,0
2024-07-11,5.33,4.5462,9.8,0
2024-07-12,5.65,4.6268,9.68,0
2024-07-15,5.72,4.6651,9.41,0
2024-07-16,5.63,4.5305,9.45,0
2024-07-17,5.45,3.8874,9.39,0
2024-07-18,5.26,4.6194,9.7,0
2024-07-19,5.2,4.4453,9.88,0
2024-07-22,5.34,4.4159,9.94,0
2024-07-23,5.4,4.3851,11.19,0
2024-07-24,5.21,4.3719,10.68,0
2024-07-25,5.25,4.0117,10.81,0
2024-07-26,5.4,4.4173,11.26,0
2024-07-29,5.32,4.1189,11.16,0
2024-07-30,5.26,3.9169,10.91,0
2024-07-31,5.24,4.4283,11.19,0
2024-08-01,4.96,4.8294,11.18,0
2024-08-02,4.81,3.6385,11.26,0
2024-08-05,4.66,4.1797,11.47,0
2024-08-06,4.715,3.8022,10.96,0
2024-08-07,4.58,4.0322,10.7,0
2024-08-08,4.77,4.5798,11.42,0
2024-08-09,5.37,4.3508,11.25,0
2024-08-12,5.39,4.7954,11.81,0
2024-08-13,5.23,4.0812,13.05,0
2024-08-14,5.18,4.493,13.46,0
2024-08-15,5.83,4.2274,13.51,0
2024-08-16,6.56,4.7351,14.78,0
2024-08-19,7.19,4.3901,14.66,0
2024-08-20,6.65,4.7584,18.83,0
2024-08-21,7.0,4.5077,17.36,0
2024-08-22,6.84,4.6094,19.0,0
2024-08-23,6.96,4.245,19.29,0
2024-08-26,6.74,4.1607,20.5,0
2024-08-27,6.12,4.6802,20.18,0
2024-08-28,6.09,4.9151,22.41,0
2024-08-29,6.23,4.907,23.26,0
2024-08-30,6.27,4.7715,24.06,0
2024-09-03,6.06,4.9751,25.44,0
2024-09-04,6.34,4.5267,25.67,0
2024-09-05,6.08,4.8779,27.28,0
2024-09-06,5.81,4.3185,24.155,0
2024-09-09,6.14,5.2336,23.01,0
2024-09-10,6.15,4.4948,23.11,0
2024-09-11,6.68,4.6788,23.92,0
2024-09-12,6.86,5.0805,24.68,0
2024-09-13,7.46,5.0341,23.24,0
2024-09-16,7.37,5.1816,22.85,0
2024-09-17,7.17,4.8885,23.35,0
2024-09-18,7.12,4.9178,22.58,0
2024-09-19,7.17,3.9606,24.42,0
2024-09-20,7.47,5.1808,25.9,0
2024-09-23,7.56,4.9032,26.37,0
2024-09-24,7.59,4.9698,22.92,0
2024-09-25,8.62,5.4724,23.22,0
2024-09-26,8.69,4.6716,24.87,0
2024-09-27,9.78,4.9749,25.59,0
2024-09-30,9.73,4.781,26.6,0
2024-10-01,9.23,4.5551,28.44,0
2024-10-02,9.71,5.9388,27.22,0
2024-10-03,9.25,5.182,26.32,0
2024-10-04,9.8,4.1596,25.47,0
2024-10-07,9.68,5.1873,24.96,0
2024-10-08,9.41,5.2223,28.74,0
2024-10-09,9.45,4.4823,28.8,0
2024-10-10,9.39,5.5004,27.95,0
2024-10-11,9.7,4.6739,27.36,0
2024-10-14,9.88,5.7251,26.91,0
2024-10-15,9.94,5.2315,23.91,0
2024-10-16,11.19,5.2913,24.16,0
2024-10-17,10.68,5.9002,24.87,0
2024-10-18,10.81,6.4966,24.64,0
2024-10-21,11.26,6.7473,24.0,0
2024-10-22,11.16,5.6661,31.27,0
2024-10-23,10.91,4.2733,29.62,0
2024-10-24,11.19,6.956,31.57,0
2024-10-25,11.18,5.7638,30.36,0
2024-10-28,11.26,7.3786,29.43,0
2024-10-29,11.47,6.4426,28.98,0
2024-10-30,10.96,4.5636,28.87,0
2024-10-31,10.7,4.8747,28.53,0
2024-11-01,11.42,4.9684,29.05,0
2024-11-04,11.25,5.4013,28.38,0
2024-11-05,11.81,4.6039,28.68,0
2024-11-06,13.05,5.1019,28.6,0
2024-11-07,13.46,4.5969,27.68,0
2024-11-08,13.51,5.2378,27.41,0
2024-11-11,14.78,3.5643,30.6,0
2024-11-12,14.66,5.8085,28.22,0
2024-11-13,18.83,3.6081,27.62,0
2024-11-14,17.36,5.7334,28.3,0
2024-11-15,19.0,3.4741,28.02,0
2024-11-18,19.29,5.2022,27.74,0
2024-11-19,20.5,5.3092,25.93,0
2024-11-20,20.18,5.7159,25.26,0
2024-11-21,22.41,5.4981,23.55,0
2024-11-22,23.26,7.3897,22.49,1
2024-11-25,24.06,4.9581,20.28,1
2024-11-26,25.44,5.8882,21.25,1
2024-11-27,25.67,4.6452,19.83,1
2024-11-29,27.28,3.1928,20.49,1
2024-12-02,24.155,7.3572,18.66,1
2024-12-03,23.01,3.05,18.995,1
2024-12-04,23.11,6.8267,20.4,1
2024-12-05,23.92,4.15,18.66,1
2024-12-06,24.68,4.4791,18.8,1
2024-12-09,23.24,5.3384,17.12,1
2024-12-10,22.85,5.9693,17.83,1
2024-12-11,23.35,5.0679,18.43,1
2024-12-12,22.58,4.4991,17.57,1
2024-12-13,24.42,2.9986,18.81,1
2024-12-16,25.9,4.829,19.1,1
2024-12-17,26.37,3.609,17.98,1
2024-12-18,22.92,5.0227,18.78,1
2024-12-19,23.22,7.8349,18.53,1
2024-12-20,24.87,3.7997,18.94,1
2024-12-23,25.59,3.8451,20.21,1
2024-12-24,26.6,6.0817,20.27,1
2024-12-26,28.44,3.9045,19.44,1
2024-12-27,27.22,7.5992,18.42,1
2024-12-30,26.32,5.5348,18.62,1
2024-12-31,25.47,5.2329,17.88,1
