date,entry_close,pred_close,actual_close,correct
2024-06-10,57.88,76.5632,66.7,1
2024-06-11,58.17,67.4026,64.37,1
2024-06-12,56.36,77.1698,65.41,1
2024-06-13,54.2,76.2126,65.66,1
2024-06-14,54.51,63.8041,70.15,1
2024-06-17,53.97,82.5824,74.13,1
2024-06-18,52.53,80.3136,74.69,1
2024-06-20,53.67,62.2654,74.37,1
2024-06-21,54.4,63.4243,74.67,1
2024-06-24,54.45,84.8873,77.36,1
2024-06-25,54.64,79.6244,77.45,1
2024-06-26,57.16,63.1559,76.02,1
2024-06-27,59.15,66.8782,73.8,1
2024-06-28,59.93,71.746,76.36,1
2024-07-01,62.47,81.2358,74.01,1
2024-07-02,61.36,86.4956,73.7,1
2024-07-03,62.29,66.7997,74.41,1
2024-07-05,62.08,65.4535,74.66,1
2024-07-08,61.02,63.1957,74.34,1
2024-07-09,63.11,65.3045,74.18,1
2024-07-10,61.37,76.9853,75.45,1
2024-07-11,60.67,76.4713,75.89,1
2024-07-12,61.32,61.1062,76.35,0
2024-07-15,62.44,57.9672,78.57,0
2024-07-16,64.73,69.205,77.4,1
2024-07-17,64.77,65.0648,77.37,1
2024-07-18,62.77,58.67,78.37,0
2024-07-19,62.55,66.3275,76.36,1
2024-07-22,62.05,64.5215,78.93,1
2024-07-23,62.09,70.9372,77.56,1
2024-07-24,55.59,72.861,76.95,1
2024-07-25,57.45,69.2502,80.07,1
2024-07-26,59.04,61.778,77.0,1
2024-07-29,58.9,69.7106,76.79,1
2024-07-30,57.44,71.9587,73.5,1
2024-07-31,58.21,57.1873,74.04,0
2024-08-01,55.33,66.5704,75.27,1
2024-08-02,53.14,64.0394,76.05,1
2024-08-05,51.67,57.7174,76.41,1
2024-08-06,53.03,62.8088,77.51,1
2024-08-07,52.84,60.1333,64.08,1
2024-08-08,55.61,60.1693,65.7,1
2024-08-09,55.1,59.1831,67.18,1
2024-08-12,53.52,70.8251,69.67,1
2024-08-13,56.51,64.8748,72.27,1
2024-08-14,56.22,63.3424,72.03,1
2024-08-15,59.27,61.3062,73.82,1
2024-08-16,58.58,71.272,77.12,1
2024-08-19,61.96,66.5204,76.62,1
2024-08-20,61.99,64.5207,75.21,1
2024-08-21,62.77,68.5426,74.32,1
2024-08-22,61.81,63.9701,68.87,1
2024-08-23,69.145,64.4433,74.03,0
