date,entry_close,pred_close,actual_close,correct
2024-06-10,276.615,280.2297,265.3872,0
2024-06-11,272.9406,284.7707,266.0995,0
2024-06-12,273.0768,287.656,265.7873,0
2024-06-13,271.6576,288.0244,264.6749,0
2024-06-14,269.3441,283.5275,265.6409,0
2024-06-17,276.7802,293.3995,267.417,0
2024-06-18,275.2736,285.4379,271.1837,0
2024-06-20,272.8824,286.1129,272.5401,0
2024-06-21,274.0196,285.7323,273.8282,0
2024-06-24,274.2141,288.367,270.4128,0
2024-06-25,272.2019,289.636,279.2245,1
2024-06-26,274.8167,293.5412,274.2868,0
2024-06-27,272.7949,285.989,276.8728,1
2024-06-28,277.6162,286.5955,282.4252,1
2024-07-01,272.1533,267.6581,280.5127,0
2024-07-02,274.9333,288.436,282.9815,1
2024-07-03,274.3501,283.8651,282.6204,1
2024-07-05,272.6685,281.1855,282.2203,1
2024-07-08,272.8532,270.0713,282.9522,0
2024-07-09,270.1314,283.9773,279.0196,1
2024-07-10,276.2067,284.3656,273.0963,0
2024-07-11,284.2455,273.6518,274.5796,1
2024-07-12,288.5226,282.0389,277.79,1
2024-07-15,292.0413,284.3616,276.6093,1
2024-07-16,299.0304,279.3179,281.1079,1
2024-07-17,300.119,284.181,279.4977,1
2024-07-18,299.3511,279.4757,283.9183,1
2024-07-19,295.6185,281.5204,286.5628,1
2024-07-22,294.2382,282.176,283.7914,1
2024-07-23,292.7412,282.6262,285.1869,1
2024-07-24,285.6064,290.5041,289.178,1
2024-07-25,299.5359,277.957,289.744,1
2024-07-26,295.5505,259.1265,289.1585,1
2024-07-29,294.5298,268.3066,280.2492,1
2024-07-30,293.5577,289.6674,275.7993,1
2024-07-31,296.0462,279.5692,286.6994,1
2024-08-01,287.6769,283.6276,276.6874,1
2024-08-02,279.1909,253.914,290.349,0
2024-08-05,276.0512,295.7087,287.2361,1
2024-08-06,279.084,282.4234,282.5912,1
2024-08-07,274.5154,262.2943,279.4197,0
2024-08-08,277.3246,284.4333,280.1516,1
2024-08-09,274.9139,289.1709,282.0544,1
2024-08-12,271.0161,280.6244,284.6502,1
2024-08-13,274.632,288.8394,318.4335,1
2024-08-14,272.3089,280.4866,313.2713,1
2024-08-15,275.5749,282.1566,312.8712,1
2024-08-16,274.7357,295.6167,315.3694,1
2024-08-19,273.4183,292.708,312.0808,1
2024-08-20,272.3254,279.95,305.3573,1
2024-08-21,276.502,277.1006,302.4786,1
2024-08-22,272.4522,287.5756,302.9373,1
2024-08-23,275.3212,279.385,302.8299,1
2024-08-26,279.7807,284.0963,301.5613,1
2024-08-27,274.9699,278.1699,305.9525,1
2024-08-28,271.6423,278.6607,308.7825,1
2024-08-29,273.8184,282.4054,312.6406,1
2024-08-30,279.7222,276.3597,316.3716,0
2024-09-03,266.1972,297.1204,315.2259,1
2024-09-04,266.851,292.0468,315.8819,1
2024-09-05,265.3872,289.8011,314.5698,1
2024-09-06,266.0995,271.1236,313.3065,1
2024-09-09,265.7873,282.9536,310.7311,1
2024-09-10,264.6749,270.5226,304.3661,1
2024-09-11,265.6409,290.2946,301.213,1
2024-09-12,267.417,285.5217,298.0696,1
2024-09-13,271.1837,290.7486,301.8593,1
2024-09-16,272.5401,282.2981,300.5079,1
2024-09-17,273.8282,303.5095,299.9302,1
2024-09-18,270.4128,299.9404,295.1711,1
2024-09-19,279.2245,279.7371,286.0936,1
2024-09-20,274.2868,284.725,281.8437,1
2024-09-23,276.8728,278.2009,274.2546,0
2024-09-24,282.4252,284.1399,262.8955,0
2024-09-25,280.5127,275.5691,258.7142,1
2024-09-26,282.9815,278.706,263.434,1
2024-09-27,282.6204,287.0428,264.472,0
