date,entry_close,pred_close,actual_close,correct
2024-06-10,14.15,12.1367,19.26,0
2024-06-11,14.55,12.9469,18.17,0
2024-06-12,14.65,13.7797,17.29,0
2024-06-13,13.87,11.2814,17.2,0
2024-06-14,13.26,12.4273,19.15,0
2024-06-17,12.71,11.8018,18.78,0
2024-06-18,12.64,11.3647,19.23,0
2024-06-20,12.54,11.4074,19.34,0
2024-06-21,13.09,11.7993,20.31,0
2024-06-24,13.58,11.2967,20.3,0
2024-06-25,12.96,14.8325,19.13,1
2024-06-26,12.7,13.5709,18.91,1
2024-06-27,13.27,13.9063,18.91,1
2024-06-28,11.86,14.9016,18.92,1
2024-07-01,10.915,12.5313,18.29,1
2024-07-02,10.95,12.4339,18.56,1
2024-07-03,12.16,11.5202,18.5,0
2024-07-05,12.21,12.3581,18.06,1
2024-07-08,12.65,11.2154,17.5,0
2024-07-09,13.21,11.1477,17.01,0
2024-07-10,13.92,10.5299,16.84,0
2024-07-11,16.07,13.7599,16.52,0
2024-07-12,17.2,13.4002,16.64,1
2024-07-15,15.66,14.0517,16.39,0
2024-07-16,17.28,11.6808,16.65,1
2024-07-17,17.16,12.8533,15.52,1
2024-07-18,17.05,11.2457,15.94,1
2024-07-19,16.95,13.4618,15.65,1
2024-07-22,16.94,11.2031,15.09,1
2024-07-23,17.27,11.427,15.4,1
2024-07-24,17.19,14.1765,14.57,1
2024-07-25,17.48,12.0228,14.61,1
2024-07-26,17.86,12.5042,13.75,1
2024-07-29,16.33,10.6474,14.04,1
2024-07-30,16.74,12.3611,13.85,1
2024-07-31,17.53,12.6965,14.0,1
2024-08-01,17.5,10.6655,14.37,1
2024-08-02,16.72,10.2622,14.43,1
2024-08-05,16.53,9.7785,14.14,1
2024-08-06,16.49,13.231,14.09,1
2024-08-07,18.31,12.8215,14.45,1
2024-08-08,18.83,14.0658,14.76,1
2024-08-09,17.89,10.145,16.08,1
2024-08-12,17.33,13.7685,16.91,1
2024-08-13,19.27,12.9114,11.9,1
2024-08-14,18.51,14.4925,11.6,1
2024-08-15,19.61,13.5734,10.23,1
2024-08-16,19.4,12.0991,10.23,1
2024-08-19,20.26,15.2001,9.74,1
2024-08-20,19.09,16.4264,10.27,1
2024-08-21,19.63,13.8773,10.91,1
2024-08-22,19.96,14.6704,9.89,1
2024-08-23,21.5,16.6663,10.01,1
2024-08-26,21.15,13.2337,9.71,1
2024-08-27,20.82,14.2806,10.2,1
2024-08-28,20.6,14.3277,10.22,1
2024-08-29,20.13,17.9995,10.51,1
2024-08-30,20.52,17.0757,11.52,1
2024-09-03,18.51,13.5854,11.49,1
2024-09-04,19.63,15.1347,11.55,1
2024-09-05,19.26,13.4896,11.53,1
2024-09-06,18.17,16.0821,11.67,1
2024-09-09,17.29,14.7952,11.26,1
2024-09-10,17.2,12.9617,10.71,1
2024-09-11,19.15,14.0865,10.36,1
2024-09-12,18.78,16.5476,10.58,1
2024-09-13,19.23,15.6206,11.21,1
2024-09-16,19.34,17.3735,10.54,1
2024-09-17,20.31,11.6432,10.5,1
2024-09-18,20.3,19.0598,10.19,1
2024-09-19,19.13,12.7449,10.12,1
2024-09-20,18.91,16.7707,9.99,1
2024-09-23,18.91,17.5099,10.06,1
2024-09-24,18.92,15.9903,9.15,1
2024-09-25,18.29,11.2665,9.13,1
2024-09-26,18.56,11.3312,9.87,1
2024-09-27,18.5,13.5937,10.1,1
2024-09-30,18.06,12.6565,10.12,1
2024-10-01,17.5,13.7436,10.07,1
2024-10-02,17.01,14.5741,9.86,1
2024-10-03,16.84,13.8915,9.5,1
2024-10-04,16.52,15.4045,9.25,1
2024-10-07,16.64,14.3289,10.21,1
2024-10-08,16.39,15.416,10.71,1
2024-10-09,16.65,16.8521,10.97,0
2024-10-10,15.52,14.0978,11.37,1
2024-10-11,15.94,18.2598,10.75,0
2024-10-14,15.65,14.0831,10.04,1
2024-10-15,15.09,16.8827,9.73,0
2024-10-16,15.4,16.9712,9.57,0
2024-10-17,14.57,15.1305,9.63,0
2024-10-18,14.61,14.5093,9.55,1
2024-10-21,13.75,11.557,9.44,1
2024-10-22,14.04,14.9964,9.22,0
2024-10-23,13.85,12.8176,8.46,1
2024-10-24,14.0,15.0711,9.34,0
2024-10-25,14.37,15.5849,10.23,0
2024-10-28,14.43,12.8943,10.19,1
2024-10-29,14.14,15.7125,9.26,0
2024-10-30,14.09,14.2156,9.39,0
2024-10-31,14.45,16.0104,9.42,0
2024-11-01,14.76,14.0755,9.05,1
2024-11-04,16.08,13.4667,8.8,1
2024-11-05,16.91,15.6906,8.9,1
2024-11-06,11.9,12.5516,8.72,0
2024-11-07,11.6,14.6747,8.64,0
2024-11-08,10.23,16.2746,8.47,0
2024-11-11,10.23,15.0614,8.36,0
2024-11-12,9.74,15.5778,8.1,0
2024-11-13,10.27,16.0116,8.0,0
2024-11-14,10.91,16.8276,8.58,0
2024-11-15,9.89,15.0853,8.82,0
2024-11-18,10.01,15.5503,8.86,0
2024-11-19,9.71,17.4238,8.61,0
2024-11-20,10.2,18.8987,8.54,0
2024-11-21,10.22,17.4065,8.42,0
2024-11-22,10.51,18.1327,8.49,0
2024-11-25,11.52,17.7685,8.37,0
2024-11-26,11.49,17.5331,8.39,0
2024-11-27,11.55,15.2984,7.91,0
2024-11-29,11.53,16.2598,7.25,0
2024-12-02,11.67,12.7063,6.17,0
2024-12-03,11.26,15.6276,6.71,0
2024-12-04,10.71,15.9148,6.9,0
2024-12-05,10.36,16.251,6.87,0
2024-12-06,10.58,14.3823,7.16,0
2024-12-09,11.21,11.3465,6.99,0
2024-12-10,10.54,17.8511,6.93,0
2024-12-11,10.5,12.5889,6.57,0
2024-12-12,10.19,15.8061,6.21,0
2024-12-13,10.12,15.4093,6.5,0
2024-12-16,9.99,15.1053,6.97,0
2024-12-17,10.06,16.285,6.51,0
2024-12-18,9.15,14.0123,6.66,0
2024-12-19,9.13,11.0639,6.71,0
2024-12-20,9.87,13.3476,6.59,0
2024-12-23,10.1,14.7378,6.38,0
2024-12-24,10.12,9.8667,6.56,1
2024-12-26,10.07,11.9123,6.21,0
2024-12-27,9.86,13.9662,6.01,0
2024-12-30,9.5,15.4399,5.94,0
2024-12-31,9.25,13.0829,5.86,0
2025-01-02,10.21,10.6276,6.49,0
2025-01-03,10.71,16.6728,6.78,0
2025-01-06,10.97,10.9464,6.59,1
2025-01-07,11.37,14.6241,6.99,0
2025-01-08,10.75,12.4653,6.57,0
2025-01-10,10.04,12.9405,5.665,0
2025-01-13,9.73,13.5473,6.43,0
2025-01-14,9.57,18.8822,6.03,0
2025-01-15,9.63,13.4542,6.29,0
2025-01-16,9.55,13.9214,6.82,0
2025-01-17,9.44,14.4252,6.71,0
2025-01-21,9.22,16.7584,6.525,0
2025-01-22,8.46,16.619,6.85,0
2025-01-23,9.34,16.5225,6.57,0
2025-01-24,10.23,15.5151,6.88,0
2025-01-27,10.19,15.5976,6.66,0
2025-01-28,9.26,11.5114,7.05,0
2025-01-29,9.39,14.0528,7.39,0
2025-01-30,9.42,15.1431,7.5,0
2025-01-31,9.05,13.4725,7.42,0
2025-02-03,8.8,17.6705,6.89,0
2025-02-04,8.9,16.5621,7.19,0
2025-02-05,8.72,15.6405,7.29,0
2025-02-06,8.64,15.9552,6.98,0
2025-02-07,8.47,11.0237,7.06,0
2025-02-10,8.36,18.3685,7.39,0
2025-02-11,8.1,13.6532,8.5,1
2025-02-12,8.0,14.7399,9.38,1
2025-02-13,8.58,13.9431,10.96,1
2025-02-14,8.82,16.7491,11.9,1
2025-02-18,8.86,16.9916,12.7,1
2025-02-19,8.61,17.1638,12.85,1
2025-02-20,8.54,11.6087,12.25,1
2025-02-21,8.42,16.1006,11.29,1
2025-02-24,8.49,9.8126,11.54,1
2025-02-25,8.37,15.8129,10.66,1
2025-02-26,8.39,14.2554,6.71,0
2025-02-27,7.91,13.8036,6.88,0
2025-02-28,7.25,12.5981,7.19,0
2025-03-03,6.17,14.3622,6.75,1
2025-03-04,6.71,13.4966,6.85,1
2025-03-05,6.9,16.8996,7.49,1
2025-03-06,6.87,14.2231,7.14,1
2025-03-07,7.16,13.4916,8.28,1
2025-03-10,6.99,10.2693,8.16,1
2025-03-11,6.93,10.1415,8.38,1
2025-03-12,6.57,11.5061,8.51,1
2025-03-13,6.21,17.3125,8.27,1
2025-03-14,6.5,16.6196,8.86,1
2025-03-17,6.97,15.9941,8.7,1
2025-03-18,6.51,12.4012,8.47,1
2025-03-19,6.66,13.2369,10.0,1
2025-03-20,6.71,11.8693,9.64,1
2025-03-21,6.59,9.9179,5.78,0
2025-03-24,6.38,17.4652,6.13,0
2025-03-25,6.56,16.6968,6.23,0
2025-03-26,6.21,10.4515,6.24,1
2025-03-27,6.01,13.0674,7.2,1
2025-03-28,5.94,12.2644,7.28,1
2025-03-31,5.86,12.5879,7.75,1
2025-04-01,6.49,9.4528,7.43,1
2025-04-02,6.78,10.4968,8.18,1
2025-04-03,6.59,9.3045,9.04,1
2025-04-04,6.99,11.2157,8.99,1
2025-04-07,6.57,10.9648,10.5,1
2025-04-08,5.665,12.0485,11.11,1
2025-04-09,6.43,12.5665,9.84,1
2025-04-10,6.03,13.4287,10.505,1
2025-04-11,6.29,12.0608,10.87,1
2025-04-14,6.82,11.0064,10.11,1
2025-04-15,6.71,11.2239,10.36,1
2025-04-16,6.525,14.5141,10.705,1
2025-04-17,6.85,14.1861,10.34,1
2025-04-21,6.57,10.5665,9.96,1
2025-04-22,6.88,15.2826,10.24,1
2025-04-23,6.66,12.683,10.46,1
2025-04-24,7.05,13.5327,11.16,1
2025-04-25,7.39,10.4291,10.64,1
2025-04-28,7.5,9.2585,10.58,1
2025-04-29,7.42,10.3239,10.78,1
2025-04-30,6.89,11.4503,11.15,1
2025-05-01,7.19,10.3744,10.75,1
2025-05-02,7.29,9.4949,10.15,1
2025-05-05,6.98,10.225,10.26,1
2025-05-06,7.06,10.87,9.85,1
2025-05-07,7.39,10.2214,9.7,1
2025-05-08,8.5,10.1354,9.42,1
2025-05-09,9.38,9.9851,9.07,0
2025-05-12,10.96,10.5847,12.0,0
2025-05-13,11.9,10.5195,11.85,1
2025-05-14,12.7,9.3839,11.6,1
2025-05-15,12.85,11.1955,11.42,1
2025-05-16,12.25,9.6078,10.93,1
2025-05-19,11.29,9.7813,10.48,1
2025-05-20,11.54,8.3117,13.92,0
2025-05-21,10.66,9.8196,15.5,0
2025-05-22,6.71,9.5422,15.49,1
2025-05-23,6.88,12.3961,15.47,1
2025-05-27,7.19,10.7297,14.74,1
2025-05-28,6.75,7.337,16.2,1
2025-05-29,6.85,7.939,16.38,1
2025-05-30,7.49,10.9276,16.61,1
2025-06-02,7.14,9.0238,15.8,1
2025-06-03,8.28,7.71,16.37,0
2025-06-04,8.16,10.12,15.97,1
2025-06-05,8.38,9.4333,15.93,1
2025-06-06,8.51,9.6356,16.48,1
2025-06-09,8.27,7.7839,16.43,0
2025-06-10,8.86,8.3624,18.18,0
2025-06-11,8.7,9.2063,16.92,1
2025-06-12,8.47,9.3495,16.03,1
2025-06-13,10.0,10.4901,16.2,1
2025-06-16,9.64,8.0648,16.01,0
2025-06-17,5.78,6.9388,16.06,1
2025-06-18,6.13,8.6831,16.45,1
2025-06-20,6.23,8.6753,16.24,1
2025-06-23,6.24,8.0038,15.91,1
2025-06-24,7.2,8.0845,16.3,1
2025-06-25,7.28,8.6324,16.58,1
2025-06-26,7.75,8.1473,17.61,1
2025-06-27,7.43,8.1612,16.45,1
2025-06-30,8.18,7.9265,16.05,0
2025-07-01,9.04,8.6659,16.91,0
2025-07-02,8.99,10.2387,17.67,1
2025-07-03,10.5,8.0712,17.78,0
2025-07-07,11.11,8.9012,17.29,0
