date,entry_close,pred_close,actual_close,correct
2024-06-10,8.62,9.5244,6.17,0
2024-06-11,8.58,6.8081,5.92,1
2024-06-12,9.3,8.4864,6.12,1
2024-06-13,9.44,9.1872,6.32,1
2024-06-14,9.26,9.3689,6.45,0
2024-06-17,9.37,9.0627,6.5,1
2024-06-18,9.7,10.0592,6.57,0
2024-06-20,9.15,8.9843,6.65,1
2024-06-21,8.85,9.4841,6.76,0
2024-06-24,9.34,9.3373,6.91,1
2024-06-25,9.38,8.841,6.94,1
2024-06-26,8.76,9.6661,6.8,0
2024-06-27,7.575,9.4293,6.67,0
2024-06-28,7.5,9.0402,6.84,0
2024-07-01,7.46,9.6938,6.89,0
2024-07-02,7.16,9.448,7.17,1
2024-07-03,7.35,9.1844,6.98,0
2024-07-05,7.32,10.5042,6.59,0
2024-07-08,7.4,9.3337,6.17,0
2024-07-09,7.44,8.6979,6.11,0
2024-07-10,7.23,8.3853,6.06,0
2024-07-11,7.68,8.6817,6.11,0
2024-07-12,8.36,9.1763,6.18,0
2024-07-15,8.2,9.5105,6.44,0
2024-07-16,8.6,8.6584,6.15,0
2024-07-17,8.35,7.7714,6.18,1
2024-07-18,7.87,7.0227,6.62,1
2024-07-19,7.61,7.607,6.72,1
2024-07-22,8.14,9.4465,6.67,0
2024-07-23,8.58,9.0015,7.01,0
2024-07-24,7.81,9.877,6.55,0
2024-07-25,8.05,8.2126,6.94,0
2024-07-26,8.35,7.8197,6.76,1
2024-07-29,8.19,8.4569,6.61,0
2024-07-30,7.95,7.7231,6.33,1
2024-07-31,8.2,8.9103,6.36,0
2024-08-01,7.34,6.7665,6.48,1
2024-08-02,7.02,8.6123,6.87,0
2024-08-05,6.77,9.1309,6.74,0
2024-08-06,6.71,8.7884,6.68,0
2024-08-07,6.37,8.213,6.32,0
2024-08-08,6.64,8.2831,6.4,0
2024-08-09,6.29,7.8878,6.64,1
2024-08-12,6.03,9.0982,6.82,1
2024-08-13,6.54,9.7997,6.97,1
2024-08-14,6.28,10.8103,6.93,1
2024-08-15,6.69,10.7829,7.1,1
2024-08-16,6.74,8.2858,7.84,1
2024-08-19,7.15,9.124,7.58,1
2024-08-20,7.16,7.5785,7.32,1
2024-08-21,7.62,8.6107,6.91,0
2024-08-22,7.35,8.6185,6.175,0
2024-08-23,7.81,7.301,6.1,1
2024-08-26,7.89,10.7077,6.27,0
2024-08-27,7.61,8.485,6.04,0
2024-08-28,7.37,9.9565,5.75,0
2024-08-29,7.41,9.0801,5.7,0
2024-08-30,7.28,8.6513,6.0,0
2024-09-03,6.07,10.0011,5.89,0
2024-09-04,6.1,9.2558,6.38,1
2024-09-05,6.17,8.3276,7.07,1
2024-09-06,5.92,8.4358,7.58,1
2024-09-09,6.12,7.7349,7.09,1
2024-09-10,6.32,9.9405,7.13,1
2024-09-11,6.45,10.6058,6.59,1
2024-09-12,6.5,8.7477,8.01,1
2024-09-13,6.57,8.5018,8.27,1
2024-09-16,6.65,9.4291,7.46,1
2024-09-17,6.76,8.7388,7.57,1
2024-09-18,6.91,9.7264,6.98,1
2024-09-19,6.94,8.7715,6.95,1
2024-09-20,6.8,9.1268,7.44,1
2024-09-23,6.67,8.4958,7.12,1
2024-09-24,6.84,8.1724,6.215,0
2024-09-25,6.89,9.2195,6.09,0
2024-09-26,7.17,8.0307,6.03,0
2024-09-27,6.98,9.1446,6.99,1
2024-09-30,6.59,8.5587,7.24,1
2024-10-01,6.17,8.5559,7.66,1
2024-10-02,6.11,7.1121,7.39,1
2024-10-03,6.06,8.0585,6.77,1
2024-10-04,6.11,7.7912,6.76,1
2024-10-07,6.18,7.1017,7.21,1
2024-10-08,6.44,7.6439,7.8,1
2024-10-09,6.15,9.5895,7.95,1
2024-10-10,6.18,8.2506,7.49,1
2024-10-11,6.62,7.4289,7.26,1
2024-10-14,6.72,7.0898,6.88,1
2024-10-15,6.67,8.8787,6.74,1
2024-10-16,7.01,8.8441,6.32,0
