date,entry_close,pred_close,actual_close,correct
2024-06-10,17.69,23.8026,22.84,1
2024-06-11,17.48,22.8809,22.01,1
2024-06-12,18.1,23.6729,21.79,1
2024-06-13,18.41,22.2757,21.64,1
2024-06-14,18.46,25.0113,21.91,1
2024-06-17,18.43,21.0904,22.16,1
2024-06-18,18.16,22.3617,22.68,1
2024-06-20,17.96,23.6397,23.2,1
2024-06-21,18.33,23.4244,24.93,1
2024-06-24,18.79,21.5777,24.29,1
2024-06-25,18.82,22.7083,25.09,1
2024-06-26,19.17,22.5647,24.4,1
2024-06-27,20.74,19.125,24.29,0
2024-06-28,21.05,20.2443,24.25,0
2024-07-01,20.36,23.398,24.12,1
2024-07-02,20.46,22.8008,23.96,1
2024-07-03,20.15,22.7656,24.08,1
2024-07-05,20.35,21.3262,23.92,1
2024-07-08,20.36,20.0939,22.88,0
2024-07-09,19.76,24.3777,23.29,1
2024-07-10,19.99,19.5604,22.98,0
2024-07-11,20.23,19.0736,24.15,0
2024-07-12,20.34,22.3393,23.22,1
2024-07-15,21.72,17.2955,24.64,0
2024-07-16,21.88,21.9818,25.11,1
2024-07-17,21.1,21.2509,25.85,1
2024-07-18,20.14,23.3665,25.71,1
2024-07-19,21.72,25.7491,26.41,1
2024-07-22,23.18,19.0276,25.71,0
2024-07-23,24.43,19.653,25.99,0
2024-07-24,23.41,19.5409,26.02,0
2024-07-25,23.11,20.8326,26.36,0
2024-07-26,23.04,19.8661,26.64,0
2024-07-29,22.61,21.0625,25.89,0
2024-07-30,22.55,20.7401,25.28,0
2024-07-31,22.9,20.8427,25.97,0
2024-08-01,21.63,20.145,26.26,0
2024-08-02,21.12,20.2918,26.09,0
2024-08-05,20.43,17.7884,26.54,0
2024-08-06,20.71,21.6919,26.47,1
2024-08-07,20.56,24.0729,25.79,1
2024-08-08,21.34,19.4535,26.01,0
2024-08-09,21.79,21.5113,25.47,0
2024-08-12,21.22,22.6905,25.75,1
2024-08-13,22.35,21.6504,27.33,0
2024-08-14,22.79,19.5063,27.91,0
2024-08-15,23.16,21.4077,27.57,0
2024-08-16,23.17,23.1072,27.18,0
2024-08-19,23.75,22.924,27.71,0
2024-08-20,24.0,20.3367,27.68,0
2024-08-21,24.56,21.3842,27.36,0
2024-08-22,24.56,21.5151,26.11,0
2024-08-23,25.26,20.5524,26.43,0
2024-08-26,24.89,20.9124,27.62,0
2024-08-27,24.75,25.9827,27.07,1
2024-08-28,24.43,22.1022,28.13,0
2024-08-29,24.26,25.4512,28.54,1
2024-08-30,23.56,20.2706,27.88,0
2024-09-03,22.88,20.0857,27.93,0
2024-09-04,23.11,27.4551,28.08,1
2024-09-05,22.84,21.5224,27.95,0
2024-09-06,22.01,22.1558,27.43,1
2024-09-09,21.79,20.2978,27.55,0
2024-09-10,21.64,24.8104,28.68,1
2024-09-11,21.91,24.4553,24.89,1
2024-09-12,22.16,25.3815,25.78,1
2024-09-13,22.68,23.2903,24.67,1
2024-09-16,23.2,21.3984,23.61,0
2024-09-17,24.93,25.6239,23.57,0
