date,entry_close,pred_close,actual_close,correct
2024-06-10,21.35,23.3109,20.52,0
2024-06-11,21.0,25.3351,20.5,0
2024-06-12,21.64,24.0331,20.08,0
2024-06-13,21.22,24.7469,20.3,0
2024-06-14,20.63,25.2107,20.58,0
2024-06-17,19.89,24.409,20.59,1
2024-06-18,19.32,25.6509,20.73,1
2024-06-20,18.95,24.0884,19.86,1
2024-06-21,18.78,27.0724,19.62,1
2024-06-24,19.41,27.4009,19.72,1
2024-06-25,18.7,24.2584,20.84,1
2024-06-26,18.65,28.7173,19.85,1
2024-06-27,19.45,24.8684,18.96,0
2024-06-28,19.34,27.4741,18.91,0
2024-07-01,18.76,25.5709,18.44,0
2024-07-02,20.33,26.6258,18.92,0
2024-07-03,20.1,25.906,18.74,0
2024-07-05,20.71,21.6954,18.55,0
2024-07-08,21.19,23.3576,17.8,0
2024-07-09,20.51,28.4378,17.83,0
2024-07-10,20.58,26.6647,17.44,0
2024-07-11,21.56,26.9821,17.51,0
2024-07-12,22.4,25.5329,16.98,0
2024-07-15,22.69,24.2483,17.125,0
2024-07-16,24.02,25.4794,17.22,0
2024-07-17,23.17,25.4054,17.33,0
2024-07-18,21.79,24.7597,17.67,0
2024-07-19,21.37,25.2559,17.83,0
2024-07-22,23.21,26.7299,17.65,0
2024-07-23,22.67,26.593,17.92,0
2024-07-24,21.84,26.5946,17.59,0
2024-07-25,22.29,24.2557,17.8,0
2024-07-26,22.42,25.1481,17.92,0
2024-07-29,22.25,21.3615,18.68,1
2024-07-30,22.57,23.4472,18.12,0
2024-07-31,22.28,23.2808,17.71,0
2024-08-01,22.6,22.6557,17.68,0
2024-08-02,20.24,18.8924,18.37,1
2024-08-05,19.02,28.5386,18.74,0
2024-08-06,19.19,22.6037,17.58,0
2024-08-07,18.05,20.642,17.595,0
2024-08-08,19.29,21.9659,17.99,0
2024-08-09,18.91,26.0191,18.24,0
2024-08-12,18.62,22.5889,17.89,0
2024-08-13,19.91,27.2593,18.97,0
2024-08-14,19.0,21.2026,18.78,0
2024-08-15,20.5,23.535,18.75,0
2024-08-16,19.74,27.2058,19.54,0
2024-08-19,20.18,22.5698,22.25,1
2024-08-20,20.48,23.4271,22.09,1
2024-08-21,20.09,22.2847,20.37,1
2024-08-22,19.49,24.9811,18.54,0
2024-08-23,19.87,21.9532,18.23,0
2024-08-26,20.85,23.7616,18.93,0
2024-08-27,20.615,24.0592,19.17,0
2024-08-28,20.46,24.3565,20.37,0
2024-08-29,21.2,22.9147,20.84,0
2024-08-30,21.03,24.3104,22.3,1
2024-09-03,20.54,27.4518,21.46,1
2024-09-04,20.35,23.5949,22.01,1
2024-09-05,20.52,25.748,22.57,1
2024-09-06,20.5,29.2952,22.48,1
2024-09-09,20.08,22.897,21.95,1
2024-09-10,20.3,21.6297,22.23,1
2024-09-11,20.58,26.3044,20.63,1
2024-09-12,20.59,22.4631,21.84,1
2024-09-13,20.73,22.3513,21.67,1
2024-09-16,19.86,22.8059,22.11,1
2024-09-17,19.62,24.3967,21.76,1
2024-09-18,19.72,21.3889,21.07,1
2024-09-19,20.84,20.6681,20.83,1
2024-09-20,19.85,25.1902,21.64,1
2024-09-23,18.96,26.3614,21.36,1
2024-09-24,18.91,24.5012,19.74,1
2024-09-25,18.44,21.3115,19.3,1
2024-09-26,18.92,20.8351,19.44,1
2024-09-27,18.74,19.9562,19.76,1
2024-09-30,18.55,30.2668,19.73,1
2024-10-01,17.8,26.9127,20.3,1
2024-10-02,17.83,23.0149,19.77,1
2024-10-03,17.44,27.4458,18.82,1
2024-10-04,17.51,25.429,19.29,1
2024-10-07,16.98,25.356,20.4,1
2024-10-08,17.125,24.6739,20.87,1
2024-10-09,17.22,20.8123,21.09,1
2024-10-10,17.33,18.6795,21.15,1
2024-10-11,17.67,21.8001,20.33,1
2024-10-14,17.83,26.7017,19.29,1
2024-10-15,17.65,24.8449,19.47,1
2024-10-16,17.92,23.2139,19.07,1
2024-10-17,17.59,25.4944,19.3,1
2024-10-18,17.8,22.9049,18.69,1
2024-10-21,17.92,24.9929,19.0,1
2024-10-22,18.68,24.9624,21.33,1
2024-10-23,18.12,21.0021,24.34,1
2024-10-24,17.71,27.7107,24.41,1
2024-10-25,17.68,22.0061,24.67,1
2024-10-28,18.37,22.3771,24.07,1
2024-10-29,18.74,26.0585,25.52,1
2024-10-30,17.58,22.0837,24.96,1
2024-10-31,17.595,26.5624,25.43,1
2024-11-01,17.99,25.8512,25.075,1
2024-11-04,18.24,27.8692,24.72,1
2024-11-05,17.89,22.5629,24.93,1
2024-11-06,18.97,24.4153,26.15,1
2024-11-07,18.78,22.3069,25.89,1
2024-11-08,18.75,22.0648,25.67,1
2024-11-11,19.54,20.6511,25.18,1
2024-11-12,22.25,22.9335,24.49,1
2024-11-13,22.09,21.5358,23.86,0
2024-11-14,20.37,21.029,24.43,1
2024-11-15,18.54,18.904,24.85,1
2024-11-18,18.23,20.7642,26.01,1
2024-11-19,18.93,22.4226,26.01,1
2024-11-20,19.17,20.1611,24.0,1
2024-11-21,20.37,24.4445,22.64,1
2024-11-22,20.84,19.3854,21.69,0
2024-11-25,22.3,24.3093,21.05,0
2024-11-26,21.46,21.5224,21.7,1
2024-11-27,22.01,27.9267,22.25,1
2024-11-29,22.57,22.0156,22.31,1
2024-12-02,22.48,24.6237,21.24,0
2024-12-03,21.95,20.824,21.08,1
2024-12-04,22.23,25.3918,21.84,0
2024-12-05,20.63,24.1212,21.05,1
2024-12-06,21.84,18.6325,21.02,1
2024-12-09,21.67,22.6251,19.96,0
2024-12-10,22.11,22.1668,21.66,0
2024-12-11,21.76,21.1896,22.77,0
2024-12-12,21.07,21.9494,21.93,1
2024-12-13,20.83,21.7266,22.9,1
2024-12-16,21.64,22.5527,23.73,1
2024-12-17,21.36,18.5171,22.9,0
2024-12-18,19.74,21.2474,22.67,1
2024-12-19,19.3,19.7982,22.28,1
2024-12-20,19.44,20.8502,21.8,1
2024-12-23,19.76,18.8163,22.75,0
2024-12-24,19.73,19.5084,21.45,0
2024-12-26,20.3,20.8886,20.6,1
2024-12-27,19.77,20.3477,20.26,1
2024-12-30,18.82,20.297,19.96,1
2024-12-31,19.29,19.5967,19.74,1
2025-01-02,20.4,19.0305,18.84,1
2025-01-03,20.87,19.7144,19.88,1
2025-01-06,21.09,20.7265,18.87,1
2025-01-07,21.15,18.6157,18.03,1
2025-01-08,20.33,20.5557,18.21,0
2025-01-10,19.29,20.4217,17.97,0
2025-01-13,19.47,21.8232,19.52,1
2025-01-14,19.07,18.1524,19.22,0
2025-01-15,19.3,19.6561,24.49,1
2025-01-16,18.69,20.5936,26.54,1
2025-01-17,19.0,21.7088,25.595,1
2025-01-21,21.33,20.7331,25.21,0
2025-01-22,24.34,20.8079,25.75,0
2025-01-23,24.41,20.0469,26.19,0
2025-01-24,24.67,21.77,25.99,0
2025-01-27,24.07,17.8026,25.46,0
2025-01-28,25.52,20.4475,26.13,0
2025-01-29,24.96,19.3709,26.45,0
2025-01-30,25.43,20.9314,25.75,0
2025-01-31,25.075,20.9043,25.78,0
2025-02-03,24.72,18.8874,25.63,0
2025-02-04,24.93,22.6458,24.88,1
2025-02-05,26.15,22.8865,25.29,1
2025-02-06,25.89,19.6712,25.98,0
2025-02-07,25.67,23.2035,23.56,1
2025-02-10,25.18,20.2903,23.72,1
2025-02-11,24.49,22.6429,23.88,1
2025-02-12,23.86,17.9926,23.91,0
2025-02-13,24.43,18.9282,24.17,1
2025-02-14,24.85,19.276,23.76,1
2025-02-18,26.01,20.1892,23.92,1
2025-02-19,26.01,20.9923,23.36,1
2025-02-20,24.0,21.3936,23.58,1
2025-02-21,22.64,23.1636,23.56,1
2025-02-24,21.69,21.538,21.53,1
2025-02-25,21.05,21.0985,20.51,0
2025-02-26,21.7,20.546,21.22,1
2025-02-27,22.25,22.0884,21.4,1
2025-02-28,22.31,22.5789,21.5,0
