date,entry_close,pred_close,actual_close,correct
2024-06-10,6.81,15.8829,5.48,0
2024-06-11,7.45,13.0603,5.65,0
2024-06-12,7.07,13.266,5.82,0
2024-06-13,6.79,10.9663,5.9,0
2024-06-14,6.48,15.7083,6.5,1
2024-06-17,6.66,12.8424,6.48,0
2024-06-18,6.88,13.5722,6.35,0
2024-06-20,6.58,13.7974,6.3,0
2024-06-21,6.51,16.9355,6.46,0
2024-06-24,6.49,12.0602,6.28,0
2024-06-25,6.29,15.5947,6.27,0
2024-06-26,6.28,16.1046,6.13,0
2024-06-27,6.48,15.8829,6.4,0
2024-06-28,6.24,14.346,6.32,1
2024-07-01,6.11,12.8104,5.68,0
2024-07-02,6.0,14.1817,5.7,0
2024-07-03,6.03,12.069,5.83,0
2024-07-05,5.95,13.429,5.61,0
2024-07-08,6.08,15.6161,5.44,0
2024-07-09,6.24,14.78,5.13,0
2024-07-10,6.3,14.4072,5.09,0
2024-07-11,6.41,12.9735,5.13,0
2024-07-12,6.87,11.4838,5.1,0
2024-07-15,6.8,10.3726,4.92,0
2024-07-16,7.06,10.9102,5.25,0
2024-07-17,6.81,15.0327,5.15,0
2024-07-18,6.63,13.0731,5.31,0
2024-07-19,6.59,14.8762,5.23,0
2024-07-22,6.64,11.1276,5.12,0
2024-07-23,6.63,9.6943,5.13,0
2024-07-24,6.62,13.1733,4.94,0
2024-07-25,6.74,9.6469,5.05,0
2024-07-26,6.73,13.1312,5.05,0
2024-07-29,6.58,13.0968,5.06,0
2024-07-30,6.45,9.8849,4.89,0
2024-07-31,6.5,10.5986,5.12,0
2024-08-01,6.23,12.9582,5.19,0
2024-08-02,5.8,10.1338,5.36,0
2024-08-05,5.46,8.1999,5.24,0
2024-08-06,5.5,9.2027,5.27,0
2024-08-07,5.15,9.5886,5.41,1
2024-08-08,5.29,9.2582,5.55,1
2024-08-09,5.12,9.8923,5.96,1
2024-08-12,5.13,9.0309,6.14,1
2024-08-13,5.46,9.2961,5.77,1
2024-08-14,5.45,10.0393,5.82,1
2024-08-15,5.31,9.4963,5.71,1
2024-08-16,5.24,13.6366,5.77,1
2024-08-19,5.42,10.4265,4.85,0
2024-08-20,5.28,8.2804,4.95,0
2024-08-21,5.32,9.5354,5.22,0
2024-08-22,5.1,9.7981,4.56,0
2024-08-23,5.45,8.9618,4.26,0
2024-08-26,5.47,9.103,4.15,0
2024-08-27,5.33,9.2073,4.41,0
2024-08-28,5.15,7.4822,4.4,0
2024-08-29,5.34,7.4725,4.83,0
2024-08-30,5.39,9.5751,5.07,0
2024-09-03,6.23,7.7577,5.01,0
2024-09-04,6.08,9.1927,5.26,0
2024-09-05,5.48,8.5184,5.22,0
2024-09-06,5.65,10.597,5.16,0
2024-09-09,5.82,8.6187,4.89,0
2024-09-10,5.9,7.6408,4.89,0
2024-09-11,6.5,10.9944,4.64,0
2024-09-12,6.48,8.7515,4.53,0
2024-09-13,6.35,9.2667,4.68,0
2024-09-16,6.3,8.1599,4.66,0
2024-09-17,6.46,8.5166,4.57,0
2024-09-18,6.28,7.2714,4.41,0
2024-09-19,6.27,9.116,4.41,0
2024-09-20,6.13,6.7058,4.17,0
2024-09-23,6.4,8.7168,4.92,0
2024-09-24,6.32,8.7667,4.66,0
2024-09-25,5.68,7.935,4.54,0
2024-09-26,5.7,6.5469,5.12,0
2024-09-27,5.83,7.9995,5.47,0
2024-09-30,5.61,10.2331,5.39,0
2024-10-01,5.44,6.954,5.44,0
2024-10-02,5.13,7.4582,5.64,1
2024-10-03,5.09,8.7432,5.64,1
2024-10-04,5.13,6.2217,5.53,1
2024-10-07,5.1,7.7132,6.05,1
2024-10-08,4.92,7.2575,5.93,1
2024-10-09,5.25,8.3978,5.98,1
2024-10-10,5.15,8.1175,6.24,1
2024-10-11,5.31,7.4565,6.0,1
2024-10-14,5.23,7.5953,5.89,1
2024-10-15,5.12,7.7738,5.85,1
2024-10-16,5.13,7.1897,5.68,1
2024-10-17,4.94,7.8553,4.54,0
2024-10-18,5.05,6.0817,4.67,0
2024-10-21,5.05,6.9722,4.63,0
2024-10-22,5.06,7.5051,4.62,0
2024-10-23,4.89,7.0095,4.29,0
2024-10-24,5.12,8.1696,4.67,0
2024-10-25,5.19,7.2878,4.73,0
2024-10-28,5.36,7.3067,4.56,0
2024-10-29,5.24,8.5069,4.41,0
2024-10-30,5.27,6.3786,4.6,0
2024-10-31,5.41,6.4547,4.69,0
2024-11-01,5.55,6.2601,4.78,0
2024-11-04,5.96,7.9861,4.54,0
2024-11-05,6.14,6.1247,4.64,1
2024-11-06,5.77,6.2407,4.57,0
2024-11-07,5.82,5.747,4.6,1
2024-11-08,5.71,7.9294,4.39,0
2024-11-11,5.77,8.0852,4.38,0
2024-11-12,4.85,6.6622,4.1,0
2024-11-13,4.95,5.3142,3.99,0
2024-11-14,5.22,6.815,4.04,0
2024-11-15,4.56,6.6241,3.96,0
2024-11-18,4.26,5.6779,4.08,0
2024-11-19,4.15,7.0727,4.33,1
2024-11-20,4.41,5.9036,4.59,1
2024-11-21,4.4,6.262,4.52,1
2024-11-22,4.83,6.1128,4.48,0
2024-11-25,5.07,6.5171,4.265,0
2024-11-26,5.01,6.8445,3.875,0
2024-11-27,5.26,5.248,3.485,1
2024-11-29,5.22,7.2929,3.03,0
2024-12-02,5.16,7.0488,2.89,0
2024-12-03,4.89,6.0403,3.0,0
2024-12-04,4.89,6.4222,3.12,0
2024-12-05,4.64,6.2502,3.01,0
2024-12-06,4.53,7.7698,2.82,0
2024-12-09,4.68,7.0089,2.835,0
2024-12-10,4.66,6.1268,2.81,0
2024-12-11,4.57,6.3009,2.94,0
2024-12-12,4.41,5.3632,3.26,0
2024-12-13,4.41,7.1203,3.26,0
2024-12-16,4.17,6.3667,3.25,0
2024-12-17,4.92,7.0452,3.32,0
2024-12-18,4.66,6.6528,3.42,0
2024-12-19,4.54,6.572,3.31,0
2024-12-20,5.12,5.9786,3.31,0
2024-12-23,5.47,7.2564,3.32,0
2024-12-24,5.39,4.65,3.42,1
2024-12-26,5.44,5.5424,3.4,0
2024-12-27,5.64,5.1684,3.42,1
2024-12-30,5.64,5.7926,3.31,0
2024-12-31,5.53,5.274,3.32,1
2025-01-02,6.05,6.6091,3.26,0
2025-01-03,5.93,5.9542,3.26,0
2025-01-06,5.98,5.9141,3.05,1
2025-01-07,6.24,5.5306,3.14,1
2025-01-08,6.0,4.9835,3.38,1
2025-01-10,5.89,7.0065,3.17,0
2025-01-13,5.85,6.3127,3.66,0
2025-01-14,5.68,5.153,3.36,1
2025-01-15,4.54,5.4203,3.41,0
2025-01-16,4.67,7.0811,3.33,0
2025-01-17,4.63,6.6213,3.29,0
2025-01-21,4.62,5.5333,3.33,0
2025-01-22,4.29,5.5241,3.38,0
2025-01-23,4.67,6.4835,3.25,0
2025-01-24,4.73,5.0994,3.35,0
2025-01-27,4.56,7.1071,3.3,0
2025-01-28,4.41,6.6861,3.4,0
2025-01-29,4.6,6.8683,3.64,0
2025-01-30,4.69,5.0852,3.73,0
2025-01-31,4.78,5.1282,3.79,0
2025-02-03,4.54,5.1496,3.61,0
2025-02-04,4.64,6.1115,3.77,0
2025-02-05,4.57,5.8587,3.84,0
2025-02-06,4.6,5.8143,3.76,0
2025-02-07,4.39,6.3712,4.41,1
2025-02-10,4.38,5.7881,4.71,1
2025-02-11,4.1,6.813,4.82,1
2025-02-12,3.99,6.1246,5.09,1
2025-02-13,4.04,7.6254,5.36,1
2025-02-14,3.96,5.2601,6.03,1
2025-02-18,4.08,7.1036,6.11,1
2025-02-19,4.33,5.3297,4.58,1
2025-02-20,4.59,5.4185,4.855,1
2025-02-21,4.52,5.5962,4.72,1
2025-02-24,4.48,6.0165,4.785,1
2025-02-25,4.265,5.5525,4.71,1
2025-02-26,3.875,5.9634,4.57,1
2025-02-27,3.485,5.0676,4.59,1
2025-02-28,3.03,5.0272,4.72,1
2025-03-03,2.89,5.5682,4.49,1
2025-03-04,3.0,5.5374,4.31,1
2025-03-05,3.12,5.8344,4.72,1
2025-03-06,3.01,5.8226,4.56,1
2025-03-07,2.82,6.2911,4.87,1
2025-03-10,2.835,6.1755,4.9,1
2025-03-11,2.81,5.7413,4.94,1
2025-03-12,2.94,5.8589,5.16,1
2025-03-13,3.26,5.9839,5.1,1
2025-03-14,3.26,5.5565,5.2,1
2025-03-17,3.25,5.4274,5.09,1
2025-03-18,3.32,6.4197,4.95,1
2025-03-19,3.42,5.296,5.11,1
2025-03-20,3.31,4.6618,5.34,1
2025-03-21,3.31,4.6709,5.26,1
2025-03-24,3.32,5.8933,5.225,1
2025-03-25,3.42,5.6955,4.98,1
2025-03-26,3.4,5.8358,4.95,1
2025-03-27,3.42,4.8015,5.0,1
2025-03-28,3.31,4.624,4.87,1
2025-03-31,3.32,5.4727,4.88,1
2025-04-01,3.26,5.0238,4.73,1
2025-04-02,3.26,5.231,4.25,1
2025-04-03,3.05,5.3314,5.265,1
2025-04-04,3.14,4.5128,5.47,1
2025-04-07,3.38,4.0712,5.98,1
2025-04-08,3.17,4.7635,6.3,1
2025-04-09,3.66,4.4816,5.715,1
2025-04-10,3.36,5.3428,5.745,1
2025-04-11,3.41,6.4769,5.78,1
2025-04-14,3.33,4.2011,5.85,1
2025-04-15,3.29,5.1416,5.75,1
2025-04-16,3.33,5.3982,5.83,1
2025-04-17,3.38,4.9343,5.81,1
2025-04-21,3.25,5.5017,5.7,1
2025-04-22,3.35,4.8638,5.52,1
2025-04-23,3.3,5.2606,5.64,1
2025-04-24,3.4,5.3979,6.0,1
2025-04-25,3.64,5.2021,5.81,1
2025-04-28,3.73,4.0615,5.61,1
2025-04-29,3.79,4.7417,5.84,1
2025-04-30,3.61,4.0712,5.83,1
2025-05-01,3.77,4.4161,5.58,1
2025-05-02,3.84,3.9667,5.39,1
2025-05-05,3.76,4.1248,5.39,1
2025-05-06,4.41,4.9346,5.16,1
2025-05-07,4.71,4.5155,5.38,0
2025-05-08,4.82,3.8127,4.67,1
2025-05-09,5.09,5.1144,4.62,0
2025-05-12,5.36,3.8593,4.77,1
2025-05-13,6.03,4.7856,4.72,1
2025-05-14,6.11,3.8702,4.46,1
2025-05-15,4.58,4.2208,4.62,0
2025-05-16,4.855,3.7755,4.88,0
2025-05-19,4.72,4.2416,4.59,1
2025-05-20,4.785,4.5452,5.19,0
2025-05-21,4.71,3.9021,6.04,0
2025-05-22,4.57,4.6942,6.13,1
2025-05-23,4.59,4.4111,6.15,0
2025-05-27,4.72,4.684,5.76,0
2025-05-28,4.49,4.497,6.48,1
2025-05-29,4.31,4.9745,6.8,1
2025-05-30,4.72,3.8628,6.84,0
2025-06-02,4.56,3.9676,6.5,0
2025-06-03,4.87,4.7564,6.59,0
2025-06-04,4.9,4.6683,6.51,0
2025-06-05,4.94,3.9519,6.72,0
2025-06-06,5.16,4.0235,6.78,0
2025-06-09,5.1,4.392,7.15,0
2025-06-10,5.2,3.7494,7.155,0
2025-06-11,5.09,4.816,7.14,0
2025-06-12,4.95,3.9821,6.65,0
2025-06-13,5.11,3.6426,6.88,0
2025-06-16,5.34,3.7262,6.92,0
2025-06-17,5.26,4.2289,6.88,0
2025-06-18,5.225,4.8746,7.08,0
2025-06-20,4.98,4.2682,7.11,0
2025-06-23,4.95,3.6398,7.23,0
2025-06-24,5.0,4.341,7.55,0
2025-06-25,4.87,4.5114,7.29,0
2025-06-26,4.88,4.8694,7.51,0
2025-06-27,4.73,3.6198,7.2,0
2025-06-30,4.25,3.4355,7.7,0
2025-07-01,5.265,3.8461,7.58,0
2025-07-02,5.47,4.857,7.66,0
2025-07-03,5.98,5.3546,7.5,0
2025-07-07,6.3,3.7297,7.41,0
2025-07-08,5.715,3.5198,7.93,0
2025-07-09,5.745,3.8223,8.91,0
2025-07-10,5.78,3.7135,8.5,0
2025-07-11,5.85,3.3457,8.74,0
2025-07-14,5.75,4.3279,8.54,0
2025-07-15,5.83,3.7357,8.84,0
2025-07-16,5.81,4.5043,9.0,0
2025-07-17,5.7,4.0439,8.76,0
2025-07-18,5.52,4.2154,9.25,0
2025-07-21,5.64,3.9841,10.13,0
2025-07-22,6.0,4.6411,10.85,0
2025-07-23,5.81,5.1572,10.13,0
2025-07-24,5.61,3.53,9.95,0
2025-07-25,5.84,5.3317,10.54,0
2025-07-28,5.83,4.2245,10.48,0
2025-07-29,5.58,4.394,9.94,0
2025-07-30,5.39,4.5965,10.325,0
2025-07-31,5.39,3.9232,10.75,0
2025-08-01,5.16,4.1617,10.54,0
2025-08-04,5.38,3.8633,10.53,0
2025-08-05,4.67,2.8801,10.62,0
2025-08-06,4.62,4.5898,10.14,0
2025-08-07,4.77,4.5802,10.51,0
2025-08-08,4.72,5.4197,10.34,1
2025-08-11,4.46,5.2225,9.24,1
2025-08-12,4.62,4.3612,9.33,0
2025-08-13,4.88,3.4822,9.15,0
2025-08-14,4.59,4.8693,9.08,1
2025-08-15,5.19,3.7538,9.39,0
2025-08-18,6.04,5.2047,8.93,0
2025-08-19,6.13,5.2803,8.93,0
2025-08-20,6.15,5.1601,8.08,0
2025-08-21,5.76,4.6478,8.395,0
2025-08-22,6.48,4.2263,7.95,0
2025-08-25,6.8,5.5802,7.98,0
2025-08-26,6.84,5.3336,8.09,0
2025-08-27,6.5,4.726,7.46,0
2025-08-28,6.59,5.429,7.82,0
2025-08-29,6.51,5.0355,7.76,0
2025-09-02,6.72,5.3769,8.12,0
2025-09-03,6.78,4.7648,8.17,0
2025-09-04,7.15,4.1392,8.39,0
2025-09-05,7.155,4.5121,7.83,0
2025-09-08,7.14,5.1751,7.82,0
2025-09-09,6.65,4.741,7.61,0
2025-09-10,6.88,5.1129,7.93,0
2025-09-11,6.92,4.4371,8.03,0
2025-09-12,6.88,4.6754,8.02,0
2025-09-15,7.08,5.2986,8.08,0
2025-09-16,7.11,4.8074,8.6,0
2025-09-17,7.23,5.2584,9.59,0
2025-09-18,7.55,5.5328,8.85,0
2025-09-19,7.29,5.0822,8.67,0
2025-09-22,7.51,4.6493,8.54,0
2025-09-23,7.2,5.2314,8.42,0
2025-09-24,7.7,4.8593,8.64,0
2025-09-25,7.58,5.2776,8.96,0
2025-09-26,7.66,5.4537,9.32,0
2025-09-29,7.5,4.9443,9.11,0
2025-09-30,7.41,4.5422,9.19,0
2025-10-01,7.93,5.5489,9.21,0
2025-10-02,8.91,7.0423,8.96,0
2025-10-03,8.5,5.256,8.57,0
2025-10-06,8.74,5.6184,8.5,1
2025-10-07,8.54,5.6799,9.09,0
2025-10-08,8.84,5.0062,8.89,0
2025-10-09,9.0,4.667,9.24,0
2025-10-10,8.76,4.5914,8.84,0
2025-10-13,9.25,4.723,8.6,1
2025-10-14,10.13,6.1305,8.66,1
2025-10-15,10.85,5.7567,9.62,1
2025-10-16,10.13,5.1394,9.65,1
2025-10-17,9.95,5.3447,9.14,1
2025-10-20,10.54,5.044,9.37,1
2025-10-21,10.48,5.8563,9.27,1
2025-10-22,9.94,6.4357,9.21,1
2025-10-23,10.325,5.3362,9.05,1
2025-10-24,10.75,5.8409,9.66,1
2025-10-27,10.54,5.5206,9.22,1
2025-10-28,10.53,5.5723,9.27,1
2025-10-29,10.62,5.9521,9.57,1
2025-10-30,10.14,3.6778,10.15,0
2025-10-31,10.51,5.8165,10.02,1
2025-11-03,10.34,5.6687,9.44,1
2025-11-04,9.24,5.8528,9.32,0
2025-11-05,9.33,5.9551,10.01,0
2025-11-06,9.15,5.5053,10.18,0
2025-11-07,9.08,4.9878,9.65,0
2025-11-10,9.39,5.7339,10.29,0
2025-11-11,8.93,5.4909,10.4,0
2025-11-12,8.93,4.8271,10.26,0
2025-11-13,8.08,5.8287,9.79,0
2025-11-14,8.395,7.0158,9.66,0
2025-11-17,7.95,5.9946,10.24,0
2025-11-18,7.98,6.8142,10.7,0
2025-11-19,8.09,5.8435,10.73,0
2025-11-20,7.46,6.5485,10.19,0
2025-11-21,7.82,6.562,10.61,0
2025-11-24,7.76,5.264,9.9,0
2025-11-25,8.12,5.0784,6.835,1
2025-11-26,8.17,5.7478,6.85,1
2025-11-28,8.39,6.9451,6.35,1
2025-12-01,7.83,5.7637,5.93,1
2025-12-02,7.82,7.427,5.96,1
2025-12-03,7.61,4.4457,5.91,1
