date,entry_close,pred_close,actual_close,correct
2024-06-10,63.01,73.1685,70.11,1
2024-06-11,63.82,71.2847,67.01,1
2024-06-12,65.47,65.1734,68.13,0
2024-06-13,64.69,75.4105,68.17,1
2024-06-14,67.66,72.6394,71.52,1
2024-06-17,66.52,66.1485,71.31,0
2024-06-18,64.25,63.3753,72.45,0
2024-06-20,63.88,75.2327,73.58,1
2024-06-21,65.03,65.1072,74.45,1
2024-06-24,64.31,72.9499,75.22,1
2024-06-25,64.78,71.1191,78.68,1
2024-06-26,65.45,66.9607,78.72,1
2024-06-27,66.37,69.232,80.11,1
2024-06-28,66.05,64.7739,80.33,0
2024-07-01,64.63,64.4554,79.26,0
2024-07-02,66.06,71.9677,80.75,1
2024-07-03,66.73,68.3503,79.21,1
2024-07-05,67.63,58.1645,80.14,0
2024-07-08,67.34,65.43,78.45,0
2024-07-09,66.13,66.8063,79.1,1
2024-07-10,65.61,76.9975,78.14,1
2024-07-11,65.31,69.7098,82.43,1
2024-07-12,64.89,66.2786,80.86,1
2024-07-15,64.21,70.6259,82.58,1
2024-07-16,69.72,64.8766,83.41,0
2024-07-17,64.81,68.5405,82.71,1
2024-07-18,63.11,66.0004,83.24,1
2024-07-19,63.16,70.5229,83.68,1
2024-07-22,62.69,75.7985,81.93,1
2024-07-23,62.66,72.0937,81.85,1
2024-07-24,59.27,61.1101,81.63,1
2024-07-25,59.44,78.6102,82.68,1
2024-07-26,59.94,67.4949,82.66,1
2024-07-29,59.87,76.2882,81.61,1
2024-07-30,59.2,67.6604,79.66,1
2024-07-31,61.2,65.8766,79.82,1
2024-08-01,58.17,60.2297,79.05,1
2024-08-02,54.43,70.1875,79.87,1
2024-08-05,52.26,65.3945,80.39,1
2024-08-06,54.22,57.6826,80.01,1
2024-08-07,63.89,66.1712,78.21,1
2024-08-08,68.55,66.1896,78.99,0
2024-08-09,69.3,69.8999,78.44,1
2024-08-12,68.31,63.6012,79.57,0
2024-08-13,69.9,63.7959,81.92,0
2024-08-14,71.59,66.6039,85.55,0
2024-08-15,74.85,69.3129,87.12,0
2024-08-16,74.55,69.3919,89.99,0
2024-08-19,75.16,64.3309,108.92,0
2024-08-20,74.87,71.0083,115.09,0
2024-08-21,76.14,68.8884,109.08,0
2024-08-22,74.3,63.1219,108.49,0
2024-08-23,76.14,69.3861,105.88,0
2024-08-26,74.95,69.3333,104.59,0
2024-08-27,74.53,61.2008,103.94,0
2024-08-28,72.53,71.5102,106.48,0
2024-08-29,73.27,79.2934,106.96,1
2024-08-30,74.07,68.0785,111.0,0
2024-09-03,71.26,72.7065,112.08,1
2024-09-04,70.22,78.1711,112.54,1
2024-09-05,70.11,77.9191,115.6,1
2024-09-06,67.01,68.7893,112.98,1
2024-09-09,68.13,70.4882,111.86,1
2024-09-10,68.17,73.7447,113.43,1
2024-09-11,71.52,73.0638,114.09,1
2024-09-12,71.31,76.1282,118.37,1
2024-09-13,72.45,77.3466,115.29,1
2024-09-16,73.58,70.5663,113.45,0
2024-09-17,74.45,77.0981,117.37,1
2024-09-18,75.22,73.7645,115.31,0
2024-09-19,78.68,67.9289,114.63,0
2024-09-20,78.72,79.2352,115.94,1
2024-09-23,80.11,65.7951,119.49,0
2024-09-24,80.33,68.3616,109.7,0
2024-09-25,79.26,77.2605,107.07,0
2024-09-26,80.75,71.0142,108.95,0
2024-09-27,79.21,61.5637,109.25,0
2024-09-30,80.14,78.232,110.18,0
2024-10-01,78.45,62.3867,109.96,0
2024-10-02,79.1,70.643,108.18,0
2024-10-03,78.14,71.5663,106.69,0
2024-10-04,82.43,64.2799,106.33,0
2024-10-07,80.86,64.6774,107.53,0
2024-10-08,82.58,65.2822,109.25,0
2024-10-09,83.41,76.269,114.24,0
2024-10-10,82.71,62.6696,106.78,0
2024-10-11,83.24,71.4585,107.64,0
2024-10-14,83.68,78.6893,103.71,0
2024-10-15,81.93,67.773,101.76,0
2024-10-16,81.85,75.8011,101.61,0
2024-10-17,81.63,65.7631,104.24,0
2024-10-18,82.68,73.36,103.5,0
2024-10-21,82.66,81.4024,103.35,0
2024-10-22,81.61,83.6191,106.28,1
2024-10-23,79.66,64.0857,106.37,0
2024-10-24,79.82,70.8805,106.1,0
2024-10-25,79.05,71.0554,107.68,0
2024-10-28,79.87,68.5231,107.38,0
2024-10-29,80.39,74.5411,117.45,0
2024-10-30,80.01,77.234,116.59,0
2024-10-31,78.21,63.8313,119.18,0
2024-11-01,78.99,78.7038,116.8,0
2024-11-04,78.44,71.31,114.39,0
2024-11-05,79.57,70.5915,119.2,0
2024-11-06,81.92,78.7362,121.73,0
2024-11-07,85.55,72.2935,118.58,0
2024-11-08,87.12,73.3271,117.41,0
2024-11-11,89.99,84.4396,119.9,0
2024-11-12,108.92,76.1873,123.59,0
2024-11-13,115.09,77.2096,120.49,0
2024-11-14,109.08,69.3422,127.65,0
2024-11-15,108.49,67.5119,128.35,0
2024-11-18,105.88,83.5243,129.31,0
2024-11-19,104.59,79.4453,127.66,0
2024-11-20,103.94,74.1206,123.47,0
2024-11-21,106.48,72.4413,115.56,0
2024-11-22,106.96,75.7601,115.48,0
2024-11-25,111.0,76.2485,110.95,1
2024-11-26,112.08,75.3992,113.23,0
2024-11-27,112.54,68.0832,110.83,1
2024-11-29,115.6,71.5023,112.0,1
2024-12-02,112.98,70.0734,106.58,1
2024-12-03,111.86,64.9067,101.73,1
2024-12-04,113.43,68.7883,106.15,1
2024-12-05,114.09,83.4249,102.49,1
2024-12-06,118.37,71.732,100.13,1
2024-12-09,115.29,76.9994,92.75,1
2024-12-10,113.45,81.695,92.95,1
2024-12-11,117.37,84.5787,96.53,1
2024-12-12,115.31,75.3739,90.59,1
2024-12-13,114.63,78.2939,94.85,1
2024-12-16,115.94,89.8849,96.59,1
2024-12-17,119.49,77.0557,94.01,1
2024-12-18,109.7,74.62,101.54,1
2024-12-19,107.07,91.5002,101.85,1
2024-12-20,108.95,82.124,104.21,1
2024-12-23,109.25,84.8489,109.28,0
2024-12-24,110.18,75.3005,109.82,1
2024-12-26,109.96,73.0095,104.28,1
2024-12-27,108.18,83.196,102.52,1
2024-12-30,106.69,71.3411,96.68,1
2024-12-31,106.33,83.6427,95.48,1
2025-01-02,107.53,73.4488,97.64,1
2025-01-03,109.25,75.647,100.65,1
2025-01-06,114.24,76.6062,82.29,1
2025-01-07,106.78,88.3157,76.89,1
2025-01-08,107.64,74.5882,78.82,1
2025-01-10,103.71,79.3025,77.09,1
2025-01-13,101.76,74.0165,91.4,1
2025-01-14,101.61,79.7828,84.63,1
2025-01-15,104.24,87.4311,83.71,1
2025-01-16,103.5,72.8468,82.77,1
2025-01-17,103.35,78.2165,83.91,1
2025-01-21,106.28,79.416,83.96,1
2025-01-22,106.37,87.3486,83.65,1
2025-01-23,106.1,89.3327,81.64,1
2025-01-24,107.68,78.7401,85.71,1
2025-01-27,107.38,90.0212,90.96,1
2025-01-28,117.45,77.3125,95.12,1
2025-01-29,116.59,83.1667,97.12,1
2025-01-30,119.18,78.7888,98.57,1
2025-01-31,116.8,86.2572,98.92,1
2025-02-03,114.39,64.8966,95.0,1
2025-02-04,119.2,93.6117,97.01,1
2025-02-05,121.73,78.6648,99.25,1
2025-02-06,118.58,79.9785,98.38,1
2025-02-07,117.41,64.5581,93.83,1
2025-02-10,119.9,82.3223,94.5,1
2025-02-11,123.59,90.5766,94.0,1
2025-02-12,120.49,76.0603,91.77,1
2025-02-13,127.65,85.8925,104.34,1
2025-02-14,128.35,77.234,107.68,1
2025-02-18,129.31,76.4058,111.45,1
2025-02-19,127.66,84.0834,110.21,1
2025-02-20,123.47,78.1381,110.75,1
2025-02-21,115.56,73.0959,109.1,1
2025-02-24,115.48,90.4744,106.43,1
2025-02-25,110.95,72.9834,102.32,1
2025-02-26,113.23,55.2499,103.29,1
2025-02-27,110.83,75.2925,101.51,1
2025-02-28,112.0,77.4442,106.74,1
2025-03-03,106.58,71.2892,107.11,0
2025-03-04,101.73,88.9387,107.7,0
2025-03-05,106.15,70.3698,107.22,0
2025-03-06,102.49,65.1792,106.54,0
2025-03-07,100.13,74.804,105.11,0
2025-03-10,92.75,95.814,103.58,1
2025-03-11,92.95,88.8056,105.03,0
2025-03-12,96.53,98.1085,111.41,1
2025-03-13,90.59,87.9906,107.8,0
2025-03-14,94.85,95.0684,110.26,1
2025-03-17,96.59,90.6459,114.13,0
2025-03-18,94.01,84.081,109.21,0
2025-03-19,101.54,85.1679,105.34,0
2025-03-20,101.85,95.1607,108.37,0
2025-03-21,104.21,102.4249,106.53,0
2025-03-24,109.28,76.12,105.97,1
2025-03-25,109.82,85.6309,106.4,1
2025-03-26,104.28,86.3417,109.98,0
2025-03-27,102.52,85.1506,114.42,0
2025-03-28,96.68,72.4661,113.89,0
2025-03-31,95.48,87.3843,113.07,0
2025-04-01,97.64,97.712,113.65,1
2025-04-02,100.65,71.6991,115.35,0
2025-04-03,82.29,78.8621,112.67,0
2025-04-04,76.89,90.3242,114.77,1
2025-04-07,78.82,90.39,116.52,1
2025-04-08,77.09,98.3182,116.66,1
2025-04-09,91.4,70.1355,112.48,0
2025-04-10,84.63,83.3977,114.32,0
2025-04-11,83.71,87.7323,115.16,1
2025-04-14,82.77,77.4828,112.11,0
2025-04-15,83.91,92.3983,116.74,1
2025-04-16,83.96,91.9832,115.05,1
2025-04-17,83.65,78.8558,120.0,0
2025-04-21,81.64,82.7435,126.75,1
2025-04-22,85.71,93.2636,127.07,1
2025-04-23,90.96,86.3961,128.43,0
2025-04-24,95.12,85.1209,123.71,0
2025-04-25,97.12,81.4975,122.21,0
2025-04-28,98.57,87.0653,122.08,0
2025-04-29,98.92,81.7922,124.43,0
2025-04-30,95.0,91.4224,126.84,0
2025-05-01,97.01,81.6151,124.85,0
2025-05-02,99.25,102.2731,123.01,1
2025-05-05,98.38,91.0929,122.21,0
2025-05-06,93.83,91.4854,118.6,0
2025-05-07,94.5,94.3784,125.21,0
2025-05-08,94.0,86.306,127.0,0
2025-05-09,91.77,86.5495,154.9,0
2025-05-12,104.34,97.7309,151.07,0
2025-05-13,107.68,92.225,149.61,0
2025-05-14,111.45,96.7992,147.5,0
2025-05-15,110.21,101.8152,149.3,0
2025-05-16,110.75,88.4334,150.09,0
2025-05-19,109.1,104.7738,144.27,0
2025-05-20,106.43,99.1029,141.47,0
2025-05-21,102.32,96.9886,143.11,0
2025-05-22,103.29,93.9677,139.25,0
2025-05-23,101.51,77.3986,137.29,0
2025-05-27,106.74,96.697,136.68,0
2025-05-28,107.11,104.9439,142.11,0
2025-05-29,107.7,103.425,140.53,0
2025-05-30,107.22,93.7205,140.85,0
2025-06-02,106.54,94.286,139.89,0
2025-06-03,105.11,100.82,141.54,0
2025-06-04,103.58,92.2029,141.28,0
2025-06-05,105.03,89.7119,139.04,0
2025-06-06,111.41,100.4148,140.22,0
2025-06-09,107.8,89.8601,145.15,0
2025-06-10,110.26,105.2847,146.82,0
2025-06-11,114.13,97.3708,146.22,0
2025-06-12,109.21,97.5886,143.44,0
2025-06-13,105.34,105.7895,142.2,1
2025-06-16,108.37,98.0072,145.03,0
2025-06-17,106.53,93.1948,143.38,0
2025-06-18,105.97,115.2645,147.89,1
2025-06-20,106.4,100.56,147.21,0
2025-06-23,109.98,92.7073,147.87,0
2025-06-24,114.42,88.8066,152.11,0
2025-06-25,113.89,97.279,153.3,0
2025-06-26,113.07,101.368,157.12,0
2025-06-27,113.65,97.1842,149.94,0
2025-06-30,115.35,94.838,148.83,0
2025-07-01,112.67,91.7478,143.45,0
2025-07-02,114.77,92.9525,140.25,0
2025-07-03,116.52,97.4979,149.0,0
2025-07-07,116.66,96.3836,148.61,0
2025-07-08,112.48,92.2781,149.57,0
2025-07-09,114.32,91.6157,151.3,0
2025-07-10,115.16,94.7238,161.14,0
2025-07-11,112.11,98.8682,164.5,0
2025-07-14,116.74,90.3859,161.28,0
2025-07-15,115.05,92.3832,166.43,0
2025-07-16,120.0,92.4205,163.87,0
2025-07-17,126.75,95.3849,151.02,0
2025-07-18,127.07,104.7784,153.66,0
2025-07-21,128.43,101.9147,152.88,0
2025-07-22,123.71,103.317,156.21,0
2025-07-23,122.21,92.4115,156.57,0
2025-07-24,122.08,109.5883,157.76,0
2025-07-25,124.43,93.2681,164.71,0
2025-07-28,126.84,101.6946,162.64,0
2025-07-29,124.85,100.1286,162.01,0
2025-07-30,123.01,99.0278,167.03,0
2025-07-31,122.21,99.179,172.95,0
2025-08-01,118.6,86.5182,175.06,0
2025-08-04,125.21,92.7737,178.96,0
2025-08-05,127.0,98.5338,179.01,0
2025-08-06,154.9,97.556,173.61,0
2025-08-07,151.07,106.8032,173.86,0
2025-08-08,149.61,103.3017,172.94,0
