date,entry_close,pred_close,actual_close,correct
2024-06-10,126.76,165.895,111.75,0
2024-06-11,128.48,184.288,108.56,0
2024-06-12,130.33,178.7324,109.96,0
2024-06-13,125.9,160.1926,110.27,0
2024-06-14,127.17,171.6075,112.0,0
2024-06-17,130.67,179.2528,112.99,0
2024-06-18,127.6,180.0108,113.67,0
2024-06-20,126.62,181.0649,112.84,0
2024-06-21,127.8,173.0089,111.63,0
2024-06-24,124.8,174.2725,110.78,0
2024-06-25,124.21,177.5008,114.02,0
2024-06-26,129.13,175.6155,110.27,0
2024-06-27,133.92,155.4238,113.26,0
2024-06-28,135.09,151.0375,112.5,0
2024-07-01,142.77,143.7646,112.62,0
2024-07-02,141.92,178.7917,112.49,0
2024-07-03,142.86,149.9886,113.92,0
2024-07-05,143.02,166.0368,114.86,0
2024-07-08,141.57,156.5844,110.23,0
2024-07-09,137.46,159.6228,109.65,0
2024-07-10,137.5,155.5596,110.47,0
2024-07-11,138.18,169.6596,114.72,0
2024-07-12,135.75,176.0492,113.82,0
2024-07-15,133.72,161.3869,113.52,0
2024-07-16,136.21,165.9985,119.67,0
2024-07-17,135.1,170.5836,123.79,0
2024-07-18,129.84,166.77,124.03,0
2024-07-19,129.85,156.9671,123.16,0
2024-07-22,131.15,169.0994,122.74,0
2024-07-23,132.6,169.3306,118.9,0
2024-07-24,125.62,138.8936,119.03,0
2024-07-25,129.59,149.2116,119.54,0
2024-07-26,129.0,161.05,119.56,0
2024-07-29,129.57,159.6632,115.5,0
2024-07-30,128.88,162.6134,113.61,0
2024-07-31,130.38,144.1888,114.92,0
2024-08-01,124.2,164.0022,116.04,0
2024-08-02,119.77,156.8147,117.33,0
2024-08-05,112.63,167.3634,118.39,1
2024-08-06,114.82,150.3994,118.99,1
2024-08-07,115.1,164.4897,114.82,0
2024-08-08,121.6,175.3055,115.49,0
2024-08-09,124.41,130.0656,113.74,0
2024-08-12,123.03,150.9591,116.5,0
2024-08-13,127.06,142.6332,121.42,0
2024-08-14,127.3,133.9708,123.54,0
2024-08-15,127.05,158.6643,120.89,0
2024-08-16,128.04,156.902,123.5,0
2024-08-19,131.42,160.3139,125.46,0
2024-08-20,131.92,163.7388,130.73,0
2024-08-21,135.06,175.1442,129.27,0
2024-08-22,115.21,181.4281,125.96,1
2024-08-23,115.86,157.8437,127.43,1
