date,entry_close,pred_close,actual_close,correct
2024-06-10,7.03,7.2855,7.26,1
2024-06-11,7.0,7.7772,7.01,1
2024-06-12,7.07,7.913,7.08,1
2024-06-13,6.8,7.335,7.05,1
2024-06-14,6.46,7.4733,7.31,1
2024-06-17,6.46,7.1183,7.46,1
2024-06-18,6.42,7.5593,7.74,1
2024-06-20,6.32,7.5011,8.06,1
2024-06-21,6.32,7.2713,8.12,1
2024-06-24,6.54,7.4856,8.11,1
2024-06-25,6.45,7.3118,8.19,1
2024-06-26,6.46,8.3324,8.05,1
2024-06-27,6.54,7.0609,7.92,1
2024-06-28,6.61,7.6257,7.83,1
2024-07-01,6.43,7.5751,7.73,1
2024-07-02,6.45,7.7128,7.76,1
2024-07-03,6.52,7.8049,7.95,1
2024-07-05,6.47,7.188,7.86,1
2024-07-08,6.35,8.0911,7.63,1
2024-07-09,6.38,7.5322,7.79,1
2024-07-10,6.57,7.3884,7.83,1
2024-07-11,6.77,6.5316,8.39,0
2024-07-12,6.97,7.1414,8.27,1
2024-07-15,7.33,7.4969,8.41,1
2024-07-16,7.75,6.9368,8.59,0
2024-07-17,7.84,7.8811,8.63,1
2024-07-18,7.53,7.4566,9.01,0
2024-07-19,7.47,7.8464,10.04,1
2024-07-22,7.54,7.3748,10.18,0
2024-07-23,7.43,7.4628,10.04,1
2024-07-24,7.1,7.1943,9.87,1
2024-07-25,7.27,7.3091,10.18,1
2024-07-26,7.41,8.2548,10.4,1
2024-07-29,7.33,7.3563,10.58,1
2024-07-30,7.42,6.8173,10.42,0
2024-07-31,7.54,7.6006,10.93,1
2024-08-01,7.16,6.8484,10.99,0
2024-08-02,6.65,6.7397,11.19,1
2024-08-05,6.54,7.9927,10.47,1
2024-08-06,6.43,7.0898,11.22,1
2024-08-07,6.32,7.4877,11.17,1
2024-08-08,6.64,7.0863,11.04,1
2024-08-09,6.64,6.8959,10.91,1
2024-08-12,6.48,7.8554,11.42,1
2024-08-13,6.64,7.7842,11.81,1
2024-08-14,6.61,7.5547,11.9,1
2024-08-15,6.91,6.6973,13.01,0
2024-08-16,7.0,7.3357,14.11,1
2024-08-19,7.46,6.611,13.82,0
2024-08-20,7.37,7.1956,13.5,0
2024-08-21,7.3,7.7496,13.4,1
2024-08-22,7.19,7.5094,13.63,1
2024-08-23,7.52,7.76,13.93,1
2024-08-26,7.67,6.9756,14.42,0
2024-08-27,7.77,7.1092,14.67,0
2024-08-28,7.49,7.1402,15.01,0
2024-08-29,8.03,7.7801,15.6,0
2024-08-30,7.99,7.9486,15.7,0
2024-09-03,7.53,7.4839,15.49,0
2024-09-04,7.48,8.3153,16.12,1
2024-09-05,7.26,6.4834,16.41,0
2024-09-06,7.01,7.2709,15.91,1
2024-09-09,7.08,6.9289,15.88,0
2024-09-10,7.05,7.8465,16.32,1
2024-09-11,7.31,7.2825,15.65,0
2024-09-12,7.46,7.2234,16.02,0
2024-09-13,7.74,7.7095,15.57,0
2024-09-16,8.06,8.0827,15.29,1
2024-09-17,8.12,7.4344,15.94,0
2024-09-18,8.11,7.2369,15.9,0
2024-09-19,8.19,7.3721,16.25,0
2024-09-20,8.05,8.0409,16.88,0
2024-09-23,7.92,6.9673,16.66,0
2024-09-24,7.83,7.408,15.24,0
2024-09-25,7.73,7.9506,15.03,1
2024-09-26,7.76,7.1591,15.35,0
2024-09-27,7.95,7.6223,15.63,0
2024-09-30,7.86,7.3011,16.02,0
2024-10-01,7.63,6.851,16.6,0
2024-10-02,7.79,7.0858,15.98,0
2024-10-03,7.83,7.5201,15.63,0
2024-10-04,8.39,6.7852,15.4,0
2024-10-07,8.27,6.7293,14.13,0
2024-10-08,8.41,7.5181,14.84,0
2024-10-09,8.59,7.0213,15.29,0
2024-10-10,8.63,7.2258,14.91,0
2024-10-11,9.01,7.3034,14.55,0
2024-10-14,10.04,8.3884,14.15,0
2024-10-15,10.18,8.1207,14.07,0
2024-10-16,10.04,7.9699,14.5,0
2024-10-17,9.87,7.2706,15.51,0
2024-10-18,10.18,6.7957,16.3,0
2024-10-21,10.4,6.8691,16.5,0
2024-10-22,10.58,6.9743,17.9,0
2024-10-23,10.42,7.2951,17.59,0
2024-10-24,10.93,7.945,18.03,0
2024-10-25,10.99,6.68,17.92,0
2024-10-28,11.19,7.6004,16.08,0
2024-10-29,10.47,7.2766,16.17,0
2024-10-30,11.22,7.3416,15.99,0
2024-10-31,11.17,7.2942,16.44,0
2024-11-01,11.04,7.1563,15.78,0
