date,entry_close,pred_close,actual_close,correct
2024-06-10,13.515,55.0668,9.495,0
2024-06-11,12.75,66.2,7.965,0
2024-06-12,12.9,35.9839,7.8,0
2024-06-13,12.495,55.2474,7.875,0
2024-06-14,12.15,54.8151,8.055,0
2024-06-17,11.7,25.4874,7.8,0
2024-06-18,12.15,66.1372,8.985,0
2024-06-20,11.7,44.2955,10.8,0
2024-06-21,12.03,34.2078,9.195,0
2024-06-24,11.625,36.8223,9.33,0
2024-06-25,11.85,43.3472,9.48,0
2024-06-26,11.91,43.2529,11.25,0
2024-06-27,11.88,47.7421,10.365,0
2024-06-28,12.57,27.5941,10.875,0
2024-07-01,12.6,31.0817,10.995,0
2024-07-02,12.45,20.9078,12.6,1
2024-07-03,12.435,32.83,12.75,1
2024-07-05,12.3,20.9658,11.85,0
2024-07-08,12.3,27.3858,11.7,0
2024-07-09,12.0,29.8311,12.45,1
2024-07-10,12.105,46.3208,13.65,1
2024-07-11,12.165,62.9779,13.5,1
2024-07-12,12.33,30.1484,12.42,1
2024-07-15,13.425,40.0373,12.495,0
2024-07-16,14.01,41.8575,12.45,0
2024-07-17,14.385,22.7443,12.6,0
2024-07-18,13.275,42.0107,13.35,1
2024-07-19,13.65,29.7377,12.66,0
2024-07-22,12.465,27.4212,12.75,1
2024-07-23,13.185,28.7804,12.525,0
2024-07-24,12.78,29.2478,12.525,0
2024-07-25,12.825,32.7668,12.405,0
2024-07-26,12.795,23.4561,12.735,0
2024-07-29,12.78,29.9801,12.75,0
2024-07-30,12.495,27.732,12.3,0
2024-07-31,13.05,19.3371,13.305,1
2024-08-01,12.54,22.4778,12.75,1
2024-08-02,12.165,20.0385,12.915,1
2024-08-05,11.4,23.0979,13.8,1
2024-08-06,11.85,28.374,13.755,1
2024-08-07,11.73,22.3634,11.25,0
2024-08-08,11.31,20.448,10.725,0
2024-08-09,11.25,22.5182,10.59,0
2024-08-12,11.385,22.2746,11.085,0
2024-08-13,11.76,26.6352,11.235,0
2024-08-14,11.58,27.0989,10.86,0
2024-08-15,11.535,40.4377,10.05,0
2024-08-16,11.43,29.1346,11.01,0
2024-08-19,11.145,32.6469,12.0,1
2024-08-20,11.04,29.4479,13.95,1
2024-08-21,10.575,14.9516,12.45,1
2024-08-22,10.8,17.6849,11.88,1
2024-08-23,11.205,23.589,10.5,0
2024-08-26,11.175,24.5275,9.13,0
2024-08-27,11.055,29.7429,7.49,0
2024-08-28,10.62,22.4639,8.32,0
2024-08-29,10.77,22.2221,7.79,0
2024-08-30,10.62,25.195,7.69,0
2024-09-03,10.23,30.2091,6.95,0
2024-09-04,10.125,25.4098,9.93,0
2024-09-05,9.495,23.559,12.4,1
2024-09-06,7.965,29.5704,12.4,1
2024-09-09,7.8,18.7157,11.95,1
2024-09-10,7.875,22.1357,10.26,1
2024-09-11,8.055,37.4117,8.84,1
2024-09-12,7.8,20.4568,8.67,1
2024-09-13,8.985,29.42,8.62,0
2024-09-16,10.8,25.2657,8.0,0
2024-09-17,9.195,21.3778,8.12,0
2024-09-18,9.33,22.6984,8.0,0
2024-09-19,9.48,21.1987,7.9,0
2024-09-20,11.25,18.8475,8.02,0
2024-09-23,10.365,17.6451,7.72,0
2024-09-24,10.875,18.2246,6.87,0
2024-09-25,10.995,32.4893,7.01,0
2024-09-26,12.6,13.2384,7.1,0
2024-09-27,12.75,11.7488,6.95,1
2024-09-30,11.85,20.6139,6.98,0
2024-10-01,11.7,21.1422,7.25,0
2024-10-02,12.45,22.435,7.48,0
2024-10-03,13.65,15.8577,7.04,0
2024-10-04,13.5,12.8969,6.84,1
2024-10-07,12.42,19.381,7.0,0
2024-10-08,12.495,20.0628,7.24,0
2024-10-09,12.45,14.0354,7.41,0
2024-10-10,12.6,9.2684,6.95,1
2024-10-11,13.35,12.9955,6.67,1
2024-10-14,12.66,11.3239,6.51,1
2024-10-15,12.75,9.8581,7.11,1
2024-10-16,12.525,11.2724,7.36,1
2024-10-17,12.525,11.8187,7.5,1
2024-10-18,12.405,17.3356,7.3,0
2024-10-21,12.735,11.0337,7.57,1
2024-10-22,12.75,8.3622,7.52,1
