date,entry_close,pred_close,actual_close,correct
2024-06-10,4.77,2.3622,4.48,1
2024-06-11,4.65,2.4818,4.35,1
2024-06-12,4.65,2.185,4.62,1
2024-06-13,4.62,2.8271,4.6,1
2024-06-14,4.43,2.4745,4.84,0
2024-06-17,4.29,3.7619,4.87,0
2024-06-18,4.09,3.1484,4.85,0
2024-06-20,4.05,3.2977,4.76,0
2024-06-21,4.0,3.4625,4.8,0
2024-06-24,3.98,3.2835,4.85,0
2024-06-25,3.92,3.8881,5.01,0
2024-06-26,3.98,2.5683,4.97,0
2024-06-27,3.99,2.3828,4.88,0
2024-06-28,3.95,3.377,4.9,0
2024-07-01,3.89,2.7054,4.89,0
2024-07-02,3.94,3.5514,4.91,0
2024-07-03,3.93,3.0203,4.78,0
2024-07-05,4.19,3.0434,4.66,0
2024-07-08,4.2,2.2091,4.56,0
2024-07-09,4.14,2.8371,4.73,0
2024-07-10,5.07,3.0329,4.69,1
2024-07-11,5.37,3.1186,4.69,1
2024-07-12,6.2,2.8355,4.74,1
2024-07-15,5.63,2.8008,4.68,1
2024-07-16,5.83,3.481,4.63,1
2024-07-17,5.49,2.9649,4.84,1
2024-07-18,5.0,3.552,4.91,1
2024-07-19,4.93,3.181,5.19,0
2024-07-22,4.98,3.956,5.31,0
2024-07-23,4.94,2.1992,5.25,0
2024-07-24,4.55,3.3415,5.23,0
2024-07-25,4.83,3.3971,5.5,0
2024-07-26,5.12,3.5202,5.39,0
2024-07-29,4.78,3.1408,5.27,0
2024-07-30,4.95,3.7494,4.98,0
2024-07-31,5.09,2.9624,5.28,0
2024-08-01,4.66,3.1823,5.18,0
2024-08-02,4.62,3.4058,6.12,0
2024-08-05,4.22,3.8758,6.01,0
2024-08-06,4.46,3.2978,5.45,0
2024-08-07,4.3,3.9483,5.03,0
2024-08-08,5.21,3.9374,5.14,1
2024-08-09,4.87,2.3807,5.09,0
2024-08-12,5.16,3.8085,5.37,0
2024-08-13,4.99,2.7857,5.69,0
2024-08-14,4.98,3.1698,6.95,0
2024-08-15,4.95,3.496,7.2,0
2024-08-16,4.97,2.3706,7.77,0
2024-08-19,4.95,2.3808,7.56,0
2024-08-20,5.14,3.1611,6.27,0
2024-08-21,5.36,2.9579,6.63,0
2024-08-22,4.93,4.2451,6.36,0
2024-08-23,5.03,3.7075,6.19,0
2024-08-26,5.0,3.5527,6.51,0
2024-08-27,4.95,3.5571,6.44,0
2024-08-28,4.85,3.5995,6.98,0
2024-08-29,4.84,3.9874,8.25,0
2024-08-30,4.89,3.7464,8.03,0
2024-09-03,4.56,4.1966,7.61,0
2024-09-04,4.49,3.8123,7.88,0
2024-09-05,4.48,3.7164,9.31,0
2024-09-06,4.35,2.9926,8.95,0
2024-09-09,4.62,3.4805,8.88,0
2024-09-10,4.6,3.1939,10.15,0
2024-09-11,4.84,4.9115,13.33,1
2024-09-12,4.87,5.014,15.01,1
2024-09-13,4.85,5.3002,15.06,1
2024-09-16,4.76,3.9511,14.225,0
2024-09-17,4.8,3.2021,13.55,0
2024-09-18,4.85,2.7352,13.67,0
2024-09-19,5.01,2.4498,16.91,0
2024-09-20,4.97,4.0783,19.69,0
2024-09-23,4.88,4.335,19.39,0
2024-09-24,4.9,5.0459,20.845,1
2024-09-25,4.89,4.0337,18.855,0
2024-09-26,4.91,2.8759,21.755,0
2024-09-27,4.78,4.0416,20.43,0
2024-09-30,4.66,3.8033,20.24,0
2024-10-01,4.56,4.2154,24.23,0
2024-10-02,4.73,4.1119,23.95,0
2024-10-03,4.69,4.0217,22.68,0
2024-10-04,4.69,3.7428,19.84,0
2024-10-07,4.74,3.7784,20.16,0
2024-10-08,4.68,3.3969,20.62,0
2024-10-09,4.63,4.2971,19.89,0
2024-10-10,4.84,4.5112,17.975,0
2024-10-11,4.91,3.9963,15.02,0
2024-10-14,5.19,3.9768,14.09,0
2024-10-15,5.31,4.7286,12.82,0
2024-10-16,5.25,4.2359,12.79,0
2024-10-17,5.23,3.8808,13.89,0
2024-10-18,5.5,4.3109,13.97,0
2024-10-21,5.39,5.1154,13.64,0
2024-10-22,5.27,3.4111,16.52,0
2024-10-23,4.98,4.1489,16.38,0
2024-10-24,5.28,5.3572,16.4,1
2024-10-25,5.18,4.2689,15.84,0
2024-10-28,6.12,4.817,14.07,0
2024-10-29,6.01,3.8765,14.23,0
2024-10-30,5.45,5.41,13.99,0
2024-10-31,5.03,4.1232,14.0,0
2024-11-01,5.14,4.3829,14.15,0
2024-11-04,5.09,4.0225,14.24,0
2024-11-05,5.37,4.6682,15.71,0
2024-11-06,5.69,4.1491,15.81,0
2024-11-07,6.95,4.3655,15.78,0
2024-11-08,7.2,3.5093,15.6,0
2024-11-11,7.77,4.1152,15.33,0
2024-11-12,7.56,5.2377,13.805,0
2024-11-13,6.27,4.5596,13.97,0
2024-11-14,6.63,5.4981,15.25,0
2024-11-15,6.36,4.9013,10.965,0
2024-11-18,6.19,5.3435,11.44,0
2024-11-19,6.51,6.0935,11.07,0
2024-11-20,6.44,4.6192,10.91,0
2024-11-21,6.98,4.3382,10.31,0
2024-11-22,8.25,5.1754,9.43,0
2024-11-25,8.03,5.8709,8.9,0
2024-11-26,7.61,4.922,9.57,0
2024-11-27,7.88,5.4571,9.21,0
2024-11-29,9.31,5.5386,10.82,0
2024-12-02,8.95,5.3553,10.32,0
2024-12-03,8.88,6.5126,9.715,0
2024-12-04,10.15,5.2329,10.15,1
2024-12-05,13.33,5.2682,9.55,1
2024-12-06,15.01,6.0527,9.74,1
2024-12-09,15.06,5.5076,8.57,1
2024-12-10,14.225,5.5122,8.54,1
2024-12-11,13.55,4.4559,9.13,1
2024-12-12,13.67,4.9623,8.91,1
2024-12-13,16.91,5.2184,10.34,1
2024-12-16,19.69,5.2708,10.08,1
2024-12-17,19.39,4.8887,9.57,1
2024-12-18,20.845,4.7826,9.85,1
2024-12-19,18.855,6.7221,9.59,1
2024-12-20,21.755,5.3994,9.86,1
2024-12-23,20.43,4.7783,10.31,1
2024-12-24,20.24,4.3347,10.2,1
2024-12-26,24.23,5.8705,9.38,1
2024-12-27,23.95,4.8526,8.88,1
2024-12-30,22.68,4.9268,8.5,1
2024-12-31,19.84,4.7266,8.12,1
2025-01-02,20.16,3.4477,8.2,1
2025-01-03,20.62,4.4171,8.66,1
2025-01-06,19.89,5.2869,8.3,1
2025-01-07,17.975,2.5229,7.32,1
2025-01-08,15.02,1.764,7.6,1
2025-01-10,14.09,3.4575,7.18,1
2025-01-13,12.82,8.3719,8.83,1
2025-01-14,12.79,6.3484,8.2,1
2025-01-15,13.89,4.5105,8.28,1
2025-01-16,13.97,4.2503,8.15,1
2025-01-17,13.64,6.6519,8.23,1
2025-01-21,16.52,5.7748,7.76,1
2025-01-22,16.38,4.6246,7.82,1
2025-01-23,16.4,3.5195,7.5,1
2025-01-24,15.84,5.798,8.14,1
2025-01-27,14.07,6.3513,8.75,1
2025-01-28,14.23,6.6793,9.38,1
2025-01-29,13.99,2.4097,9.52,1
2025-01-30,14.0,5.4075,9.74,1
2025-01-31,14.15,8.9318,9.47,1
2025-02-03,14.24,10.7778,9.29,1
2025-02-04,15.71,5.2147,9.15,1
2025-02-05,15.81,5.5084,9.39,1
2025-02-06,15.78,7.3028,9.19,1
2025-02-07,15.6,5.6116,9.14,1
2025-02-10,15.33,4.4308,9.17,1
2025-02-11,13.805,8.0627,9.74,1
2025-02-12,13.97,7.3696,8.98,1
2025-02-13,15.25,5.1114,11.01,1
2025-02-14,10.965,6.6789,11.26,0
2025-02-18,11.44,5.9521,11.76,0
2025-02-19,11.07,4.9157,11.01,1
2025-02-20,10.91,9.5869,11.19,0
2025-02-21,10.31,11.7934,10.27,0
2025-02-24,9.43,11.6398,9.97,1
2025-02-25,8.9,7.3627,9.47,0
2025-02-26,9.57,5.8845,9.55,1
2025-02-27,9.21,6.6814,9.58,0
2025-02-28,10.82,7.7879,11.12,0
2025-03-03,10.32,7.6737,10.97,0
2025-03-04,9.715,4.4763,10.53,0
2025-03-05,10.15,5.4267,10.11,1
2025-03-06,9.55,6.6979,9.97,0
2025-03-07,9.74,5.0554,9.93,0
2025-03-10,8.57,9.9427,10.16,1
2025-03-11,8.54,8.8983,9.47,1
2025-03-12,9.13,10.5869,10.11,1
2025-03-13,8.91,5.5269,10.02,0
2025-03-14,10.34,7.2619,9.79,1
2025-03-17,10.08,7.7075,9.74,1
2025-03-18,9.57,10.1084,9.47,0
2025-03-19,9.85,5.7915,9.1,1
2025-03-20,9.59,6.3551,9.72,0
2025-03-21,9.86,5.8573,9.34,1
2025-03-24,10.31,10.0769,9.42,1
2025-03-25,10.2,11.1534,9.57,0
2025-03-26,9.38,9.5018,9.49,1
2025-03-27,8.88,8.8084,9.82,0
2025-03-28,8.5,15.4185,9.57,1
2025-03-31,8.12,7.3269,9.92,0
2025-04-01,8.2,13.1746,9.83,1
2025-04-02,8.66,9.2214,10.73,1
2025-04-03,8.3,8.1068,10.48,0
2025-04-04,7.32,3.3491,11.25,0
2025-04-07,7.6,8.646,11.09,1
2025-04-08,7.18,7.9881,11.38,1
2025-04-09,8.83,8.9812,12.71,1
2025-04-10,8.2,10.0185,12.9,1
2025-04-11,8.28,10.5679,12.29,1
2025-04-14,8.15,8.2309,11.57,1
2025-04-15,8.23,10.006,11.45,1
2025-04-16,7.76,10.7581,11.3,1
2025-04-17,7.82,7.5826,11.78,0
2025-04-21,7.5,12.4308,12.64,1
2025-04-22,8.14,14.0028,12.81,1
2025-04-23,8.75,8.9819,11.7,1
2025-04-24,9.38,9.841,11.34,1
2025-04-25,9.52,15.772,12.2,1
2025-04-28,9.74,12.6019,11.96,1
2025-04-29,9.47,7.445,11.71,0
2025-04-30,9.29,10.1088,11.24,1
2025-05-01,9.15,9.6542,10.69,1
2025-05-02,9.39,10.1877,10.39,1
2025-05-05,9.19,8.519,10.33,0
2025-05-06,9.14,11.0856,10.11,1
2025-05-07,9.17,10.2031,10.64,1
2025-05-08,9.74,9.5115,11.17,0
2025-05-09,8.98,10.2649,10.8,1
2025-05-12,11.01,8.4433,10.72,1
2025-05-13,11.26,8.0482,13.55,0
2025-05-14,11.76,9.5537,15.9,0
2025-05-15,11.01,10.8716,15.98,0
2025-05-16,11.19,11.5989,16.5,1
2025-05-19,10.27,13.9902,16.54,1
2025-05-20,9.97,13.7001,15.59,1
2025-05-21,9.47,7.599,14.82,0
2025-05-22,9.55,13.4661,13.3,1
2025-05-23,9.58,10.0181,12.44,1
2025-05-27,11.12,9.1159,12.23,0
2025-05-28,10.97,7.7554,12.56,0
2025-05-29,10.53,10.7604,12.11,1
2025-05-30,10.11,9.383,12.02,0
2025-06-02,9.97,10.0776,11.91,1
2025-06-03,9.93,8.3253,12.53,0
2025-06-04,10.16,10.204,13.02,1
2025-06-05,9.47,13.1311,13.42,1
2025-06-06,10.11,7.8564,12.74,0
2025-06-09,10.02,8.927,13.29,0
2025-06-10,9.79,8.4467,14.26,0
2025-06-11,9.74,9.8341,15.29,1
2025-06-12,9.47,8.5409,14.85,0
2025-06-13,9.1,9.5088,14.05,1
2025-06-16,9.72,9.6859,14.58,0
2025-06-17,9.34,7.7717,14.12,0
2025-06-18,9.42,10.8122,14.19,1
2025-06-20,9.57,9.9817,14.69,1
2025-06-23,9.49,10.4364,15.12,1
2025-06-24,9.82,12.935,15.63,1
2025-06-25,9.57,10.0585,16.25,1
2025-06-26,9.92,8.9525,17.31,0
2025-06-27,9.83,8.7522,18.05,0
2025-06-30,10.73,6.9023,17.78,0
2025-07-01,10.48,9.2799,16.35,0
2025-07-02,11.25,10.1166,15.94,0
2025-07-03,11.09,9.7958,15.68,0
2025-07-07,11.38,9.3765,16.08,0
2025-07-08,12.71,10.2597,16.15,0
2025-07-09,12.9,9.3067,17.84,0
2025-07-10,12.29,8.3332,17.85,0
2025-07-11,11.57,9.2968,18.25,0
2025-07-14,11.45,5.8576,18.2,0
2025-07-15,11.3,8.2197,18.88,0
2025-07-16,11.78,9.42,18.58,0
2025-07-17,12.64,7.948,17.36,0
2025-07-18,12.81,10.0749,19.14,0
2025-07-21,11.7,8.1718,20.86,0
2025-07-22,11.34,8.8552,21.4,0
2025-07-23,12.2,7.686,20.76,0
2025-07-24,11.96,8.9055,19.02,0
2025-07-25,11.71,9.6962,19.06,0
2025-07-28,11.24,6.633,18.23,0
2025-07-29,10.69,9.1298,17.76,0
2025-07-30,10.39,10.0444,18.24,0
2025-07-31,10.33,9.5283,17.98,0
2025-08-01,10.11,8.5694,18.33,0
2025-08-04,10.64,10.86,17.71,1
2025-08-05,11.17,9.5005,18.15,0
2025-08-06,10.8,6.53,16.87,0
2025-08-07,10.72,10.8384,17.62,1
2025-08-08,13.55,8.7133,17.11,0
2025-08-11,15.9,9.1125,15.13,1
2025-08-12,15.98,9.0259,15.72,1
2025-08-13,16.5,9.4723,14.23,1
2025-08-14,16.54,8.0102,14.14,1
2025-08-15,15.59,8.5335,14.41,1
2025-08-18,14.82,8.6791,13.44,1
2025-08-19,13.3,10.9513,13.24,1
2025-08-20,12.44,11.5849,12.22,1
2025-08-21,12.23,11.878,12.17,1
2025-08-22,12.56,11.1204,11.43,1
2025-08-25,12.11,8.4746,11.53,1
2025-08-26,12.02,8.9339,11.63,1
2025-08-27,11.91,17.8187,11.29,0
2025-08-28,12.53,11.0774,11.22,1
2025-08-29,13.02,8.1803,11.95,1
2025-09-02,13.42,11.1253,11.94,1
2025-09-03,12.74,11.0917,11.82,1
2025-09-04,13.29,13.7278,12.05,0
2025-09-05,14.26,10.3401,11.52,1
2025-09-08,15.29,10.3403,11.22,1
2025-09-09,14.85,13.7379,11.78,1
2025-09-10,14.05,13.8234,12.8,1
2025-09-11,14.58,11.404,12.76,1
2025-09-12,14.12,11.1561,12.68,1
2025-09-15,14.19,8.1344,12.31,1
2025-09-16,14.69,11.9304,12.21,1
