date,entry_close,pred_close,actual_close,correct
2024-06-10,16.04,36.1997,6.04,0
2024-06-11,18.02,33.7524,5.84,0
2024-06-12,17.04,37.3085,5.99,0
2024-06-13,14.6,27.9969,5.92,0
2024-06-14,13.7,35.4654,6.24,0
2024-06-17,11.7,35.1127,6.28,0
2024-06-18,10.13,27.4417,6.99,0
2024-06-20,8.86,39.475,7.16,0
2024-06-21,9.52,36.1261,6.97,0
2024-06-24,8.84,22.1468,6.59,0
2024-06-25,8.71,35.1762,6.5,0
2024-06-26,8.88,24.2787,6.28,0
2024-06-27,8.75,37.1239,6.09,0
2024-06-28,8.43,41.2094,6.1,0
2024-07-01,7.93,34.4728,5.84,0
2024-07-02,7.94,37.3786,6.03,0
2024-07-03,7.87,36.884,6.22,0
2024-07-05,8.24,35.0436,6.1,0
2024-07-08,7.82,34.0732,5.84,0
2024-07-09,7.04,32.2757,6.03,0
2024-07-10,7.06,28.2065,5.83,0
2024-07-11,7.72,30.302,6.1,0
2024-07-12,8.17,38.331,6.15,0
2024-07-15,7.55,34.5893,6.17,0
2024-07-16,8.04,27.0378,6.14,0
2024-07-17,7.15,37.7997,6.13,0
2024-07-18,6.56,26.2638,6.25,0
2024-07-19,6.46,32.7264,6.59,1
2024-07-22,7.04,27.3835,6.77,0
2024-07-23,6.86,33.1016,7.15,1
2024-07-24,6.46,34.8191,7.06,1
2024-07-25,6.72,27.0535,7.71,1
2024-07-26,7.45,34.6536,7.27,0
2024-07-29,7.09,23.3888,7.34,1
2024-07-30,7.06,32.625,7.09,1
2024-07-31,7.11,29.3167,7.15,1
2024-08-01,6.4,25.6297,7.05,1
2024-08-02,6.01,37.3407,7.74,1
2024-08-05,5.94,28.8346,7.35,1
2024-08-06,5.64,21.6494,6.79,1
2024-08-07,5.27,30.6058,6.57,1
2024-08-08,6.01,26.9343,6.61,1
2024-08-09,6.14,31.4249,6.42,1
2024-08-12,5.82,27.1231,6.88,1
2024-08-13,6.17,33.4544,7.12,1
2024-08-14,6.21,20.0457,6.28,1
2024-08-15,6.85,21.2086,6.22,0
2024-08-16,6.57,26.5214,7.55,1
2024-08-19,6.82,27.3735,7.06,1
2024-08-20,6.51,28.1312,7.08,1
2024-08-21,7.01,19.0661,6.58,0
2024-08-22,6.67,23.6026,6.77,1
2024-08-23,7.12,19.9378,6.96,0
2024-08-26,7.05,28.9132,6.81,0
2024-08-27,6.82,21.1587,6.68,0
2024-08-28,6.42,20.9978,6.72,1
2024-08-29,6.58,25.9682,7.15,1
2024-08-30,6.69,22.3731,7.5,1
2024-09-03,6.16,19.7771,7.01,1
2024-09-04,6.29,24.8365,7.03,1
2024-09-05,6.04,28.4412,7.3,1
2024-09-06,5.84,21.6171,7.02,1
2024-09-09,5.99,20.0049,6.69,1
2024-09-10,5.92,22.2472,6.66,1
2024-09-11,6.24,23.31,6.3,1
2024-09-12,6.28,23.3484,6.48,1
2024-09-13,6.99,20.4225,6.57,0
2024-09-16,7.16,15.6473,6.49,0
2024-09-17,6.97,19.3011,6.49,0
2024-09-18,6.59,31.4206,6.39,0
2024-09-19,6.5,16.1197,6.48,0
2024-09-20,6.28,16.2206,6.57,1
2024-09-23,6.09,14.6546,6.57,1
2024-09-24,6.1,20.1175,6.19,1
2024-09-25,5.84,19.6593,5.98,1
2024-09-26,6.03,18.8433,6.1,1
2024-09-27,6.22,16.8314,6.12,0
2024-09-30,6.1,11.9951,6.21,1
2024-10-01,5.84,15.6514,6.5,1
2024-10-02,6.03,15.5392,6.38,1
2024-10-03,5.83,16.0638,5.98,1
2024-10-04,6.1,15.6941,5.88,0
2024-10-07,6.15,11.9743,6.06,0
2024-10-08,6.17,15.2533,6.53,1
2024-10-09,6.14,11.9068,6.43,1
2024-10-10,6.13,14.6077,6.24,1
2024-10-11,6.25,13.5784,5.9,0
2024-10-14,6.59,13.9549,5.81,0
2024-10-15,6.77,12.6905,5.47,0
2024-10-16,7.15,10.0252,5.32,0
2024-10-17,7.06,10.327,5.28,0
2024-10-18,7.71,8.5308,5.28,0
2024-10-21,7.27,11.6638,5.15,0
2024-10-22,7.34,8.2743,5.49,0
2024-10-23,7.09,7.8658,5.37,0
2024-10-24,7.15,11.1513,5.37,0
2024-10-25,7.05,10.4843,5.36,0
2024-10-28,7.74,12.7374,4.99,0
2024-10-29,7.35,7.6944,4.58,0
2024-10-30,6.79,12.2222,4.5,0
2024-10-31,6.57,8.6456,4.74,0
2024-11-01,6.61,10.9039,4.76,0
2024-11-04,6.42,10.1903,4.56,0
2024-11-05,6.88,9.33,4.75,0
2024-11-06,7.12,10.4726,4.56,0
2024-11-07,6.28,8.8065,4.5,0
2024-11-08,6.22,9.3916,4.29,0
2024-11-11,7.55,10.5885,4.29,0
2024-11-12,7.06,8.2423,4.1,0
2024-11-13,7.08,9.5504,4.1,0
2024-11-14,6.58,7.7585,4.27,0
2024-11-15,6.77,8.1872,4.37,0
2024-11-18,6.96,9.1568,4.56,0
2024-11-19,6.81,9.1645,4.41,0
2024-11-20,6.68,8.3864,4.43,0
2024-11-21,6.72,2.7265,4.24,1
2024-11-22,7.15,9.0949,4.12,0
2024-11-25,7.5,12.8023,4.06,0
2024-11-26,7.01,11.8664,3.84,0
2024-11-27,7.03,5.8977,3.83,1
2024-11-29,7.3,16.5063,3.8,0
2024-12-02,7.02,8.7094,3.45,0
2024-12-03,6.69,7.4519,3.4,0
2024-12-04,6.66,10.4859,3.49,0
2024-12-05,6.3,6.4398,3.36,0
2024-12-06,6.48,10.0041,3.41,0
2024-12-09,6.57,10.9398,2.95,0
2024-12-10,6.49,10.9647,3.02,0
2024-12-11,6.49,10.3082,3.22,0
2024-12-12,6.39,7.7985,3.26,0
2024-12-13,6.48,11.5126,3.23,0
2024-12-16,6.57,4.8594,3.47,1
2024-12-17,6.57,8.3377,3.78,0
2024-12-18,6.19,8.2911,4.36,0
2024-12-19,5.98,8.8953,4.26,0
2024-12-20,6.1,5.725,4.1,1
2024-12-23,6.12,10.755,4.04,0
2024-12-24,6.21,9.2021,3.83,0
2024-12-26,6.5,7.8109,3.58,0
2024-12-27,6.38,6.7136,3.25,0
2024-12-30,5.98,6.4179,3.01,0
2024-12-31,5.88,5.8354,3.03,1
2025-01-02,6.06,4.678,2.82,1
2025-01-03,6.53,6.5005,2.93,1
2025-01-06,6.43,8.2556,2.77,0
2025-01-07,6.24,10.1475,2.74,0
2025-01-08,5.9,6.8775,2.52,0
2025-01-10,5.81,11.0182,2.37,0
2025-01-13,5.47,7.8262,2.65,0
2025-01-14,5.32,7.1455,2.55,0
2025-01-15,5.28,5.2144,2.58,1
