date,entry_close,pred_close,actual_close,correct
2024-06-10,1.46,1.4193,1.74,0
2024-06-11,1.56,1.6224,1.71,1
2024-06-12,1.48,0.9733,1.78,0
2024-06-13,1.5,1.0536,1.8,0
2024-06-14,1.43,0.8937,1.9,0
2024-06-17,1.48,1.4441,2.08,0
2024-06-18,1.53,1.0089,2.09,0
2024-06-20,1.36,0.932,2.47,0
2024-06-21,1.42,1.1101,2.69,0
2024-06-24,1.33,1.2759,2.88,0
2024-06-25,1.37,1.2493,3.08,0
2024-06-26,1.27,1.1822,2.88,0
2024-06-27,1.2,1.229,2.82,1
2024-06-28,1.12,0.9491,2.99,0
2024-07-01,1.48,1.0278,3.0,0
2024-07-02,1.41,1.2109,2.9,0
2024-07-03,1.24,1.0603,2.93,0
2024-07-05,1.43,1.056,2.81,0
2024-07-08,1.48,0.8859,2.455,0
2024-07-09,1.49,1.3226,2.48,0
2024-07-10,1.47,1.1021,2.35,0
2024-07-11,1.61,1.0906,2.74,0
2024-07-12,1.75,0.7265,2.45,0
2024-07-15,1.62,0.7505,2.35,0
2024-07-16,1.62,1.0684,2.16,0
2024-07-17,1.53,1.1498,2.27,0
2024-07-18,1.41,1.1237,2.34,0
2024-07-19,1.45,1.2952,2.2,0
2024-07-22,1.5,1.0633,2.13,0
2024-07-23,1.53,1.0462,2.24,0
2024-07-24,1.52,1.1489,2.37,0
2024-07-25,1.45,0.5786,2.34,0
2024-07-26,1.42,0.4989,2.37,0
2024-07-29,1.4,0.4999,2.46,0
2024-07-30,1.29,1.1476,2.37,0
2024-07-31,1.33,0.5222,2.3,0
2024-08-01,1.22,0.9162,2.26,0
2024-08-02,1.2,0.8222,2.18,0
2024-08-05,1.2,1.2194,2.15,1
2024-08-06,1.32,0.9085,2.19,0
2024-08-07,1.45,0.7365,2.1,0
2024-08-08,1.53,0.8773,2.14,0
2024-08-09,1.47,0.775,2.15,0
2024-08-12,1.46,0.8054,2.28,0
2024-08-13,1.6,0.6793,2.07,0
2024-08-14,1.62,0.9905,2.05,0
2024-08-15,1.61,0.7243,1.94,0
2024-08-16,1.62,1.0941,1.86,0
2024-08-19,1.83,0.7332,1.73,1
2024-08-20,1.78,0.9361,1.85,0
2024-08-21,1.83,0.8775,2.24,0
2024-08-22,1.79,1.4283,1.96,0
2024-08-23,1.88,0.8682,1.94,0
2024-08-26,1.92,1.038,1.95,0
2024-08-27,1.92,0.952,2.01,0
2024-08-28,1.91,1.2069,1.94,0
2024-08-29,1.91,1.0628,1.94,0
2024-08-30,1.84,0.9731,1.85,0
2024-09-03,1.72,1.1201,1.81,0
2024-09-04,1.745,1.122,2.02,0
2024-09-05,1.74,1.0598,2.01,0
2024-09-06,1.71,1.0099,2.0,0
2024-09-09,1.78,0.6152,2.0,0
2024-09-10,1.8,1.0788,1.92,0
2024-09-11,1.9,1.0901,1.79,1
2024-09-12,2.08,1.2271,1.75,1
2024-09-13,2.09,1.2033,1.83,1
2024-09-16,2.47,1.0399,1.78,1
2024-09-17,2.69,1.5038,1.74,1
2024-09-18,2.88,1.203,1.71,1
2024-09-19,3.08,1.108,1.71,1
2024-09-20,2.88,1.2921,1.66,1
2024-09-23,2.82,1.1912,1.63,1
2024-09-24,2.99,1.1457,1.51,1
2024-09-25,3.0,1.0733,1.54,1
2024-09-26,2.9,1.2581,1.54,1
2024-09-27,2.93,1.1917,1.695,1
2024-09-30,2.81,0.6973,1.81,1
2024-10-01,2.455,1.1335,1.85,1
2024-10-02,2.48,0.9921,1.81,1
2024-10-03,2.35,1.4056,1.74,1
2024-10-04,2.74,1.169,1.79,1
2024-10-07,2.45,1.0961,1.89,1
2024-10-08,2.35,1.3985,1.87,1
2024-10-09,2.16,1.5056,1.85,1
2024-10-10,2.27,1.2895,1.91,1
2024-10-11,2.34,1.5812,1.775,1
2024-10-14,2.2,1.4253,1.72,1
2024-10-15,2.13,1.4118,1.59,1
2024-10-16,2.24,1.7201,1.59,1
2024-10-17,2.37,1.2357,1.61,1
2024-10-18,2.34,1.3451,1.65,1
2024-10-21,2.37,1.2122,1.61,1
2024-10-22,2.46,1.3462,1.85,1
2024-10-23,2.37,1.2566,1.88,1
2024-10-24,2.3,1.3217,1.9,1
2024-10-25,2.26,1.3172,1.83,1
2024-10-28,2.18,1.2949,1.78,1
2024-10-29,2.15,1.2226,1.81,1
2024-10-30,2.19,1.4028,1.81,1
2024-10-31,2.1,1.245,1.84,1
2024-11-01,2.14,1.2355,1.83,1
2024-11-04,2.15,1.3402,1.78,1
2024-11-05,2.28,1.4265,1.8,1
2024-11-06,2.07,1.4545,1.72,1
2024-11-07,2.05,1.2041,1.68,1
2024-11-08,1.94,1.3848,1.67,1
2024-11-11,1.86,1.5677,1.62,1
2024-11-12,1.73,1.4171,1.58,1
2024-11-13,1.85,1.6136,1.58,1
2024-11-14,2.24,1.51,1.66,1
2024-11-15,1.96,1.5191,1.67,1
2024-11-18,1.94,1.4818,1.695,1
2024-11-19,1.95,1.2734,1.69,1
2024-11-20,2.01,1.5261,1.63,1
