date,entry_close,pred_close,actual_close,correct
2024-06-10,45.86,49.9412,35.82,0
2024-06-11,44.83,47.6931,34.31,0
2024-06-12,44.39,46.9797,34.59,0
2024-06-13,43.58,44.4605,34.88,0
2024-06-14,42.42,48.3431,38.37,0
2024-06-17,42.18,40.1113,38.26,1
2024-06-18,41.56,47.1373,38.23,0
2024-06-20,40.39,46.9296,38.17,0
2024-06-21,40.77,51.4893,38.42,0
2024-06-24,40.68,49.512,37.63,0
2024-06-25,40.23,44.4723,38.21,0
2024-06-26,42.77,46.565,36.89,0
2024-06-27,41.48,49.0407,37.88,0
2024-06-28,40.75,47.9134,39.23,0
2024-07-01,40.37,49.1113,38.45,0
2024-07-02,40.55,46.5499,41.25,1
2024-07-03,42.25,44.9658,41.68,0
2024-07-05,41.39,49.3531,41.68,1
2024-07-08,41.5,49.0477,41.42,0
2024-07-09,40.23,45.9263,41.51,1
2024-07-10,41.62,49.5505,40.44,0
2024-07-11,42.56,51.1906,41.69,0
2024-07-12,42.82,49.2018,42.66,0
2024-07-15,41.71,50.4404,42.43,1
2024-07-16,42.62,47.9276,43.3,1
2024-07-17,40.94,48.6005,43.93,1
2024-07-18,39.64,49.0395,42.43,1
2024-07-19,39.65,48.0267,40.25,1
2024-07-22,39.73,49.4005,38.89,0
2024-07-23,38.73,43.9297,39.17,1
2024-07-24,37.81,42.2036,38.6,1
2024-07-25,37.45,47.1316,39.1,1
2024-07-26,38.33,49.2963,39.34,1
2024-07-29,37.93,45.2407,40.61,1
2024-07-30,37.73,45.0912,39.8,1
2024-07-31,38.06,43.998,40.38,1
2024-08-01,36.63,41.4771,40.83,1
2024-08-02,35.21,41.8882,42.03,1
2024-08-05,33.88,46.4029,40.54,1
2024-08-06,34.33,42.9056,38.68,1
2024-08-07,34.76,45.1043,38.39,1
2024-08-08,35.98,42.6854,39.17,1
2024-08-09,36.58,43.1925,39.75,1
2024-08-12,35.05,47.7053,39.62,1
2024-08-13,36.39,44.2577,37.6,1
2024-08-14,35.66,46.2971,37.68,1
2024-08-15,36.97,44.3212,36.67,0
2024-08-16,37.09,50.7296,38.19,1
2024-08-19,37.53,47.0173,37.03,0
2024-08-20,37.27,42.8536,38.38,1
2024-08-21,38.45,48.3803,37.9,0
2024-08-22,37.51,42.71,38.14,1
2024-08-23,38.64,43.9146,38.74,1
2024-08-26,38.24,48.3685,39.14,1
2024-08-27,37.57,40.9516,38.74,1
2024-08-28,37.2,42.094,39.63,1
2024-08-29,38.79,53.8615,38.26,0
2024-08-30,38.8,47.691,38.84,1
2024-09-03,36.37,44.465,38.03,1
2024-09-04,36.45,45.9638,38.56,1
2024-09-05,35.82,41.4645,38.46,1
2024-09-06,34.31,49.9857,39.84,1
2024-09-09,34.59,45.1075,39.15,1
2024-09-10,34.88,45.4209,37.62,1
2024-09-11,38.37,48.308,38.01,0
2024-09-12,38.26,43.0914,38.06,0
2024-09-13,38.23,47.1037,40.37,1
2024-09-16,38.17,53.931,40.04,1
2024-09-17,38.42,44.1551,40.16,1
2024-09-18,37.63,46.6573,39.31,1
2024-09-19,38.21,47.1349,37.77,0
2024-09-20,36.89,54.0854,37.48,1
2024-09-23,37.88,40.7387,37.94,1
2024-09-24,39.23,43.6809,37.32,0
2024-09-25,38.45,43.049,37.64,0
2024-09-26,41.25,43.9011,37.28,0
2024-09-27,41.68,37.7103,37.3,1
2024-09-30,41.68,39.9478,37.47,1
2024-10-01,41.42,38.2338,37.42,1
2024-10-02,41.51,45.8219,37.34,0
2024-10-03,40.44,39.7137,36.47,1
2024-10-04,41.69,42.2048,36.36,0
2024-10-07,42.66,41.9398,36.05,1
2024-10-08,42.43,39.3932,36.7,1
2024-10-09,43.3,48.4662,38.55,0
2024-10-10,43.93,44.3179,39.27,0
2024-10-11,42.43,37.777,39.04,1
2024-10-14,40.25,42.0681,38.37,0
2024-10-15,38.89,41.6546,38.9,1
2024-10-16,39.17,40.0494,40.06,1
2024-10-17,38.6,42.4196,40.27,1
2024-10-18,39.1,42.4934,40.04,1
2024-10-21,39.34,44.9452,40.16,1
2024-10-22,40.61,44.2415,39.85,0
2024-10-23,39.8,44.786,38.48,0
2024-10-24,40.38,44.5063,39.06,0
2024-10-25,40.83,43.1128,39.21,0
2024-10-28,42.03,44.4543,38.65,0
2024-10-29,40.54,40.9666,38.95,0
2024-10-30,38.68,39.8288,40.3,1
2024-10-31,38.39,43.1698,41.04,1
2024-11-01,39.17,42.3294,39.54,1
2024-11-04,39.75,38.1883,38.86,1
2024-11-05,39.62,37.6528,40.0,0
2024-11-06,37.6,42.6553,37.7,1
2024-11-07,37.68,43.8304,38.34,1
2024-11-08,36.67,44.9016,38.61,1
2024-11-11,38.19,38.6117,38.37,1
2024-11-12,37.03,41.61,37.6,1
2024-11-13,38.38,45.3046,37.48,0
2024-11-14,37.9,38.939,40.17,1
2024-11-15,38.14,41.224,38.63,1
2024-11-18,38.74,40.5366,38.7,0
2024-11-19,39.14,39.562,38.82,0
2024-11-20,38.74,40.0635,39.81,1
2024-11-21,39.63,42.5431,39.67,1
2024-11-22,38.26,46.9487,39.73,1
2024-11-25,38.84,41.8227,39.78,1
2024-11-26,38.03,40.1816,39.65,1
2024-11-27,38.56,40.4349,40.0,1
2024-11-29,38.46,42.3881,38.37,0
2024-12-02,39.84,39.2278,37.31,1
2024-12-03,39.15,46.4129,38.37,0
2024-12-04,37.62,47.5757,39.93,1
2024-12-05,38.01,39.0503,42.18,1
2024-12-06,38.06,42.5859,42.1,1
2024-12-09,40.37,41.4954,41.83,1
2024-12-10,40.04,38.8721,42.71,0
2024-12-11,40.16,44.4414,41.31,1
2024-12-12,39.31,44.2264,42.07,1
2024-12-13,37.77,39.882,43.07,1
2024-12-16,37.48,42.5475,45.5,1
2024-12-17,37.94,41.7094,45.61,1
