date,entry_close,pred_close,actual_close,correct
2024-06-10,25.6,59.2525,9.14,0
2024-06-11,24.8,87.8158,8.84,0
2024-06-12,24.8,48.4015,8.16,0
2024-06-13,23.8,46.1509,7.6,0
2024-06-14,22.2,72.4527,9.18,0
2024-06-17,23.4,61.8709,8.5,0
2024-06-18,22.6,56.8144,8.88,0
2024-06-20,22.4,60.3196,8.62,0
2024-06-21,22.6,66.4988,8.98,0
2024-06-24,24.6,37.9262,8.94,0
2024-06-25,22.6,45.8151,8.1,0
2024-06-26,22.0,38.8735,7.1,0
2024-06-27,23.0,61.7992,6.9,0
2024-06-28,22.2,46.6213,6.42,0
2024-07-01,20.8,70.1175,6.2,0
2024-07-02,22.2,61.9509,6.36,0
2024-07-03,22.8,31.5571,6.58,0
2024-07-05,22.6,51.3229,6.96,0
2024-07-08,22.8,75.2844,6.46,0
2024-07-09,22.6,49.1642,6.62,0
2024-07-10,23.0,48.9758,9.6,0
2024-07-11,25.6,48.2295,8.28,0
2024-07-12,28.8,56.1605,8.9,0
2024-07-15,28.6,41.6156,8.24,0
2024-07-16,30.4,48.3083,9.14,0
2024-07-17,28.2,41.5488,9.88,0
2024-07-18,25.8,31.0494,10.84,0
2024-07-19,24.6,44.8813,11.98,0
2024-07-22,26.4,60.5521,11.86,0
2024-07-23,26.8,34.0696,12.32,0
2024-07-24,25.0,53.621,11.5,0
2024-07-25,25.8,54.6536,11.48,0
2024-07-26,25.4,40.821,10.68,0
2024-07-29,23.8,44.4922,10.5,0
2024-07-30,23.8,40.4519,10.1,0
2024-07-31,24.4,44.5468,10.78,0
2024-08-01,22.0,45.4512,10.82,0
2024-08-02,21.0,34.644,11.5,0
2024-08-05,19.84,38.5704,10.82,0
2024-08-06,19.94,44.9897,9.64,0
2024-08-07,11.8,44.3557,7.56,0
2024-08-08,10.98,44.9134,8.0,0
2024-08-09,11.54,34.8658,8.4,0
2024-08-12,10.08,41.2073,9.0,0
2024-08-13,10.5,44.8813,7.8,0
2024-08-14,11.64,45.7406,7.0,0
2024-08-15,10.46,49.9056,7.24,0
2024-08-16,11.24,39.2414,8.2,0
2024-08-19,11.26,43.0393,7.86,0
2024-08-20,11.44,40.8629,7.5,0
2024-08-21,12.62,36.657,7.4,0
2024-08-22,12.24,38.5945,7.06,0
2024-08-23,14.96,53.882,7.12,0
2024-08-26,13.86,47.4907,6.82,0
2024-08-27,12.82,48.8956,6.66,0
2024-08-28,11.64,33.9749,7.2,0
2024-08-29,12.34,54.1046,7.84,0
2024-08-30,11.66,34.0419,8.04,0
2024-09-03,9.74,41.9029,7.5,0
2024-09-04,9.96,45.7846,8.5,0
2024-09-05,9.14,44.4448,7.84,0
2024-09-06,8.84,42.7751,7.62,0
2024-09-09,8.16,46.7208,7.52,0
2024-09-10,7.6,31.8396,8.04,1
2024-09-11,9.18,42.8596,7.5,0
2024-09-12,8.5,37.1664,7.8,0
2024-09-13,8.88,35.42,7.26,0
2024-09-16,8.62,32.6662,7.54,0
2024-09-17,8.98,47.4678,6.8,0
2024-09-18,8.94,50.086,6.78,0
2024-09-19,8.1,28.0009,7.16,0
2024-09-20,7.1,49.5426,7.26,1
2024-09-23,6.9,34.128,7.28,1
2024-09-24,6.42,32.4801,6.8,1
2024-09-25,6.2,38.4745,6.66,1
2024-09-26,6.36,34.1067,6.48,1
2024-09-27,6.58,40.9394,6.36,0
2024-09-30,6.96,26.9744,6.48,0
2024-10-01,6.46,46.7847,8.24,1
2024-10-02,6.62,27.9653,11.9,1
2024-10-03,9.6,27.6171,14.96,1
2024-10-04,8.28,79.9409,12.06,1
2024-10-07,8.9,32.884,15.52,1
2024-10-08,8.24,36.4203,24.4,1
2024-10-09,9.14,24.5635,23.6,1
2024-10-10,9.88,31.2421,22.6,1
2024-10-11,10.84,27.8403,16.68,1
2024-10-14,11.98,33.4057,16.42,1
2024-10-15,11.86,20.9946,13.48,1
2024-10-16,12.32,32.7096,16.72,1
2024-10-17,11.5,33.0243,15.32,1
2024-10-18,11.48,38.3268,13.96,1
2024-10-21,10.68,35.2342,14.02,1
2024-10-22,10.5,33.4864,14.02,1
2024-10-23,10.1,42.9385,13.08,1
2024-10-24,10.78,27.6085,13.82,1
2024-10-25,10.82,23.4164,15.64,1
2024-10-28,11.5,27.4793,14.34,1
2024-10-29,10.82,22.1129,12.4,1
2024-10-30,9.64,30.8093,12.1,1
2024-10-31,7.56,35.0699,11.48,1
2024-11-01,8.0,45.5538,12.14,1
2024-11-04,8.4,22.5644,11.74,1
2024-11-05,9.0,22.7341,11.92,1
2024-11-06,7.8,27.5847,11.4,1
2024-11-07,7.0,26.2721,11.48,1
2024-11-08,7.24,19.7736,11.48,1
2024-11-11,8.2,13.3101,11.42,1
2024-11-12,7.86,42.2739,10.0,1
2024-11-13,7.5,23.5805,9.72,1
2024-11-14,7.4,17.7217,10.76,1
2024-11-15,7.06,31.8034,10.2,1
2024-11-18,7.12,17.7144,11.8,1
2024-11-19,6.82,26.8265,12.8,1
2024-11-20,6.66,21.606,13.14,1
2024-11-21,7.2,13.9387,11.3,1
2024-11-22,7.84,21.148,10.7,1
2024-11-25,8.04,11.3514,9.86,1
2024-11-26,7.5,19.5219,9.66,1
2024-11-27,8.5,13.1398,8.84,1
2024-11-29,7.84,21.9406,8.58,1
2024-12-02,7.62,23.9924,8.0,1
2024-12-03,7.52,13.4099,9.2,1
2024-12-04,8.04,25.6491,10.4,1
2024-12-05,7.5,28.712,8.8,1
2024-12-06,7.8,18.1326,8.82,1
2024-12-09,7.26,24.5079,8.0,1
2024-12-10,7.54,19.4272,8.18,1
2024-12-11,6.8,17.1392,8.6,1
2024-12-12,6.78,22.5038,8.14,1
2024-12-13,7.16,17.7442,8.6,1
2024-12-16,7.26,21.134,9.04,1
2024-12-17,7.28,18.3628,8.1,1
2024-12-18,6.8,17.4748,9.18,1
2024-12-19,6.66,15.8079,8.6,1
2024-12-20,6.48,14.1133,8.4,1
2024-12-23,6.36,19.1,8.34,1
2024-12-24,6.48,13.4572,8.0,1
2024-12-26,8.24,13.3817,7.78,0
2024-12-27,11.9,10.4628,7.4,1
2024-12-30,14.96,9.6579,7.8,1
2024-12-31,12.06,12.224,7.0,0
2025-01-02,15.52,9.8587,6.76,1
2025-01-03,24.4,11.4154,6.84,1
2025-01-06,23.6,9.2045,6.62,1
2025-01-07,22.6,19.3273,6.94,1
2025-01-08,16.68,13.6266,7.54,1
2025-01-10,16.42,11.4696,6.84,1
2025-01-13,13.48,11.0039,7.0,1
2025-01-14,16.72,9.8479,6.72,1
2025-01-15,15.32,9.3559,7.12,1
2025-01-16,13.96,9.1627,6.74,1
2025-01-17,14.02,12.007,6.56,1
2025-01-21,14.02,13.7072,5.9,1
2025-01-22,13.08,11.1648,7.48,1
