date,entry_close,pred_close,actual_close,correct
2024-06-10,10.66,18.2768,7.67,0
2024-06-11,10.44,19.8,7.51,0
2024-06-12,10.2,19.0612,7.19,0
2024-06-13,9.95,17.9092,7.25,0
2024-06-14,10.0,16.8965,7.3,0
2024-06-17,10.11,14.4164,7.62,0
2024-06-18,10.09,18.5975,8.09,0
2024-06-20,9.65,18.1616,8.16,0
2024-06-21,9.71,18.6616,9.11,0
2024-06-24,10.36,18.8192,9.09,0
2024-06-25,9.75,20.3655,9.18,0
2024-06-26,10.15,19.9388,8.75,0
2024-06-27,10.14,18.5468,8.67,0
2024-06-28,9.78,16.7534,8.82,0
2024-07-01,9.32,17.299,8.47,0
2024-07-02,9.4,16.9215,8.41,0
2024-07-03,9.23,17.5174,8.46,0
2024-07-05,9.21,17.3199,9.18,0
2024-07-08,9.26,11.1427,8.86,0
2024-07-09,9.15,16.8168,8.73,0
2024-07-10,8.95,17.7303,8.68,0
2024-07-11,9.37,16.4144,9.04,0
2024-07-12,9.39,11.7872,8.64,0
2024-07-15,9.26,17.2659,8.71,0
2024-07-16,10.09,14.7485,9.22,0
2024-07-17,10.03,15.8185,9.49,0
2024-07-18,9.31,14.9339,9.2,0
2024-07-19,9.09,17.989,9.0,0
2024-07-22,9.19,16.6301,9.51,1
2024-07-23,9.3,16.9731,9.78,1
2024-07-24,9.23,16.475,9.51,1
2024-07-25,9.25,13.9006,9.84,1
2024-07-26,9.37,12.1511,9.3,0
2024-07-29,9.57,17.4452,9.01,0
2024-07-30,9.73,14.4165,8.68,0
2024-07-31,9.43,13.9551,8.6,0
2024-08-01,8.59,17.4113,8.57,0
2024-08-02,7.95,13.7602,9.18,1
2024-08-05,7.6,16.7545,8.92,1
2024-08-06,7.49,19.6758,8.86,1
2024-08-07,7.16,16.6798,9.0,1
2024-08-08,7.21,13.6466,9.21,1
2024-08-09,7.15,14.3526,8.87,1
2024-08-12,6.87,15.5865,9.15,1
2024-08-13,6.97,12.8808,9.44,1
2024-08-14,6.79,16.8315,9.51,1
2024-08-15,7.06,14.4388,9.23,1
2024-08-16,7.11,19.0686,9.81,1
2024-08-19,7.17,18.9532,9.7,1
2024-08-20,7.2,16.5862,9.57,1
2024-08-21,7.38,17.6091,8.96,1
2024-08-22,7.11,14.103,9.21,1
2024-08-23,7.42,12.8122,9.05,1
2024-08-26,7.31,16.8402,8.93,1
2024-08-27,7.12,13.7179,9.0,1
2024-08-28,6.85,14.3225,10.4,1
2024-08-29,7.1,13.3446,10.62,1
2024-08-30,7.17,15.5278,12.02,1
2024-09-03,7.38,17.5474,11.37,1
2024-09-04,7.44,13.2455,11.43,1
2024-09-05,7.67,19.2934,11.98,1
2024-09-06,7.51,13.4052,11.5,1
2024-09-09,7.19,14.5723,10.95,1
2024-09-10,7.25,13.175,11.02,1
2024-09-11,7.3,11.7296,10.79,1
2024-09-12,7.62,14.4133,11.0,1
2024-09-13,8.09,14.2323,10.69,1
2024-09-16,8.16,12.3942,10.6,1
2024-09-17,9.11,10.9082,10.58,1
2024-09-18,9.09,11.3633,10.2,1
2024-09-19,9.18,9.5768,10.42,1
2024-09-20,8.75,16.9353,10.68,1
2024-09-23,8.67,10.3887,10.07,1
2024-09-24,8.82,13.2384,9.46,1
2024-09-25,8.47,12.1953,8.97,1
2024-09-26,8.41,16.4818,9.44,1
2024-09-27,8.46,11.6768,9.12,1
2024-09-30,9.18,11.1265,9.26,1
2024-10-01,8.86,11.9689,9.53,1
2024-10-02,8.73,10.4912,9.45,1
2024-10-03,8.68,11.6096,9.31,1
2024-10-04,9.04,10.1709,9.09,1
2024-10-07,8.64,12.4593,9.52,1
2024-10-08,8.71,12.0603,9.52,1
2024-10-09,9.22,13.3817,9.93,1
2024-10-10,9.49,12.6235,9.99,1
2024-10-11,9.2,13.2966,9.78,1
2024-10-14,9.0,11.2537,9.87,1
2024-10-15,9.51,9.1066,9.7,0
2024-10-16,9.78,9.6823,9.36,1
2024-10-17,9.51,9.1893,9.35,1
2024-10-18,9.84,10.7236,9.16,0
2024-10-21,9.3,10.7733,9.09,0
2024-10-22,9.01,10.799,9.5,1
2024-10-23,8.68,10.3013,9.88,1
2024-10-24,8.6,10.1463,10.14,1
2024-10-25,8.57,11.4561,10.09,1
2024-10-28,9.18,11.0131,10.21,1
2024-10-29,8.92,12.3921,10.52,1
2024-10-30,8.86,11.4752,10.35,1
2024-10-31,9.0,11.1541,10.34,1
2024-11-01,9.21,9.1866,10.16,0
2024-11-04,8.87,9.6376,10.05,1
2024-11-05,9.15,9.6006,10.4,1
2024-11-06,9.44,9.2101,11.0,0
2024-11-07,9.51,9.2113,11.97,0
2024-11-08,9.23,11.5251,12.95,1
2024-11-11,9.81,9.787,13.86,0
2024-11-12,9.7,9.6525,13.04,0
2024-11-13,9.57,8.2487,12.55,0
2024-11-14,8.96,9.6048,13.51,1
2024-11-15,9.21,10.5896,14.33,1
2024-11-18,9.05,9.0532,13.11,1
2024-11-19,8.93,9.799,13.77,1
2024-11-20,9.0,9.301,12.69,1
2024-11-21,10.4,11.1334,11.51,1
2024-11-22,10.62,9.289,11.39,0
2024-11-25,12.02,9.9058,11.18,1
2024-11-26,11.37,9.6315,10.99,1
2024-11-27,11.43,14.5832,9.5,0
2024-11-29,11.98,10.2149,9.56,1
2024-12-02,11.5,10.9926,9.43,1
2024-12-03,10.95,9.5839,9.2,1
2024-12-04,11.02,9.0881,9.03,1
2024-12-05,10.79,9.0381,9.39,1
2024-12-06,11.0,10.1339,9.15,1
2024-12-09,10.69,9.0622,8.93,1
2024-12-10,10.6,8.146,9.0,1
2024-12-11,10.58,9.3567,8.88,1
