date,entry_close,pred_close,actual_close,correct
2024-06-10,577.6676,550.2198,603.312,0
2024-06-11,572.1143,526.8688,607.7359,0
2024-06-12,571.9156,533.8314,616.7723,0
2024-06-13,568.8757,551.5886,620.5402,0
2024-06-14,568.6868,546.0272,614.8239,0
2024-06-17,564.6606,528.9834,610.5491,0
2024-06-18,565.8237,525.5635,607.9628,0
2024-06-20,553.9341,546.9064,610.9271,0
2024-06-21,561.2806,545.239,607.2863,0
2024-06-24,562.6227,529.3291,606.9183,0
2024-06-25,553.2481,525.3544,616.9952,0
2024-06-26,554.8884,522.8036,610.4696,0
2024-06-27,547.5418,542.7861,607.1472,0
2024-06-28,549.7487,552.5284,608.6691,1
2024-07-01,538.535,550.0121,596.6326,1
2024-07-02,530.7908,542.4559,616.0801,1
2024-07-03,532.4611,536.2217,611.1958,1
2024-07-05,536.9246,565.5343,615.324,1
2024-07-08,533.137,550.8489,609.7235,1
2024-07-09,528.7331,561.4659,609.5046,1
2024-07-10,533.7136,555.4335,597.7666,1
2024-07-11,539.4994,567.8232,595.4687,1
2024-07-12,544.8676,556.2762,595.7074,1
2024-07-15,541.4777,550.7238,592.3253,1
2024-07-16,552.1545,566.7496,596.1053,1
2024-07-17,551.7967,551.0697,590.6741,0
2024-07-18,537.4416,550.8786,593.7877,1
2024-07-19,531.2084,560.7162,600.6215,1
2024-07-22,543.2075,544.2524,597.3688,1
2024-07-23,548.9932,558.6339,588.4457,1
2024-07-24,571.351,508.1568,596.1053,0
2024-07-25,591.0048,551.7737,598.5526,0
2024-07-26,603.5704,557.9233,592.2458,1
2024-07-29,600.5681,537.4982,583.303,1
2024-07-30,611.444,493.6587,573.4648,1
2024-07-31,609.734,551.0189,554.4551,1
2024-08-01,618.1144,527.6957,551.4709,1
2024-08-02,612.0701,530.4476,549.6406,1
2024-08-05,594.514,524.5582,544.8956,1
2024-08-06,598.4806,547.7188,547.7306,1
2024-08-07,583.9167,546.9335,543.4532,1
2024-08-08,596.5122,508.4599,554.9923,1
2024-08-09,592.675,512.7236,552.5551,1
2024-08-12,595.548,555.856,557.8472,1
2024-08-13,600.6577,542.5241,556.743,1
2024-08-14,598.5601,525.5027,552.9729,1
