date,entry_close,pred_close,actual_close,correct
2024-06-10,57.8,56.639,61.35,0
2024-06-11,57.65,60.9413,58.1,1
2024-06-12,56.82,65.9526,58.84,1
2024-06-13,55.69,64.0093,57.27,1
2024-06-14,54.24,64.4557,58.94,1
2024-06-17,53.53,63.3717,59.15,1
2024-06-18,53.02,54.8326,59.46,1
2024-06-20,53.44,58.6503,60.3,1
2024-06-21,54.72,60.0711,60.1,1
2024-06-24,54.81,64.2956,60.5,1
2024-06-25,55.44,58.973,62.63,1
2024-06-26,55.22,61.0009,63.22,1
2024-06-27,55.99,59.3108,63.03,1
2024-06-28,56.81,60.2453,63.0,1
2024-07-01,56.75,56.9847,62.66,1
2024-07-02,57.22,60.3381,64.03,1
2024-07-03,56.43,57.7955,64.66,1
2024-07-05,57.36,61.6563,65.22,1
2024-07-08,57.4,57.9113,63.73,1
2024-07-09,56.39,56.0758,66.39,0
2024-07-10,56.03,57.2166,66.27,1
2024-07-11,57.01,60.0082,67.48,1
2024-07-12,57.87,63.4273,68.59,1
2024-07-15,58.2,60.583,67.74,1
2024-07-16,59.98,61.8053,69.16,1
2024-07-17,59.3,64.2302,70.09,1
2024-07-18,57.65,59.0894,70.28,1
2024-07-19,58.65,57.6584,70.99,0
2024-07-22,58.01,60.2507,70.15,1
2024-07-23,60.03,68.0593,70.5,1
2024-07-24,56.4,58.6444,70.21,1
2024-07-25,57.42,61.3788,70.85,1
2024-07-26,58.85,62.2017,70.57,1
2024-07-29,58.6,56.4899,70.64,0
2024-07-30,59.01,56.2052,70.6,0
2024-07-31,59.13,57.4,71.24,0
2024-08-01,56.27,57.6365,70.47,1
2024-08-02,62.86,59.4631,70.59,0
2024-08-05,59.92,60.9621,71.29,1
2024-08-06,58.86,59.9836,70.57,1
2024-08-07,59.01,58.4899,80.65,0
2024-08-08,60.63,57.0804,84.84,0
2024-08-09,60.41,60.7303,87.5,1
2024-08-12,59.25,61.3738,88.69,1
2024-08-13,61.45,59.2881,90.3,0
2024-08-14,60.61,60.6172,92.41,1
2024-08-15,60.7,61.8272,92.29,1
2024-08-16,61.19,59.318,94.05,0
2024-08-19,61.88,58.6985,96.47,0
2024-08-20,60.59,62.5544,99.85,1
2024-08-21,59.25,59.0856,97.13,0
2024-08-22,58.9,62.4389,96.59,1
2024-08-23,60.76,72.1175,96.41,1
2024-08-26,60.67,59.9894,96.35,0
2024-08-27,61.99,60.0938,98.44,0
2024-08-28,60.93,65.8887,102.07,1
2024-08-29,62.36,64.2558,104.35,1
2024-08-30,62.76,57.6356,105.41,0
2024-09-03,61.2,62.0207,104.41,1
2024-09-04,60.84,64.3429,102.91,1
2024-09-05,61.35,58.123,104.54,0
2024-09-06,58.1,59.4517,105.1,1
2024-09-09,58.84,59.4675,107.3,1
2024-09-10,57.27,66.3794,109.95,1
2024-09-11,58.94,69.9908,110.33,1
2024-09-12,59.15,59.9447,113.42,1
2024-09-13,59.46,63.2571,110.2,1
2024-09-16,60.3,59.5626,108.44,0
2024-09-17,60.1,58.1594,112.99,0
2024-09-18,60.5,59.2676,114.96,0
2024-09-19,62.63,59.2058,112.98,0
2024-09-20,63.22,61.919,111.59,0
2024-09-23,63.03,58.196,109.76,0
2024-09-24,63.0,60.7804,105.46,0
2024-09-25,62.66,56.6331,106.03,0
2024-09-26,64.03,65.5491,107.93,1
2024-09-27,64.66,58.0368,109.69,0
2024-09-30,65.22,65.8995,111.38,1
2024-10-01,63.73,59.992,111.49,0
2024-10-02,66.39,57.5341,109.29,0
2024-10-03,66.27,58.1355,108.62,0
2024-10-04,67.48,58.505,108.08,0
2024-10-07,68.59,55.2658,109.07,0
2024-10-08,67.74,63.0273,113.09,0
2024-10-09,69.16,56.0206,113.01,0
2024-10-10,70.09,56.3237,109.82,0
2024-10-11,70.28,56.9032,111.06,0
2024-10-14,70.99,56.0374,108.08,0
2024-10-15,70.15,61.9714,107.96,0
2024-10-16,70.5,58.8978,108.69,0
2024-10-17,70.21,56.5999,112.36,0
2024-10-18,70.85,57.3465,114.63,0
2024-10-21,70.57,61.8858,111.94,0
2024-10-22,70.64,59.1278,113.88,0
2024-10-23,70.6,57.5207,112.65,0
2024-10-24,71.24,57.3277,113.4,0
2024-10-25,70.47,60.8298,136.23,0
2024-10-28,70.59,62.3808,138.99,0
2024-10-29,71.29,61.5211,146.97,0
2024-10-30,70.57,56.6513,146.1,0
2024-10-31,80.65,55.4618,148.35,0
2024-11-01,84.84,66.4658,146.58,0
2024-11-04,87.5,60.521,146.57,0
2024-11-05,88.69,61.8844,145.92,0
2024-11-06,90.3,58.2111,147.11,0
2024-11-07,92.41,60.9222,147.43,0
2024-11-08,92.29,65.736,145.65,0
2024-11-11,94.05,60.7492,144.46,0
2024-11-12,96.47,58.9652,143.24,0
2024-11-13,99.85,57.339,144.59,0
2024-11-14,97.13,60.3567,147.28,0
2024-11-15,96.59,59.0513,125.17,0
2024-11-18,96.41,72.1889,125.58,0
2024-11-19,96.35,64.3573,121.23,0
2024-11-20,98.44,63.1943,118.0,0
2024-11-21,102.07,62.5477,114.31,0
2024-11-22,104.35,64.569,118.02,0
2024-11-25,105.41,64.1254,115.27,0
2024-11-26,104.41,65.3919,119.22,0
2024-11-27,102.91,59.6886,117.24,0
2024-11-29,104.54,61.2813,119.93,0
2024-12-02,105.1,57.9049,116.41,0
2024-12-03,107.3,61.3882,114.78,0
2024-12-04,109.95,62.7048,116.76,0
2024-12-05,110.33,56.1714,108.81,1
2024-12-06,113.42,63.3311,106.08,1
2024-12-09,110.2,65.8238,98.57,1
2024-12-10,108.44,62.8468,100.08,1
2024-12-11,112.99,63.5142,102.81,1
2024-12-12,114.96,63.2498,94.9,1
2024-12-13,112.98,63.0206,98.97,1
2024-12-16,111.59,68.5315,100.41,1
2024-12-17,109.76,76.6886,99.26,1
2024-12-18,105.46,57.778,103.0,1
2024-12-19,106.03,61.3689,101.79,1
2024-12-20,107.93,58.7438,103.45,1
2024-12-23,109.69,72.5461,106.27,1
2024-12-24,111.38,72.8991,105.89,1
2024-12-26,111.49,59.0036,104.2,1
2024-12-27,109.29,67.2793,101.82,1
2024-12-30,108.62,56.6555,98.98,1
2024-12-31,108.08,61.9512,97.91,1
2025-01-02,109.07,53.0777,98.17,1
2025-01-03,113.09,63.032,100.36,1
2025-01-06,113.01,36.847,89.53,1
2025-01-07,109.82,75.4063,83.58,1
2025-01-08,111.06,58.903,83.71,1
2025-01-10,108.08,67.4339,81.34,1
2025-01-13,107.96,64.3821,91.98,1
2025-01-14,108.69,55.6197,85.73,1
2025-01-15,112.36,53.5955,86.86,1
2025-01-16,114.63,54.5034,86.42,1
2025-01-17,111.94,52.7627,88.31,1
2025-01-21,113.88,78.2281,85.77,1
2025-01-22,112.65,74.4084,84.97,1
2025-01-23,113.4,58.4481,81.56,1
2025-01-24,136.23,50.6855,83.87,1
2025-01-27,138.99,64.875,87.13,1
2025-01-28,146.97,73.9105,93.53,1
2025-01-29,146.1,68.7666,95.07,1
2025-01-30,148.35,87.126,95.68,1
2025-01-31,146.58,52.8271,96.48,1
2025-02-03,146.57,65.9113,96.71,1
2025-02-04,145.92,74.6174,97.88,1
2025-02-05,147.11,58.3739,100.11,1
2025-02-06,147.43,61.5304,103.05,1
2025-02-07,145.65,54.9902,100.88,1
2025-02-10,144.46,88.0055,103.56,1
2025-02-11,143.24,81.0421,105.23,1
2025-02-12,144.59,60.4662,105.69,1
2025-02-13,147.28,77.84,111.19,1
2025-02-14,125.17,64.1162,114.54,1
2025-02-18,125.58,73.6569,114.29,1
2025-02-19,121.23,56.6993,114.23,1
2025-02-20,118.0,69.4797,116.34,1
2025-02-21,114.31,86.2399,116.15,0
2025-02-24,118.02,53.6073,117.56,1
2025-02-25,115.27,57.0015,114.55,1
2025-02-26,119.22,76.1724,115.88,1
2025-02-27,117.24,70.8353,113.49,1
2025-02-28,119.93,66.2409,116.95,1
2025-03-03,116.41,82.2698,117.88,0
2025-03-04,114.78,90.6205,117.23,0
2025-03-05,116.76,73.9323,117.7,0
2025-03-06,108.81,82.9831,119.6,0
