date,entry_close,pred_close,actual_close,correct
2024-06-10,50.01,25.1764,40.02,1
2024-06-11,51.59,29.9686,36.72,1
2024-06-12,52.44,27.4672,37.26,1
2024-06-13,52.03,27.2679,40.72,1
2024-06-14,49.84,32.557,44.36,1
2024-06-17,49.0,28.4847,44.57,1
2024-06-18,50.56,22.9748,46.95,1
2024-06-20,48.74,34.3925,46.56,1
2024-06-21,50.97,30.7981,47.67,1
2024-06-24,49.26,29.7681,47.02,1
2024-06-25,47.83,31.2605,47.99,0
2024-06-26,46.47,32.6748,46.44,1
2024-06-27,47.48,33.9795,45.29,1
2024-06-28,49.28,38.2458,46.46,1
2024-07-01,48.93,23.9053,45.67,1
2024-07-02,47.32,26.9607,47.08,1
2024-07-03,48.0,34.6211,46.39,1
2024-07-05,48.47,37.9778,45.18,1
2024-07-08,48.95,30.4155,43.4,1
2024-07-09,50.5,37.6537,43.28,1
2024-07-10,50.99,36.538,42.79,1
2024-07-11,52.48,35.8675,43.34,1
2024-07-12,53.44,32.0374,42.15,1
2024-07-15,56.15,37.5831,42.54,1
2024-07-16,58.66,28.9272,41.45,1
2024-07-17,56.22,23.3754,41.65,1
2024-07-18,53.56,33.0388,44.47,1
2024-07-19,53.9,35.8266,46.64,1
2024-07-22,56.22,22.4533,46.31,1
2024-07-23,58.88,37.3181,45.07,1
2024-07-24,56.05,27.7918,45.52,1
2024-07-25,57.51,26.5378,46.93,1
2024-07-26,58.08,33.9998,45.35,1
2024-07-29,57.44,24.7082,43.81,1
2024-07-30,55.87,35.7088,41.09,1
2024-07-31,55.81,33.3338,40.24,1
2024-08-01,53.05,30.8256,40.6,1
2024-08-02,42.97,38.2078,42.52,1
2024-08-05,45.33,39.4273,42.65,1
2024-08-06,46.24,35.8781,43.18,1
2024-08-07,44.55,41.6193,40.36,1
2024-08-08,45.42,39.7664,41.57,1
2024-08-09,43.97,44.0113,42.05,0
2024-08-12,42.71,37.69,43.14,0
2024-08-13,44.56,32.5183,45.42,0
2024-08-14,42.58,39.7213,45.52,0
2024-08-15,45.0,34.3056,45.4,0
2024-08-16,43.56,41.1268,47.28,0
2024-08-19,44.39,40.2532,45.26,0
2024-08-20,42.91,33.6157,42.49,1
2024-08-21,44.13,31.1187,38.96,1
2024-08-22,42.46,38.5615,36.89,1
2024-08-23,43.66,37.2356,41.43,1
2024-08-26,43.98,41.9705,41.32,1
2024-08-27,45.12,35.7558,41.11,1
2024-08-28,44.17,43.0246,41.66,1
2024-08-29,44.9,37.4311,42.23,1
2024-08-30,43.24,43.5988,46.4,1
2024-09-03,40.96,36.4614,46.34,0
2024-09-04,39.55,41.7191,48.32,1
2024-09-05,40.02,35.2397,49.18,0
2024-09-06,36.72,42.1559,50.3,1
2024-09-09,37.26,42.3026,50.61,1
2024-09-10,40.72,43.9244,52.43,1
2024-09-11,44.36,38.7185,50.74,0
2024-09-12,44.57,33.3839,52.7,0
2024-09-13,46.95,43.2048,51.65,0
2024-09-16,46.56,36.2918,51.56,0
2024-09-17,47.67,43.949,48.86,0
2024-09-18,47.02,41.3621,47.39,0
2024-09-19,47.99,50.0454,47.5,0
2024-09-20,46.44,39.141,48.43,0
2024-09-23,45.29,38.7161,48.4,0
2024-09-24,46.46,38.986,44.61,1
2024-09-25,45.67,33.2654,43.62,1
2024-09-26,47.08,33.8239,47.94,0
2024-09-27,46.39,46.2044,48.12,0
2024-09-30,45.18,34.1001,48.9,0
2024-10-01,43.4,38.4227,49.23,0
2024-10-02,43.28,47.0219,48.17,1
2024-10-03,42.79,41.766,47.23,0
2024-10-04,43.34,44.5068,46.47,1
2024-10-07,42.15,42.1749,45.31,1
2024-10-08,42.54,34.8444,47.33,0
2024-10-09,41.45,41.1798,48.51,0
